video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
RkyCR4ReQQ0,"BEST Premier League Goals of 2020 | Long-range ROCKETS, bicycle kicks, chips, counter-attacks & more","UCG5qGWdu8nIRZqJ_GgDwQ-w","Premier League",17,1464.0,https://i.ytimg.com/vi/RkyCR4ReQQ0/default.jpg,"[none]"
zs6T5yy7zQI,"EXTENDED CARABAO CUP HIGHLIGHTS: EVERTON 0-2 MAN UNITED","UCtK4QAczAN2mt2ow_jlGinQ","Everton Football Club",17,573.0,https://i.ytimg.com/vi/zs6T5yy7zQI/default.jpg,"[none]"
nsAw8fYOXnU,"HIGHLIGHTS | SPURS 2-0 BRENTFORD | Tottenham Hotspur reach Carabao Cup final!","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur",17,572.0,https://i.ytimg.com/vi/nsAw8fYOXnU/default.jpg,"[none]"
74bM5geGViM,"Juventus 4-1 Udinese | Ronaldo Strikes Twice | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A",17,254.0,https://i.ytimg.com/vi/74bM5geGViM/default.jpg,"[none]"
KL49CxcYMd4,"WTF Moments In Football 2021","UCEOfOaZ49f0WaTAom8f97Jw","MNXHD",17,524.0,https://i.ytimg.com/vi/KL49CxcYMd4/default.jpg,"[none]"
e9Iaompslgw,"SON'S 100 SPURS GOALS | The story of Heung-min Son's road to a century of Spurs strikes!","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur",17,766.0,https://i.ytimg.com/vi/e9Iaompslgw/default.jpg,"[none]"
y5UyJNeKXmY,"Sampdoria 2-1 Inter | Inter’s winning run ended by former players Candreva & Keita | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A",17,254.0,https://i.ytimg.com/vi/y5UyJNeKXmY/default.jpg,"[none]"
hUM7-hMSmuo,"[카라바오컵 준결승] 토트넘 vs 브렌트포드 H/L","UCtm_QoN2SIxwCE-59shX7Qg","SPOTV",17,585.0,https://i.ytimg.com/vi/hUM7-hMSmuo/default.jpg,"[none]"
Cug-zeabFeI,"MOURINHO CAM | SPURS 2-0 BRENTFORD","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur",17,270.0,https://i.ytimg.com/vi/Cug-zeabFeI/default.jpg,"[none]"
UWxXCYeH3TQ,"BURNLEY vs MAN UNITED LIVE - Premier League Reaction","UCnU7ly6zEcQxUScjhkgFYAQ","Thogden",17,0.0,https://i.ytimg.com/vi/UWxXCYeH3TQ/default_live.jpg,"[none]"
-zCnGHsqj1A,"Milan 1-3 Juventus | Goals from Chiesa & McKennie Shock the San Siro | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A",17,254.0,https://i.ytimg.com/vi/-zCnGHsqj1A/default.jpg,"[none]"
aeHI8Pp1Aw0,"Traore with a left foot rocket! Wolves 1-0 Crystal Palace | FA Cup Highlights","UCQ7Lqg5Czh5djGK6iOG53KQ","Wolves",17,135.0,https://i.ytimg.com/vi/aeHI8Pp1Aw0/default.jpg,"[none]"
K5jcKMud7So,"Pierwszy raz pod balonem - Kostas, Hubert i Mata trenują z zespołem","UCWtB0ybrPDxQC96cmq_qDMg","PogonSzczecinSA",17,175.0,https://i.ytimg.com/vi/K5jcKMud7So/default.jpg,"[none]"
dhM_oshZFMs,"Tottenham Vs Brentford 2-0 Post Match Interviews and Analysis","UCx8lLyTsHW4ip8DiVyuiicA","HotspurFootballClubTV",20,667.0,https://i.ytimg.com/vi/dhM_oshZFMs/default.jpg,"[none]"
JRWT2BZcjyQ,"BURNLEY vs MANCHESTER UNITED With Mark GOLDBRIDGE LIVE","UCMmVPVb0BwSIOWVeDwlPocQ","The United Stand",24,0.0,https://i.ytimg.com/vi/JRWT2BZcjyQ/default_live.jpg,"[none]"
4h43rge1fbY,"Atth BiIbao vs BarceIona 2−3 - Extеndеd Hіghlіghts & All Gоals 2021 HD","UCFSnmLi4dfFPDVPptbjy0vg","Son Beo TV",17,499.0,https://i.ytimg.com/vi/4h43rge1fbY/default.jpg,"[none]"
lvY6pLXzT70,"MATCH HIGHLIGHTS | Swansea City 1 Brentford 0 | Play-Off Semi Final First Leg","UCAalMUm3LIf504ItA3rqfug","Brentford Football Club",17,449.0,https://i.ytimg.com/vi/lvY6pLXzT70/default.jpg,"[none]"
6o4VMEZbecM,"Bulls vs Lakers HIGHLIGHTS Full Game | NBA January 8","UCD0enX__me1h49Bcw8m-9Cg","SportsTalkLine",17,484.0,https://i.ytimg.com/vi/6o4VMEZbecM/default.jpg,"[none]"
HEOo8_ix6PA,"Milan 2-0 Torino | Milan Go Four Points Clear At The Top Of The Table | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A",17,254.0,https://i.ytimg.com/vi/HEOo8_ix6PA/default.jpg,"[none]"
HEZnyotn6RU,"Benevento 1-4 Atalanta | Atalanta Climb To Fourth After Emphatic Win | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A",17,254.0,https://i.ytimg.com/vi/HEZnyotn6RU/default.jpg,"[none]"
wtl4IQjsP4M,"Burnley vs Man UTD Live Watchalong burnley man utd live football live","UCVe7o53vNXsRVNbIicqlNgw","#isports",17,0.0,https://i.ytimg.com/vi/wtl4IQjsP4M/default_live.jpg,"[none]"
xz7a9h2Epas,"HIGHLIGHTS | MAN UTD 0-2 MAN CITY | STONES & FERNANDINHO","UCkzCjdRMrW2vXLx8mvPVLdQ","Man City",17,420.0,https://i.ytimg.com/vi/xz7a9h2Epas/default.jpg,"[none]"
upM-nEZ-gH0,"WOLVES V EVERTON LIVE WATCH ALONG","UCb6gSDGWXEpUbVOtPKbrFew","NowThisIsEverton",24,0.0,https://i.ytimg.com/vi/upM-nEZ-gH0/default_live.jpg,"[none]"
6af21FzDi10,"BURNLEY vs MAN UNITED LIVE WATCHALONG","UCrhVvICqmIZPfmokfD1v0sw","Mundo Sporto",17,0.0,https://i.ytimg.com/vi/6af21FzDi10/default_live.jpg,"[none]"
5HpMM2OfBts,"Tottenham 2-0 Brentford [INSTANT MATCH REACTION]","UCUz_XIKFQOrliSqPZWJBq2g","WeAreTottenhamTV",17,499.0,https://i.ytimg.com/vi/5HpMM2OfBts/default.jpg,"[none]"
ng-zj4QEZc8,"Crotone 1-3 Roma | Mayoral scores brace as Roma cruise to claim 3-points | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A",17,254.0,https://i.ytimg.com/vi/ng-zj4QEZc8/default.jpg,"[none]"
2tkyJ9QF4IA,"FIFA 21 | Manchester United vs Manchester City | Carabao Cup Semi Final | Full Gameplay","UCfii7nIcPNVGvV48w6q2rMw","game football",20,853.0,https://i.ytimg.com/vi/2tkyJ9QF4IA/default.jpg,"[none]"
INnZaaDR924,"MATCH REVIEW: Marine AFC 0-5 Tottenham: Vinicius Hat-Trick, Moura and Debut Goal for Devine: FA Cup","UCB9aWK0xfz2P-Ny2nsXGHrA","Tottenham Fan Chris Cowlin",17,702.0,https://i.ytimg.com/vi/INnZaaDR924/default.jpg,"[none]"
CDRqls9VI-4,"BEHIND THE SCENES 👀 | Roma v Sampdoria | Tunnel CAM 2020-21","UCLttSYJ6kPtlcurY96kXkQw","AS Roma",17,615.0,https://i.ytimg.com/vi/CDRqls9VI-4/default.jpg,"[none]"
bo-_Wi3S1m8,"Tottenham Hotspur 2-0 Brentford | January 5, 2021 | Carabao Cup Semi-Final Match Analysis","UC6lTw6skYoYQD829mQ2_gbQ","PODSPUR TV",17,3319.0,https://i.ytimg.com/vi/bo-_Wi3S1m8/default.jpg,"[none]"
FVzcGmrucxk,"PES 2020 LIxTR","UCRDVX9_U7H9RnGkM9VNPy5Q","Tùng Còi TV",22,17.0,https://i.ytimg.com/vi/FVzcGmrucxk/default.jpg,"[none]"
A4J4zNXELxo,"Dikgang Mabalane: why Chiefs can't be relegated","UC9_CWHxO2Nzy1qMH47JtOZg","Ibhola Lethu",22,179.0,https://i.ytimg.com/vi/A4J4zNXELxo/default.jpg,"[none]"
MHBw0Scdl2g,"Gary Neville reacts to Man United's semi-final defeat to Manchester City | The Gary Neville Podcast","UCNAf1k0yIjyGu3k9BwAg3lg","Sky Sports Football",17,766.0,https://i.ytimg.com/vi/MHBw0Scdl2g/default.jpg,"[none]"
wZ-YlYS3o-8,"SON HEUNG-MIN (손흥민) & SISSOKO SEND SPURS TO WEMBLEY | Tottenham 2-0 Brentford | Post Match Analysis","UCzccvPxtLMASXtk0QBQPAAw","TottenhamTID",22,266.0,https://i.ytimg.com/vi/wZ-YlYS3o-8/default.jpg,"[none]"
yfkKo7d7ocg,"လမ်းပတ်ရဲ့ ချယ်လ်ဆီး နောက်ဆုံးလုပ်ဆောင်နေတဲ့ အပြောင်းအရွေ့အစီအစဥ်","UCipH12eeh7P05q5Y7C5aqiQ","UK Match Day Official Sports Channel",17,370.0,https://i.ytimg.com/vi/yfkKo7d7ocg/default.jpg,"[none]"
VGu2OCS4q8U,"Aston Villa v Liverpool | Key Moments | Third Round | Emirates FA Cup 2020-21","UCChcWqwYXCEs657MQ00qVWA","The Emirates FA Cup",17,123.0,https://i.ytimg.com/vi/VGu2OCS4q8U/default.jpg,"[none]"
QVxQTTYqd-c,"Timo Werner - The German Beast","UCEJILQPdNwBb2zKt2wzhOJQ","Anonsi",17,141.0,https://i.ytimg.com/vi/QVxQTTYqd-c/default.jpg,"[none]"
BsmJ8ZbLX7M,"Tottenham Very Close To Signing 'Big' Defender | Confident On New Son Contract [TOTTENHAM UPDATE]","UCUz_XIKFQOrliSqPZWJBq2g","WeAreTottenhamTV",17,1109.0,https://i.ytimg.com/vi/BsmJ8ZbLX7M/default.jpg,"[none]"
luXlSQo8dGQ,"OLE SAMPE KAGET LIATNYA😱Lihat Detik Detik Tuanzebe Berhasil Lakukan Penyelamatan Gemilang Vs Watford","UC9Rl0moqfBVILKRQnTE-PeQ","FGD Football TV",20,242.0,https://i.ytimg.com/vi/luXlSQo8dGQ/default.jpg,"[none]"
JmuQYcgcjFI,"VS Burnley🔥MU Siap Tembur‼️Greenwood Nantang Cavani😱Semoga Bisa Ke Puncak Malam Ini🤲-Berita MU","UCeJTa4SOWq62vJfghKCZFdw","Man Red Nusantara",17,761.0,https://i.ytimg.com/vi/JmuQYcgcjFI/default.jpg,"[none]"
B5wU5Fce9DM,"အစ်မ Portia နဲ့ မခွဲနိုင်လို့ ဝမ်းနည်း မျက်ရည်ကျခဲ့တဲ့ Chloe","UCTO6VAbStROisLZBYw0diVQ","Myanmar Celebrity",24,278.0,https://i.ytimg.com/vi/B5wU5Fce9DM/default.jpg,"[none]"
BBPtTz8w-pc,"KEMBALI MENATAP LIGA - Review FA Cup Man United vs Watford & Preview EPL Burnley vs Man United","UCHXoK_UAH1Y4xJr_bm-DjWw","Poros Halang ID",17,3376.0,https://i.ytimg.com/vi/BBPtTz8w-pc/default.jpg,"[none]"
ryEziqGR-vk,"Pierre-Emile Hojbjerg left with nasty gash after shocking challenge from Josh Dasilva that earn...","UCQCfLuCcleI9j0lJlQAU5Hg","Football Life",17,225.0,https://i.ytimg.com/vi/ryEziqGR-vk/default.jpg,"[none]"
tYxgotrGrJQ,"NXP SOLID VS ULVL ESPORT GAME #3 (THE  GRAND FINALS MMP CUP 3)","UCpOCU6nSqZFOBYEhXwQFj9A","AetheR Fan'S UPDATE",20,2181.0,https://i.ytimg.com/vi/tYxgotrGrJQ/default.jpg,"[none]"
h_lUx7v9xDI,"ย้อนเหตุการณ์กรมสมเด็จพระเทพฯทรงล้ม!!ข้อพระบาท ได้รับบาดเจ็บ","UC_PrnY-E94Ve97Abui8K30A","ทิศทางไทย",25,432.0,https://i.ytimg.com/vi/h_lUx7v9xDI/default.jpg,"[none]"
BORSJ62KwO0,"SILAKAN BELANJA ASAL SESUAI - DPI - EPS 348","UC4yN7AQ87Q5zzaifMUmZxGQ","Jebreeetmedia TV",22,3155.0,https://i.ytimg.com/vi/BORSJ62KwO0/default.jpg,"[none]"
TCqk7SOxTAU,"Mereka Kaget Ketemu James Naki BOND ! - Ome.TV Internasional","UCL3jS4gOZ-wJA7oeV8c7low","Fiki Naki",20,1088.0,https://i.ytimg.com/vi/TCqk7SOxTAU/default.jpg,"[none]"
U3A-14Diybg,"✅레알 지단감독의 충격적인 제안에 영국축구팬들 환호성을 지른 이유#손흥민 #레알 #토트넘 #레알마드리드 #하이라이트 #골모음 #150호골 #해외반응 #일본반응 #프리미어리그","UCO1aMZ-K8kA2hlbaRI-OuvA","시사RANG • 시사랑",25,496.0,https://i.ytimg.com/vi/U3A-14Diybg/default.jpg,"[none]"
6LOQvapPUMA,"JENDA MARAH-MARAH JAWAB PERTANYAAN NETIZEN.. ANDRE DIMAKI-MAKI","UC6SPCnTAIanF2_8ST2wrQzw","TAULANY TV",22,1077.0,https://i.ytimg.com/vi/6LOQvapPUMA/default.jpg,"[none]"
VCEsLuh_soU,"የገና በአል ምሳሌና ረቂቅ ምስጢራት  በቡና ሰአት ከመጋቤ ሀዲስ ዶ/ር ሮዳስ ታደሰ ጋር በእሁድን በኢቢኤስ","UCVcc_sbg3AcXLV9vVufJrGg","ebstv worldwide",24,1223.0,https://i.ytimg.com/vi/VCEsLuh_soU/default.jpg,"[none]"
AEJHJxLz15I,"Mohamed El-Erian: Stock themes will start to dominate over passive investing","UCrp_UI8XtuYfpiqluWLD7Lw","CNBC Television",25,90.0,https://i.ytimg.com/vi/AEJHJxLz15I/default.jpg,"[none]"
ByYHnQhYE5c,"ReaI Madriid vs AtIetico 3−0 - Extеndеd Hіghlіghts & All Gоals 2021 HD","UCHEQ95zqrM1pNQoUajmL9cQ","Quang Hoan TV",17,486.0,https://i.ytimg.com/vi/ByYHnQhYE5c/default.jpg,"[none]"
5L_1EwyqmZw,"Não nego a JESUS - Yuri Haziel","UCukzMAJ4nTMkrymLXHuvBOg","Yuri Haziel",22,175.0,https://i.ytimg.com/vi/5L_1EwyqmZw/default.jpg,"[none]"
FE-6CPm5qZ0,"Siêu Trí Tuệ Việt Nam mùa 2 - Tập 8: Trấn Thành, Tóc Tiên sốc vì cao thủ trí tuệ bất ngờ bị đả bại","UCkna2OcuN1E6u5I8GVtdkOw","Vie Channel - HTV2 [ SIÊU TRÍ TUỆ Mùa 2 Official ]",24,5966.0,https://i.ytimg.com/vi/FE-6CPm5qZ0/default.jpg,"[none]"
xXOsD243OhY,"WOLVES V EVERTON | LIVE MATCH | WATCH ALONG | STREAM","UCEftiKd4uq4Ctq_0eV8ZwKQ","The Blue Boyz Network",24,0.0,https://i.ytimg.com/vi/xXOsD243OhY/default_live.jpg,"[none]"
xx0lNVnx26k,"BURNLEY vs MAN U - Live Football Watchalong - Premier League Stream","UCz8tWnq2dPftSPqFpWeDgpw","Denveloper - The Home of Football Watchalongs",17,0.0,https://i.ytimg.com/vi/xx0lNVnx26k/default_live.jpg,"[none]"
KlDcPULk8hg,"WATCH 👀 WOLVERHAMPTON WANDERERS v EVERTON | *LIVE* WOLVES FAN WATCHALONG","UCDWsTpX294keWtJdRRtSCqg","Dazzling Dave TV",17,0.0,https://i.ytimg.com/vi/KlDcPULk8hg/default_live.jpg,"[none]"
