video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
vHiFxhPs2TQ,"Machine Gun Kelly - Bloody Valentine Acoustic (Official Video)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,214.0,https://i.ytimg.com/vi/vHiFxhPs2TQ/default.jpg,"[none]"
86RL3kRbksQ,"Machine Gun Kelly - drunk face (Official Music Video)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,168.0,https://i.ytimg.com/vi/86RL3kRbksQ/default.jpg,"[none]"
Uvxnevlx6iE,"MGK performs Candy, Why Are You Here, Bloody Valentine and I Think I’m OKAY live on LoL Esports","UCQdErewaPRx0Hl3FZyts3dg","Infinit3 XX",10,867.0,https://i.ytimg.com/vi/Uvxnevlx6iE/default.jpg,"[none]"
rSKAvhH5z44,"Machine Gun Kelly Ft. Trippie Redd - All I Know (Official Visualizer)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,130.0,https://i.ytimg.com/vi/rSKAvhH5z44/default.jpg,"[none]"
9803QgzFi2A,"The King of Staten Island - Machine Gun Kelly's scene","UCv64WbhBEYHudZxzT_z49Jg","PeterZ",22,111.0,https://i.ytimg.com/vi/9803QgzFi2A/default.jpg,"[none]"
cElT_UU-lbU,"Machine Gun Kelly - hangover cure (Official Audio)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,160.0,https://i.ytimg.com/vi/cElT_UU-lbU/default.jpg,"[none]"
MG4WiGodGgo,"MOD SUN - Flames (Feat. Avril Lavigne) - OFFICIAL AUDIO","UCJJDFP9XgtqZQ8I6zDEiM9g","MODSUN",10,152.0,https://i.ytimg.com/vi/MG4WiGodGgo/default.jpg,"[none]"
JrteFiVG5WY,"Pete Davidson & Machine Gun Kelly Take a Lie Detector Test | Vanity Fair","UCIsbLox_y9dCIMLd8tdC6qg","Vanity Fair",24,824.0,https://i.ytimg.com/vi/JrteFiVG5WY/default.jpg,"[none]"
GN4XXozJPz0,"Machine Gun Kelly - play this when i'm gone (Official Visualizer)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,202.0,https://i.ytimg.com/vi/GN4XXozJPz0/default.jpg,"[none]"
HLTLVVicjEo,"Machine Gun Kelly - title track (Official Audio)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,166.0,https://i.ytimg.com/vi/HLTLVVicjEo/default.jpg,"[none]"
jqKtxmf8x7A,"Machine Gun Kelly - Smoke and Drive","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,151.0,https://i.ytimg.com/vi/jqKtxmf8x7A/default.jpg,"[none]"
zT-OkV8xkaA,"WHEN CELEBRITIES MEET THEIR CRUSH","UCCrXAdjvN23Rwr2XrHRrWbw","Who is there?",22,588.0,https://i.ytimg.com/vi/zT-OkV8xkaA/default.jpg,"[none]"
4AJ6EI3uda4,"Machine Gun Kelly - lonely (Official Visualizer)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,191.0,https://i.ytimg.com/vi/4AJ6EI3uda4/default.jpg,"[none]"
4fgrbWfUrO4,"Machine Gun Kelly - In These Walls","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly",10,166.0,https://i.ytimg.com/vi/4fgrbWfUrO4/default.jpg,"[none]"
