video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
id_7qREeC2g,"GTA 5 Roleplay - BATMAN & IRONMAN ROB BANK AND CARS | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1541.0,https://i.ytimg.com/vi/id_7qREeC2g/default.jpg,"[none]"
psvm9O8gBuw,"GTA 5 Roleplay - ROBBING AUCTION HOUSE CARS | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1514.0,https://i.ytimg.com/vi/psvm9O8gBuw/default.jpg,"[none]"
p2jGBEx4r-4,"GTA 5 Roleplay - TANKS MESS WITH POLICE | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1275.0,https://i.ytimg.com/vi/p2jGBEx4r-4/default.jpg,"[none]"
SktZEDHbWFE,"GTA 5 Roleplay - 15000BHP ROCKET THRUSTER TROLLS COPS | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,1440.0,https://i.ytimg.com/vi/SktZEDHbWFE/default.jpg,"[none]"
R6yuEFIyQzM,"Stupid, Angry People Vs Dirt Bikers 2020 - Angry Man Chases Motorcycle!","UCzWMekMWq4DJsHo6d60tjFg","Angry Dirt Bikers",2,674.0,https://i.ytimg.com/vi/R6yuEFIyQzM/default.jpg,"[none]"
4jOF0YDulpA,"GTA 5 Roleplay - BOUNTY HUNTERS CHASE ME FOR $100K | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1667.0,https://i.ytimg.com/vi/4jOF0YDulpA/default.jpg,"[none]"
IKE5tdgIhm4,"GTA 5 Roleplay - GO-KART ROBBING BANKS (HUGE BATTLE) | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1291.0,https://i.ytimg.com/vi/IKE5tdgIhm4/default.jpg,"[none]"
A9VBIw6kk7M,"GTA 5 Roleplay - STEALING CARS WITH FAKE BAIT CAR | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1352.0,https://i.ytimg.com/vi/A9VBIw6kk7M/default.jpg,"[none]"
mc6Z45U0DaA,"GTA 5 Roleplay - BETRAYED WHILE ROBBING CARS | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1272.0,https://i.ytimg.com/vi/mc6Z45U0DaA/default.jpg,"[none]"
01_d7RXjKrE,"SML Movie: The Candy Salesmen!","UCzwFZOhCfCZTgLruMz_RWCw","superbowserlogan",24,982.0,https://i.ytimg.com/vi/01_d7RXjKrE/default.jpg,"[none]"
RtxsJVebOqI,"Testing VIRAL TikTok Gadgets! **SHOCKING RESULTS**","UCilwZiBBfI9X6yiZRzWty8Q","FaZe Rug",24,1059.0,https://i.ytimg.com/vi/RtxsJVebOqI/default.jpg,"[none]"
hrSaLHa0f_M,"ROBOCOP SAVES THE DAY! | PGN #198","UCCiEKK4835FTejF4ogW4P-A","jmwFILMS",20,1449.0,https://i.ytimg.com/vi/hrSaLHa0f_M/default.jpg,"[none]"
H6hszQvkhyc,"GTA 5 Roleplay - CHUCKY HITMAN JOB | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1312.0,https://i.ytimg.com/vi/H6hszQvkhyc/default.jpg,"[none]"
TgxDl5SlluU,"GTA 5 Roleplay - IRON MAN TROLLS COP | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,0.0,https://i.ytimg.com/vi/TgxDl5SlluU/default_live.jpg,"[none]"
jfZisFrXBn4,"UNSTOPPABLE │ Epic BeamNG Drive Police Chase","UCBdwx17IT26b-cpVOK_iPyQ","Crash Frontier",1,1032.0,https://i.ytimg.com/vi/jfZisFrXBn4/default.jpg,"[none]"
5Fg9oZk-5uA,"I Bought Everything In 5 Stores","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast",24,854.0,https://i.ytimg.com/vi/5Fg9oZk-5uA/default.jpg,"[none]"
BmKm2VMpqaI,"GTA 5 Roleplay - SPIKED 360 FLIP CAR DESTROYS COPS | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,1458.0,https://i.ytimg.com/vi/BmKm2VMpqaI/default.jpg,"[none]"
VXiaE5--CMM,"GTA 5 Roleplay - TROLLING COPS WITH 1000HP TRACTOR | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1283.0,https://i.ytimg.com/vi/VXiaE5--CMM/default.jpg,"[none]"
zBQ0QTx3EpA,"GTA 5 Roleplay - STREET RACING GONE WRONG | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1251.0,https://i.ytimg.com/vi/zBQ0QTx3EpA/default.jpg,"[none]"
cV3R2Qag2mQ,"GTA 5 Roleplay - I BUILT THIS CAR TRAIN & COPS HATED IT | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,1405.0,https://i.ytimg.com/vi/cV3R2Qag2mQ/default.jpg,"[none]"
42ItWwfB8FY,"TROLLING THE COPS WITH A TIME MACHINE - GTA RP","UCwLbkbPDWyS8ZrvGkNFhR7A","ProGamerDude",20,1488.0,https://i.ytimg.com/vi/42ItWwfB8FY/default.jpg,"[none]"
fz1pirXS0TU,"GTA 5 Roleplay - SPIKE STRIP JET ENGINE RAMP CAR DESTROYS COPS | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,1584.0,https://i.ytimg.com/vi/fz1pirXS0TU/default.jpg,"[none]"
bsnwEmqtOn8,"GTA 5 Roleplay - STEALING CARS AS FAKE TOW TRUCK | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1179.0,https://i.ytimg.com/vi/bsnwEmqtOn8/default.jpg,"[none]"
22gFTY1MhbQ,"HE TRIED TO TAKE HER TASER, THEN I TOOK HIM OUT","UCEYLdM2bdhmw-TS3c0TjFNw","Patty Mayo",22,954.0,https://i.ytimg.com/vi/22gFTY1MhbQ/default.jpg,"[none]"
o53Ldabckfo,"GTA 5 Roleplay - I built a nuke | RedlineRP #45","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1421.0,https://i.ytimg.com/vi/o53Ldabckfo/default.jpg,"[none]"
pItb731IsPA,"Fortnite NOOB vs PRO vs *HACKER*","UCke6I9N4KfC968-yRcd5YRg","SSundee",20,874.0,https://i.ytimg.com/vi/pItb731IsPA/default.jpg,"[none]"
GcYEg3C6AXI,"I Tried to Catch a Flying Police Car with a Truck and Everything Went Wrong in BeamNG Multiplayer!","UCPhckk25N7P8OI580ucRidA","Ctop",20,923.0,https://i.ytimg.com/vi/GcYEg3C6AXI/default.jpg,"[none]"
V43_E4DSN70,"GTA 5 Roleplay - ROBBING EVERY STORE WITH FASTEST CAR | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1511.0,https://i.ytimg.com/vi/V43_E4DSN70/default.jpg,"[none]"
i3PwNO5S8gw,"GTA 5 Roleplay - 1000 CLONES TROLL COPS | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,1597.0,https://i.ytimg.com/vi/i3PwNO5S8gw/default.jpg,"[none]"
uxbvOpPFeTY,"GTA 5 Roleplay - SANTA HITMAN JOB | RedlineRP","UCk9xNdmgY8im4RDCops9YYw","Treyten",20,1364.0,https://i.ytimg.com/vi/uxbvOpPFeTY/default.jpg,"[none]"
5eumORceftQ,"GTA 5 Roleplay - 360 FLIP CAR DESTROYS COPS | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,1493.0,https://i.ytimg.com/vi/5eumORceftQ/default.jpg,"[none]"
Eiz5-hPlusg,"among us but the IMPOSTOR HAS A ROCKET LAUNCHER (mods)","UCsEgeyBfOnGGBpjIvkDJbWg","Socksfor1",20,664.0,https://i.ytimg.com/vi/Eiz5-hPlusg/default.jpg,"[none]"
nrXkaiYYuNQ,"SPEEDRUNNER vs. MINIGUN HUNTERS In MINECRAFT!","UC0DZmkupLYwc0yDsfocLh0A","Jelly",20,877.0,https://i.ytimg.com/vi/nrXkaiYYuNQ/default.jpg,"[none]"
rHJLuaeECXA,"TIME MACHINE TROLLING - GTA RP","UCwLbkbPDWyS8ZrvGkNFhR7A","ProGamerDude",20,3052.0,https://i.ytimg.com/vi/rHJLuaeECXA/default.jpg,"[none]"
HsUgiUx7G4E,"GTA 5 Roleplay - JET ENGINE LAMBORGHINI DESTROYING COPS | RedlineRP","UCntCTaM2Jz1sLN3iRwabpMA","Elanip",20,1415.0,https://i.ytimg.com/vi/HsUgiUx7G4E/default.jpg,"[none]"
