video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
6DV5KQNwkRI,"She got KICKED OUT of college, so I did THIS... **Emotional**","UCvtRTOMP2TqYqu51xNrqAzg","Brawadis",22,817.0,https://i.ytimg.com/vi/6DV5KQNwkRI/default.jpg,"[none]"
3E1KXcvaQkY,"She Customized My Car With Pictures of my CRUSH!! (Sommer Ray)","UCvtRTOMP2TqYqu51xNrqAzg","Brawadis",22,860.0,https://i.ytimg.com/vi/3E1KXcvaQkY/default.jpg,"[none]"
RtxsJVebOqI,"Testing VIRAL TikTok Gadgets! **SHOCKING RESULTS**","UCilwZiBBfI9X6yiZRzWty8Q","FaZe Rug",24,1059.0,https://i.ytimg.com/vi/RtxsJVebOqI/default.jpg,"[none]"
gZy2syh7ZCo,"Eating the Worlds Most EXPENSIVE Steak! (Japanese A5 Wagyu)","UCilwZiBBfI9X6yiZRzWty8Q","FaZe Rug",24,699.0,https://i.ytimg.com/vi/gZy2syh7ZCo/default.jpg,"[none]"
36jw2t_pNWI,"Eating ONLY Military Food for 24 HOURS!! **shocking**","UCilwZiBBfI9X6yiZRzWty8Q","FaZe Rug",24,897.0,https://i.ytimg.com/vi/36jw2t_pNWI/default.jpg,"[none]"
iT2Dbg1qYQg,"Donating $10,000 For Streamers To Shave Their Heads","UCvxfEIG3PHpgM0TMJJ_SH-w","FaZe Jarvis",20,869.0,https://i.ytimg.com/vi/iT2Dbg1qYQg/default.jpg,"[none]"
XEx4GlFhg_Q,"10 Crazy Expensive Gifts Bought By Billionaires","UCjRkTl_HP4zOh3UFaThgRZw","SidemenReacts",24,872.0,https://i.ytimg.com/vi/XEx4GlFhg_Q/default.jpg,"[none]"
GbMREbu-x40,"Council Visit with Police...Again! Good bye Daniel","UCUHsXS2q7A7cTc8R6r31FRg","Yiannimize",2,1512.0,https://i.ytimg.com/vi/GbMREbu-x40/default.jpg,"[none]"
XW_jRyyU1RA,"I Actually Didn't Laugh","UCGmnsW623G1r-Chmo5RB4Yw","JJ Olatunji",24,751.0,https://i.ytimg.com/vi/XW_jRyyU1RA/default.jpg,"[none]"
PotkYnzRx1k,"Would You Rather Have $10,000 OR This Mystery Gift?","UCFB-QxUdWLN3jxmfBHha9vQ","FaZe Kay",24,712.0,https://i.ytimg.com/vi/PotkYnzRx1k/default.jpg,"[none]"
3j4hnT3xfE4,"I Asked Her to Be My Girlfriend...","UCCiQtqwCnPLL9sRJMZUc_8A","ShermanTheVerman",24,1161.0,https://i.ytimg.com/vi/3j4hnT3xfE4/default.jpg,"[none]"
5Fg9oZk-5uA,"I Bought Everything In 5 Stores","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast",24,854.0,https://i.ytimg.com/vi/5Fg9oZk-5uA/default.jpg,"[none]"
6HYZi0smVGQ,"I Gave Her This on Christmas... (Crazy Gift Opening)","UCCiQtqwCnPLL9sRJMZUc_8A","ShermanTheVerman",24,614.0,https://i.ytimg.com/vi/6HYZi0smVGQ/default.jpg,"[none]"
