video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
f-g_SHNv5NI,Save Your Tears / In Your Eyes (Live on The 2020 American Music Awards),UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,10,0:3:53,https://i.ytimg.com/vi/f-g_SHNv5NI/default.jpg,"[none]"
ewfdRy5jfF8,The Weeknd - Blinding Lights (Live On The 2020 MTV VMAs),UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,10,0:3:19,https://i.ytimg.com/vi/ewfdRy5jfF8/default.jpg,"[none]"
RgKAFK5djSk,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,10,0:3:58,https://i.ytimg.com/vi/RgKAFK5djSk/default.jpg,"[none]"
nntGTK2Fhb0,Skrillex and Diplo - "Where Are Ü Now" with Justin Bieber (Official Video),UCtuGozGshjqqErhHGEmHnJw,Jack Ü,22,0:4:12,https://i.ytimg.com/vi/nntGTK2Fhb0/default.jpg,"[none]"
MzMCPZROrZc,Dua Lipa - ‘Levitating’ on SNL,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,10,0:3:43,https://i.ytimg.com/vi/MzMCPZROrZc/default.jpg,"[none]"
KIK3azN4w34,Justin Bieber - Anyone,UCHkj014U2CQ2Nv0UZeYpE_A,JustinBieberVEVO,10,0:4:24,https://i.ytimg.com/vi/KIK3azN4w34/default.jpg,"[none]"
YAA8vaDfCRk,Sia - Courage To Change (Lyric Video),UCN9HPn2fq-NL8M5_kp4RWZQ,Sia,10,0:2:58,https://i.ytimg.com/vi/YAA8vaDfCRk/default.jpg,"[none]"
QMpMfYvzd_M,The Weeknd Debuts WILD Plastic Surgery Look & Fans Are Shocked!,UCQjh-JVPNWfY-KsZS3RgRHw,Clevver News,24,0:3:52,https://i.ytimg.com/vi/QMpMfYvzd_M/default.jpg,"[none]"
YIpNFB2rFEY,Naruto - Sad Soundtracks,UCAGu23i35FUNKwwuRyJJ8hg,Anime Türkiye,24,0:34:9,https://i.ytimg.com/vi/YIpNFB2rFEY/default.jpg,"[none]"
R_Ug26fVIco,Top Hits 2021 🍺 Rihanna, Maroon 5, Ed Sheeran, Billie Eilish, Shawn Mendes, Post Malone,UC3QHc5wX1Dd75gwzt8yN-YQ,Music Trending,22,0:0:0,https://i.ytimg.com/vi/R_Ug26fVIco/default_live.jpg,"[none]"
