video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
LDV8VHbQoPI,"BEST UPCOMING MOVIES 2021 (Trailers)","UCWOSgEKGpS5C026lY4Y4KGw","FilmSpot Trailer",1,3796.0,https://i.ytimg.com/vi/LDV8VHbQoPI/default.jpg,"[none]"
aTPwbVqU6lc,"◄ FICTIONAL STARSHIPS Size COMPARISON ► 3D 🛸","UCQwFuQLnLocj5F7ZcmcuWYQ","MetaBallStudios",1,756.0,https://i.ytimg.com/vi/aTPwbVqU6lc/default.jpg,"[none]"
QL4peQt_glA,"Biggest Star Wars Collection! May the 4th be with you - Guinness World Records","UCeSRjhfeeqIgr--AcP9qhyg","Guinness World Records",24,1029.0,https://i.ytimg.com/vi/QL4peQt_glA/default.jpg,"[none]"
cOmfTj6b1Vk,"Starkiller Meets Yoda on Dagobah","UC5n0AJiFQiweo42bgdQl6xQ","Star Wars Expanded",24,223.0,https://i.ytimg.com/vi/cOmfTj6b1Vk/default.jpg,"[none]"
D0-JbxX209g,"2020's Biggest Breakthroughs in Physics","UCTpmmkp1E4nmZqWPS-dl5bg","Quanta Magazine",28,542.0,https://i.ytimg.com/vi/D0-JbxX209g/default.jpg,"[none]"
ANCAyz_U_oo,"Bjorn Goes Into Battle One Last Time | Vikings | Prime Video","UCwSIJCMWZC5GDM59wj7pMsg","Amazon Prime Video UK",24,366.0,https://i.ytimg.com/vi/ANCAyz_U_oo/default.jpg,"[none]"
e9Qp360QDb0,"Ewan McGregor Chooses Obi-Wan's Lightsaber and Ray Park Trains","UC8CbFnDTYkiVweaz8y9wd_Q","Star Wars Theory",24,189.0,https://i.ytimg.com/vi/e9Qp360QDb0/default.jpg,"[none]"
Dqe7Iw2MiZ8,"HOVERBOARD TEST! (PART 2/2)","UCjgpFI5dU-D1-kh9H1muoxQ","Hacksmith Industries",28,843.0,https://i.ytimg.com/vi/Dqe7Iw2MiZ8/default.jpg,"[none]"
aSvh0FfcMSI,"Obi-Wan's Message (Revenge of the Sith / Star Wars Rebels)","UCe0grqL6vdvkNnWwDU4UMcg","Cheerios4u98",10,133.0,https://i.ytimg.com/vi/aSvh0FfcMSI/default.jpg,"[none]"
PB7zAtRLfxs,"Inside Avengers Star Karen Gillan's Home For A Perfect Night In | British Vogue","UCZ8TREbPfawhSvayVe5pqKg","British Vogue",24,376.0,https://i.ytimg.com/vi/PB7zAtRLfxs/default.jpg,"[none]"
T_JYMmlHU_0,"15 Biggest Star Wars Ships | Explained","UCHhnmFaQSJlOgpjGvX_wOVw","MindQ",24,779.0,https://i.ytimg.com/vi/T_JYMmlHU_0/default.jpg,"[none]"
CExDoCnnUqE,"Order 66 Extended CINEMATIC 4K - Star Wars Jedi Fallen Order","UCA1oEnRYKBmFDAcoKso2pAA","Cinematic Captures",20,522.0,https://i.ytimg.com/vi/CExDoCnnUqE/default.jpg,"[none]"
W_AZBr2H5ZI,"CHERRY Official Trailer Teaser (2021) Tom Holland, Russo Brothers Movie HD","UCzcRQ3vRNr6fJ1A9rqFn7QA","ONE Media",1,89.0,https://i.ytimg.com/vi/W_AZBr2H5ZI/default.jpg,"[none]"
lDKoIEOWJiI,"Edna Mode & Jack-Jack | INCREDIBLES 2 ALL Official Promos (2018) Disney Pixar SuperHero Animation HD","UCekLikuCSxA_gB7MW4trIlQ","AniBox Trailer Access",24,604.0,https://i.ytimg.com/vi/lDKoIEOWJiI/default.jpg,"[none]"
ZRUPHm9x4iU,"The Phantom Menace Original Trailer | Crowd Reaction [SWCC 2019]","UCA1oEnRYKBmFDAcoKso2pAA","Cinematic Captures",1,126.0,https://i.ytimg.com/vi/ZRUPHm9x4iU/default.jpg,"[none]"
8PbhGt8XxSM,"Ruination | Season 2021 Cinematic - League of Legends","UC2t5bjwHdUX4vM2g8TRDq5g","League of Legends",20,277.0,https://i.ytimg.com/vi/8PbhGt8XxSM/default.jpg,"[none]"
YMRqvKNfLhY,"How Palpatine Became a Sith and His Childhood [FULL STORY] - Star Wars Explained","UCdIt7cmllmxBK1-rQdu87Gg","The Stupendous Wave",24,601.0,https://i.ytimg.com/vi/YMRqvKNfLhY/default.jpg,"[none]"
fTT9zghIn3w,"Star Wars Jedi Fallen Order - AT-AT Gameplay (PS4 Pro)","UCfVhjM2_XVvO5eGbOK-MO0A","Zanar Aesthetics",20,691.0,https://i.ytimg.com/vi/fTT9zghIn3w/default.jpg,"[none]"
085bnHmDEbA,"SpaceX Starship SN9 Launch – Heat Shield Trouble – NASA Perseverance Landing","UC1XvxnHFtWruS9egyFasP1Q","What about it!?",28,945.0,https://i.ytimg.com/vi/085bnHmDEbA/default.jpg,"[none]"
CC8THtokVdg,"Mark Hamill's Joker does Heath Ledger's Joker","UCltiUxS9CGBmjY4G6m8iZxg","Zeldas Champion",24,127.0,https://i.ytimg.com/vi/CC8THtokVdg/default.jpg,"[none]"
wtpUBG1HUM0,"How Star Wars: The Mandalorian Should Have Ended (Season One)","UCHCph-_jLba_9atyCZJPLQQ","How It Should Have Ended",1,428.0,https://i.ytimg.com/vi/wtpUBG1HUM0/default.jpg,"[none]"
gSW-pARyP-M,"Sizzle Reel | Andor | Disney+","UCZGYJFUizSax-yElQaFDp5Q","Star Wars",24,114.0,https://i.ytimg.com/vi/gSW-pARyP-M/default.jpg,"[none]"
1clTuX5aF5g,"Emily Blunt and John Krasinski are HILARIOUS and ADORABLE","UCx_3gh9by5E1aK6jYag6R8w","Celeb Crush",22,411.0,https://i.ytimg.com/vi/1clTuX5aF5g/default.jpg,"[none]"
NsOpiED527c,"The Battle of Umbara VISUALISED - Why it was a lot Bigger than Clone Wars Fans Think [Battle Map]","UC8gT5G2ktLGoHlLm33EwOsA","Geetsly's",1,643.0,https://i.ytimg.com/vi/NsOpiED527c/default.jpg,"[none]"
wW0R4bAkdCU,"tom holland and mark ruffalo spoiling stuff for 12 minutes straight.","UC8KqHQJ1Jkk-0udrs30OQYw","supercutify.",1,727.0,https://i.ytimg.com/vi/wW0R4bAkdCU/default.jpg,"[none]"
5BBhNkywMJY,"Patton Oswalt's Star Wars Filibuster (Extended Cut) - Parks and Recreation","UC084FSD0cO4ZOS5SonULRCQ","Parks and Recreation",23,523.0,https://i.ytimg.com/vi/5BBhNkywMJY/default.jpg,"[none]"
R9si4t8hmH0,"We Finally Understand The Entire Darth Maul Story","UCP1iRaFlS5EYjJBryFV9JPw","Looper",24,704.0,https://i.ytimg.com/vi/R9si4t8hmH0/default.jpg,"[none]"
FI79_ppwn8M,"Why Moff Gideon Was SCARED and Recognized Luke Skywalker! - Star Wars Explained","UC00uG71I6iPyx15EX6i_GDA","Star Wars Comics",24,481.0,https://i.ytimg.com/vi/FI79_ppwn8M/default.jpg,"[none]"
b2zZFtq13c4,"Star Wars: The Rise of Skywalker Pitch Meeting","UC2iUwfYi_1FCGGqhOUNx-iA","Screen Rant",24,481.0,https://i.ytimg.com/vi/b2zZFtq13c4/default.jpg,"[none]"
yQP2SQB7Ndg,"Undercover Boss - Bailey's Story","UCBAvOZKv9QBMEiyJjiZtshQ","Dippin' Dots",22,918.0,https://i.ytimg.com/vi/yQP2SQB7Ndg/default.jpg,"[none]"
n7wnsOfv4r8,"STAR WARS Darth Vader Adopts Jedi Child Scene Cinematic 4K ULTRA HD - Force Unleashed Series","UCj4lFy4F5PqXD7d41mCKVYw","GameClips",20,690.0,https://i.ytimg.com/vi/n7wnsOfv4r8/default.jpg,"[none]"
OLs6Oyc49fQ,"Triple Graphics Card Laptop? Yes.","UCXuqSBlHAE6Xw-yeJA0Tunw","Linus Tech Tips",28,647.0,https://i.ytimg.com/vi/OLs6Oyc49fQ/default.jpg,"[none]"
wqh2npF2xuA,"Obi-Wan And Satine Totally Not Being In Love For 8:37","UC9aGzaKz9newS3PFzb2eK1w","Star Toons",24,517.0,https://i.ytimg.com/vi/wqh2npF2xuA/default.jpg,"[none]"
N23zyDo3y78,"Star Wars Battlefront 2 Just Got The Content We All Wanted! ... Sort of","UCOOJ9yJ9l7SpBB7VxcmdBgg","TheOzzyJedi",20,682.0,https://i.ytimg.com/vi/N23zyDo3y78/default.jpg,"[none]"
v--Aj3lUN0g,"And here we go... Star Wars: The High Republic #1 from Marvel Comics  (Canon Fodder Review)","UCo1bmdhnhLKvLAQWXSn92Wg","Thor Skywalker",24,557.0,https://i.ytimg.com/vi/v--Aj3lUN0g/default.jpg,"[none]"
7pRPyY2566w,"STAR WARS BATTLEFRONT Full Live Action Movie 4K ULTRA HD","UCj4lFy4F5PqXD7d41mCKVYw","GameClips",20,222.0,https://i.ytimg.com/vi/7pRPyY2566w/default.jpg,"[none]"
SADJcEXGb50,"Dave Filoni Just Changed The Prequels For Me - WATCH THIS","UC8CbFnDTYkiVweaz8y9wd_Q","Star Wars Theory",24,1968.0,https://i.ytimg.com/vi/SADJcEXGb50/default.jpg,"[none]"
tEw_ht3R1oQ,"Clone Wars Connecting with Revenge of the Sith","UCuHCl7RV_bIqNxBcCjKBf4A","HypnotiZe",20,366.0,https://i.ytimg.com/vi/tEw_ht3R1oQ/default.jpg,"[none]"
B0YByEhYwuw,"Star Wars Is Changing ORDER 66 With This NEW DETAIL! - Star Wars Explained","UC00uG71I6iPyx15EX6i_GDA","Star Wars Comics",24,570.0,https://i.ytimg.com/vi/B0YByEhYwuw/default.jpg,"[none]"
f-NtWZ9EPq8,"LEGO Star Wars 75288 AT-AT Review! (2020)","UCLnr9MzQ_v_a_OPmJkye5lA","MandRproductions",24,1243.0,https://i.ytimg.com/vi/f-NtWZ9EPq8/default.jpg,"[none]"
5Fg9oZk-5uA,"I Bought Everything In 5 Stores","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast",24,854.0,https://i.ytimg.com/vi/5Fg9oZk-5uA/default.jpg,"[none]"
KklmKKMCkn4,"What Darth Vader did to Watto after Order 66(Canon) - Star Wars Comics Explained","UC00uG71I6iPyx15EX6i_GDA","Star Wars Comics",24,483.0,https://i.ytimg.com/vi/KklmKKMCkn4/default.jpg,"[none]"
vLAXzF_YYD4,"After STAR WARS High Republic, the Favreau faction strikes back with Kevin Feige!","UCvrd6VtgWF7CwaZH1S0N-Qg","Midnight's Edge",24,784.0,https://i.ytimg.com/vi/vLAXzF_YYD4/default.jpg,"[none]"
L4TDIDGaohU,"Mara Jade Skywalker: Luke's WIFE - Star Wars Explained","UC8CbFnDTYkiVweaz8y9wd_Q","Star Wars Theory",24,863.0,https://i.ytimg.com/vi/L4TDIDGaohU/default.jpg,"[none]"
dTVLQq-mqh4,"The Mandalorian may have saved Star Wars, but Kathleen Kennedy deserves no credit for it!","UCvrd6VtgWF7CwaZH1S0N-Qg","Midnight's Edge",24,832.0,https://i.ytimg.com/vi/dTVLQq-mqh4/default.jpg,"[none]"
9rv3oecyASs,"*VERY RARE* Luke Skywalker Master Replicas Lightsaber Unboxing","UC8CbFnDTYkiVweaz8y9wd_Q","Star Wars Theory",24,966.0,https://i.ytimg.com/vi/9rv3oecyASs/default.jpg,"[none]"
5a9pmprRtYc,"Marvel Wandavision Episode 1 Scene 2021 X-Men and Doctor Strange 2 Trailer Easter Eggs","UCDiFRMQWpcp8_KD4vwIVicw","Emergency Awesome",24,640.0,https://i.ytimg.com/vi/5a9pmprRtYc/default.jpg,"[none]"
5R0inf_CSuo,"WANDAVISION TRAILER BREAKDOWN! Major New Clues from Every Teaser!","UC7yRILFFJ2QZCykymr8LPwA","New Rockstars",24,709.0,https://i.ytimg.com/vi/5R0inf_CSuo/default.jpg,"[none]"
MsfInTZPego,"Reacting to KENOBI  a Star Wars Fan Film","UC8CbFnDTYkiVweaz8y9wd_Q","Star Wars Theory",24,1507.0,https://i.ytimg.com/vi/MsfInTZPego/default.jpg,"[none]"
omDEUSivZEo,"DIY Boba Fett Re-Armored Helmet(The Mandalorian S2)","UC4cC7guQtAi74jhrnoUcvTw","ReProps",26,158.0,https://i.ytimg.com/vi/omDEUSivZEo/default.jpg,"[none]"
Ga73tk6yivY,"Why Did BO-KATAN Take the Darksaber from Sabine But NOT MANDO? - Mandalorian Season 2 Episode 8","UCVByf1dCwKqMznMtzb6_KCw","StarForceOne",24,486.0,https://i.ytimg.com/vi/Ga73tk6yivY/default.jpg,"[none]"
83n4pLUhTmk,"Star Wars Music & Ambience | Naboo, Peaceful Scene of the Theed Royal Palace","UCfR8HhkbpDAwvYxrecNg4Mg","Ambient Worlds",1,10801.0,https://i.ytimg.com/vi/83n4pLUhTmk/default.jpg,"[none]"
D9u7_AXhUJQ,"Tensions Rise in the House During Post-Riot Debate","UCn4sPeUomNGIr26bElVdDYg","NowThis News",25,375.0,https://i.ytimg.com/vi/D9u7_AXhUJQ/default.jpg,"[none]"
v2BTLCt6xOI,"Dagobah, Yoda's Hut | Star Wars Music & Ambience - Rainy Night in Marshlands with a Relaxing Fire","UCfR8HhkbpDAwvYxrecNg4Mg","Ambient Worlds",10,7201.0,https://i.ytimg.com/vi/v2BTLCt6xOI/default.jpg,"[none]"
-KGWbSBNkZU,"Kurt Russell on Chris Pratt - He's an enormous ass.","UCj_lK5GBHEj2BKnzMBDT4Yg","Derek Wright",22,217.0,https://i.ytimg.com/vi/-KGWbSBNkZU/default.jpg,"[none]"
AGxFVi3njD0,"The Rescue of STAR WARS and dismantling of Kathleen Kennedy’s Legacy","UCvrd6VtgWF7CwaZH1S0N-Qg","Midnight's Edge",24,852.0,https://i.ytimg.com/vi/AGxFVi3njD0/default.jpg,"[none]"
XVWSLh0BYSE,"The event that kicks off the story of the High Republic Era is similar to the Holdo Maneuver","UCo1bmdhnhLKvLAQWXSn92Wg","Thor Skywalker",24,481.0,https://i.ytimg.com/vi/XVWSLh0BYSE/default.jpg,"[none]"
ixXeFzFWeWo,"Lego 75299 Star Wars Mandalorian Trouble on Tatooine Review!! Watch Here!! RR11","UCSdgcuNDsXVfMUChxasB_8g","The CC and RR Show",24,545.0,https://i.ytimg.com/vi/ixXeFzFWeWo/default.jpg,"[none]"
6meNoWrXeng,"Film Theory: How Wonder Woman DOOMED Humanity! (Wonder Woman 1984)","UC3sznuotAs2ohg_U__Jzj_Q","The Film Theorists",1,935.0,https://i.ytimg.com/vi/6meNoWrXeng/default.jpg,"[none]"
3IAa1l54IAc,"Light of the Jedi is One of My Favorite Star Wars Books","UCIKlsX1qfGqKPt4KAW-JOZg","Star Wars Explained",24,534.0,https://i.ytimg.com/vi/3IAa1l54IAc/default.jpg,"[none]"
rqIN8pcvO2w,"I already have one Y-Wing... let's build another! // LEGO Star Wars Y-Wing Live Stream Build (8037)","UCF067gO0IWb6y4tyzAeK4Nw","Emmasaurus",22,0.0,https://i.ytimg.com/vi/rqIN8pcvO2w/default_live.jpg,"[none]"
xFLxH8yETFU,"Star Wars: The High Republic - Info & Thoughts // STAR WARS PROJECT LUMINOUS NEWS","UCRTQL0CmZjHlvPy5nLZ1Gfg","HelloGreedo",1,385.0,https://i.ytimg.com/vi/xFLxH8yETFU/default.jpg,"[none]"
i04NKLPrYII,"Battlefront 2 - Ranking ALL 22 HEROES & VILLAINS from WORST to BEST (FINAL RANK)","UC0PusNwH9ZIlhsWoVhWLBOQ","Battlefront Knight",20,1702.0,https://i.ytimg.com/vi/i04NKLPrYII/default.jpg,"[none]"
--LqIRls-Cc,"I Read the First Three High Republic Books and They're Great!","UCIKlsX1qfGqKPt4KAW-JOZg","Star Wars Explained",24,426.0,https://i.ytimg.com/vi/--LqIRls-Cc/default.jpg,"[none]"
uILPgvzj708,"Star Wars: The High Republic | Live Stream Launch Event","UCZGYJFUizSax-yElQaFDp5Q","Star Wars",24,3178.0,https://i.ytimg.com/vi/uILPgvzj708/default.jpg,"[none]"
PU0W26k_ZDI,"A LOVE TO REMEMBER Trailer (2021) Romance Movie","UCwYzZs_hwA6NdaQp6Hjhe5w","Movie Coverage",1,185.0,https://i.ytimg.com/vi/PU0W26k_ZDI/default.jpg,"[none]"
94shw1k0VbQ,"George Lucas Just Destroyed The High Republic! (Star Wars Explained)","UCoe5Yk15NUniu1xEJ-ylOvQ","MIKE ZEROH",24,379.0,https://i.ytimg.com/vi/94shw1k0VbQ/default.jpg,"[none]"
788ul2iwLwk,"The DIY Spirit of Filmmaker Eduardo Sanchez | Our Star Wars Stories","UCZGYJFUizSax-yElQaFDp5Q","Star Wars",24,492.0,https://i.ytimg.com/vi/788ul2iwLwk/default.jpg,"[none]"
7POBNVb6gKY,"NIO STOCK PRICE DROPPING EXPLAINED With MY NEXT STOCK PURCHASE Big Opportunity","UCoMzWLaPjDJBbipihD694pQ","Stock Moe",27,975.0,https://i.ytimg.com/vi/7POBNVb6gKY/default.jpg,"[none]"
28KUke357K8,"Die grausamen NIHIL erklärt - THE HIGH REPUBLIC / STAR WARS Story / The Light of the Jedi Deutsch","UCtyvIjqiF4eKAwIr_hdVuVQ","Star Wars Buddy - Videos & Kurzfilme",1,558.0,https://i.ytimg.com/vi/28KUke357K8/default.jpg,"[none]"
IBlRFuMjvZE,"My Easiest Cake Recipe (Family Favorite) | Claire Saffitz | Dessert Person","UCvw6Y1kr_8bp6B5m1dqNyiw","Claire Saffitz x Dessert Person",26,777.0,https://i.ytimg.com/vi/IBlRFuMjvZE/default.jpg,"[none]"
P1hDqCBy5R4,"MAJOR  STIMULUS CHECK UPDATE! $2,000 Stimulus Checks IMMEDIATELY!  $2,000 MONTHLY Stimulus checks??","UCHCPwto3aX54goGCz02GldA","Late Night Grind",25,246.0,https://i.ytimg.com/vi/P1hDqCBy5R4/default.jpg,"[none]"
BJEE8NbV1g0,"Sapnap Asks Dream To Do FACE REVEAL Live On Karl's Stream","UCjtgU11pDCYerXkHOHHkyEA","Fardin Dhrubo",20,12.0,https://i.ytimg.com/vi/BJEE8NbV1g0/default.jpg,"[none]"
Vq9uXbouHEo,"Ryzen Mobile 5000: AMD Claims Fastest CPUs Across the Board, Big Gains from Zen 3","UCI8iQa1hv7oV_Z8D35vVuSg","Hardware Unboxed",28,913.0,https://i.ytimg.com/vi/Vq9uXbouHEo/default.jpg,"[none]"
YgSCXR5Flag,"Kathleen Kennedy RETURNS - Star Wars : The High Republic Is Peak SJW Cringe","UCMvVQIAfsGwzrfPLxiaIG8g","Geeks + Gamers",24,342.0,https://i.ytimg.com/vi/YgSCXR5Flag/default.jpg,"[none]"
9kE7bX7brGI,"Top 6 Games of 2020","UC5UYMeKfZbFYnLHzoTJB1xA","Schaffrillas Productions",24,925.0,https://i.ytimg.com/vi/9kE7bX7brGI/default.jpg,"[none]"
ZoZ-yjI_-dw,"Is This True? Mace Windu Actually did Save Grogu?","UC8CbFnDTYkiVweaz8y9wd_Q","Star Wars Theory",24,9835.0,https://i.ytimg.com/vi/ZoZ-yjI_-dw/default.jpg,"[none]"
triWQOMMghQ,"The Mandalorian: IS GROGU EVIL? Moral Alignment Breakdown! | Big Question","UC7yRILFFJ2QZCykymr8LPwA","New Rockstars",24,2970.0,https://i.ytimg.com/vi/triWQOMMghQ/default.jpg,"[none]"
ksK5bpFZjqc,"Things Only Adults Notice In Soul","UCP1iRaFlS5EYjJBryFV9JPw","Looper",24,589.0,https://i.ytimg.com/vi/ksK5bpFZjqc/default.jpg,"[none]"
cITdfDVSKbQ,"New Lego Star Wars needs to AVOID THIS","UCSPZGQNwMhWbLfaHL6VVLwQ","Bombastic",20,741.0,https://i.ytimg.com/vi/cITdfDVSKbQ/default.jpg,"[none]"
_9xRyQcxfBw,"Jon Favreau Responds To Kathleen Kennedy! Be Prepared (Star Wars Explained)","UCoe5Yk15NUniu1xEJ-ylOvQ","MIKE ZEROH",24,385.0,https://i.ytimg.com/vi/_9xRyQcxfBw/default.jpg,"[none]"
GErIPKjwuDg,"Oh no! The Rise of Skywalker was real bad :(","UC7-E5xhZBZdW-8d7V80mzfg","Jenny Nicholson",1,3887.0,https://i.ytimg.com/vi/GErIPKjwuDg/default.jpg,"[none]"
dNmNLLTvFz8,"Star Wars: Myths and Fables | The Star Wars Show Book Club","UCZGYJFUizSax-yElQaFDp5Q","Star Wars",24,990.0,https://i.ytimg.com/vi/dNmNLLTvFz8/default.jpg,"[none]"
fILobJobpGQ,"ELV #2 | Family, Office Renovation & New Fashion Collection | Whitney Port","UCFCoIAAiD3nOELLGgpWzWeQ","Whitney Port",26,669.0,https://i.ytimg.com/vi/fILobJobpGQ/default.jpg,"[none]"
