video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
4evV8Fr5A8U,"Black Clover - Opening 10 (HD)","UCf2L21tpe1P-Y4QjOXkCIvQ","Crunchyroll FR",24,106.0,https://i.ytimg.com/vi/4evV8Fr5A8U/default.jpg,"[none]"
g8dmQs2Fzns,"Black Clover - Opening 13 Full 『Grandeur』By Snow Man","UCo0l-goGey-PBgM-_Zh_xNw","Tatsuya - kun",10,204.0,https://i.ytimg.com/vi/g8dmQs2Fzns/default.jpg,"[none]"
A4O8JWPPOjM,"Asta vs Spade Kingdom's Forces | The Dark Triad Meeting - Black Clover","UCoqgY-LFsIeJ6vzIWWRz2aQ","Sagar Senpai",1,334.0,https://i.ytimg.com/vi/A4O8JWPPOjM/default.jpg,"[none]"
v8bZVdTgXoY,"TVアニメ『呪術廻戦』ノンクレジットOPムービー／OPテーマ：Eve「廻廻奇譚」","UC14Yc2Qv92DMuyNRlHvpo2Q","TOHO animation チャンネル",1,91.0,https://i.ytimg.com/vi/v8bZVdTgXoY/default.jpg,"[none]"
zcP-TVmenvA,"Black Clover Opening 13 Reaction Mashup!","UCn2cUyX9WQglr6TA0Mr_N-Q","Kamal Lsdar",1,90.0,https://i.ytimg.com/vi/zcP-TVmenvA/default.jpg,"[none]"
z17rrRyMxEc,"Black Clover Openings 1-13 (HD)","UCf2L21tpe1P-Y4QjOXkCIvQ","Crunchyroll FR",24,1186.0,https://i.ytimg.com/vi/z17rrRyMxEc/default.jpg,"[none]"
j4dpZx-CbKQ,"Beastars Season 2 - Opening Full『Kaibutsu』by YOASOBI","UCl2qXNHvpjHldVFM-_ENM9Q","AniMelody – Anime Music",10,220.0,https://i.ytimg.com/vi/j4dpZx-CbKQ/default.jpg,"[none]"
uKSxRGggzkU,"SING - I'm still standing - Johnny (Taron Egerton) [Lyrics]","UCaOQG9rtJycgQvZBUaSxmgw","Sergej Galejev",1,158.0,https://i.ytimg.com/vi/uKSxRGggzkU/default.jpg,"[none]"
wtUZlNGE7kk,"Anime Characters Size Comparison - 2020 Edition","UCyczMptT01hUHGhUu727A2Q","Shinigami Tales",1,644.0,https://i.ytimg.com/vi/wtUZlNGE7kk/default.jpg,"[none]"
HpzcupL6zOo,"ESCANOR VS MELIODAS (FULL FIGHT) - NETFLIX vs TOKYOTV","UCJYCJ_V5Qvkq4jFIEaYN-Eg","Detrim",24,479.0,https://i.ytimg.com/vi/HpzcupL6zOo/default.jpg,"[none]"
OkNvl3fNf5A,"Black Clover Opening 7 Full『Seiko Oomori - JUSTadICE』","UC22lbRS_QoB92Gy4DAIJ-tw","Melodic Star",10,271.0,https://i.ytimg.com/vi/OkNvl3fNf5A/default.jpg,"[none]"
RHMNlE9fbec,"Top 10 BADASS Power Awakening Moments in Anime [HD]","UCHSgLWyRrkRppwvogN27mEQ","AniTube",22,660.0,https://i.ytimg.com/vi/RHMNlE9fbec/default.jpg,"[none]"
