video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
CCbQ-DVQUyo,"Ninja is the funniest minecraft player ever","UC5p_l5ZeB_wGjO_yDXwiqvw","TommyInnit",20,1874.0,https://i.ytimg.com/vi/CCbQ-DVQUyo/default.jpg,"[none]"
sbl2LIDHIYI,"Quackity Plays GTA 5 With BadBoyHalo For The First Time","UC6LtnuSPr4wNnevwJv96lFQ","QuackityVODS",20,5464.0,https://i.ytimg.com/vi/sbl2LIDHIYI/default.jpg,"[none]"
aSnDc8XLvnE,"DISCORD ROLEPLAY COMPETITION (ft. jschlatt & Slimecicle)","UC_8NknAFiyhOUaZqHR3lq3Q","Quackity",24,1715.0,https://i.ytimg.com/vi/aSnDc8XLvnE/default.jpg,"[none]"
-neKdpELpRw,"minecraft largest modpack ONE BLOCK WAR (chaos)","UC-XTuGOHIF7vWvbhJZ56wbw","Socksfor2",20,645.0,https://i.ytimg.com/vi/-neKdpELpRw/default.jpg,"[none]"
Blc_hqLBFjo,"How NOT to Play Minecraft!!!","UCvInsdoSCTRGQNuXe7kMjhQ","Gamers React",22,490.0,https://i.ytimg.com/vi/Blc_hqLBFjo/default.jpg,"[none]"
XW_jRyyU1RA,"I Actually Didn't Laugh","UCGmnsW623G1r-Chmo5RB4Yw","JJ Olatunji",24,751.0,https://i.ytimg.com/vi/XW_jRyyU1RA/default.jpg,"[none]"
5Fg9oZk-5uA,"I Bought Everything In 5 Stores","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast",24,854.0,https://i.ytimg.com/vi/5Fg9oZk-5uA/default.jpg,"[none]"
S65XX1dLseo,"I RAN FOR ROBLOX PRESIDENT","UC_8NknAFiyhOUaZqHR3lq3Q","Quackity",24,712.0,https://i.ytimg.com/vi/S65XX1dLseo/default.jpg,"[none]"
XEx4GlFhg_Q,"10 Crazy Expensive Gifts Bought By Billionaires","UCjRkTl_HP4zOh3UFaThgRZw","SidemenReacts",24,872.0,https://i.ytimg.com/vi/XEx4GlFhg_Q/default.jpg,"[none]"
eoyAz4Vsl6I,"Ghostbur helps Tommy hide from Dream (Dream SMP)","UCuHvPh--yc9YTVXDZOCuAUg","Purrpawz",20,575.0,https://i.ytimg.com/vi/eoyAz4Vsl6I/default.jpg,"[none]"
jvVbaLINHk0,"Dawn of 16th | Dream SMP Animation","UCv3Kk__aFcKKx_o2686uQcw","SAD-ist",20,219.0,https://i.ytimg.com/vi/jvVbaLINHk0/default.jpg,"[none]"
s_jQZshhyfw,"I WENT ON A DATING SHOW (Love Or Host)","UC_8NknAFiyhOUaZqHR3lq3Q","Quackity",24,1362.0,https://i.ytimg.com/vi/s_jQZshhyfw/default.jpg,"[none]"
zubWwgYETHs,"I Troll BadBoyHalo in Bedwars","UCzMjRlKVO9XIqH_crIFpi6w","Skeppy",20,862.0,https://i.ytimg.com/vi/zubWwgYETHs/default.jpg,"[none]"
DOPPH285mmM,"FNAF Help Wanted but 18,000 viewers ruin it","UCFbZ2e9IrPejOdp8wsKUxvA","QuackiTwo",20,602.0,https://i.ytimg.com/vi/DOPPH285mmM/default.jpg,"[none]"
_2aSepnvsnk,"Types of People Portrayed by Minecraft #2","UCvInsdoSCTRGQNuXe7kMjhQ","Gamers React",22,488.0,https://i.ytimg.com/vi/_2aSepnvsnk/default.jpg,"[none]"
RtxsJVebOqI,"Testing VIRAL TikTok Gadgets! **SHOCKING RESULTS**","UCilwZiBBfI9X6yiZRzWty8Q","FaZe Rug",24,1059.0,https://i.ytimg.com/vi/RtxsJVebOqI/default.jpg,"[none]"
wtEEJUh5cGM,"The New Funniest Minecraft Mod Ever","UC5p_l5ZeB_wGjO_yDXwiqvw","TommyInnit",20,1054.0,https://i.ytimg.com/vi/wtEEJUh5cGM/default.jpg,"[none]"
Eiz5-hPlusg,"among us but the IMPOSTOR HAS A ROCKET LAUNCHER (mods)","UCsEgeyBfOnGGBpjIvkDJbWg","Socksfor1",20,664.0,https://i.ytimg.com/vi/Eiz5-hPlusg/default.jpg,"[none]"
iT2Dbg1qYQg,"Donating $10,000 For Streamers To Shave Their Heads","UCvxfEIG3PHpgM0TMJJ_SH-w","FaZe Jarvis",20,869.0,https://i.ytimg.com/vi/iT2Dbg1qYQg/default.jpg,"[none]"
N-xEXWULRbo,"Wilbur Soot REACTS To Game Theory: The Dark Future of the Dream SMP (Minecraft)","UCV3svICcoVwnWCc4YDuI_vw","Flarey",20,1087.0,https://i.ytimg.com/vi/N-xEXWULRbo/default.jpg,"[none]"
U8pwvsH9Ub8,"Quackity makes BadBoyHalo Curse","UCFbZ2e9IrPejOdp8wsKUxvA","QuackiTwo",20,839.0,https://i.ytimg.com/vi/U8pwvsH9Ub8/default.jpg,"[none]"
VP1YbKH8ao4,"I Gambled Against Dream Again...","UCPDTrtVU72FgD6QHVY2d04Q","Not GeorgeNotFound",20,896.0,https://i.ytimg.com/vi/VP1YbKH8ao4/default.jpg,"[none]"
V5PAcVeLbv4,"Minecraft UHC but the ores are OP Netherite Loot Chests...","UCZenRGLPfB_IwmDnYlIx6Qg","Kiingtong",20,926.0,https://i.ytimg.com/vi/V5PAcVeLbv4/default.jpg,"[none]"
ym2idG7Vw6c,"Among Us, But Dream And George Are 1000 IQ Imposters","UCPDTrtVU72FgD6QHVY2d04Q","Not GeorgeNotFound",20,688.0,https://i.ytimg.com/vi/ym2idG7Vw6c/default.jpg,"[none]"
bNUSb_BsXlo,"I Hacked in Minecraft VR...","UC5p_l5ZeB_wGjO_yDXwiqvw","TommyInnit",20,805.0,https://i.ytimg.com/vi/bNUSb_BsXlo/default.jpg,"[none]"
Rnv9GlgapS4,"I Scammed His Minecraft Discs...","UCPDTrtVU72FgD6QHVY2d04Q","Not GeorgeNotFound",20,686.0,https://i.ytimg.com/vi/Rnv9GlgapS4/default.jpg,"[none]"
xDX-rFibnu8,"Watching my old videos.","UCgAyQyy6x3L-tmM1GICelGA","TommyOutit",20,556.0,https://i.ytimg.com/vi/xDX-rFibnu8/default.jpg,"[none]"
mjvJdo5AvxU,"The Worst Jackbox Stream Ever","UCFbZ2e9IrPejOdp8wsKUxvA","QuackiTwo",20,726.0,https://i.ytimg.com/vi/mjvJdo5AvxU/default.jpg,"[none]"
Dqe7Iw2MiZ8,"HOVERBOARD TEST! (PART 2/2)","UCjgpFI5dU-D1-kh9H1muoxQ","Hacksmith Industries",28,843.0,https://i.ytimg.com/vi/Dqe7Iw2MiZ8/default.jpg,"[none]"
T_YB-WJxBRI,"Minecraft, But If I Die My Friends LOSE (Doctor Edition)","UCQaNjJ7Iwx-l91F5_gBJhiQ","McBirken",20,1249.0,https://i.ytimg.com/vi/T_YB-WJxBRI/default.jpg,"[none]"
G9teI2MpI00,"I Went UNDERCOVER in an OG ONLY Tournament! (Fortnite)","UCqVCSWnuOSPm26orvNDTuWQ","TG Plays",20,920.0,https://i.ytimg.com/vi/G9teI2MpI00/default.jpg,"[none]"
l-3BZazRQ1o,"How many Bedwars games can I win in a row?","UC9Q3suSdhaOYiGgN3L9BJwg","Purpled",20,1253.0,https://i.ytimg.com/vi/l-3BZazRQ1o/default.jpg,"[none]"
g5fVRlwtclk,"among us NEW TROLL ROLE (mods)","UCsEgeyBfOnGGBpjIvkDJbWg","Socksfor1",20,741.0,https://i.ytimg.com/vi/g5fVRlwtclk/default.jpg,"[none]"
zY3mP7UFYkE,"Dream Was Doxxed...","UCOyX3_7wjAcXyF4Ge3Ci7VA","Jadyn",24,623.0,https://i.ytimg.com/vi/zY3mP7UFYkE/default.jpg,"[none]"
MG0Ctf7QQ9o,"Hardest You Laugh You Lose Yet (ULTIMATE YLYL)","UC1n_PfsVqxllCcnMPlxBIjw","Wilbur Soot",20,1119.0,https://i.ytimg.com/vi/MG0Ctf7QQ9o/default.jpg,"[none]"
bj0yxqaMWHs,"GeorgeNotFound and Quackity play Roblox (FULL STREAM)","UCDw8Yzau7qY7FcxrrVkHLTw","Dream's Mom",20,1352.0,https://i.ytimg.com/vi/bj0yxqaMWHs/default.jpg,"[none]"
MtvZbvUw918,"BEST OF 2020!! VLOG SQUAD REWIND","UCqGKxwmHiGekpHu0yfhE1-w","REWIND",22,3865.0,https://i.ytimg.com/vi/MtvZbvUw918/default.jpg,"[none]"
6Xp15pfxyiw,"Dream and Sapnap are LIVING TOGETHER NOW!!","UCnKjTuskQD_TceV1PTqo6XA","Dream Team Streams",20,584.0,https://i.ytimg.com/vi/6Xp15pfxyiw/default.jpg,"[none]"
F6AYgfk_dIE,"TIK TOK FORNITE COMPILATION 32 ✅ BEST FORTNITE MONTAGE + FUNNY MOMENTS + MEMES","UCvd3pGoh-lkxvMb2BTilCag","Fortnite Memes",20,510.0,https://i.ytimg.com/vi/F6AYgfk_dIE/default.jpg,"[none]"
N0HuPEvqoZc,"The Funniest Among Us Video Ever","UC5p_l5ZeB_wGjO_yDXwiqvw","TommyInnit",20,976.0,https://i.ytimg.com/vi/N0HuPEvqoZc/default.jpg,"[none]"
