video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
nrEWtAod2WE,"DeVonta Smith's National Championship Game highlights: 215 yards, 3 TDs — all in first half | ESPN","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,362.0,https://i.ytimg.com/vi/nrEWtAod2WE/default.jpg,"[none]"
A7g9v0BSsvA,"2017 NFC Divisional Round FULL Game: New Orleans Saints vs. Minnesota Vikings","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,8782.0,https://i.ytimg.com/vi/A7g9v0BSsvA/default.jpg,"[none]"
ew4aFmtRViY,"DeVonta Smith wins the Heisman Trophy | College Football on ESPN","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,412.0,https://i.ytimg.com/vi/ew4aFmtRViY/default.jpg,"[none]"
2nC9z57MuaI,"LeBron James' high school team upsets No. 1 Oak Hill Academy (2002) | ESPN Archive","UCOHkdM3tnl-50d_rdt6H5dQ","ESPN Archive",17,1247.0,https://i.ytimg.com/vi/2nC9z57MuaI/default.jpg,"[none]"
i83frFiOyHE,"What Happened to EVERY Heisman Winner Since 2000: Tebow, RGIII, Bush & More!","UCJdl3Paao2f3ha5JXMYUCIA","NFL Throwback",17,985.0,https://i.ytimg.com/vi/i83frFiOyHE/default.jpg,"[none]"
WdakQksuoBg,"Super Bowl XLV | Packers vs. Steelers | NFL Full Game","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,8882.0,https://i.ytimg.com/vi/WdakQksuoBg/default.jpg,"[none]"
cBlnAKYrhxM,"Top Plays of the 2020 Regular Season | NFL Highlights","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,1598.0,https://i.ytimg.com/vi/cBlnAKYrhxM/default.jpg,"[none]"
WrXfJJEu-Oc,"Buccaneers vs. Washington Football Team Super Wild Card Weekend Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,611.0,https://i.ytimg.com/vi/WrXfJJEu-Oc/default.jpg,"[none]"
BCsUKb5XGpw,"DeVonta Smith looks back at his biggest catches at Alabama | College GameDay","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football",17,199.0,https://i.ytimg.com/vi/BCsUKb5XGpw/default.jpg,"[none]"
zxoIRPgNMu8,"DeVonta Smith vs. Jaylen Waddle: Which Alabama WR is the better NFL prospect? | Get Up","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,232.0,https://i.ytimg.com/vi/zxoIRPgNMu8/default.jpg,"[none]"
Hlar7oGAIZI,"2016 NFC Divisional FULL Game: Green Bay Packers vs. Dallas Cowboys","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,8573.0,https://i.ytimg.com/vi/Hlar7oGAIZI/default.jpg,"[none]"
HNT6WElv9Yw,"Rams vs. Seahawks Super Wild Card Weekend Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,613.0,https://i.ytimg.com/vi/HNT6WElv9Yw/default.jpg,"[none]"
YwQEbT3hAr4,"Top Rookie Plays of the 2020 Regular Season | NFL Highlights","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,1017.0,https://i.ytimg.com/vi/YwQEbT3hAr4/default.jpg,"[none]"
JRYEF_y_t_U,"College Football Playoff National Championship Game Highlights: Alabama vs. Ohio State | ESPN","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football",17,609.0,https://i.ytimg.com/vi/JRYEF_y_t_U/default.jpg,"[none]"
zHpKu-LFD64,"Colts vs. Bills Super Wild Card Weekend Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,745.0,https://i.ytimg.com/vi/zHpKu-LFD64/default.jpg,"[none]"
sGL_NMv38hM,"SEC Championship Extended Highlights: #1 Alabama Crimson Tide vs #7 Florida Gators | CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,1703.0,https://i.ytimg.com/vi/sGL_NMv38hM/default.jpg,"[none]"
fypMVXzpvSY,"#3 Ohio State vs #1 Alabama: 2021 College Playoff National Championship Recap | CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,2114.0,https://i.ytimg.com/vi/fypMVXzpvSY/default.jpg,"[none]"
R_jJdhqD6Jw,"(Radio Call included) Alabama vs Ohio state 2020-2021 National Championship Highlights","UCwxmDKHvJhPvsOKsQIIA12g","izallgood37 _",22,1003.0,https://i.ytimg.com/vi/R_jJdhqD6Jw/default.jpg,"[none]"
JdAHz21pgSU,"Skip & Shannon on Alabama's dominant win over Ohio State in National Championship | CFB | UNDISPUTED","UCLXzq85ijg2LwJWFrz4pkmw","Skip and Shannon: UNDISPUTED",17,1410.0,https://i.ytimg.com/vi/JdAHz21pgSU/default.jpg,"[none]"
k8PuihJAUGc,"Rose Bowl Highlights: Notre Dame vs. Alabama | College Football Playoff on ESPN","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football",17,596.0,https://i.ytimg.com/vi/k8PuihJAUGc/default.jpg,"[none]"
nayC5nSm8Eo,"Allen Iverson Drops Career-High 60 PTS | #NBATogetherLive Classic Game","UCWJ2lWNubArHWmf3FIHbfcQ","NBA",17,6034.0,https://i.ytimg.com/vi/nayC5nSm8Eo/default.jpg,"[none]"
c9x1ksvCKD0,"Why Stephen A. says the Jets should draft WR DeVonta Smith with the No. 2 pick | First Take","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,415.0,https://i.ytimg.com/vi/c9x1ksvCKD0/default.jpg,"[none]"
gLYF2vgyJOM,"Tim Tebow explains why DeVonta Smith could have the edge over Mac Jones for the Heisman Trophy | SC","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,352.0,https://i.ytimg.com/vi/gLYF2vgyJOM/default.jpg,"[none]"
j7yWdTIFACw,"Does Alabama even need Jaylen Waddle to win the title? | Keyshawn, JWill & Zubin","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football",17,430.0,https://i.ytimg.com/vi/j7yWdTIFACw/default.jpg,"[none]"
Lb4A--ekXas,"Alabama's 2021 College Football Playoff National Championship Game trophy presentation | ESPN","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football",17,425.0,https://i.ytimg.com/vi/Lb4A--ekXas/default.jpg,"[none]"
OdpA9Oc4xZo,"Wake Forest vs. Clemson Full Game | 2019 ACC Football","UC0hy7TcR1gGD8nQBqrF2FaA","ACC Digital Network",17,6760.0,https://i.ytimg.com/vi/OdpA9Oc4xZo/default.jpg,"[none]"
HYniPyb7ho8,"UNDISPUTED | Shannon HOLY SH*T!!!  DeVonta Smith become first WR to win Heisman Trophy since 1991","UC__l1u-CxwLrnpQ6SMzYzVg","Thánh TNT",20,589.0,https://i.ytimg.com/vi/HYniPyb7ho8/default.jpg,"[none]"
sro919znJmY,"Devonta Smith Breaks Amari Cooper's Record Touchdown by Touchdown","UCwxmDKHvJhPvsOKsQIIA12g","izallgood37 _",22,1605.0,https://i.ytimg.com/vi/sro919znJmY/default.jpg,"[none]"
QY7ArP0ebaM,"#1 Alabama Crimson Tide vs. LSU Tigers: Extended Highlights| CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,1421.0,https://i.ytimg.com/vi/QY7ArP0ebaM/default.jpg,"[none]"
zrEWlLRG4K0,"Mac Jones or Justin Fields: Who has the edge in National Championship? | SportsCenter","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,225.0,https://i.ytimg.com/vi/zrEWlLRG4K0/default.jpg,"[none]"
-w0ghCX-OWk,"Eagles firing Doug Pederson means Carson Wentz is back in power in Philly — Skip | NFL | UNDISPUTED","UCLXzq85ijg2LwJWFrz4pkmw","Skip and Shannon: UNDISPUTED",17,682.0,https://i.ytimg.com/vi/-w0ghCX-OWk/default.jpg,"[none]"
As6lZq8mfQ8,"2021 NFL Mock Draft | Ryan Wilson | CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,3054.0,https://i.ytimg.com/vi/As6lZq8mfQ8/default.jpg,"[none]"
7NLoag9jUE4,"2020 Heisman Trophy winner: Alabama's DeVonta Smith becomes first WR to win since '91 |CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,1222.0,https://i.ytimg.com/vi/7NLoag9jUE4/default.jpg,"[none]"
m7pZsID7rNE,"How DeVonta Smith MADE HISTORY and WON the HEISMAN Trophy","UCa6dPG_WDl-wnAagtmtRdXw","Harris Highlights",17,544.0,https://i.ytimg.com/vi/m7pZsID7rNE/default.jpg,"[none]"
HyPLNVbIH7A,"The Unbelievable Rise of DeVonta Smith (His Journey to Stardom)","UCm2WVm_dT-oiAwqNYfv2uxw","Scott Fisher",17,565.0,https://i.ytimg.com/vi/HyPLNVbIH7A/default.jpg,"[none]"
0H20256gmmM,"Is Heisman winner DeVonta Smith's draft stock in play at the National Championship? | Weekly Pulse","UCZ5C1HBPMEcCA1YGQmqj6Iw","USA TODAY Sports",17,1451.0,https://i.ytimg.com/vi/0H20256gmmM/default.jpg,"[none]"
nA7kLzHwFRs,"Chargers vs. Titans Week 7, 2019 FULL Game","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL",17,8341.0,https://i.ytimg.com/vi/nA7kLzHwFRs/default.jpg,"[none]"
M84dSAc7BGY,"2021 NFL Mock Draft: 1st Round Projections After 2020 Regular Season Ft Devonta Smith, Jaylen Waddle","UC9pkqFpbiwpZ6vXwaaUV_FQ","Chat Sports",17,1231.0,https://i.ytimg.com/vi/M84dSAc7BGY/default.jpg,"[none]"
EoPCcWoB0fo,"Devonta Smith For Heisman 🏈","UCwxmDKHvJhPvsOKsQIIA12g","izallgood37 _",22,483.0,https://i.ytimg.com/vi/EoPCcWoB0fo/default.jpg,"[none]"
U9eEH8X8J2U,"Desmond Howard reacts to WR DeVonta Smith's Heisman Trophy win & makes NFL comparisons | Get Up","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,210.0,https://i.ytimg.com/vi/U9eEH8X8J2U/default.jpg,"[none]"
5JBmdJ52OoE,"From Overlooked WR to HEISMAN Trophy Winner (The Incredible Story of DeVonta Smith)","UCm2WVm_dT-oiAwqNYfv2uxw","Scott Fisher",17,497.0,https://i.ytimg.com/vi/5JBmdJ52OoE/default.jpg,"[none]"
_B5FHIWgZsQ,"'What doesn't Justin Fields do?!' - Max Kellerman elevates the QB's NFL draft stock | First Take","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,431.0,https://i.ytimg.com/vi/_B5FHIWgZsQ/default.jpg,"[none]"
PpnDBJabL28,"UNDISPUTED | Skip Bayless reacts to Devonta Smith wins Offensive MVP with 12 Rec, 215 Yds, 3 TD","UCiIws_onINIcqZ3SUjSbnVg","Hoàng Bi",17,705.0,https://i.ytimg.com/vi/PpnDBJabL28/default.jpg,"[none]"
ykdLIkmh7Q0,"#1 Alabama vs #7 Florida Highlights | 2020 SEC Championship Game | 2020 College Football Highlights","UCi-INxdmFSrTrT95xU0sBpg","Wheels",17,1010.0,https://i.ytimg.com/vi/ykdLIkmh7Q0/default.jpg,"[none]"
xRSNWS4lkec,"AFR | January 12, 2020","UCgFwgrApUvg0TVbxexo3Gtg","104.5 ESPN",17,0.0,https://i.ytimg.com/vi/xRSNWS4lkec/default_live.jpg,"[none]"
JtkMb6hH6PE,"#1 Alabama vs #22 Auburn Highlights | 2020 Iron Bowl | 2020 College Football Highlights","UCi-INxdmFSrTrT95xU0sBpg","Wheels",17,785.0,https://i.ytimg.com/vi/JtkMb6hH6PE/default.jpg,"[none]"
DnQaNK_JzY4,"Heisman Winner | DeVonta Smith Highlights 2020 Alabama WR","UCK2KjpakrFdQ18GOV70WYfA","RSHighlights",17,426.0,https://i.ytimg.com/vi/DnQaNK_JzY4/default.jpg,"[none]"
BAIePOZycOQ,"Rugby Player Reacts to DEVONTA SMITH 2020 Alabama Heisman Season College Football Highlights!","UCfjFBgHkjKkzkQm92dzfvrw","Jacob McDonald",22,1449.0,https://i.ytimg.com/vi/BAIePOZycOQ/default.jpg,"[none]"
6J6V41RFjTw,"Trevor Lawrence, DeVonta Smith, Mac Jones, Kyle Trask, Who will win? | The Heisman Show","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,1926.0,https://i.ytimg.com/vi/6J6V41RFjTw/default.jpg,"[none]"
_eRy2Fl6V0I,"Ryan Day: 2021 College Football Playoff National Championship Post Game Conference | CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,229.0,https://i.ytimg.com/vi/_eRy2Fl6V0I/default.jpg,"[none]"
_eRy2Fl6V0I,"Ryan Day: 2021 College Football Playoff National Championship Post Game Conference | CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,229.0,https://i.ytimg.com/vi/_eRy2Fl6V0I/default.jpg,"[none]"
yDiRWDwiXCI,"How DeVonta Smith beat out three quarterbacks to win the Heisman | USA TODAY Sports","UCZ5C1HBPMEcCA1YGQmqj6Iw","USA TODAY Sports",17,84.0,https://i.ytimg.com/vi/yDiRWDwiXCI/default.jpg,"[none]"
krSnIOJ7eKE,"Shannon Sharpe reacts to NBA's moment of unity in response to storming of Capitol Hill | UNDISPUTED","UCLXzq85ijg2LwJWFrz4pkmw","Skip and Shannon: UNDISPUTED",17,1427.0,https://i.ytimg.com/vi/krSnIOJ7eKE/default.jpg,"[none]"
okUCh6DcRgY,"DeVonta Smith talks punt return | Mac Jones talks Kyle Trask | Patrick Surtain talks defense","UCXLM426XzspM1Ea4aXWMhhw","Alabama Football",17,1574.0,https://i.ytimg.com/vi/okUCh6DcRgY/default.jpg,"[none]"
92VDW3GVg7o,"Hall of Fame manager and Dodgers legend, Tommy Lasorda,  dies at age 93 | CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ",17,1094.0,https://i.ytimg.com/vi/92VDW3GVg7o/default.jpg,"[none]"
8Yxw30K60PI,"Is Nick Saban the greatest college football coach of all time? | First Take","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,387.0,https://i.ytimg.com/vi/8Yxw30K60PI/default.jpg,"[none]"
