video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags
D9u7_AXhUJQ,"Tensions Rise in the House During Post-Riot Debate","UCn4sPeUomNGIr26bElVdDYg","NowThis News",25,375.0,https://i.ytimg.com/vi/D9u7_AXhUJQ/default.jpg,"[none]"
2NsznHjFP9A,"Live: NBC News NOW - January 12","UCeY0bbntWzzVIaj2z3QigXg","NBC News",25,0.0,https://i.ytimg.com/vi/2NsznHjFP9A/default_live.jpg,"[none]"
AVS2YMSAC70,"Why Elon Musk Sleeps at Tesla's Factories","UCIlU5KDHKFSaebYviKfOidw","Newsthink",28,396.0,https://i.ytimg.com/vi/AVS2YMSAC70/default.jpg,"[none]"
7uAnT1Bz2rQ,"Ted Cruz Stands to OBJECT Election Results | Statement","UCvYVGf_JFME9dVe3WtljP1Q","The Victory Channel",24,348.0,https://i.ytimg.com/vi/7uAnT1Bz2rQ/default.jpg,"[none]"
TbU5-NkbZ1A,"Lance Wallnau: Rudy Drops Bombshell! We Got Them! JUST IN","UCvYVGf_JFME9dVe3WtljP1Q","The Victory Channel",24,79.0,https://i.ytimg.com/vi/TbU5-NkbZ1A/default.jpg,"[none]"
TZudf0juj3s,"Arizona State Rep. Farnsworth gives update on Az. election audits","UC37p_lR32X1yYaINLt0dpnw","scottsdalestudios",10,117.0,https://i.ytimg.com/vi/TZudf0juj3s/default.jpg,"[none]"
K8MtrGk6uHk,"WATCH LIVE: House to debate, vote on 25th Amendment resolution against Trump","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour",25,0.0,https://i.ytimg.com/vi/K8MtrGk6uHk/default_live.jpg,"[none]"
EvmM9AvV4A8,"We gather here due to a selfish man's injured pride - Sen. Mitt Romney","UCupvZG-5ko_eiXAupbDfxWw","CNN",25,228.0,https://i.ytimg.com/vi/EvmM9AvV4A8/default.jpg,"[none]"
l1a0ISOEo1Q,"Pennsylvania Lt. Gov. On Sen. Hawley Challenging Presidential Vote | Ayman Mohyeldin | MSNBC","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC",25,176.0,https://i.ytimg.com/vi/l1a0ISOEo1Q/default.jpg,"[none]"
w8WrKIenfLE,"FIERY: Cedric Richmond and Matt Gaetz get into HEATED shouting match during House debate","UCPWXiRWZ29zrxPFIQT7eHSA","The Hill",25,333.0,https://i.ytimg.com/vi/w8WrKIenfLE/default.jpg,"[none]"
AYP8-oxq8ig,"Kennedy vs. Nixon: The first 1960 presidential debate","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour",25,3491.0,https://i.ytimg.com/vi/AYP8-oxq8ig/default.jpg,"[none]"
dOjzEj_r0E4,"EXCLUSIVE: Man who entered Capitol building tells his story to LifeSiteNews","UCYImiD9L0dMycenfBy2al0Q","LifeSiteNews",25,425.0,https://i.ytimg.com/vi/dOjzEj_r0E4/default.jpg,"[none]"
5U_-2C7gd2o,"Cartwright Defends PA Electoral College Vote","UCnAOvexSGLBnYidaFzguhTQ","Matt Cartwright",25,292.0,https://i.ytimg.com/vi/5U_-2C7gd2o/default.jpg,"[none]"
MNIxatQ0fKU,"Parler executive speaks out following Google app store ban, threats from Apple","UCXIJgqnII2ZOINSWNOGFThA","Fox News",25,346.0,https://i.ytimg.com/vi/MNIxatQ0fKU/default.jpg,"[none]"
K9Xn2h-4WNQ,"Biden takes lead in Pennsylvania, but race isn't over","UCupvZG-5ko_eiXAupbDfxWw","CNN",25,534.0,https://i.ytimg.com/vi/K9Xn2h-4WNQ/default.jpg,"[none]"
xBJx9kqa9bc,"BREAKING: Josh Hawley Uncovers SECRET Facebook Content Monitoring...","UCJg9wBPyKMNA5sRDnvzmkdg","NewsNOW from FOX",25,665.0,https://i.ytimg.com/vi/xBJx9kqa9bc/default.jpg,"[none]"
V9PzIwReqFM,"Kevin McCarthy ASSAILS Pelosi on House Floor, gets REPRIMANDED","UCPWXiRWZ29zrxPFIQT7eHSA","The Hill",25,847.0,https://i.ytimg.com/vi/V9PzIwReqFM/default.jpg,"[none]"
lP_SuxCEt4c,"WATCH LIVE: House Rules Committee meets ahead of debate over 25th Amendment","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour",25,0.0,https://i.ytimg.com/vi/lP_SuxCEt4c/default_live.jpg,"[none]"
BY0S2XMIFJ4,"Romney: Those Supporting Trump Objection To Election 'Complicit' In Attack On Democracy | NBC News","UCeY0bbntWzzVIaj2z3QigXg","NBC News",25,218.0,https://i.ytimg.com/vi/BY0S2XMIFJ4/default.jpg,"[none]"
4t-73SPgYfE,"PA Lt. Governor: Members Of GOP Opposing Biden's Win Will Have A 'Stain On Their Record'","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC",25,228.0,https://i.ytimg.com/vi/4t-73SPgYfE/default.jpg,"[none]"
a6YreEKdYmA,"Pence, McConnell and Schumer address Senate floor as Electoral College certification resumes","UCupvZG-5ko_eiXAupbDfxWw","CNN",25,763.0,https://i.ytimg.com/vi/a6YreEKdYmA/default.jpg,"[none]"
EfZDSbwjJgk,"Mitt Romney delivers remarks on Capitol breach","UCBi2mrWuNuyYy4gbM6fU18Q","ABC News",25,268.0,https://i.ytimg.com/vi/EfZDSbwjJgk/default.jpg,"[none]"
NlFnniFF9Is,"Derrick Evans, West Virginia Lawmaker, Charged for Capitol Attack","UCn4sPeUomNGIr26bElVdDYg","NowThis News",25,207.0,https://i.ytimg.com/vi/NlFnniFF9Is/default.jpg,"[none]"
hkg2H5Ze1Oc,"Sen. McConnell Speaks Out Against Trying To Overturn The Electoral College Results | MTP Daily","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC",25,548.0,https://i.ytimg.com/vi/hkg2H5Ze1Oc/default.jpg,"[none]"
mZP-I9boQGM,"WATCH LIVE | House certifies and debates Electoral College votes","UCHd62-u_v4DvJ8TCFtpi4GA","Washington Post",25,15886.0,https://i.ytimg.com/vi/mZP-I9boQGM/default.jpg,"[none]"
mTm4MGHH1N8,"Schumer: Sad that accepting election result is an act of courage","UCupvZG-5ko_eiXAupbDfxWw","CNN",25,528.0,https://i.ytimg.com/vi/mTm4MGHH1N8/default.jpg,"[none]"
VUnnCfiUOPs,"Gen. Barry Mccaffrey: 'Rogue' Trump Must Be Removed From Office | MSNBC","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC",25,301.0,https://i.ytimg.com/vi/VUnnCfiUOPs/default.jpg,"[none]"
5SmAfeziSoo,"Senator Lindsay Graham on Biden: I prayed he would lose. He won! He's the legitimate president","UC8p1vwvWtl6T73JiExfWs1g","CBS News",25,342.0,https://i.ytimg.com/vi/5SmAfeziSoo/default.jpg,"[none]"
SImdRnIvIBQ,"Capitol riot: Philadelphia detective under investigation after allegedly attending Trump rally in DC","UCw77677G3EAODp61b0izs7w","6abc Philadelphia",25,83.0,https://i.ytimg.com/vi/SImdRnIvIBQ/default.jpg,"[none]"
aWGN8e2bzwk,"Congressmen get into altercation on House floor during Electoral College debate","UCXIJgqnII2ZOINSWNOGFThA","Fox News",25,155.0,https://i.ytimg.com/vi/aWGN8e2bzwk/default.jpg,"[none]"
vQIwwiHrmlA,"How Objections Will Delay Electoral College Results Certification In Congress | NBC News NOW","UCeY0bbntWzzVIaj2z3QigXg","NBC News",25,383.0,https://i.ytimg.com/vi/vQIwwiHrmlA/default.jpg,"[none]"
AEOVsHw5Pa0,"Watch Biden's speech as he closes in on 270 electoral votes","UCupvZG-5ko_eiXAupbDfxWw","CNN",25,633.0,https://i.ytimg.com/vi/AEOVsHw5Pa0/default.jpg,"[none]"
DzpoSS0yJm4,"Rep. Sherrill: Congress Will Fulfill Its Constitutional Duty Today | Morning Joe | MSNBC","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC",25,420.0,https://i.ytimg.com/vi/DzpoSS0yJm4/default.jpg,"[none]"
7V167qT0_CM,"Trump: Wants 'no violence' as impeachment nears","UC52X5wxOL_s5yw0dQk7NtgA","Associated Press",25,64.0,https://i.ytimg.com/vi/7V167qT0_CM/default.jpg,"[none]"
m09edOAYOZo,"'The jig is up for Trump': Coates reacts to election ruling","UCupvZG-5ko_eiXAupbDfxWw","CNN",25,651.0,https://i.ytimg.com/vi/m09edOAYOZo/default.jpg,"[none]"
