video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
Ty-CHgmCeKw,"Lil Durk - Backdoor (Official Music Video)","UCaxOQZrF5llUMp-JjesUz1A","Lil Durk","10","213.0","https://i.ytimg.com/vi/Ty-CHgmCeKw/default.jpg","lil durk|lil durk music|lil durk music video|just cause yall waited 2|lil durk 2020|just cause y'all waited 2|durkio|smurkio|lil durk official|drill|drill music|chicago hip hop|only the family|OTF|backdoor|back door|king von|von","Stream The Voicehttp://smarturl.it/TheVoiceDurkFollow Lil Durk:https://instagram.com/lildurkhttps://twitter.com/lildurkhttps://www.tiktok.com/@lildurkhttps://soundcloud.com/lildurkhttps://fb.com/lildurkhttps://otfgear.com/Subscribe: http://bit.ly/Subscribe-to-Durk#lildurk #thevoice #doit4von","Lil Durk's OFFICIAL channel! Subscribe for all music videos, behind the scenes and tour videos from Lil Durk & OTF as they'll drop here first. Durk Banks aka Lil Durk was born and raised in Englewood, a neighborhood on Chicago's South Side. He gained prominence through his 'Signed to the Streets' mixtape released through Coke Boys and his imprint OTF (Only The Family). He's since risen as Chicago's current flagbearer of street rap. His efforts lead to a signing with major label Def Jam, where he released his debut album 'Remember My Name' which debuted at #2 on the Billboard Rap charts. He continues to dominate the street rap scene while reaching into different territories.","lil durk lil durk official chiraq chicago hip hop chicago rapper chiraq rap durk lil durk 2016lil durk songs","0-Tm65i96TY"
x4U9iB4YqK4,"Pooh Shiesty - Monday to Sunday (feat. Lil Baby & Big30)","UCTBIIbIs83IBsy4E1BQxYBw","Pooh Shiesty","10","229.0","https://i.ytimg.com/vi/x4U9iB4YqK4/default.jpg","officialguccimane|gucci mane|gucci|mane|atlantic records|atlantic|guwop|radric davis|hip hop|rap|i get the bag|both|curve|met gala|solitaire|real rich|el gato|mr. davis|droptopwop|atlanta|pooh shiesty|big30|lil baby|1017|quality control|breadgang|moneybagg yo|monday to sunday pooh shiesty|1017 records|the new 1017|gucci mane 1017|pooh shiesty 1017|monday to sunday lil baby|monday to sunday big 30|monday to sunday 1017 records|atlantic records 1017","Pooh Shiesty - Monday to Sunday (feat. Lil Baby & Big30) Download/Stream - https://poohshiesty.lnk.to/MondayToSundayGet into Pooh Shiesty 💸Youtube: https://poohshiesty.lnk.to/youtubeInstagram: https://poohshiesty.lnk.to/InstagramTwitter: https://poohshiesty.lnk.to/TwitterFacebook: https://poohshiesty.lnk.to/FacebookLISTEN TO POOH SHIESTYApple: https://poohshiesty.lnk.to/AppleMusicSpotify: https://poohshiesty.lnk.to/SpotifySoundcloud: https://poohshiesty.lnk.to/SoundcloudAudiomack: https://poohshiesty.lnk.to/AudiomackGucci Mane - Still Remember feat. Pooh ShiestyDownload/Stream - https://guccimane.lnk.to/StillRememberSubscribe for more official content from Gucci Mane:https://Atlantic.lnk.to/GMsubscribeFollow Gucci Manehttp://GucciManeOnline.comhttp://Twitter.com/Gucci1017http://Facebook.com/GucciManehttp://Instagram.com/LaFlare1017https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0XdoThe official YouTube channel of Atlantic Records artist Gucci Mane. Subscribe for the latest music videos, performances, and more.#PoohShiesty #MondayToSunday#TheNew1017 #LilBaby #Big30 #1017Records #GucciMane","The official YouTube channel of 1017 Records artist POOH SHIESTY. Subscribe for the latest music, videos, performances, and more.","pooh shiesty pooh shiesty atlanta rap 1017 1017 records pooh shiesty rapper rap hip hop","0-Tm65i96TY"
cDde7QlKCX0,"Lil Durk - Still Trappin feat. King Von (Official Music Video)","UCaxOQZrF5llUMp-JjesUz1A","Lil Durk","10","185.0","https://i.ytimg.com/vi/cDde7QlKCX0/default.jpg","lil durk|lil durk music|lil durk music video|just cause yall waited 2|lil durk 2020|just cause y'all waited 2|durkio|smurkio|lil durk official|drill|drill music|chicago hip hop|only the family|OTF","Stream The Voicehttp://smarturl.it/TheVoiceDurkFollow Lil Durk:https://instagram.com/lildurkhttps://twitter.com/lildurkhttps://www.tiktok.com/@lildurkhttps://soundcloud.com/lildurkhttps://fb.com/lildurkhttps://otfgear.com/Subscribe: http://bit.ly/Subscribe-to-Durk#lildurk #thevoice #doit4von","Lil Durk's OFFICIAL channel! Subscribe for all music videos, behind the scenes and tour videos from Lil Durk & OTF as they'll drop here first. Durk Banks aka Lil Durk was born and raised in Englewood, a neighborhood on Chicago's South Side. He gained prominence through his 'Signed to the Streets' mixtape released through Coke Boys and his imprint OTF (Only The Family). He's since risen as Chicago's current flagbearer of street rap. His efforts lead to a signing with major label Def Jam, where he released his debut album 'Remember My Name' which debuted at #2 on the Billboard Rap charts. He continues to dominate the street rap scene while reaching into different territories.","lil durk lil durk official chiraq chicago hip hop chicago rapper chiraq rap durk lil durk 2016lil durk songs","0-Tm65i96TY"
arB4LBg_80M,"Lil Durk No Auto Durk (G Herbo Never Cared Remix) (WSHH Exclusive - Official Music Video)","UC-yXuc1__OzjwpsJPlxYUCQ","WORLDSTARHIPHOP","10","197.0","https://i.ytimg.com/vi/arB4LBg_80M/default.jpg","world star hip hop|worldstarhiphop|worldstar|world star|worldstar youtube|youtube worldstar|worldstarhiphop youtube|youtube worldstarhiphop|worldstarhiphop channel|wshh|hip hop|hip hop music|rap|rap music|music|music video|exclusive|WSHH exclusive","Watch the official music video for No Auto Durk by Lil Durk.More Lil Durk:https://fb.com/lildurkhttps://twitter.com/lildurk_https://instagram.com/Imlildurk2xhttp://officiallildurk.comWe launched on Snap Discover! SUBSCRIBE HERE: http://bit.ly/worldstarsnapSUBSCRIBE for more: http://bit.ly/subWSHH Follow WorldstarHipHop: http://worldstarhiphop.com https://twitter.com/worldstarhttps://facebook.com/worldstarhiphophttp://instagram.com/worldstar Shop WorldStar:http://shop.worldstarhiphop.comWatch more WorldstarHipHop:Rapper Relationship Advice: https://youtube.com/playlist?list=PLcK0neBMyFxQ6doeFSHbkI5LIQ9Fv_jdZ&playnext=1Official Music Videos: https://youtube.com/playlist?list=PLcK0neBMyFxSpYgDfKCsHRwgxlN-Tnt9D&playnext=1Official Audio Tracks: https://youtube.com/playlist?list=PLcK0neBMyFxSLGtARgI2OzwpGvw2tz9Ep&playnext=1Newest Videos: https://youtube.com/playlist?list=PLcK0neBMyFxTF85bfUSUXiKiDy_AlNsu2&playnext=1WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.","The official WorldstarHipHop YouTube channel featuring exclusive music video premieres, comedy, behind the scenes, original series and more.WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.","hiphop hip hop rap rap music new music new hiphop new rap new hip hop new rap music worldstar worldstarhiphop 6ix9ine music video wshh worldstar youtube youtube worldstar music best rap songs lil durk lil tecca 69 mgk kevin gates best music videos rap video hiphop video diss track rnb r&b diss rap new rappers best rappers best rapper best hiphop best rap best rap music best rap video best hip hop g herbo nle choppa lil baby","0-Tm65i96TY"
94zTrkr5_xY,"SPOTEMGOTTEM Feat. Pooh Shiesty Beatbox 2 (Official Video)","UCO76MgSzw4jQIhv5rZ9OWTg","SPOTEM GOTTEM","10","193.0","https://i.ytimg.com/vi/94zTrkr5_xY/default.jpg","SPOTEMGOTTEM|Spot Em Got Em|Spotem Gottem|SpottemGottem|Spottem Gottem|SpotemGottem|HipHop|Beatbox|Beat box|Hip-Hop|Florida Rapper|Florida Rap|Duval Rap|Viral Music Video|Viral|Viral Video|Viral Music|Viral Rap Video|Viral Rap|2020 Rapper|Complex|SayCheese|Say Cheese|XXL Freshman|New Rap|For You Page|Beatbox 2|Beatbox Remix|Beatbox Pooh Shiesty|SpotemGottem Pooh Shiesty Beatbox|SpotemGottem Beatbox Remix","FINAL DESTINATION Out Now: https://ingroov.es/final-destination-gFollow SPOTEMGOTTEM:Instagram: @spotemgottem   Twitter: @spotemgottem  Directed By: @shotbyspencer #SPOTEMGOTTEM #PoohShiesty #Beatbox2","","","0-Tm65i96TY"
6sTGdtJWgVU,"Big Scarr - SoIcyBoyz 2 (feat. Pooh Shiesty, Foogiano & Tay Keith) [Official Video]","UC9mqQoDko9Si0jFc0tFpP7Q","Big Scarr","10","194.0","https://i.ytimg.com/vi/6sTGdtJWgVU/default.jpg","big scarr|soicyboyz|soicyboyz 2|so icy boyz|so icy boyz 2|pooh shiesty|foogiano|tay keith|scarr|1017|the new 1017|gucci mane|gucci artists|gucci big scarr|big brrr","Big Scarr - SoIcyBoyz 2 (feat. Pooh Shiesty, Foogiano & Tay Keith) Gucci Mane & The New 1017 Present 'So Icy Gang, Vol 1.'Download/Stream - https://thenew1017.lnk.to/SoIcyGangVol1Subscribe for more official content from Gucci Mane:https://Atlantic.lnk.to/GMsubscribeFollow The New 1017Website: https://www.thenew1017records.com/Instagram: https://thenew1017.lnk.to/InstagramFacebook: https://thenew1017.lnk.to/FacebookYoutube: https://thenew1017.lnk.to/YoutubeSoundCloud: https://thenew1017.lnk.to/SoundcloudGIPHY: https://thenew1017.lnk.to/GiphyThe official YouTube channel of The New 1017 artist Big Scarr. Subscribe for the latest music videos, performances, and more.","Big Scarr may carry the marks of life’s trials and tribulations on his face and body, but he emerges from those tragedies triumphantly. In under six months since his debut, he’s posted up nearly 5 million YouTube views independently and locked down a deal with Gucci Mane’s The New 1017/Atlantic Records. Now, the Memphis rapper speaks on his life without fear or filter on a series of upcoming singles and projects.He started to rap with encouragement from a day-one friend, and a fiery freestyle powered his first-ever single “Make A Play.” Upheld by gruff flows, robust rhymes, and dynamic hooks, the intense music video has generated over 1.6 million YouTube views. Maintaining this momentum, he joined Pooh and Foogiano for “SoIcyBoyz” on the blockbuster compilation Gucci Mane Presents: So Icy Summer and earned praise from the likes of Complex, UPROXX, and more. By embracing his scars, Big Scarr gives hip-hop one of its realest stories out there. “I just go in there and say what I live.","","0-Tm65i96TY"
VDCsaY77hfI,"Pooh Shiesty - 7.62 God","UCyL3uxnoCf7RSNWZnJAaM_A","Choppa Gang Ent.","10","194.0","https://i.ytimg.com/vi/VDCsaY77hfI/default.jpg","Pooh Shiesty 7.62 God|Pooh Shiesty|pooh shiesty 1017|pooh shiesty big 30|the new 1017|Gucci Mane|Pooh Shiety Gucci|Pooh Shiesty 762 god|Choppa Gang|pooh shiesty shiesty summer|pooh shiesty - day one|The New 1017|1017 pooh shiesty|big 30|shiesty pooh|shiesty summer pooh shiesty|day one pooh shiesty|Foogiano|gucci mane 1017 artist|7.62 god|762 god|pooh shiesty 762|7.62|pooh shiesty 7.62 god|7.62 pooh shiesty|nba youngboy|#poohshiesty|#coronavirus","#POOHSHIESTY #762GOD #THENEW1017Produce by TP808 Video shot by 300 visionsSubscribe for more official content from POOH SHIESTY:https://poohshiesty.lnk.to/YoutubeBOOKING:9014066293 or 2lhunnaz@gmail.comFOLLOW POOH SHIESTYInstagram: https://poohshiesty.lnk.to/InstagramTwitter: https://poohshiesty.lnk.to/TwitterFacebook: https://poohshiesty.lnk.to/FacebookLISTEN TO POOH SHIESTYApple: https://poohshiesty.lnk.to/AppleMusicSpotify: https://poohshiesty.lnk.to/SpotifySoundcloud: https://poohshiesty.lnk.to/SoundcloudAudiomack: https://poohshiesty.lnk.to/Audiomack The official YouTube channel of 1017 Records artist POOH SHIESTY. Subscribe for the latest music videos, performances, and more.","","Choppa Gang","0-Tm65i96TY"
o0QB6cXs1_k,"Fredo Bang - Top ft. Lil Durk (Official Music Video)","UC8FHFLWe9KkG0eoxPMIgcpg","Fredo Bang","10","170.0","https://i.ytimg.com/vi/o0QB6cXs1_k/default.jpg","fredobang|lil durk|durkio|fredo|bang|nba youngboy|baton rouge|lousiana|akademiks|saycheese|shaderoom|raptv|viral|rap|viralvideos|trending|youtubetrending|chicago|otf|nlechoppa|kingvon|ripvon|moneybaggyo|still most hated|most hated|in the name of gee|hiphop|spotemgotem|hotboii|pooshiesty","Stream/Download: http://fredobang.lnk.to/ITNOGStillMostHatedShop: https://www.fredobangshop.com/ Text “Fredo Bang” to 31996 for Exclusive Updates 🦍 Follow Fredo Bang: Instagram: https://instagram.com/fredobang Facebook: https://www.facebook.com/fredobangbiz/ Twitter: https://twitter.com/fredobang #FredoBang #StillMostHated","Fredo Bang Official Youtube Channel","","0-Tm65i96TY"
j7tHktqr_sA,"Money Mu - “Hittin’ Remix” feat. MoneyBagg Yo & Foogiano (Official Music Video - WSHH Exclusive)","UC-yXuc1__OzjwpsJPlxYUCQ","WORLDSTARHIPHOP","10","285.0","https://i.ytimg.com/vi/j7tHktqr_sA/default.jpg","worldstarhiphop|world star hip hop|worldstar|world star|wshh|worldstarhiphop youtube|youtube worldstarhiphop|worldstarhiphop music|music worldstarhiphop|worldstar youtube|youtube worldstar|hip hop|hip hop music|rap|rap music|music|music video|exclusive|wshh exclusive","Exclusive WSHH music video for “Hittin’ Remix” by Money Mu (ft. MoneyBagg Yo & Foogiano).Subscribe: http://bit.ly/subWSHH | WSHH Snap Discover: http://bit.ly/worldstarsnapMore exclusive WSHH music videos: https://youtube.com/playlist?list=PLcK0neBMyFxSpYgDfKCsHRwgxlN-Tnt9D&playnext=1&index=2Follow on Instagramhttps://www.instagram.com/StillPaidMuDirected by https://www.instagram.com/inightlyfe Follow WorldstarHipHop:Website: http://worldstarhiphop.comTikTok: https://tiktok.com/@worldstarFacebook: https://facebook.com/worldstarhiphopInstagram: http://instagram.com/worldstarTwitter: https://twitter.com/worldstar Shop Worldstar: http://shop.worldstarhiphop.com Watch more WorldstarHipHop:Newest Videos: https://youtube.com/playlist?list=PLcK0neBMyFxTF85bfUSUXiKiDy_AlNsu2&playnext=1&index=2Music Video Premieres: https://youtube.com/playlist?list=PLcK0neBMyFxSpYgDfKCsHRwgxlN-Tnt9D&playnext=1&index=2Hottest Tracks: https://youtube.com/watch?v=YdrUe_IFSjs&list=PLcK0neBMyFxRCJvtRqACQvs0qmyL-Ee7Q&playnext=1Music Videos by Artist: https://youtube.com/user/WorldStarHipHopTV/playlists?view=50&sort=dd&shelf_id=13Original WSHH Series: https://youtube.com/user/WorldStarHipHopTV/playlists?view=50&sort=dd&shelf_id=11 About WorldstarHipHop:WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future. #WorldstarHipHop #HipHop #MoneyMu","The official WorldstarHipHop YouTube channel featuring exclusive music video premieres, comedy, behind the scenes, original series and more.WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.","hiphop hip hop rap rap music new music new hiphop new rap new hip hop new rap music worldstar worldstarhiphop 6ix9ine music video wshh worldstar youtube youtube worldstar music best rap songs lil durk lil tecca 69 mgk kevin gates best music videos rap video hiphop video diss track rnb r&b diss rap new rappers best rappers best rapper best hiphop best rap best rap music best rap video best hip hop g herbo nle choppa lil baby","0-Tm65i96TY"
JQwyA280iT4,"BIG30 - Allegations (feat. Pooh Shiesty)","UCtqxShnk80sDYMW8q3bgV6w","The Official Big30","10","180.0","https://i.ytimg.com/vi/JQwyA280iT4/default.jpg","[none]","#Big30 #PoohShiesty #Allegations #ChoppaGangEnt #NlessEnt #BreadGangEntOfficial music video for Allegations by BIG30 feat. Pooh ShiestyStream/download here: https://ffm.to/allegations","","","0-Tm65i96TY"
