video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
E8m3LyXCdk0,"Jamie Vardy: Premier League 100 Club - Every Goal","UCBkRQtxofyXr09mWtgoUUqw","LCFC","17","3212.0","https://i.ytimg.com/vi/E8m3LyXCdk0/default.jpg","[none]","Enjoy all the goals Jamie Vardy scored in the Premier League to reach the 100 club!","Welcome to the LCFC TV You Tube channel.Interested in the latest videos from Leicester City Football Club? Our You Tube channel has specially selected clips of our best videos and much more.To see all our other video content in full, which includes match highlights and live audio commentary, visit lcfc.com/tv. To watch video content, you’ll need to register as a Digital Member…it takes less than a minute and its free!This You Tube channel is operated and updated by LCFC TV (Leicester City Football Club). For enquiries about the use of content produced by the club, please email content@lcfc.co.uk.","LCFC Leicester City FC Leicester City Football Club Foxes Foxes Player King Power Stadium The Football League Thailand Football Soccer","0frvTbcz0dk"
zs6T5yy7zQI,"EXTENDED CARABAO CUP HIGHLIGHTS: EVERTON 0-2 MAN UNITED","UCtK4QAczAN2mt2ow_jlGinQ","Everton Football Club","17","573.0","https://i.ytimg.com/vi/zs6T5yy7zQI/default.jpg","Everton;|Everton|Football|Club;|efc;|the|toffees;|blues;|premier|league;|goodison;|finch|farm;|Ancelotti|mufc|man united|Man Utd|carabao cup|reaction|Cavani|martial|Sigurdsson|Richarlison|highlights|goals","Everton suffered late, late heartbreak in the Carabao Cup quarter-final as Manchester United struck twice in the closing moments to knock the Blues out. Gylfi Sigurdsson had the best chances for Carlo Ancelotti's side, but Edinson Cavani and Anthony Martial had the final say as the clock ticked down.Subscribe to Everton Football Club's official YouTube Channel: http://bit.ly/2wtCEbBFollow us on Facebook: http://facebook.com/evertonFollow us on Twitter: http://twitter.com/evertonFollow us on Instagram: http://instagram.com/evertonWelcome to the Official Everton Football Club YouTube channel. We'll offer fans real insight into life at Goodison Park, USM Finch Farm and on the road with the Blues.","Welcome to the official Everton Football Club YouTube channel. We will bring you exclusive video content from Goodison Park and USM Finch Farm, including highlights, interviews and plenty of behind the scenes footage.","Everton EFC COYB premier league toffees blues richarlison cenk tosun tosun pasa yerry mina bernard sigurdsson digne zouma pickford silva marco silva baines coleman tom davies goodison finch farm walcott lookman calvert-lewin","0frvTbcz0dk"
_RKIoC1WYe8,"INTERVIEW | Jose Mourinho on Carabao Cup Final","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur","17","219.0","https://i.ytimg.com/vi/_RKIoC1WYe8/default.jpg","Spurs|Tottenham Hotspur|토트넘|손흥민","Jose Mourinho reacts to our 2-0 win against Brentford to reach the Carabao Cup final.","Welcome to the official Tottenham Hotspur YouTube channel! Subscribe for free now!Exclusive behind-the-scenes access to training and match days, Premier League highlights as well as our famous 'No rules FIFA' and 'How's your Touch?' series are among the many things you can look forward to with multiple new uploads every week!Subscribe now and never miss a video!FOLLOW US!Instagram: https://www.instagram.com/spursofficial/TikTok: https://www.tiktok.com/@spursofficialDownload our App! https://www.tottenhamhotspur.com/spurs-official-app/ Twitter: https://twitter.com/SpursOfficialFacebook: https://www.facebook.com/TottenhamHotspur/","Spurs Tottenham Hotspur 손흥민 토트넘","0frvTbcz0dk"
74bM5geGViM,"Juventus 4-1 Udinese | Ronaldo Strikes Twice | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","254.0","https://i.ytimg.com/vi/74bM5geGViM/default.jpg","Ronaldo|Serie A|Dybala|Juventus V Udinese|highlights|Juventus|AC Milan|Ronaldo Gol|Inter Milan|Udinese Highlights|Napoli|Chiesa|Roma|Juventus Highlights|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|Serie A Highlights|migliori gol|migliori in campo|migliori al mondo|ronaldo goal|gol del mese|federcalcio|calcio|Italia|lukaku|Lazio|zlatan|2021 highlights|ibrahimovic|Ribery|juventus 4-1 udinese|Ronaldo goal vs udinese","Juventus returns to victory, 4-1 against Udinese. Two goals from Ronaldo plus goals from Chiesa and Dybala | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","0frvTbcz0dk"
BKInZGOqcZ4,"HEUNG-MIN SON'S TOP 10 SPURS GOALS","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur","17","595.0","https://i.ytimg.com/vi/BKInZGOqcZ4/default.jpg","Spurs|Tottenham Hotspur|Tottenham|Football|Spurs TV|White Hart Lane|Soccer|EPL|Premiership|Premier League|FA Cup|League Cup|COYS|THFC|Goals|Highlights|Training|Skills|Tricks|Hotspurs|Heung-min Son|Sonny|Son|South Korea|Korea|Korea Republic|Son Korea|Son goals|Son Chelsea|Son Burnley","We've picked out ten of Heung-min Son's best Tottenham Hotspur strikes... Comment and tell us which one is your favourite!SUBSCRIBE to ensure you don’t miss a video from the Spurs YouTube channel. Hit the bell to get notifications on our latest uploads! ► Subscribe: https://www.youtube.com/channel/UCEg25rdRZXg32iwai6N6l0w?sub_confirmation=1 FOLLOW US!Instagram: https://www.instagram.com/spursofficial/TikTok: https://www.tiktok.com/@spursofficialTwitter: https://twitter.com/SpursOfficialFacebook: https://www.facebook.com/TottenhamHotspur/Download the Spurs App: https://www.tottenhamhotspur.com/spurs-official-app/","Welcome to the official Tottenham Hotspur YouTube channel! Subscribe for free now!Exclusive behind-the-scenes access to training and match days, Premier League highlights as well as our famous 'No rules FIFA' and 'How's your Touch?' series are among the many things you can look forward to with multiple new uploads every week!Subscribe now and never miss a video!FOLLOW US!Instagram: https://www.instagram.com/spursofficial/TikTok: https://www.tiktok.com/@spursofficialDownload our App! https://www.tottenhamhotspur.com/spurs-official-app/ Twitter: https://twitter.com/SpursOfficialFacebook: https://www.facebook.com/TottenhamHotspur/","Spurs Tottenham Hotspur 손흥민 토트넘","0frvTbcz0dk"
h_vrWn5SUzI,"Juventus 4-1 Udinese | Ronaldo, Chiesa and Dybala Score In Big Win! | Serie A Highlights","UCLzKhsxrExAC6yAdtZ-BOWw","Juventus","17","504.0","https://i.ytimg.com/vi/h_vrWn5SUzI/default.jpg","juventus|juventus fc|juve|juventus football|ronaldo|cristiano ronaldo|cr7|dybala|ronaldo juventus|juventus training|juventus vs|football|italian football|juventus highlights|inno juve|inno juventus|pogba|juventus 4-1 udinese|juventus udinese 4-1|juventus udinese ronaldo goal|juventus udinese dybala|juventus udinese 4-1 highlights|ronaldo juventus goal|dybala goal vs udinese|dybala goal udinese|chiesa goal vs udinese","Watch match highlights as Juventus defeated Udinese 4-1 with goals from Cristiano Ronaldo, Federico Chiesa and Paulo Dybala.🎥 Follow our season with exclusive content only on Juventus TV ➡️ http://juve.it/av4M30lm55Y📹 Subscribe here to our YouTube channel: http://juve.it/BgUp30iwWec👕 Visit the Juventus Online Store for your very own shirt and other Bianconeri gifts: http://juve.it/zZrm30pImJRFounded in 1897, Juventus Football Club is the most successful team in Italy, with a rich history of winning and hundreds of millions of fans worldwide.📲 Follow on:Facebook: https://www.facebook.com/JuventusTwitter: https://twitter.com/juventusfcenInstagram: https://www.instagram.com/juventusSnapchat: https://www.snapchat.com/add/juventus💻 Visit our website: http://www.juventus.com/en","Welcome to the official YouTube channel of Juventus FC. Subscribe to watch exclusive content and all the latest videos.Benvenuti sul canale YouTube ufficiale della Juventus. Iscrivetevi per non perdere i contenuti esclusivi e gli ultimi video.","Juventus Juve calcio sport serie A bianco nero bianconero canale ufficiale inno ufficiale squadra allenamento partite partita intervista giocatori allenatore agnelli stadio torino vecchia signora il canale ufficiale juventus juventus fc juventus football club football gol goal campionato coppa scudetto coppa italia coppa dei campioni coppa uefa coppa intercontinentale supercoppa europa league coppa delle coppe","0frvTbcz0dk"
RkyCR4ReQQ0,"BEST Premier League Goals of 2020 | Long-range ROCKETS, bicycle kicks, chips, counter-attacks & more","UCG5qGWdu8nIRZqJ_GgDwQ-w","Premier League","17","1464.0","https://i.ytimg.com/vi/RkyCR4ReQQ0/default.jpg","Premier League|epl|best goals|2020|best goals 2020|best Premier League goals|Premier League goals 2020|Premier League goals|epl goals|Premier League highlights|Kevin De Bruyne|Paul Pogba|Mohamed Salah|Son Heung-min|Liverpool|Manchester United|Arsenal|Man City|Chelsea|Pulisic|Grealish|football|soccer|long range|rockets|chips|counter attacks|พรีเมียร์ลีก|ประตู|ฟุตบอล|ไฮไลท์|วอลเลย์|ยิงไกล|สวนกลับ|จรวด|อาร์เซน่อล|ลิเวอร์พูล|แมนเชสเตอร์ ซิตี้|แมนเชสเตอร์ ยูไนเต็ด","A compilation of the best Premier League goals scored in 2020. This video features Kevin De Bruyne (Manchester City), Che Adams (Southampton), Paul Pogba (Manchester United), Son Heung-min (Tottenham Hotspur), Alexandre Lacazette (Arsenal), Mohamed Salah (Liverpool), Alireza Jahanbakhsh (Brighton & Hove Albion), Raul Jimenez (Wolverhampton Wanderers), Christian Pulisic (Chelsea), Raphinha (Leeds United), Sebastien Haller (West Ham United), Jack Grealish (Aston Villa) and more!Who scored the best goal of 2020? Let us know in the comments.รวมลูกยิงสุดสวยในของพรีเมียร์ลีกในปี 2020 พบกับประตูของทั้ง เควิน เดอ บรอยน์(แมนเชสเตอร์ ซิตี้), เช อดัมส์(เซาธ์แฮมป์ตัน), ปอล ป็อกบา(แมนเชสเตอร์ ยูไนเต็ด), ซน ฮึง-มิน(ท็อตแน่ม ฮอตสเปอร์), อเล็กซองด์ ลากาแซตต์(อาร์เซน่อล), โมฮาเหม็ด ซาลาห์(ลิเวอร์พูล), อาลีเรซ่า จาฮานบัคช์(ไบรท์ตัน แอนด์ โฮฟ อัลเบียน), ราอูล ฆิเมเนซ(วูล์ฟแฮมป์ตัน วันเดอเรอร์ส), คริสเตีย พูลิซิช(เชลซี), ราฟินญ่า(ลีดส์ ยูไนเต็ด), เซบาสเตียน อัลแลร์(เวสต์แฮม ยูไนเต็ด), แจ็ค กรีลิช(แอสตัน วิลล่า) และอีกเพียบ!คิดว่าลูกไหนสวยที่สุดในปี 2020? บอกให้เรารู้ในคอมเมนท์เลย!Subscribe to the official Premier League YouTube channel: http://preml.ge/PremierLeagueYouTube Premier League website: http://preml.ge/PremierLeagueWebsiteFollow the Premier League on Instagram: http://preml.ge/PremierLeagueInstagramFollow the Premier League on Twitter: http://preml.ge/PremierLeagueTwitterLike the Premier League on Facebook: http://preml.ge/PremierLeagueFacebookPlay Fantasy Premier League: http://preml.ge/FantasyPremierLeagueTo license Premier League match footage: https://imgreplay.com/contact#PremierLeague #Goals #2020 #พรีเมียร์ลีกYour safety onlineVisit the Child Exploitation and Online Protection website for confidential support if something has happened online which has made you feel unsafe, if you are worried about someone else or to report online abuse. (https://www.ceop.police.uk/safety-centre)You should contact the Police by calling 999 if you or anybody else is in any sort of danger.Visit CEOP’s Thinkuknow website for advice and guidance on safe surfing and staying safe online for example when using mobile phones, blogs, social media, chatting, online gaming and emailing. (https://www.thinkuknow.co.uk)You can also visit the Premier League safeguarding page for more information. (https://www.premierleague.com/safeguarding)","Welcome to the official Premier League YouTube channel. Keep up to date with the latest content from the Premier League.Subscribe to the official Premier League YouTube channel: http://preml.ge/PremierLeagueYouTube Premier League website: http://preml.ge/PremierLeagueWebsiteFollow the Premier League on Instagram: http://preml.ge/PremierLeagueInstagramFollow the Premier League on Twitter: http://preml.ge/PremierLeagueTwitterLike the Premier League on Facebook: http://preml.ge/PremierLeagueFacebookPlay Fantasy Premier League: http://preml.ge/FantasyPremierLeague","premier league football soccer fantasy premier league premier league goals premier league highlights fpl fyi epl fplfyi premierleague fpl show epl goals epl highlights fantasy premier league show uncut top 5 football highlights football goals trickbox fpl prem uncut premier league football highlights soccer highlights goals highlights","0frvTbcz0dk"
nsAw8fYOXnU,"HIGHLIGHTS | SPURS 2-0 BRENTFORD | Tottenham Hotspur reach Carabao Cup final!","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur","17","572.0","https://i.ytimg.com/vi/nsAw8fYOXnU/default.jpg","Spurs|Tottenham Hotspur|토트넘|손흥민|Spurs 2-0 Brentford|Brentford|Spurs Carabao Cup|Heung min Son|Son|Son Brentford|Moussa Sissoko","Watch full highlights from Tottenham Hotspur's 2-0 Carabao Cup semi-final win against Brentford where goals from Moussa Sissoko and Heung-min Son fired Spurs into the Carabao Cup final at Wembley Stadium!","Welcome to the official Tottenham Hotspur YouTube channel! Subscribe for free now!Exclusive behind-the-scenes access to training and match days, Premier League highlights as well as our famous 'No rules FIFA' and 'How's your Touch?' series are among the many things you can look forward to with multiple new uploads every week!Subscribe now and never miss a video!FOLLOW US!Instagram: https://www.instagram.com/spursofficial/TikTok: https://www.tiktok.com/@spursofficialDownload our App! https://www.tottenhamhotspur.com/spurs-official-app/ Twitter: https://twitter.com/SpursOfficialFacebook: https://www.facebook.com/TottenhamHotspur/","Spurs Tottenham Hotspur 손흥민 토트넘","0frvTbcz0dk"
dnjNhcMsT1c,"EXTENDED HIGHLIGHTS | MANCHESTER UNITED 1-6 TOTTENHAM HOTSPUR","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur","17","523.0","https://i.ytimg.com/vi/dnjNhcMsT1c/default.jpg","Man United 1-6 Spurs|Tottenham 6-1|Heung-min Son|토트넘|손흥민","Watch extended highlights from Tottenham Hotspur's emphatic 6-1 win against Manchester United at Old Trafford.SUBSCRIBE to ensure you don’t miss a video from the Spurs YouTube channel. Hit the bell to get notifications on our latest uploads! ► Subscribe: https://www.youtube.com/channel/UCEg25rdRZXg32iwai6N6l0w?sub_confirmation=1 FOLLOW US!Instagram: https://www.instagram.com/spursofficial/TikTok: https://www.tiktok.com/@spursofficialTwitter: https://twitter.com/SpursOfficialFacebook: https://www.facebook.com/TottenhamHotspur/Download the Spurs App: https://www.tottenhamhotspur.com/spurs-official-app/","Welcome to the official Tottenham Hotspur YouTube channel! Subscribe for free now!Exclusive behind-the-scenes access to training and match days, Premier League highlights as well as our famous 'No rules FIFA' and 'How's your Touch?' series are among the many things you can look forward to with multiple new uploads every week!Subscribe now and never miss a video!FOLLOW US!Instagram: https://www.instagram.com/spursofficial/TikTok: https://www.tiktok.com/@spursofficialDownload our App! https://www.tottenhamhotspur.com/spurs-official-app/ Twitter: https://twitter.com/SpursOfficialFacebook: https://www.facebook.com/TottenhamHotspur/","Spurs Tottenham Hotspur 손흥민 토트넘","0frvTbcz0dk"
hUM7-hMSmuo,"[카라바오컵 준결승] 토트넘 vs 브렌트포드 H/L","UCtm_QoN2SIxwCE-59shX7Qg","SPOTV","17","585.0","https://i.ytimg.com/vi/hUM7-hMSmuo/default.jpg","SPOTV|스포티비|카라바오컵|준결승|손흥민|토트넘|브랜트포드|시소코|결승","토트넘 vs 브렌트포드 경기 하이라이트","","","0frvTbcz0dk"
