video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
gXe8W3lAlcc,"Watch Dubai's 2021 New Year fireworks display","UCPgLNge0xqQHWM5B5EFH9Cg","The Telegraph","25","901.0","https://i.ytimg.com/vi/gXe8W3lAlcc/default.jpg","Telegraph|News|uae|dubai|fireworks|nye|2020|2021","Dubai welcomes in the New Year with a firework display. Read more about international New Year celebrations: https://www.telegraph.co.uk/new-years-eve/Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLHGet the latest headlines: https://www.telegraph.co.uk/Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.","The latest news videos, opinion pieces, animations and series content from the Telegraph, covering world events, sports, entertainment, technology, motoring, food, fashion, beauty, travel and more.Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLHVisit the Telegraph website: http://www.telegraph.co.uk/Like us on Facebook: https://www.facebook.com/TELEGRAPH.CO.UKFollow us on Twitter: https://twitter.com/Telegraph","Telegraph News Sport Culture Business Cruise Motoring Fashion Politics Music Video Food Travel World World News Political News The Telegraph Newspaper Football 90 Second News Quick News Video News Video Platform UK’s Largest YouTube Newspaper UK+World News","3Ow0ET-ob3E"
jGOlGq1ftdw,"TOP 4 Best *LIGHT SHOWS EVER* on Got Talent World!","UCDnEa2HC2eeT-cN3pAKnNTw","Top Viral Talent","24","610.0","https://i.ytimg.com/vi/jGOlGq1ftdw/default.jpg","best light show moments auditions|global got talent auditions|ggt light shows auditions|ggt best light shows auditions|ggt light shows moments|global got talent best light show moments|light show ggt auditions|best light show global got talent auditions|light show global got talent|best global got talent light shows auditions|top light shows on got talent|best light shows got talent|best light show ever|best light show america got talent|best light show dance","TOP 4 Best *LIGHT SHOWS EVER* on Got Talet World!4. Light Balance - Dancers Light Up The Stage3. Attraction - Shadow Act2. UDI - Dance Troupe1. Oskar and Gaspar - Digital Artists","Enjoy the world of Music Talent Now! Where words fail, Music speaks. Music gives a soul to the universe, wings to the mind, flight to the imagination and life to everything. - Plato","music talent singing singing solo voice top voice x factor the x factor got talent","3Ow0ET-ob3E"
44KvHwRHb3A,"Biggest drone display ever! - Guinness World Records","UCeSRjhfeeqIgr--AcP9qhyg","Guinness World Records","24","123.0","https://i.ytimg.com/vi/44KvHwRHb3A/default.jpg","GWR|Guinness World Records|Guinness Records|Guinness|World Record|Guinness Book|World Record Book|record book|record breakers|Record|Officially Amazing|2019|guinness buch der rekorde|ギネス世界記録|ギネス|ギネスブック|lo show dei record|2020|2021|drones|drone cameras|drone lightshow|drone display|drone light show|drone racing|drone dance|best drone|drone racing league|drone display team|drone fails 2020|drone fails|drone camera|uav|uavs|uav light show|ドローン|アート|IT|技術","► Watch the GWR’s Favourites || http://bit.ly/GWR-Favs▶ Order Guinness World Records 2021 || https://bit.ly/GWR-2021The most Unmanned Aerial Vehicles (UAVs) airborne simultaneously consists of 3,051 UAVs, and was achieved by Shenzhen Damoda Intelligent Control Technology Co., Ltd. (China) in Zhuhai, Guangdong, China with this incredible light show!----------------------------------------------------------------------------------------------At Guinness World Records we want to show that everyone in the world is the best at something, and we’re here to measure it! Whether you’ve got the stretchiest skin, know the world’s smallest dog or want to create the largest human dominoes chain we want to hear about it. Here on the Guinness World Records YouTube channel we want to showcase incredible talent. If you're looking for videos featuring the world's tallest, shortest, fastest, longest, oldest and most incredible things on the planet, you're in the right place.----------------------------------------------------------------------------------------------Website || http://bit.ly/GWR-WebsiteFacebook || http://bit.ly/GWR-FBTwitter || http://bit.ly/GWR-TWInstagram || http://bit.ly/GWR-InstaSnapchat || http://bit.ly/GWR-SCTikTok || http://bit.ly/GWR-TTFor licensing: tv@guinnessworldrecords.com#GWR #GuinnessWorldRecords #WorldRecords","At Guinness World Records we want to show that everyone in the world is the best at something, and we’re here to measure it! Whether you’ve got the stretchiest skin, know the world’s smallest dog or want to create the largest human dominoes chain we want to hear about it. Here on the Guinness World Records YouTube channel we want to showcase incredible talent. If you're looking for videos featuring the world's tallest, shortest, fastest, longest, oldest and most incredible things on the planet, you're in the right place.","GWR Guinness World Records Guinness Records Guinness World Record Guinness Book World Record Book record book record breakers Record Officially Amazing Domino Dominoes backflip parkour rube Goldberg longest nails land speed record Guinness rubik’s cube pool trick shots tallest man longest legs stretchiest skin lowest vocal note guinness record world records oldest man guinness record all time record shortest man guinness buch der rekorde ホットウィール best records","3Ow0ET-ob3E"
lCth8wMkG-s,"London 2021 New Years Fireworks","UCIIMAJPiB2TX2hG7L2pGvGg","MissLilyStar","10","602.0","https://i.ytimg.com/vi/lCth8wMkG-s/default.jpg","london|london new year|london 2020|london 2021|london new year 2021|london fireworks|london fireworks 2021|london new year fireworks|london new year fireworks 2021|lasers|drones|fireworks london new year|covid-19|BLM|london nye|london nye 2021|london nye 2020|happy new year|fireworks|fireworks london","Londons' 2021 New Years Celebration, an unannounced firework, drone, lights, and laser show showcasing the positive moments of 2020 spaced apart around famous London buildings ie: The Shard, The o2, Wembley Stadium & Tower BridgeVery different compared to the normal celebrations with fireworks all being shot from the London Eye© BBC No copyright infringement intended, for entertainment purposes only","hii. i'm misslilystar but you can just call me lilyi don't post much on this channel but when i do, it's usually minecraft related content or theme park contenti love animal crossing too :p=+= find me here =+=twitter - https://twitter.com/Lily__B_twitch - https://www.twitch.tv/misslilystardiscord - MissLilyStar#5294minecraft ign - misslilystar=+= support me =+=if you wish, you can support me on ko-fihttps://ko-fi.com/misslilystar","Games Minecraft","3Ow0ET-ob3E"
7Ot2UIS_-hI,"WATCH: New Year's Eve fireworks at Seattle's Space Needle","UCp1KrVaZDZ7BOI_QBuTWWmg","KING 5","25","608.0","https://i.ytimg.com/vi/7Ot2UIS_-hI/default.jpg","local|fireworks|New Year's Eve|Seattle|Space Needle","The Space Needle celebrated its 25th annual fireworks show to ring in 2019. This year's show featured a brand new laser light show from the recently renovated Space Needle. Watch the full program here: https://kng5.tv/NYE2019 #NYESeattle","KING 5 News (NBC Seattle)Seattle Leading Local News: Weather, Traffic, Sports & MoreSee Seattle through new lens with our flagship YouTube series, Local Lens Seattle! [KING 5 Media Group, a TEGNA company]","KING TV SEATTLE","3Ow0ET-ob3E"
i3zGz28jRSA,"2021 New Year Celebrations From Across the Globe | NTD","UC8Ioh4atNDO5a0Vy2qFmauQ","NTD","25","1773.0","https://i.ytimg.com/vi/i3zGz28jRSA/default.jpg","NTD|NTDTV|NTD News|traditional media|Trump|China news|President Donald Trump|China|Chinese culture|trade|China flood|Three Gorges Dam|Donald Trump|Xi Jinping|china in focus ntd|china in focus|ntdtv|election 2020|ntd news|new york|new years eve|new year fireworks|new years celebrations|new years day|fireworks|new year|Australia|new zealand|europe|UK|new years eve music|new years eve countdown|new york city|new year countdown 2021|new years|Taiwan","---------------------💎Subscribe to NTD:  https://ept.ms/NTD💎Support NTD: https://www.ntd.com/support-us.html💎Looking for real news that doesn’t spin the facts? Try our sister media The Epoch Times digital for $1: http://ept.ms/EpochNews1💎Sign the petition to investigate, condemn, and reject the Chinese Communist Party ▶️https://rejectccp.comWatch us on cable ☛ NTD America: Verizon Fios® TV, Channel 158For more news and videos visit ☛ http://www.ntd.comFollow us on Twitter ☛ https://twitter.com/news_ntdFollow us on Parler ☛ https://parler.com/profile/ntdnewsLike us on Facebook ☛https://www.facebook.com/NTDTelevision/Contact us: https://www.ntd.com/contact-us.html---------------------Watch more: NTD News Today https://bit.ly/NTDNewsTodayFullBroadcastNTD Evening News http://bit.ly/NTDEveningNewsFullBroadcastNTD Business http://bit.ly/NTDBusinessFullBroadcastHow the Specter of Communism Is Ruling Our World http://bit.ly/SpecterOfCommunismSeriesNTD Featured Videos http://bit.ly/FeaturedVideosNTD---------------------#NewYear2021 #NewYearCountdown #Asia2021 New Year celebration from across the globe | NTD","NTD is a New York-based, global television network founded in 2001 by Chinese-Americans who fled communism. They understood that independent media are crucial to a free society. So they created NTD to bring the world uncensored and truthful information—no matter the cost.We remain free from all external influence—whether from political, financial, or special interests, and cover stories that others don’t. Our arts and lifestyle programs embody universal values, and celebrate the best of humanity’s culture and traditions. NTD is part of Epoch Media Group.Website: NTD.comWatch NTD on cable: NTDAmerica.comNewsletter sign up: newsletter.ntd.comSupport us: ntd.com/support-us.htmlContact us: ntd.com/contact-us.htmlYoumaker: youmaker.com/channel/5320bda9-baf2-46db-b7a1-870234ae7261FB: facebook.com/NTDTelevisionTwitter: twitter.com/news_ntdParler: parler.com/profile/ntdnewsRumble: rumble.com/c/NTDNewsInstagram: instagram.com/ntdnewsMinds: minds.com/NTDGab: gab.com/NTDNews","NTD NTDTV NTD News US news traditional media Trump conservative tv Hong Kong news China news President Donald Trump Hong Kong Police Hong Kong Protests China Falun Gong Tang Dynasty Chinese culture Organ harvesting united state trade","3Ow0ET-ob3E"
y0hsl8C7kZw,"What's inside the Space Needle?","UCbsfyGlrjrKQC0gbzK0-EiA","Jared Owen","1","465.0","https://i.ytimg.com/vi/y0hsl8C7kZw/default.jpg","Space Needle|Seattle|Washington|Pike Place|World's Fair|Space Race|1960s|building|architecture|eiffel tower|skyline level|loupe|glass floor|revolving glass flour|observation deck|monorail|elevators|keeps|service level|seattle children's museum|chihuly garden and glass|pacific science center|museum of pop culture|jared owen|jared owen animation|blender|blender3d|b3d","Thanks to Keeps for sponsoring this video! Head to https://keeps.com/JaredOwen to learn more and get 50% off your first order of hair loss treatment.Video Summary: The Space Needle is located in Seattle Washington.  It was built in 1962 just in time for the World's Fair.  The top looks like a Flying Saucer and is meant to inspire people to look towards the future. The Space Needle is an icon to Seattle just as the Eiffel Tower is to Paris, France.  Around the Space Needle there is plenty to see and do as well. The bottom of the building has a large spiral ramp that tourists get to climb on their way towards the elevators.  The top of tower has the observation level with an outdoor deck, a service level, and The Loupe which features a revolving glass floor.  The center of the tower has supports for the 3 elevators and the stairs which are mostly used for emergencies.  The Skyline level is for private events at the Space Needle.  Follow me on social media:Facebook: https://www.facebook.com/JaredOwenAnimationsInstagram: https://www.instagram.com/JaredOwenAnimationsTwitter: https://www.twitter.com/JaredOwen3DPatreon: https://www.patreon.com/JaredOwenAnimationsHelp me subtitle this video in your native language:https://www.youtube.com/timedtext_cs_panel?c=UCbsfyGlrjrKQC0gbzK0-EiA&tab=2The 3D model of the Space Needle was purchased from TurboSquid:https://www.turbosquid.com/3d-models/space-needle-tower-seattle-model-1425292I had to modify the top of the tower and create the inside layouts.Internet Sources:https://www.spaceneedle.com/https://youtu.be/HLegXStUfBohttps://youtu.be/Gmu3asNGAYwhttps://youtu.be/d4-E1lqS-Oshttps://youtu.be/XXRhrOsF8qgBook Sources:The Space Needle (Building on a Dream) by Tamra B Orr     https://amzn.to/39Lc2WBMusic: (Soundstripe.com)Bahama Mama by Mikey GeigerHappy Snappy Love by New Wave SoundsMade with Blender 2.81, Cycles Render with AI DenoisingHere is some of the gear that I use for animation:Graphics Card: GTX 1080ti https://amzn.to/2t70HN0CPU: i7-8700k https://amzn.to/2WEk9OEMotherboard: Asus Prim Z370-A https://amzn.to/2t4EVthMicrophone: Samson Go Mic https://amzn.to/2GaSpvVMouse: Logitech G600 https://amzn.to/2UKhf9P#b3d #SpaceNeedle #Seattle","Thanks for visiting my channel! I use 3D Animation to show and explain how things work.Have an idea for something I could animate?  Please leave me a comment in my most recent video. For those interested, I use Blender which is completely free.  The software can be found here:  www.blender.orgHere's my story and a little more about me:     https://www.blendernation.com/2018/11/19/meet-the-artist-jared-owen/Support the channel:     www.patreon.com/JaredOwenAnimationsHelp me subtitle my videos in your language:    http://www.youtube.com/timedtext_cs_panel?c=UCbsfyGlrjrKQC0gbzK0-EiA&tab=2Disclaimer:    All of the Amazon links that you see in my video descriptions are affiliate links","how things work 3D Animation Explainer Videos","3Ow0ET-ob3E"
CWYKpwlVGso,"Best Fireworks Festival Nagaoka Nigata JAPAN","UCj9eY7AvnoL8z28BoTa2jzg","M Hide","19","1999.0","https://i.ytimg.com/vi/CWYKpwlVGso/default.jpg","MHide|fireworks|japan|best|no1|nagaoka|newyear|2020|america|Dubai|London|Joe Biden|Donald Tramp|Biden|Trump|happy new year","The Nagaoka fireworks Festival Show will launch 20.000fireworks in two nights(2nd and 3rd ,August),and will be held against the backdrop of the Shinano River,the longest in Japan.The most spectacular and magnificent fireworks color the summer night sky of Nagaoka,and attract us.The breathtaking Nagaoka Fireworks will make unforgettable memories in your hearts.[Fireworks program August 2, 2019]0:00  Ten chi jin Fireworks3:05  Phoenix Fireworks Wishing for Recovery6:33  Size 30, Shô-Sanjakudama7:55  Size 30, Shô-Sanjakudama9:00  “Furusato Wa Hitotsu” Fireworks 12:50    Kome Hyappyô Fireworks,1-foot-diameter shell               (100 shots in sequence)[Fireworks program August 3, 2019]16:30  “Kono Sora no Hana” Fireworks20:10   Phoenix Fireworks Wishing for Recovery23:35   “Furusato Wa Hitotsu” Fireworks27:05    Size 30, Shô-Sanjakudama29:30    Kome Hyappyô Fireworks,1-foot-diameter shell                (100 shots in sequence)[history]The year after the Nagaoka air raid on August 1, 1954, the Nagaoka citizens rose to reconstruction, holding the Nagaoka Revival Festival on August 1, the fireworks display revived in 1954 and celebrated 70 years this year It was.Looking back on the history of Nagaoka Fireworks, the thoughts of memorials, reconstruction, prayers for peace that the predecessors have connected have been born.The strong feelings put in Nagaoka fireworks have not changed even after 70 years, and are well handed down among us living now.[camera]SONY α7S II [7SM2]Nikon 14-24 f2.8 Commlite ENF-E1 PRO#MHide","Thank you for always watching. 🙇Thank you so much for all the comments 😃About things in Japan ✈️I think that impression will be conveyed from my image.A beautiful image & sound quality is the concept.✨✨🙇 Please register for channel 🙇Saya akan melakukan yang terbaik dengan konsep kualitas gambar tinggi dan kualitas suara tinggi.Silakan suka & berlanggananKami akan menjawab jika Anda memiliki pertanyaan atau komenMerci de toujours regarder.Merci pour votre commentaire.J'espère que l'atmosphère sera transmise au sujet du Japon.Le concept est de belles images et qualité sonore.Veuillez enregistrer votre chaîne.Спасибо, что всегда смотрели.Спасибо за ваш комментарий.Я надеюсь, что атмосфера будет передана о Японии.Концепция - красивые изображения и качество звука.Пожалуйста, зарегистрируйте свой канал.謝謝你一直在看謝謝你的評論我希望有關日本的氣氛這個概念是美麗的圖像和音質請註冊您的頻道मैं उच्च छवि गुणवत्ता और उच्च ध्वनि गुणवत्ता की अवधारणा के साथ अपना सर्वश्रेष्ठ प्रदर्शन करूंगा।कृपया लाइक करें और","MHide zombie USJ funny fireworks kids News","3Ow0ET-ob3E"
F6D2Jo3WQ4k,"Times Square 2021 Ball Drop in New York City: full video","UCVaXclURQZlakiTMzuwHvRw","News 19 WLTX","25","303.0","https://i.ytimg.com/vi/F6D2Jo3WQ4k/default.jpg","news19|sports|newest|scsouthcarolina19|viral|trending|columbia|latest|sc|news|midlands|wltx|weather","2020 is over! The famous Times Square Ball drop in New York City officially signaled the start of 2021, ending a year fraught with the pandemic and social turmoil in America and around the world.Follow us on Twitter: @WLTXFollow us on Facebook: @WLTXNews19Check out our website: WLTX.com","","news wltx news19 tegna accurate current live family friendly cbs scsouthcarolina19","3Ow0ET-ob3E"
_EACvmk3tEY,"New Year's 2021: Auckland, New Zealand rings in New Year with fireworks show","UChLtXXpo4Ge1ReTEboVvTDg","Global News","24","379.0","https://i.ytimg.com/vi/_EACvmk3tEY/default.jpg","new year's eve|new year's eve 2021|new year's eve countdown|new year's eve fireworks|new years eve 2021|new zealand fireworks show|new zealand new years eve|new zealand nye fireworks|new zealand fireworks new years 2021|nye|auckland fireworks show|auckland fireworks display|auckland fireworks|auckland light show","Auckland, New Zealand was one of the first places in the world to ring in 2021, with a dazzling fireworks display and a light show from its iconic Sky Tower and harbour.Revellers on the waterfront watched the five-minute show with brightly coloured fireworks and laser lighting shooting into the night sky over the city's harbour.While many countries restricted gatherings and cancelled their traditional New Year celebrations due to the coronavirus pandemic, Auckland's residents were able to ring in the new year to watch the show in person. New Zealand currently has 55 active cases.For more info, please go to https://globalnews.ca/news/7548867/new-years-eve-2020-coronavirus/Subscribe to Global News Channel HERE: http://bit.ly/20fcXDcLike Global News on Facebook HERE: http://bit.ly/255GMJQFollow Global News on Twitter HERE: http://bit.ly/1Toz8mtFollow Global News on Instagram HERE: https://bit.ly/2QZaZIB#GlobalNews #NEWYEARS2021 #NYE #NewYearsEve","Welcome to the official Global News channel on YouTube. Please subscribe and join us at our website: http://globalnews.ca.Commenting Policy:Please keep your comments and posts clean, constructive and on topic. Unlawful, disrespectful, slanderous, defamatory, malicious, threatening, profane, obscene, tasteless or pornographic remarks will not be tolerated, and will be deleted without notice. Spam, graffiti, campaigning and advertising are also strictly prohibited. While we encourage free speech and debate, harassment and attacks on fellow YouTube users are unacceptable. Repeated abusers of this policy will be reported, and may be banned.Schedule of Original Content:Daily - Global NationalThursday - Global News ExplainsSunday - The West Block","Global News Global National global national news","3Ow0ET-ob3E"
