video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
anZ0Tg44ElE,"We Paid $77K Each For The Ram TRX AND The Ford F-150 Raptor: Here's Which Truck Is The Better Buy!","UCDYoRaOBygvmVdRqne0XG2A","TFLoffroad","2","753.0","https://i.ytimg.com/vi/anZ0Tg44ElE/default.jpg","TFLoffroad|TFL|ram trx vs ford raptor|ford raptor vs ram trx|ram rebel trx vs ford raptor|2021 ram rebel trx vs ford raptor|ford raptor|ram trx|2021 ram 1500 trx|ram 1500 trx|2021 ram trx|ford f-150 raptor|ford f150 raptor|2020 ford raptor|ram 1500 trx vs ford 150 raptor|2021 ford raptor|trx vs raptor|2021 ram rebel trx|ram rebel trx|raptor vs trx|f-150 raptor vs rebel trx|ford f-150|ram vs ford|raptor|ram 1500|new ram trx|f-150 raptor|trx|ford","( https://www.5StarTuning.com ) The guys at 5 Star Tuning offer performance solutions for Ford, Ram, and other trucks and cars. GIVE THE GIFT OF A TFL T-SHIRT! You know the truck and car lovers on your list want one. (https://www.duckco.com/tfl-store). In this video, we put our money where our mouth is by comparing the brand new Ram TRX against the Ford F-150 Raptor — each of which we bought for around $77,000. Which one would you rather have for the money?( http://www.patreon.com/tflcar )  Visit our Patreon page to support the TFL team!Watch more videos from TFL Studios:The Fast Lane Truck ( https://www.youtube.com/tfltruck )The Fast Lane Car ( https://www.youtube.com/tflcar )TFLoffroad ( https://www.youtube.com/tfloffroad )TFLbike (https://www.youtube.com/channel/UCo9xl4LtXSbsywS_J2n4iUQ )TFLnow ( https://www.youtube.com/tflnow )TFLclassics ( http://www.youtube.com/tflclassics )TFLtalk (https://www.youtube.com/tfltalk )TFL Podcasts:TFL Talkin' Cars Podcast ( https://tflcar.libsyn.com/ )TFL Talkin' Trucks Podcast ( https://tfltruck.libsyn.com/ )#TRX #Raptor #OffroadTrucks","","Automotive off-road powersports atv watercraft bike","1hsaGjOoT6Q"
Hu0yE4Cryq8,"TAKING DELIVERY OF MY 702HP RAM TRX!!! *FIRST IN THE WORLD WITH THIS OPTION!*","UCa9MHqAoA-8KeNm8pgShRaw","Street Speed 717","2","1285.0","https://i.ytimg.com/vi/Hu0yE4Cryq8/default.jpg","cleetus mcfarland|cleetus|cleetusmcfarland|doug demuro|dougdemuro|tavarish|daily driven exotics|dailydrivenexotics|dde|goonzquad|tj hunt|tjhunt|adam lz|adamlz|itsjusta6|its just a 6|duramax|mclaren|corvette","WIN MY 2017 FORD RAPTOR!!! EVERY $5 SPENT ON https://inshanedesigns.com/​ Gets you 5 AUTOMATIC Entries to WIN!","My name is Mike. I make car videos and put them on the internet. Proud owner of a 2019 ZR1, 1993 Corrado, 1997 Blazer, 2020 Duramax, C8 Corvette, and a Cub Cadet riding mower! Subscribe today! CAR MANUFACTURES AND AFTERMARKET COMPANIES I WOULD LOVE TO HEAR FROM YOU!IMPORTANT:DO NOT MESSAGE OR EMAIL ME ABOUT YOUTUBE PARTNERSHIPS/NETWORKS. TAKE THAT BULLSHIT SOMEWHERE ELSE-","top gear super speeders subarwrxfan thatdudeinblue regularcars regular car reviews DDE daily driven exotics itsjusta6 cleetus mcfarland tavarish goonzsquad doug demuro b is for build","1hsaGjOoT6Q"
_MaODpHorDY,"2021 Ram TRX Review — Off-Road in the Supercharged Ram 1500! Price, Release Date, HP & More","UCF8e8zKZ_yk7cL9DvvWGSEw","Edmunds","2","1083.0","https://i.ytimg.com/vi/_MaODpHorDY/default.jpg","ram trucks|trx news|ram rebel trx|ram trx|dodge ram trucks|ram trucks for sale|ram trucks near me|ram trucks for sale near me|who makes ram trucks|dodge ram rebel trx|best off road truck|dodge ram trx|ram rebel trx price|new ram truck|trx news today|2020 ram rebel trx|ram trucks 2020|ram rebel trx release date|ram rebel trx for sale|ram trx price|ram trx concept|new ram trucks|ram trx rebel|ram 1500 trx|ford raptor|f-150|f-150 raptor","Read our full 2021 Ram 1500 review: https://edmu.in/3ke2uZC In this video, Travis Langness takes you behind the wheel of the all-new Ram 1500 TRX. This powerful Ram truck is the latest to get the supercharged 6.2-liter V8 that's also found in the Dodge Charger, Challenger and Durango. In the TRX, it's good for 702 horsepower and a quarter-mile claim of 12.9 seconds. How does it all work and what's it like to drive off-road? We'll tell you this and a whole lot more, including the Ram TRX release date, price and how it stacks up against other off-road pickups like the Ford Raptor. Subscribe to Edmunds https://www.youtube.com/user/edmundsvideo?sub_confirmation=1 for the latest car news, car reviews, car comparisons, car shopping and advice. Visit us! https://www.edmunds.com","Edmunds.com is a car-shopping website driven to make car buying easy. Our team of automotive experts shares the latest cars and trucks with comprehensive reviews, first impression drives and advice on car buying, selling, financing and safety. Subscribe for more: http://tinyurl.com/8dklalg","new car reviews automotive reviews car shopping road test new cars auto show car buying tips test drive car comparison truck SUV edmunds car automotive reviews edmunds.com","1hsaGjOoT6Q"
bh-dSLdPPXM,"$100,000 HELLCAT TRUCK! 2021 Ram 1500 TRX Review","UC86SBFIAgnYL3ll2ZDgmsuA","TheStraightPipes","2","1171.0","https://i.ytimg.com/vi/bh-dSLdPPXM/default.jpg","TheStraightPipes|The Straight Pipes|Straight Pipes|StraightPipes|Exhaust|Sound|Review|ram 1500|ram 1500 trx|ram trx|2021 ram trx|2021 ram 1500 trx|dodge ram 1500|2019 ram 1500|ram 1500 ecodiesel for sale|dodge ram 1500 ecodiesel|dodge ram 1500 diesel for sale|dodge ram 1500 for sale near me|2001 dodge ram 1500|2019 dodge ram|ram rebel|dodge rebel|2020 ram 1500|dodge ram rebel|ram 1500 for sale|dodge ram 1500 for sale|ram 1500 pickup|ram 1500 dealer","2021 Ram 1500 TRX review by The Straight Pipes. The Ram TRX is pumping out 702hp 650 lb-ft torque from a Supercharged V8. At $118,535 CAD, would you take it over a Ford F-150 Raptor?Blackhorn Offroad wheels (5% off with discount code 'straightpipes'): http://blackhornoffroad.comMaingear Computers: https://maingear.com/StraightPipesSupport us on Patreon: https://www.patreon.com/thestraightpipesBecome a YouTube Member! https://www.youtube.com/channel/UC86SBFIAgnYL3ll2ZDgmsuA/joinSubscribe! http://www.youtube.com/subscription_center?add_user=TheStraightPipesFacebook! https://www.facebook.com/thestraightpipesInstagram! https://www.instagram.com/thestraightpipesTwitter! https://twitter.com/StraightPipersMERCH! https://teespring.com/stores/thestraightpipesCheck out Continental Tire at https://www.continentaltire.com/thestraightpipes-------------------#ram #ram1500 #truck-------------------","New Car reviews by Yuri and Jakub based out of Toronto, Canada and viewed by the whole world!Members of the Automobile Journalists Association of Canada.Not represented by any agencies.","Exhaust Car Straight Pipe Straight Pipes The Straight Pipes TheStraightPipes StraightPipes Channel Catback Turbo Intake Supercharge Supercharger Supercharged Loud Subaru WRX STI WRX STI Sound Sounds Motortrend TheSmokingTire Doug Demuro","1hsaGjOoT6Q"
MiNWakn9Pyw,"TRX vs Raptor: You'll REALLY Be Surprised By How They Do on the World's Toughest Towing Test!","UCO-85LYfB61OP4SRAgpfncw","The Fast Lane Truck","2","713.0","https://i.ytimg.com/vi/MiNWakn9Pyw/default.jpg","ram trx|2021 ram trx|2021 ram 1500 trx|ram rebel trx|ford raptor vs ram trx|2021 ram rebel trx vs ford raptor|2021 ram rebel trx|ram trx vs ford raptor|ram rebel trx vs ford raptor|ram|ram trx 2021|2021 ram trx truck|ram trx review|ram rebel trx 2021|new ram trx|raptor vs trx|trx|ram 1500|ram rebel trx interior|ram trucks|trx vs raptor|ford raptor vs ram 1500 trx|ram 1500 trx vs ford 150 raptor|ram 1500 trx 2021|ike gauntlet|towing|ford raptor","( https://www.transwest.com/frederick ) First ever simultaneous Tow Off! We take a new 2021 Ram TRX and a Ford Raptor up and down the Ike Gauntlet - the world's toughest towing test with identical loaded trailers at the same time. Wear your own piece of TFL with a T-shirt from Duck Co.! There's a TFL shirt for off-road lovers, truck guys, and even the famed IKE Gauntlet™. Order yours today:(https://www.duckco.com/tfl-store).( http://www.patreon.com/tflcar )  Visit our Patreon page to support the TFL team!00:00-00:49 Intro00:49-3:52 Downhill3:53-5:38 Drag Race5:39-11:05 Uphill11:06-11:52 MPGWatch more videos from TFL Studios:The Fast Lane Truck ( https://www.youtube.com/tfltruck )The Fast Lane Car ( https://www.youtube.com/tflcar )TFLoffroad ( https://www.youtube.com/tfloffroad )TFLbike (https://www.youtube.com/channel/UCo9xl4LtXSbsywS_J2n4iUQ )TFLnow ( https://www.youtube.com/tflnow )TFLclassics ( http://www.youtube.com/tflclassics )TFLtalk (https://www.youtube.com/tfltalk )TFL Podcasts:TFL Talkin' Cars Podcast ( https://tflcar.libsyn.com/ )TFL Talkin' Trucks Podcast ( https://tfltruck.libsyn.com/ )#RamTRX #FordRaptor #IkeGauntlet","All Trucks All The Time! Welcome to the Fast Lane Truck, TFLcar's latest all truck Channel. Uploading consistently, The Fast Lane Truck features everything from towing tests to off-road reviews of America's Best Selling Vehicles.","truck review comparison test pickup truck real world towing trailer mpg acceleration off-road 4x4","1hsaGjOoT6Q"
jLE-E_dIRko,"Is The Honeymoon Over? These Are the Things I Love & Hate About The New Ram TRX After Two Weeks!","UCO-85LYfB61OP4SRAgpfncw","The Fast Lane Truck","2","529.0","https://i.ytimg.com/vi/jLE-E_dIRko/default.jpg","TFLtruck|2021 ram trx|2021 ram 1500 trx|ram trx|ram trx 2021|2021 ram trx truck|ram 1500 trx|2021 ram trx 1500|2021 ram rebel trx|ram 1500 trx 2021|ram rebel trx 2021|2021 ram 1500|new ram trx|trx|2021 ram 1500 trx review|ram trx review|2021 ram|ram trx exhaust|ram|ram rebel trx|ram 1500|ram trx price|all-new ram trx|2021 ram trx sound|2021 ram trx hellcat|2021 ram 1500 review|2021 ram trx interior|2021 rebel trx|trx jump|damage|0-60 mph","Get over 67% off the Kove Commuter 2 here: http://koveaudio.com/fast67Code FAST67 (works site-wide).  (New Year Discount/free US shipping  are subject to change after January)( https://www.tfltruck.com ) Is the honeymoon over yet? These Are the top 5 things I love & hate about the new 2021 Ram TRX after two Weeks of ownership. I drag raced it, towed with it, took it off-road, and put nearly 2,000 miles on the clock. It's not ALL smiles and butterflies. Wear your own piece of TFL with a T-shirt from Duck Co.! There's a TFL shirt for off-road lovers, truck guys, and even the famed IKE Gauntlet™. Order yours today:(https://www.duckco.com/tfl-store).( http://www.patreon.com/tflcar )  Visit our Patreon page to support the TFL team!Watch more videos from TFL Studios:The Fast Lane Truck ( https://www.youtube.com/tfltruck )The Fast Lane Car ( https://www.youtube.com/tflcar )TFLoffroad ( https://www.youtube.com/tfloffroad )TFLbike (https://www.youtube.com/channel/UCo9xl4LtXSbsywS_J2n4iUQ )TFLnow ( https://www.youtube.com/tflnow )TFLclassics ( http://www.youtube.com/tflclassics )TFLtalk (https://www.youtube.com/tfltalk )TFL Podcasts:TFL Talkin' Cars Podcast ( https://tflcar.libsyn.com/ )TFL Talkin' Trucks Podcast ( https://tfltruck.libsyn.com/ )#Ram #TRX #Ownership","All Trucks All The Time! Welcome to the Fast Lane Truck, TFLcar's latest all truck Channel. Uploading consistently, The Fast Lane Truck features everything from towing tests to off-road reviews of America's Best Selling Vehicles.","truck review comparison test pickup truck real world towing trailer mpg acceleration off-road 4x4","1hsaGjOoT6Q"
Wd3xoq8NOXs,"Family Vacation: I Test If The 2021 GMC Sierra Diesel REALLY Gets 24 MPG On A 400-Mile Road Trip!","UCnRXwIiUyy1Jk3eviwPTdNg","TFLnow","2","483.0","https://i.ytimg.com/vi/Wd3xoq8NOXs/default.jpg","tflnow|the fast lane|gmc sierra|2021 gmc sierra|gmc sierra diesel|2020 gmc sierra 1500 diesel|2021 gmc sierra 1500|2020 gmc sierra|2020 gmc sierra 1500|gmc sierra 2021|diesel|gmc|2021 gmc sierra 1500 at4|sierra 1500 diesel|sierra|gmc sierra 1500|sierra diesel|gmc sierra 1500 diesel|2021 gmc sierra at4|2021 gmc sierra 1500 diesel|2021 gmc sierra 2500hd|gmc sierra diesel fuel economy|2021 gmc|gmc sierra duramax diesel|2021 gmc sierra hd|duramax diesel","The 2021 GMC Sierra AT4 with the 3.0-liter Duramax diesel engine should be one of the most efficient off-road trucks around, but how well does it cope on a frigid 400-mile family road trip in the Colorado Rockies? Andre puts GM's fuel economy claims to the test on a skiing vacation.( http://www.patreon.com/tflcar )  Visit our Patreon page to support the TFL team!Watch more videos from TFL Studios:The Fast Lane Truck ( https://www.youtube.com/tfltruck )The Fast Lane Car ( https://www.youtube.com/tflcar )TFLoffroad ( https://www.youtube.com/tfloffroad )TFLbike (https://www.youtube.com/channel/UCo9xl4LtXSbsywS_J2n4iUQ )TFLnow ( https://www.youtube.com/tflnow )TFLclassics ( http://www.youtube.com/tflclassics )TFLtalk (https://www.youtube.com/tfltalk )TFL Podcasts:TFL Talkin' Cars Podcast ( https://tflcar.libsyn.com/ )TFL Talkin' Trucks Podcast ( https://tfltruck.libsyn.com/ )#Duramax #Diesel #MPG","Live Updates, Behind the Scenes, Automotive News, Views and Real Word Reviews from TFL Studios","Car Cars Auto pickup truck vehicle Automobile News Review Reviews","1hsaGjOoT6Q"
di3KFAmSIN0,"The 702-HP RAM 1500 TRX is the Most Vicious Pickup You Can Buy (In-Depth Review)","UCBBf76weOf-4p_cIzOd71hg","MilesPerHr","2","3391.0","https://i.ytimg.com/vi/di3KFAmSIN0/default.jpg","2021 ram trx 1500|ram 1500 trx|ram trx|2021 ram 1500 trx review|2021 ram 1500 trx|2021 ram trx|ram trucks|trx|ram|2021 ram 1500|ram trx review|2021 ram trx truck|new ram trx|ram trx exterior|ram 1500 trx interior|2021 ram 1500 review|ram trx exhaust|2021 ram 1500 trx test drive|2021 ram 1500 trx hellcat|2021 ram 1500 trx walkaround|all-new ram trx|2021 ram|milesperhr|ram 1500 trx 2021|ram trx 2021|ram 1500|trx vs raptor|2021 ford raptor|4x4|truck","Subscribe ► https://bit.ly/3bADvMnPrice (as tested) 💲: 90,060Powertrain ⚙️: 6.2-liter supercharged HEMI V8Output 💪: 702hp, 650 lb-ft of torqueTransmission 🕹: 8-speed automatic0-60 MPH 🚦: 4.5 secondsTop Speed 💥: 118 mphMPG (as tested) ⛽️: 10 city/14 hwy/12 combinedCurb weight ⚖️: 6,350 lbsOnly the professionals (or big kids) at FCA would think to drop a 702-hp Hellcat engine in a full-size pickup truck, add on a bespoke 2.5-inch Bilstein suspension, load on 35-inch All-Terrain tires, and go hunting for Ford F-150 Raptors, but thank goodness they did. Miles straps into the 2021 RAM 1500 TRX to see how a supercharged, desert-blasting pickup can handle the real world (and a few off-road obstacles). Is the TRX (pronounced T-Rex) too much to handle every day, or is it just the right amount of insanity to provide a thrill worth $72,000? Find out in this in-depth review. #2021ram1500trx #2021ram #ramtruck #ram1500trx #ram1500 #review #exhaust-------------------------------------------❗️ New Videos Every Day✅  Subscribe🔔  Turn On Notifications👍  Support The Channel:MPH Gear ► https://teespring.com/stores/milesperhrPatreon ►https://www.patreon.com/milesperhr🔎  Follow Along:Instagram ► http://instagram.com/milesperhr Tik Tok  ► https://www.tiktok.com/@milesperhrFacebook ► http://facebook.com/milesperhr Site ► http://milesperhr.com🧰  Equipment used:Walkaround Camera  ► https://amzn.to/3dmQWzfPOV + Review Camera  ► https://amzn.to/2QOEuPJReview Mic ► https://amzn.to/3blOutcWalkaround Mic  ► https://amzn.to/3b7GJVTPOV (3D Audio) Mic  ► https://amzn.to/2L31fwqLive Q&A Gimbal  ► https://amzn.to/3fr0StCSkip Ahead:Intro: 00:00Exterior Walkaround: 01:58Interior Walkaround: 13:54Exhaust: 42:18City Driving Impressions: 42::26Off-Road Driving Impressions: 49:00Competitors: 53:21","Welcome to MilesPerHr, where we let the car be the star.With access to new luxury and performance vehicles, we produce 4 core segments:1) POV Drives: These first-person videos put you in the driver's seat, letting you hear (in 3D Audio) and see (in HD) each vehicle's features, performance, and comforts without commentary.2) Walkarounds: It's time to explore these vehicles in-depth. This first-person walkaround experience catalogues every key feature without commentary.3) Reviews: In our reviews, we let experienced automotive journalists reveal the best and worst characteristics of these cars so you can feel confident in your future purchase.4) Live Q&A's: Tune in to weekly Live Q&A videos to get your questions answered in real time and (hopefully) have a few laughs. Please visit milesperhr.com for more information, and follow on Instagram + TikTok (@milesperhr).For business inquiries, please use the email provided below.Thank you, and enjoy the ride!","milesperhr miles branman miles per hour car review mph walkaround vehicle review walkarounds pov drive new car supercar fast car exotic car track car first drive truck SUV sports car test drive pov drives new cars supercars sports cars car reviews first drives exotic cars lamborghini ferrari dodge jeep amg mercedes-amg bmw land rover pov test drive test drive q&a","1hsaGjOoT6Q"
Na7R3JRdwgA,"Maxed Out! Watch The 702 HP Ram TRX Take On The World's Toughest Towing Test","UCO-85LYfB61OP4SRAgpfncw","The Fast Lane Truck","2","1102.0","https://i.ytimg.com/vi/Na7R3JRdwgA/default.jpg","ram trx|ram 1500 trx|2021 ram 1500 trx|2021 ram trx|ram rebel trx|2021 ram rebel trx|2021 ram trx truck|ram rebel trx 2021|ram|trx|ram trucks|ram rebel trx interior|2021 ram rebel trx vs ford raptor|ram rebel trx drive|new ram trx|ram trx 2021|ram rebel|ram rebel trx 2020|ram trx review|ram rebel trx vs ford raptor|all-new ram trx|ram 1500|hellcat ram|2021 ram 1500|ram trx vs ford raptor|rebel trx|ram 1500 trx 2021|ike gauntlet|towing|review","( https://www.tflbids.com and https://www.genyhitch.com ) We have a new truck Auction site! I take the new 2021 Ram TRX to go up and down the Ike Gauntlet - the world's toughest towing test at full capacity!GIVE THE GIFT OF A TFL T-SHIRT! You know the truck and car lovers on your list want one. (https://www.duckco.com/tfl-store).( http://www.patreon.com/tflcar )  Visit our Patreon page to support the TFL team!Watch more videos from TFL Studios:The Fast Lane Truck ( https://www.youtube.com/tfltruck )The Fast Lane Car ( https://www.youtube.com/tflcar )TFLoffroad ( https://www.youtube.com/tfloffroad )TFLbike (https://www.youtube.com/channel/UCo9xl4LtXSbsywS_J2n4iUQ )TFLnow ( https://www.youtube.com/tflnow )TFLclassics ( http://www.youtube.com/tflclassics )TFLtalk (https://www.youtube.com/tfltalk )TFL Podcasts:TFL Talkin' Cars Podcast ( https://tflcar.libsyn.com/ )TFL Talkin' Trucks Podcast ( https://tfltruck.libsyn.com/ )#ram #trx #towing","All Trucks All The Time! Welcome to the Fast Lane Truck, TFLcar's latest all truck Channel. Uploading consistently, The Fast Lane Truck features everything from towing tests to off-road reviews of America's Best Selling Vehicles.","truck review comparison test pickup truck real world towing trailer mpg acceleration off-road 4x4","1hsaGjOoT6Q"
IZ5pmDf8_hM,"RACING MY NEW 702HP RAM TRX Against a LAMBORGHINI!!! *YOU WON'T BELIEVE THIS!*","UCa9MHqAoA-8KeNm8pgShRaw","Street Speed 717","2","1235.0","https://i.ytimg.com/vi/IZ5pmDf8_hM/default.jpg","cleetus mcfarland|cleetus|cleetusmcfarland|doug demuro|dougdemuro|tavarish|daily driven exotics|dailydrivenexotics|dde|goonzquad|tj hunt|tjhunt|adam lz|adamlz|itsjusta6|its just a 6|duramax|mclaren|corvette","CLICK THIS LINK! https://inshanedesigns.com/ Every $5 you spend gets you 10 ENTRIES to WIN MY RAPTOR AND LBZ DURAMAX!!!","My name is Mike. I make car videos and put them on the internet. Proud owner of a 2019 ZR1, 1993 Corrado, 1997 Blazer, 2020 Duramax, C8 Corvette, and a Cub Cadet riding mower! Subscribe today! CAR MANUFACTURES AND AFTERMARKET COMPANIES I WOULD LOVE TO HEAR FROM YOU!IMPORTANT:DO NOT MESSAGE OR EMAIL ME ABOUT YOUTUBE PARTNERSHIPS/NETWORKS. TAKE THAT BULLSHIT SOMEWHERE ELSE-","top gear super speeders subarwrxfan thatdudeinblue regularcars regular car reviews DDE daily driven exotics itsjusta6 cleetus mcfarland tavarish goonzsquad doug demuro b is for build","1hsaGjOoT6Q"
