video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
JRYEF_y_t_U,"College Football Playoff National Championship Game Highlights: Alabama vs. Ohio State | ESPN","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football","17","609.0","https://i.ytimg.com/vi/JRYEF_y_t_U/default.jpg","alabama vs ohio state|alabama vs ohio state national championship game|college football national championship game|national championship game|college football playoff championship|national championship|alabama|alabama football|alabama crimson tide|mac jones|devonta smith|najee harris|devonta smith national championship game|devonta smith vs ohio state|alabama ohio state|alabama ohio state highlights|alabama vs ohio state highlights|ncaaf|football|espn|espn live","Watch the highlights as Mac Jones, DeVonta Smith, Najee Harris and the Alabama Crimson Tide take on Justin Fields and the Ohio State Buckeyes in the 2021 College Football Playoff National Championship Game.#Sports✔️ Donate now to Jimmy V Fund here: https://www.v.org/v-week/✔️Subscribe to ESPN+ http://espnplus.com/youtube✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn✔️Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTVESPN on Social Media:► Follow on Twitter: http://www.twitter.com/espn► Like on Facebook: http://www.facebook.com/espn► Follow on Instagram: http://www.instagram.com/espnVisit ESPN on YouTube to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, NHL, MLB, NBA, College Football, NCAA Basketball, soccer and more. More on ESPN.com: https://www.espn.com","","espn college football on espn espn college football ncaaf college football 2019 ncaa ncaa football","2sl9svFtjQ8"
cBlnAKYrhxM,"Top Plays of the 2020 Regular Season | NFL Highlights","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","1598.0","https://i.ytimg.com/vi/cBlnAKYrhxM/default.jpg","[none]","Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfoo...NFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #TopPlays #Highlights","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","2sl9svFtjQ8"
i83frFiOyHE,"What Happened to EVERY Heisman Winner Since 2000: Tebow, RGIII, Bush & More!","UCJdl3Paao2f3ha5JXMYUCIA","NFL Throwback","17","985.0","https://i.ytimg.com/vi/i83frFiOyHE/default.jpg","nfl|american football|nfl history|nfl highlights|nfl vault|nfl throwback","What Happened to EVERY Heisman Winner Since 2000!The NFL Throwback is your home for all things NFL history.Check out our other channels:NFL Films - YouTube.com/NFLFilmsNFL Network- YouTube.com/NFLNetworkNFL Rush - YouTube.com/NFLRushNFL - YouTube.com/NFL#NFL #NFLThrowback #NFLHistory #Football #AmericanFootball #NFLVault","Welcome to the NFL Throwback.  Relive the greatest games, best stories, and most ridiculous moments in football history.","nfl nfl vault nfl history nfl highlights american football","2sl9svFtjQ8"
zVlqXu2Q_1U,"December 28, 2019 - CFP Semifinal Peach Bowl - #4 Oklahoma vs #1 LSU","UCz7Hj7QpfUwb4VZdXxmgOPQ","Boys From The Boot","22","10765.0","https://i.ytimg.com/vi/zVlqXu2Q_1U/default.jpg","LSU|LSU Tigers|LSU Tigers football|LSU football 2019|LSU Tigers Football 2019|SEC|SEC football|SEC football 2019|full game|NCAA football|college football|college football 2019|Coach O|Joe Burrow|ESPN|Geaux Tigers|LSU vs florida football 2019|OU|Boomer Sooner|Oklahoma Sooners|Oklahoma Sooners football 2019|LSU vs OU|LSU vs OU football|LSU vs OU football 2019|LSU vs Oklahoma|LSU vs Oklahoma football|College football playoffs|Peach Bowl","The goal of this channel is to compile the greatest collection of LSU victories for the enjoyment of those who also bleed purple and gold.  If you like what you see please consider donating a few dollars so we can continue to bring you the best content available.  This will help us track down old LSU games and vintage highlights for yall to enjoy!Our Venmo account is: @The-Boot-1Cheers and GEAUX TIGERS!","Tiger Nation, The goal of this channel is to compile the greatest collection of LSU victories for the enjoyment of those who also bleed purple and gold.  If you like what you see please consider donating a few dollars so we can continue to bring you the best content available.  This will help us track down old LSU games and vintage highlights for yall to enjoy!Our Venmo account is: @The-Boot-1Cheers and GEAUX TIGERS!","","2sl9svFtjQ8"
bz-ey0mg7a0,"#21 Oklahoma State vs #18 Miami Highlights | 2020 Cheez-It Bowl Highlights| 2020 College Football","UCw28Nj5w0sRJepgOBLAKy6A","Victors Valiant","17","861.0","https://i.ytimg.com/vi/bz-ey0mg7a0/default.jpg","College Football|College Football Highlights|2020 College Football|Sports|Oklahoma State vs Miami|Oklahoma State vs Miami Highlights|Oklahoma State vs Miami 2020|Oklahoma State vs Miami Football|Miami vs Oklahoma State|Miami vs Oklahoma State Highlights|Miami vs Oklahoma State 2020|Miami vs Oklahoma State Football|Oklahoma Football|Oklahoma State Football Highlights|Miami Football|Miami Football Highlights","Oklahoma State played Miami in the 2020 Cheez-It Bowl. College Football Highlights of Oklahoma State vs MiamiSee an ad? If you see any ads on the channel that is due to the video being claimed (almost every video is) I have no intention of profiting on the channel but promoting college athletics. If you would like to support the channel then visit my Patreon. Every dollar earned on Patreon goes back into the channel in terms of streaming services, internet, computer maintenance, and extra data charges. https://www.patreon.com/VictorValiantYTFor Business Inquiries: victorsvaliantyt@gmail.comDISCLAIMER - All clips property of the NCAA. No copyright infringement is intended, all videos are edited to follow the Free Use guideline of YouTube. All videos are made with the intent of promoting College Athletics","I condense games for all Michigan Basketball and Football games. I also spotlight other BIG 10 games. If you never have time to watch a fuill game or want to relive a game or season hit the subscibe button. I am working on new games but past games from previous seasons will also be uplodade. IMPORTANT: I do not monetize any content and never will. The games are the property of ABC, FOX SPORTS, BTN, ESPN etc. If you ever see any ads on my video that is by the claimant as most videos get claimed quickly. I do these for fun and for no other reason.","","2sl9svFtjQ8"
k8PuihJAUGc,"Rose Bowl Highlights: Notre Dame vs. Alabama | College Football Playoff on ESPN","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football","17","596.0","https://i.ytimg.com/vi/k8PuihJAUGc/default.jpg","alabama notre dame|notre dame vs alabama|devonta smith|mac jones|alabama football|alabama crimson tide|alabama highlights|college football playoff|rose bowl|rose bowl highlights|alabama notre dame highlights|2020 college football playoff|cfb highlights|crimson tide|bama|college football|college football highlights|ncaa football|football highlights|espn|espn college football|ncaaf|espn cfb|football|highlights|bowl highlights|najee harris hurdle|sports","Watch highlights of the College Football Playoff semifinal matchup between the Notre Dame Fighting Irish and Alabama Crimson Tide at the Rose Bowl Game presented by Capital One.#RoseBowl #CollegeFootball #Highlights✔ Donate now to Jimmy V Fund here: https://www.v.org/v-week/✔ Sign up for ESPN+: http://www.espn.com/watch/espnplus/✔ Get the ESPN App: http://www.espn.com/espn/apps/espn✔ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC✔ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN✔ Watch ESPN on YouTube TV: http://es.pn/YouTubeTVESPN on Social Media:► Follow on Twitter: http://www.twitter.com/espn► Like on Facebook: http://www.facebook.com/espn► Follow on Instagram: http://www.instagram.com/espnVisit ESPN on YouTube to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, NHL, MLB, NBA, College Football, NCAA Basketball, soccer and more. More on ESPN.com: http://www.espn.com","","espn college football on espn espn college football ncaaf college football 2019 ncaa ncaa football","2sl9svFtjQ8"
5Vjr7AMEWls,"Cotton Bowl Highlights: Florida Gators vs. Oklahoma Sooners | College Football on ESPN","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football","17","604.0","https://i.ytimg.com/vi/5Vjr7AMEWls/default.jpg","Florida Gators|Oklahoma Sooners|Florida Gators vs. Oklahoma Sooners|espn|#espn|college football|college football highlights|college football highlights espn|college football espn|cfb|ncaaf|ncaa football|oklahoma vs florida|florida vs oklahoma|cotton bowl|cotton bowl espn|cotton bowl highlights|cotton bowl highlights espn","Check out the highlights of the Goodyear Cotton Bowl Classic as Kyle Trask and the Florida Gators take on Spencer Rattler and the Oklahoma Sooners on ESPN.#CollegeFootball #CFB #CFBHighlights✔ Donate now to Jimmy V Fund here: https://www.v.org/v-week/✔ Sign up for ESPN+: http://www.espn.com/watch/espnplus/✔ Get the ESPN App: http://www.espn.com/espn/apps/espn✔ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC✔ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN✔ Watch ESPN on YouTube TV: http://es.pn/YouTubeTVESPN on Social Media:► Follow on Twitter: http://www.twitter.com/espn► Like on Facebook: http://www.facebook.com/espn► Follow on Instagram: http://www.instagram.com/espnVisit ESPN on YouTube to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, NHL, MLB, NBA, College Football, NCAA Basketball, soccer and more. More on ESPN.com: http://www.espn.com","","espn college football on espn espn college football ncaaf college football 2019 ncaa ncaa football","2sl9svFtjQ8"
GwUKeBksZoY,"Orange Bowl Highlights: Texas A&M vs. North Carolina | College Football on ESPN","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football","17","609.0","https://i.ytimg.com/vi/GwUKeBksZoY/default.jpg","orange bowl|capital one orange bowl|orange bowl highlights|texas a&m vs north carolina|texas am unc highlights|aggies|texas a&m highlights|texas a&m football|unc football|bowl highlights|cfb highlights|kellen mond|jimbo fisher|isaiah spiller|devon achane|sam howell|ncaa|college football|college football highlights|ncaa football|football highlights|cfb 2020|espn|college football on espn|espn college football|ncaaf|espn cfb|football|unc tar heels","Watch highlights of the Capital One Orange Bowl with Kellen Mond, Isaiah Spiller and the No. 5 Texas A&M Aggies against Sam Howell and the No. 13 North Carolina Tar Heels.#Orange Bowl #CollegeFootball #Highlights✔ Donate now to Jimmy V Fund here: https://www.v.org/v-week/✔ Sign up for ESPN+: http://www.espn.com/watch/espnplus/✔ Get the ESPN App: http://www.espn.com/espn/apps/espn✔ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC✔ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN✔ Watch ESPN on YouTube TV: http://es.pn/YouTubeTVESPN on Social Media:► Follow on Twitter: http://www.twitter.com/espn► Like on Facebook: http://www.facebook.com/espn► Follow on Instagram: http://www.instagram.com/espnVisit ESPN on YouTube to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, NHL, MLB, NBA, College Football, NCAA Basketball, soccer and more. More on ESPN.com: http://www.espn.com","","espn college football on espn espn college football ncaaf college football 2019 ncaa ncaa football","2sl9svFtjQ8"
fypMVXzpvSY,"#3 Ohio State vs #1 Alabama: 2021 College Playoff National Championship Recap | CBS Sports HQ","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports HQ","17","2114.0","https://i.ytimg.com/vi/fypMVXzpvSY/default.jpg","CBS|CBS Sports|sports|cbs sports hq|sports hq|hq","No. 1 Alabama has returned to the top of the college football mountain, rolling to the 18th national title in program history with a dominant 52-24 win over No. 3 Ohio State in the 2021 College Football Playoff National Championship. Undefeated at 13-0 and unchallenged through much of the season, the Crimson Tide put themselves in a special light even among the program's six national championship-winning teams to play for Nick Saban.The departures of multiple stars put the spotlight on an offense that had plenty to replace, but quarterback Mac Jones, running back Najee Harris and especially Heisman Trophy-winning wide receiver Devonta Smith more than answered the call as they led one of the best offenses in Alabama history and showed out for the biggest game of the year with 621 yards of total offense. Their 52 points are the most ever scored by Alabama in a national title game and the most in a Crimson Tide bowl game since 1953. Smith was nearly unstoppable, pulling in 12 catches on his first 13 targets for 215 yards and three touchdowns before leaving the game with a hand injury. Jones got banged up a little bit as well but still finished with 464 yards and five touchdowns on 36-of-45 passing.SUBSCRIBE TO OUR CHANNEL:https://www.youtube.com/user/CBSSportsHQ FOLLOW US ON:Facebook - https://www.facebook.com/CBSSports/Instagram - https://www.instagram.com/cbssports/Twitter - https://twitter.com/CBSSports#CFP #OhioState #Alabama #NCAA #CollegeFootballPlayoff #CollegeFootballPlayoffNationalChampionship #CFPChampionship #Collegefootball #Football #Macjones #NickSaban #DevontaSmith #JustinFields #RyanDay #NajeeHarris #CrimsonTide #Buckeyes","Sports coverage without the yelling, fake debates, and politics that you’ll find on other networks. CBS Sports HQ is a free 24/7 Sports News Network. Subscribe and stream it live.","news headlines sports cbs tiki barber cbs sports sports hq danny kannell pick six will brinson football sec ncaa golf fantasy sports baseball basketball nfl nba nhl mlb pga masters super bowl march madness final four college sports cbs sports hq sportsline sports rankings","2sl9svFtjQ8"
6AbcqDBtKtc,"Tulane vs Nevada | 2020 Famous Idaho Potato Bowl Highlights | College Football Highlights","UCw28Nj5w0sRJepgOBLAKy6A","Victors Valiant","17","699.0","https://i.ytimg.com/vi/6AbcqDBtKtc/default.jpg","College Football|College Football Highlights|2020 College Football|Sports","Tulane played Nevada in the 2020 Famous Idaho Potato Bowl on 12/22/2020. College Football Highlights of Tulane vs NevadaSee an ad? If you see any ads on the channel that is due to the video being claimed (almost every video is) I have no intention of profiting on the channel but promoting college athletics. If you would like to support the channel then visit my Patreon. Every dollar earned on Patreon goes back into the channel in terms of streaming services, internet, computer maintenance, and extra data charges. https://www.patreon.com/VictorValiantYTFor Business Inquiries: victorsvaliantyt@gmail.comDISCLAIMER - All clips property of the NCAA. No copyright infringement is intended, all videos are edited to follow the Free Use guideline of YouTube. All videos are made with the intent of promoting College Athletics","I condense games for all Michigan Basketball and Football games. I also spotlight other BIG 10 games. If you never have time to watch a fuill game or want to relive a game or season hit the subscibe button. I am working on new games but past games from previous seasons will also be uplodade. IMPORTANT: I do not monetize any content and never will. The games are the property of ABC, FOX SPORTS, BTN, ESPN etc. If you ever see any ads on my video that is by the claimant as most videos get claimed quickly. I do these for fun and for no other reason.","","2sl9svFtjQ8"
