video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
KUnU131wP2Y,"[(G)I-DLE - HWAA] Comeback Stage | M COUNTDOWN EP.694","UCbD8EppRX3ZwJSou-TVo90A","Mnet K-POP","24","259.0","https://i.ytimg.com/vi/KUnU131wP2Y/default.jpg","여자아이들|GILDE|화|HWAA|엠카운트다운|엠카|MCD|MCOUNTDOWN|엠넷|Mnet|케이팝|KPOP","- KPOP Chart Show M COUNTDOWN | EP.694- (G)I-DLE - HWAA▶Watch more video clips:http://bit.ly/MCOUNTDOWN2021[Kor Ver.]‘최초 공개’ 독보적 분위기 ‘(여자)아이들’의 ‘화(火花)’ 무대----------------------------------------------------------------------------M COUNTDOWN is the World No.1 KPOP Chart Show, which is broadcast in 13 countries.Live broadcast every Thursday at 6 p.m. KST.(매주 목요일 저녁 6시 엠넷 생방송) ▶Subscribe Now! - Mnet K-POP: http://bit.ly/Subscribe-Mnet-KPOPFacebook: http://www.facebook.com/mcountdownTwitter: https://twitter.com/MnetMCOUNTDOWN________________________________________________Mnet(Music Network) is an official KPOP music television in South Korea owned by CJ Group.ⓒCJ ENM. Corp ALL RIGHTS RESERVED","Watch the hottest Kpop video clips on Mnet K-POP Channel! You can enjoy WEEKLY updated M COUNTDOWN, kpop chart show and find out all the kpop live performances on MAMA(Mnet Asian Music Awards). What’s more, latest kpop fancams and kpop tv shows your favorite kpop stars appeared too! Mnet K-POPMnet K-POP YouTube Channel is one of Mnet’s Youtube Channels. Mnet (acronym of Music Network) is a music television in South Korea owned by CJ ENM, a division of CJ Group. Music Makes One World's #1 K-POP Channel ▶Subscribe Now! http://bit.ly/Subscribe-Mnet-KPOPⓒCJ ENM. Corp ALL RIGHTS RESERVED CJ ENM is a true leader in Asian cultural trends, providing various media content and platform services for broadcast, movies, music, performance, and games!","kpop kpop chart kpop star kpop music 2015 mama kpop channel KCON MPD FANCAM SuperstarK I can see your voice","55TEB82zfVk"
FZmMb34JYTE,"I CAN’T STOP ME - TWICE(트와이스) [뮤직뱅크/Music Bank] 20201030","UCeLPm9yH_a_QH8n6445G-Ow","KBS Kpop","10","267.0","https://i.ytimg.com/vi/FZmMb34JYTE/default.jpg","I CAN‘T STOP ME|가요|가수|음악|케이팝|TWICE|트와이스","I CAN’T STOP ME - TWICE(트와이스)KBS2 TV 뮤직뱅크｜매주 금요일 오후 5시에 방송됩니다.","[KBS 한국방송] 음악 전문 채널, KBS kpop 입니다.[KBS Korean Broadcasting System] Official Music Channel, KBS kpop.","KBS KBS2 한국방송 케이비에스 음악 Music K-pop kpop 뮤직뱅크 뮤뱅 musicbank kbspop","55TEB82zfVk"
EMxUmV3ls8w,"[제34회 골든디스크] (여자)아이들 - ′Lion′♪","UCesY-UN9tgibpFJ-lw3y_1A","Golden Disc Awards","24","299.0","https://i.ytimg.com/vi/EMxUmV3ls8w/default.jpg","골든디스크어워즈|골든디스크시상식|골든디스크|골디|음악|음반|노래|공연|시상식|대중가요|음원|아이돌|(여자)아이들|남녀 베스트퍼포먼스|Lion|무대","제34회 골든디스크어워즈 with 틱톡 음반 부문(여자)아이들 - ′Lion′♪","골든 디스크 시상식은 대한민국 대중가요분야에서 우수한 앨범과 가수, 제작자를 선정하는 시상식으로서 대한민국에서 가장 전통 있는 음악 시상식 입니다. 일간스포츠와 JTBC Plus가 주최하는 골든디스크 어워즈 공식 영상채널입니다. Since 1986, the fairest and greatest award depicting the present and future of K-POP, Golden Disc Awards","연예 오락 예능 KPOP 가요 뮤직 음악 MUSIC","55TEB82zfVk"
bhjM12GlpMM,"[마마무] 'AYA' Performance Video","UCuhAUMLzJxlP1W7mEk0_6lA","MAMAMOO","10","216.0","https://i.ytimg.com/vi/bhjM12GlpMM/default.jpg","MAMAMOO|마마무|AYA|아야|마마무 아야|MAMAMOO AYA|아야 퍼포먼스|마마무 아야 퍼포먼스|AYA Performance|AYA Performance Video|아야 퍼포먼스 비디오|마마무 퍼포먼스 비디오","[마마무] 'AYA' Performance VideoInstagram: https://bit.ly/2TrQPJDFacebook: https://bit.ly/2OYoA1WTwitter: https://bit.ly/2TuKNboAbout MAMAMOO.MAMAMOO(마마무) OFFICIAL CHANNEL#MAMAMOO #마마무 #AYAMAMAMOO.SUBSCRIBE: https://bit.ly/2PFdfsIhttps://www.youtube.com/c/MAMAMOO_OFFICIALDon't forget to subscribe, like and leave a comment.","MAMAMOO(마마무) OFFICIAL CHANNEL","마마무 MAMAMOO","55TEB82zfVk"
pgjQkcYD-rQ,"aespa 에스파 'Black Mamba' Techwear ver. Dance Practice","UC9GtSLeksfK4yuJ_g1lgQbg","aespa","10","198.0","https://i.ytimg.com/vi/pgjQkcYD-rQ/default.jpg","aespa|에스파","‘Black Mamba’ hits 100M views! Thank you so much for your love and support💜🎧Listen and download aespa's debut single Black Mamba: https://smarturl.it/aespa_BlackMamba🐍Black Mamba MV: https://youtu.be/ZeerrnuLi5E🐍The Debut Stage: https://youtu.be/Ky5RT5oGg0waespa officialhttps://www.youtube.com/c/aespahttps://www.instagram.com/aespa_officialhttps://www.tiktok.com/@aespa_officialhttps://twitter.com/aespa_Officialhttps://www.facebook.com/aespa.officialhttps://www.vlive.tv/channel/97CCEDhttps://weibo.com/aespa#aespa #BlackMamba #choreography #BlackMamba100M","Welcome to aespa Official YouTube Channel!You can enjoy aespa's latest videos on aespa Official YouTube Channel.","aespa 에스파","55TEB82zfVk"
KL6a4zoxMTY,"BLACKPINK (블랙핑크) - Forever Young + 뚜두뚜두 (DDU-DU DDU-DU) 무대교차편집","UC4CbJ3_o6LMUjw6D6JD787g","구름이꿀벌","10","442.0","https://i.ytimg.com/vi/KL6a4zoxMTY/default.jpg","Forever Young|뚜두뚜두 (DDU-DU DDU-DU)|뚜두뚜두|블랙핑크|BLACKPINK|교차편집","0:00 - Forever Young3:53 - 뚜두뚜두 (DDU-DU DDU-DU)","안녕하세요 저는 무대교차편집,마법의 안무, 뮤비편집영상 들을 만들고 있는 구름이꿀벌입니다!","","55TEB82zfVk"
xi0kg1PWwJI,"블랙핑크(BLACKPINK) - Pretty Savage + Lovesick Girls 무대 교차편집(Stage Mix)","UCYHZfMx93xn7kPodqH9zPEQ","봄","22","401.0","https://i.ytimg.com/vi/xi0kg1PWwJI/default.jpg","#BLACKPINK|#블랙핑크_교차편집|#무대모음|#PrettySavage|#LovesickGirls|#교차편집|#프리티새비지|#블랙핑크|#러브식걸스","0:00 - Pretty Savage3:23 - Lovesick Girls#BLACKPINK #블랙핑크 #러브식걸스 #프리티새비지#교차편집 #LovesickGirl #PrettySavage#무대모음 #블랙핑크_교차편집201010 쇼! 음악중심201011 인기가요 inkigayo","","","55TEB82zfVk"
LcGFqPhChLA,"[집방캠][4K] (여자)아이들((G)I-DLE) - 화(火花)(HWAA) LIVE | 두시탈출 컬투쇼 | 210114","UCAmff0euQRf6RwVlbB8PLMw","SBS Radio 에라오","10","222.0","https://i.ytimg.com/vi/LcGFqPhChLA/default.jpg","sbs라디오|에라오|라디오|보는라디오","(여자)아이들((G)I-DLE)이 아이들 했다!뮤직비디오 2000만 뷰를 돌파해버린 신곡 ‘화(火花)’🔥 겨울 추위도 녹여버릴 강렬한 (여자)아이들의 라이브 공연을 즐겨보세요👀👂에라오에서 선보이는 이 시국 콘텐츠✨'집'에서 즐기는 라디오 '방'청 1열 '캠'(CAM)📹 = 집방캠라디오 방청 와서 1열에 앉아 있는 듯 고화질 라이브 공연을 즐기세요!🎼[LIVE] (여자)아이들((G)I-DLE) - 화(火花)(HWAA)#여자아이들 #GIDLE #HWAA#집방캠 #컬투쇼 #두시탈출컬투쇼 #라이브SBS 파워FM 107.7MHz매일 낮 2시~4시 두시탈출 컬투쇼*2021년 1월 14일* 방송중","📻SBS Radio Official 유튜브 채널 〈에라오〉입니다!SBS 라디오 프로그램의 에라오픽, 풀버전, 라이브, 하이라이트 등을 제공합니다.💙SBS POWER FM ▶ 107.7MHz🧡SBS LOVE FM ▶ 103.5MHz파워FM, 러브FM, 고릴라M 온에어 청취는 기본!보는 라디오 재생과 공감로그를 통한 실시간 방송참여까지 한 번에!방송 다시듣기, 고릴라팟 팟캐스트 프로그램 다시듣기까지 가능한▼ '고릴라' 다운로드 ▼https://www.sbs.co.kr/radio/gorealra.html📻Welcome to Korea NO.1 Radio 〈SBS Radio〉 official Youtube channel!➱SBS Official Website: http://www.sbs.co.kr➱SBS Radio Official Website: http://radio.sbs.co.kr➱SBS Radio Official instagram: https://www.instagram.com/sbsradio_officialⓒSBS, Corp ALL RIGHTS RESERVED","SBS고릴라 SBS라디오 에라오 에스비에스라디오오피셜 SBSRADIO","55TEB82zfVk"
Irta5E2hCDs,"[쇼! 음악중심] (여자)아이들 - 화(火花) ((G)I-DLE - HWAA), MBC 210116 방송","UCe52oeb7Xv_KaJsEzcKXJJg","MBCkpop","10","231.0","https://i.ytimg.com/vi/Irta5E2hCDs/default.jpg","쇼음악중심|화|(여자)아이들|(G)I-DLE|미연|민니|수진|소연|우기|슈화|음악중심|음중|쇼!음악중심|쇼음중","★★★More clips are available★★★iMBC   http://www.imbc.com/broad/tv/ent/musiccore/vod/index.htmlWAVVEhttps://www.wavve.com/player/vod?programid=M_1000788100000100000&page=","Welcome to the official YouTube page of MBC, MBC KpopEnjoy Show! Music Core the hottest K-pop program and the essence of live music on The Masked Singer. Subscribe and stay tuned for the latest updates!","mbc kpop music korean pop","55TEB82zfVk"
uR8Mrt1IpXg,"Red Velvet 레드벨벳 'Psycho' MV","UCEf_Bc-KVd7onSeifS3py9g","SMTOWN","10","216.0","https://i.ytimg.com/vi/uR8Mrt1IpXg/default.jpg","레드벨벳|Red Velvet|IRENE|SEULGI|WENDY|JOY|YERI|PSYCHO|아이린|슬기|웬디|조이|사이코|싸이코|피날레|리브페스티벌|The ReVe Festival|RVF|Finale|MV|music video|뮤직비디오","Red Velvet's 'The ReVe Festival' Finale is out!Listen and download on your favorite platform: https://smarturl.it/RV_Finale[Tracklist]01 Psycho02 In & Out03 Remember Forever04 눈 맞추고, 손 맞대고 (Eyes Locked, Hands Locked)05 Ladies Night06 Jumpin'07 Love Is The Way08 카풀 (Carpool)09 음파음파 (Umpah Umpah)10 LP11 안녕, 여름 (Parade)12 친구가 아냐 (Bing Bing)13 Milkshake14 Sunny Side Up!15 짐살라빔 (Zimzalabim)16 La Rouge (Special Track)Red Velvet Officialhttp://redvelvet.smtown.comhttp://www.youtube.com/redvelvet http://www.facebook.com/RedVelvethttps://www.instagram.com/redvelvet.smtownhttps://twitter.com/RVsmtown#RedVelvet #Psycho #레드벨벳 #RVF #TheReVeFestival #FinaleRed Velvet 레드벨벳 'Psycho' MV ℗ SM ENTERTAINMENT","Welcome to SM Entertainment Official YouTube Channel!We deeply appreciate all of your love and support again.You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.","SM SMENT SMTOWN SMENTERTAINMENT 에스엠엔터테인먼트 에스엠타운 에스엠 KPOP TVXQ! 동방신기 東方神起 DBSK SuperJunior 슈퍼주니어 SJ Girls'Generation 소녀시대 GG SNSD 少女時代 SHINee 샤이니 에프엑스 f(x) Grace 천상지희 천상지희더그레이스 TRAX 트랙스 BoA 보아 KANGTA 강타 LeeYeonHee 이연희 연희 exo exom exok 엑소 엑소케이 엑소엠 NCT NCT 127 NCT DREAM Red Velvet 레드벨벳 엔시티 엔시티 127 엔시티 드림 NCT U 엔시티유 SuperM 슈퍼엠 aespa 에스파","55TEB82zfVk"
