video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
oqHuxPKyjOA,"Christmas Vlog & Life Update | Carly Waddell","UCiRBm8w6yfSJdly2wwfe0rw","Carly Waddell","22","794.0","https://i.ytimg.com/vi/oqHuxPKyjOA/default.jpg","[none]","Merry Christmas, everyone! I hope you enjoyed watching our Christmas preparations and Christmas morning! I know this video was kind've all over the place, but hey, that's 2020. Thank you to all of you who have sent me nice messages, it means a lot to me. I hope you had a great Christmas and I'm wishing you a Happy New Year. CARLY'S Instagram: http://instagram.com/carlywadCARLY's Twitter: https://twitter.com/carlywaddellListen to Mommies Tell All Podcast: https://podcasts.apple.com/us/podcast/mommies-tell-all/id1457381834Camera I Use: https://amzn.to/2Yf0pmmCamera Lens: https://amzn.to/30ppLAzMicrophone Attachment: https://amzn.to/30rcszRTripod: https://amzn.to/2UsveTzFor Youtube Business-Related Inquiries contact: CarlywaddellYT@gmail.comFTC // This video is not sponsored | Amazon and Reward Style are affiliate links. All opinions are my own! ♡","Hi y'all, I'm Carly Waddell, welcome to my channel! You may know me from The Bachelor or Bachelor In Paradise where I met my husband, Evan Bass. I'm excited to give you a deeper look inside my life through my YouTube channel! My life is a constant balancing act between being a wife, a mommy, and taking time for myself. On my channel, I'll be diving into all things beauty, mommy life, family time, and behind the scenes of my experience on a reality show. I'm going to be posting new videos every Sunday, so be sure to SUBSCRIBE! ♡","","5PtKZ5cx3v8"
xNPgkSAiNxc,"SPA DAY with Bachelor MATT JAMES","UCMw7m-ScQ6jV1FQzQnn1y8Q","Tyler Cameron","22","512.0","https://i.ytimg.com/vi/xNPgkSAiNxc/default.jpg","the bachelor|the bachelorette|Tyler c|Tyler Cameron|Tyler c bachelorette|Tyler c bachelor|Tyler Cameron bachelorette|Tyler Cameron bachelor|Hannah brown|Hannah brown bachelorette|Tyler c and Hannah|Tyler c and Hannah b|Tyler c and Hannah bachelorette|Tyler Cameron and Hannah brown|Tyler Cameron and Hannah brown bachelorette|pop culture|Gigi Hadid|Tyler c and Gigi Hadid|matt james|matt james bachelor|Tyler c and matt james|Tyler Cameron matt james","When Matt James was announced “The Bachelor”, I had to make sure to send him off the right way. I treated him and a couple of the boys to a spa day, where we indulged in some much needed self care.Thanks to Clarins for sponsoring this video. You can find my favorite items by them in the links below!Super Restorative Instant Lift Serum Mask https://bit.ly/3ngG2j2 Double Serum https://bit.ly/390kguP SOS Pure Rebalancing Clay Mask https://bit.ly/38bXwsO ► FOLLOW MEInstagram: https://www.instagram.com/tylerjcameron3 Twitter: https://www.instagram.com/tylerjcameron3 Facebook: https://www.facebook.com/tylerjcameron3FILMED & EDITED BYJacob Laham (Brown Bear Visuals)http://www.instagram.com/brownbearvisualshttp://www.youtube.com/brownbearvisualsChris Garbohttp://www.instagram.com/chris2chrishttps://www.youtube.com/chris2chris","People know me for getting dumped on national television, but there is a lot more to me than that. This Youtube Channel will take a deeper dive into my life, sharing videos of my adventures with friends, daily routines, exercise tips, and more.","bachelorette bachelor Tyler c Tyler c bachelorette Tyler c bachelor Tyler Cameron Tyler Cameron bachelorette Tyler Cameron bachelor Hannah brown hannah brown bachelorette Tyler c and Hannah Tyler c and Hannah b Tyler c and Hannah bachelorette Tyler Cameron and Hannah brown","5PtKZ5cx3v8"
A7RCVY1UAYU,"WHAT I EAT IN A DAY | TWIN PREGNANCY AT 14 WEEKS | LAUREN LUYENDYK","UCkoZyNqTZyBZ8nu8E_OSkWw","Lauren & Arie","22","499.0","https://i.ytimg.com/vi/A7RCVY1UAYU/default.jpg","eat in a day|Lauren and arie|arie and Lauren","Thank you all for watching, I'll try and add some of the recipes to a few of the meals on this video soon! Follow along and subscribe, we would appreciate that so much :)Watch when we found out we were having twins! https://www.youtube.com/watch?v=Mr5YmPWC9JQWatch our pregnancy announcement: https://youtu.be/2Up7Jbtg37ASubscribe to follow along on our pregnancy journey!Follow us on Instagram too!https://www.instagram.com/laurenluyendykhttps://www.instagram.com/ariejrhttps://www.instagram.com/alessiluyendykhttps://www.instagram.com/luyendyktwins As always, we love and appreciate every one of you!-Lauren and Arie Luyendyk","Hey guys we are Arie and Lauren and you may know us from The Bachelor! Season 22 was quite the ride but we want to share more with you. Join us for Bachelor recaps, family VLOGS, Lauren's beauty tips, travel and so much more! Please subscribe and we're excited for this journey ;)","","5PtKZ5cx3v8"
jnuoXpYISYM,"Empty House Tour, Christmas, & More! | Vlog | Caelynn Miller-Keyes","UCKu_3gKwG-7jnxhZ_kWkF-Q","Caelynn Miller-Keyes","22","744.0","https://i.ytimg.com/vi/jnuoXpYISYM/default.jpg","empty house tour|moving|christmas","We're finally in our new house! We also spent our first Christmas together and it was amazing! Here's a look at our Christmas, our trip to Montana, an empty house tour, and some other random things!","","","5PtKZ5cx3v8"
vDi3mc9p3YY,"OUR BACHELOR IN PARADISE STORY (Part 1) | Carly Waddell and Evan Bass","UCiRBm8w6yfSJdly2wwfe0rw","Carly Waddell","22","797.0","https://i.ytimg.com/vi/vDi3mc9p3YY/default.jpg","[none]","Hi everyone! Evan and I always get sooo many questions about the hot pepper kiss so we are finally here to answer ya'll! Be sure to stay tuned for part two where we delve into more of our story on Bachelor In Paradise. As always, thank you so much for watching! Be sure to subscribe so you never miss my Sunday uploads!CARLY'S Instagram: http://instagram.com/carlywadCARLY's Twitter: https://twitter.com/carlywaddellListen to Mommies Tell All Podcast: https://podcasts.apple.com/us/podcast/mommies-tell-all/id1457381834EVAN's Instagram: http://instagram.com/theebassEVAN's Twitter: https://twitter.com/ebassclinicsCamera I Use: https://amzn.to/2Yf0pmmCamera Lens: https://amzn.to/30ppLAzMicrophone Attachment: https://amzn.to/30rcszRTripod: https://amzn.to/2UsveTzFor Youtube Business-Related Inquiries contact: CarlywaddellYT@gmail.comFTC // This video is not sponsored | Amazon and Reward Style are affiliate links. All opinions are my own! ♡","Hi y'all, I'm Carly Waddell, welcome to my channel! You may know me from The Bachelor or Bachelor In Paradise where I met my husband, Evan Bass. I'm excited to give you a deeper look inside my life through my YouTube channel! My life is a constant balancing act between being a wife, a mommy, and taking time for myself. On my channel, I'll be diving into all things beauty, mommy life, family time, and behind the scenes of my experience on a reality show. I'm going to be posting new videos every Sunday, so be sure to SUBSCRIBE! ♡","","5PtKZ5cx3v8"
v2FYP4ibDo4,"'Bachelor In Paradise' Alums Carly Waddell & Evan Bass On Life With Their Baby Daughter | PeopleTV","UCGbQJy-531_5vfphay-rChQ","People","24","639.0","https://i.ytimg.com/vi/v2FYP4ibDo4/default.jpg","Bachelor In Paradise|Carly Waddell & Evan Bass|Carly Waddell|Evan Bass|evan bass and carly waddell|carly waddell and evan bass|carly waddell pregnant|bachelor in paradise full episode|evan bass and carly waddell baby|carly waddell baby|bachelor in paradise 2019|bachelor in paradise preview|People|people magazine|news|celebrities|rumors|interview|magazine|time|celebrity news|celebrity gossip|entertainment|celebrity|famous|Hollywood|celeb|celebrity (media genre)","Last February 2018, 'Bachelor in Paradise' alums Evan Bass and wife Carly Waddell welcomed their newborn daughter Isabella. The couple share the story of their daughter’s birth and how they handled life with a newborn.Subscribe to PeopleTV ►► http://bit.ly/SubscribePeopleTVPeopleTV is the free streaming network from People and Entertainment Weekly. Watch unlimited full-length episodes on streaming devices, mobile and the web at https://people.com/peopletv/Watch the newest celebrity interviews - From Jennifer Lopez to Jennifer Lawrence, Pop Stars to Movie Stars, Bachelors to Real Housewives, we’ve got it all:https://www.youtube.com/embed/?list=PLzS8B57pacxwyamvauL4pdzZkN_3j_daW&autoplay=1Stay on top of all the latest celebrity gossip - Scandals, news, rumors and more:https://www.youtube.com/embed/?list=PLzS8B57pacxyPxBFbzjY5NqiJmUBvHgTE&autoplay=1Celebrity love, romance and relationships - Never miss out on who’s dating who, recent break ups and new hook ups:https://www.youtube.com/embed/?list=PLzS8B57pacxzBdPhE7vu69ONKbJemr4_l&autoplay=1Celebrity style, fashion icons, outfit fails and the best dressed - Check out everything from Gigi Hadid’s legendary outfits to Eva Longoria’s timeless style:https://www.youtube.com/embed/?list=PLzS8B57pacxzWKYCRsB6uH7Y7MDdUFdck&autoplay=1Get all access to A-list events, award shows and parties - Who wore what, which awards were won, and was there any drama:https://www.youtube.com/embed/?list=PLzS8B57pacxwXU_Gfe2aaqvb2E4CUI5Fg&autoplay=1No matter if you’re into Taylor Swift or Justin Bieber, we’ve got some of the best live performances right here:https://www.youtube.com/embed/?list=PLzS8B57pacxyPM1cEn5JXgA7xTFjlU7LJ&autoplay=1Keep up with the Kardashians - get the latest on Kim & Kanye, and the rest of the hottest celebrity family around:https://www.youtube.com/embed/?list=PLzS8B57pacxz-JkjNRg3wCQ71l8xXITMY&autoplay=1CONNECT WITHWeb: https://people.com/peopletvTwitter: https://twitter.com/peopletvFacebook: https://facebook.com/PeopleTVNetwork/Instagram: https://instagram.com/peopletv/ABOUT PEOPLEPEOPLE is the #1 online news source all things pop culture. Get your fix of the hottest celebrity news, celebrity gossip, celebrity interviews, exclusive stories, red carpet events, style and updates from the world of entertainment, involving your favorite stars. 'Bachelor In Paradise' Alums Carly Waddell & Evan Bass On Life With Their Baby Daughter | PeopleTVhttps://www.youtube.com/user/people","PEOPLE is the #1 online news source all things pop culture. Get your fix of the hottest celebrity news, celebrity gossip, celebrity interviews, celebrity romances, exclusive stories, red carpet events, style and updates from the world of entertainment, involving your favorite stars!Subscribe to never miss out on breaking news: http://bit.ly/SubscribetoPeopleStay on top of all the latest celebrity gossip - Scandals, news, rumors and more:https://www.youtube.com/playlist?list=PLzS8B57pacxyPxBFbzjY5NqiJmUBvHgTECelebrity love, romance and relationships - Never miss out on who’s dating who, recent break ups and new hook ups:https://www.youtube.com/playlist?list=PLzS8B57pacxzBdPhE7vu69ONKbJemr4_lWatch the newest celebrity interviews - From Jennifer Lopez to Jennifer Lawrence, Pop Stars to Movie Stars, Bachelors to Real Housewives, we’ve got it all:https://www.youtube.com/playlist?list=PLzS8B57pacxwyamvauL4pdzZkN_3j_daW","People people magazine news celebrities rumors interview style magazine time celebrity news celebrity gossip entertainment gossip celebrity famous Hollywood celeb celebrity (media genre)","5PtKZ5cx3v8"
fVuPIzNMfEY,"*NEW* HOUSE TOUR (INVESTMENT PROJECT) | Lucy Jessica Carter","UCBTPjAKFYoSmeTL3xE6c14A","Lucy Jessica Carter","22","392.0","https://i.ytimg.com/vi/fVuPIzNMfEY/default.jpg","house tour|period property|home tour|investment|property investor|renovation|home renovation|house renovation|house tour uk|property|property investment|investing in property|cottage|cottage home tour|period property home tour|listed|grade 2 listed|small home tour|small kitchen|full house tour|small house tour|second property|property investing|Beginners|begin|Redecorating|property redecoration|wooden stairs|exposed beams|Restoration|renovating","House tour! Here is a house tour of our investment property that we are going to renovate. A B O U T  M E : My name is Lucy & I am a married mum of 4 from the UK (South West). I have a 6 year old, a 3 year old & baby twins! I share my love for all things motherhood, fashion, beauty, travel & lifestyle. I upload 2-3 times a week & daily over on instagram.F A M I L Y  C H A N N E L : https://www.youtube.com/channel/UCRH3Xpl778PFmPeppbUXGfQBusiness & collaboration enquires: Meghan.peterson@gleamfutures.comAD *Some links may be affiliate links which means I make a small commission if you purchase the item through my link. Thank you for your support. Some items are PR samples from brands.FOLLOW ME ON:Instagram: https://www.instagram.com/lucyjessicacarterFacebook: https://www.facebook.com/LucyandtwoboysNecklace I wear with the boys initials*: http://bit.ly/2Voa9aJTECH I use:Camera for filming: https://www.johnlewis.com/sony-zv-1-c...Camera I use for 99% of my photos*: https://bit.ly/38MqApcIMAC*: https://bit.ly/2ZYELDQMusic speaker/Audio assistant/Listen to podcasts on (Google Home): http://bit.ly/2k24FlgTo edit: Final cut pro X","Welcome to my YouTube channel!My name is Lucy Jessica Carter and I post videos on motherhood, fashion, beauty, lifestyle & travel! I'm a part of the Channel Mum Team, subscribe for the honest face of parenting https://www.youtube.com/user/channelmum. For all advertising enquiries please contact lucycarter@channelmum.com For videos from me and other great parenting vloggers visit www.channelmum.com. FOLLOW ME ON:Instagram @lucyjessicacarterFacebook https://www.facebook.com/Lucyandtwoboys/Twitter @lu3yx","beauty lifestyle make up mother fashion motherhood vlogger travel pregnancy baby newborn routines husband married life twins twin mum twin mom mom mum mummy mommy","5PtKZ5cx3v8"
ob0_txSsK7g,"Empty House Tour! / MOVING VLOG","UCnBTwNmSAa6YnXBDz8c-b7w","Hannah Godwin","1","1019.0","https://i.ytimg.com/vi/ob0_txSsK7g/default.jpg","[none]","Hey friends!!! I like to think people read these descriptions so I like typing in them like I'm talking to you guys- so hi, what's up! :)I can't believe I'm typing this but... Dyl and I bought our first house! INSANE. Seriously. I'm just feeling so happy and excited to have a true home. We started looking for houses in San Diego back in March, and after months of looking this one popped up and within ours we put in an offer! The place is coming along since we filmed this about a week ago (daily updates over at my insta @hannahg11), but we have so many fun updates/decor that we want to add to make it our own- and of course bringing my camera along with me.Thank you guys for being SO supportive and I can't wait to bring my youtube fam to this house with me! Stay tuned + SUBSCRIBE to watch all of our memories go down here. I have so much fun content coming up and I can't wait for y'all to see it!xoHannah G---Edited by Daniel Del Carmen / @_ddc","Hi friends! With a background in makeup, editing, loling, and getting engaged on a tv show... I thought it'd be super fun to show you guys a little more into my life through videos! I love being unfiltered and un/less edited on here soooo, hoping you guys enjoy! Mwah!!!","","5PtKZ5cx3v8"
Z5trrBf6ZG0,"My Vision Board for Life's Changes | Carly Waddell","UCiRBm8w6yfSJdly2wwfe0rw","Carly Waddell","22","655.0","https://i.ytimg.com/vi/Z5trrBf6ZG0/default.jpg","[none]","Hi everyone! I hope you enjoyed watching Bella and I create our 2021 vision boards, we had so much fun! Let me know what you'd like to see from me on my channel this year! As always, thank you so much for watching and for all your support!CARLY'S Instagram: http://instagram.com/carlywadCARLY's Twitter: https://twitter.com/carlywaddellListen to Mommies Tell All Podcast: https://podcasts.apple.com/us/podcast...Camera I Use: https://amzn.to/2Yf0pmmCamera Lens: https://amzn.to/30ppLAzMicrophone Attachment: https://amzn.to/30rcszRTripod: https://amzn.to/2UsveTzFor Youtube Business-Related Inquiries contact: CarlywaddellYT@gmail.comFTC // This video is not sponsored | Amazon and Reward Style are affiliate links. All opinions are my own! ♡","Hi y'all, I'm Carly Waddell, welcome to my channel! You may know me from The Bachelor or Bachelor In Paradise where I met my husband, Evan Bass. I'm excited to give you a deeper look inside my life through my YouTube channel! My life is a constant balancing act between being a wife, a mommy, and taking time for myself. On my channel, I'll be diving into all things beauty, mommy life, family time, and behind the scenes of my experience on a reality show. I'm going to be posting new videos every Sunday, so be sure to SUBSCRIBE! ♡","","5PtKZ5cx3v8"
CRvGg9Sv5OQ,"Evan & Carly Proposal (Bachelor In Paradise)","UCagx09BPpoJIXyHT2a6uK9Q","Amps3000","24","294.0","https://i.ytimg.com/vi/CRvGg9Sv5OQ/default.jpg","Bachelor|In|Paradise|Mexico|2016|Season 3|Proposal|Evan|Carly|BIP","So I thought last season on BIP was good, but this season even better. I mean c'mon Evan and Carly were like the least likely couple to get together, but Evan never gave up; and Carly finally gave in haha, jk. No seriously love these two together & I can't wait for the wedding. Honestly the way he looks at her melts my heart, that's true love. No copyright intended, for viewing purposes only. Clip is owned by ABC & Bachelor In Paradise.","There’s no one like you so own it and watch my channel.","Family fun experiencing love crazy stupid","5PtKZ5cx3v8"
