video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
nHFBXpA6gyo,"FBI arrests Nashville zip-tie suspect from assault on U.S. Capitol","UCO6kzQ-7wcG0x8W5LpBA9RQ","NewsChannel 5","25","180.0","https://i.ytimg.com/vi/nHFBXpA6gyo/default.jpg","FBI arrests Nashville zip-tie suspect from assault on U.S. Capitol","A self-described hidden patriot from Nashville, outed on social media as a rioter who invaded the U.S. Senate chambers Wednesday with a weapon and zip-tie handcuffs, was arrested Sunday on federal charges, NewsChannel 5 has learned.","The NewsChannel 5 Network in Nashville is middle Tennessee and southern Kentucky’s number one source for news and information. WTVF, CHANNEL 5NASHVILLE, TENNESSEE","","5i8LuEjb5MU"
lfP_5L8epow,"Inside the Capitol Hill Riots","UCZaT_X_mc0BI-djXOlfhqWQ","VICE News","25","219.0","https://i.ytimg.com/vi/lfP_5L8epow/default.jpg","Capitol Hill insurrection|inside capitol hill riots|vice news 2020|VICE News Tonight|vice video|capitol hill riot video|VICE News|capitol building|VICE on HBO|news|VICE on SHOWTIME|donald trump|joe biden|president trump|us capitol riot|washington dc|TRUMP presidency|Mike pence|trump supporters|capitol hill reaction|Capitol hill live|nancy pelosi office|nancy pelosi","This is what it was like to be inside the Capitol Hill insurrection.Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-NewsCheck out VICE News for more: http://vicenews.comFollow VICE News here:Facebook: https://www.facebook.com/vicenewsTwitter: https://twitter.com/vicenewsTumblr: http://vicenews.tumblr.com/Instagram: http://instagram.com/vicenewsMore videos from the VICE network: https://www.fb.com/vicevideo","The most important news of the day with context, insights, and on-the-ground reporting you won’t see anywhere else. VICE News Tonight airs Monday –Thursday at 11 PM on VICETV.  Sign up for the VICE News Daily Brief http://bit.ly/2NnkJODAll video licensing inquiries should be directed to licensing @ vice.com.","VICE News news VICE VICE News Tonight documentary documentaries interviews VICE HBO","5i8LuEjb5MU"
2PuL1ar3SvM,"Dozens arrested as manhunt for persons involved in Capitol siege ramps up l GMA","UCH1oRy1dINbMVp3UFWrKP0w","Good Morning America","24","209.0","https://i.ytimg.com/vi/2PuL1ar3SvM/default.jpg","arrest|manhunt|capitol|breach|Authorities|search|damage|rioters|looters|gma|p_cmsid=2494279|p_vid=news-75173480","Authorities have intensified their search for those involved in the deadly siege as new details emerge about the violent assault that unfolded and the looters responsible for the damage.Subscribe to GMA's YouTube page:  https://bit.ly/2Zq0dU5 Visit GMA's homepage:https://www.goodmorningamerica.comFollow GMA:TikTok: tiktok.com/@gmaFacebook:facebook.com/GoodMorningAmericaTwitter: twitter.com/gmaInstagram: instagram.com/goodmorningamericaWatch full episodes:abc.go.com/shows/good-morning-americahulu.tv/2YnifTH#GMA #CapitolRiots #WashigntonDC #CapitolBuilding #Insurrection","Every weekday 7 a.m. - 9 a.m. Good Morning America brings you the latest breaking news, expert analysis, helpful advice for everyday living, recipes from the best chefs in the country and live performances from the best musicians on television.","gma good morning america GMA pop news","5i8LuEjb5MU"
jiIgvDLyvE4,"Suspected U.S. Capitol 'smiling lectern guy' getting death threats, attorney says","UC13mSI38YWz5zfvxXDPpePA","FOX 13 Tampa Bay","25","151.0","https://i.ytimg.com/vi/jiIgvDLyvE4/default.jpg","capitol riot|smiling lectern guy|smiling podium guy|riot arrests|adam johnson|parrish florida|stop the steal","Adam Johnson, 36, made his first federal court appearance Monday afternoon in downtown Tampa. Federal officials said Johnson was caught on camera holding House Speak Nancy Pelosi’s lectern.The judge agreed to give Johnson a $25,000 bond, with several conditions that include surrendering all of his weapons and his passport. He will also have a curfew and an ankle monitor. Johnson will be allowed to travel anywhere in Florida and parts of Washington, D.C. However, he can only travel to D.C. for court matters and meeting with his attorneys.MORE: https://www.fox13news.com/news/lectern-guy-suspected-in-u-s-capitol-riot-to-make-federal-court-appearance-in-tampaFOX 13 Tampa Bay brings you the important videos like breaking news, Tampa Bay weather, and local stories. But also plenty of fun stuff, like #WeLiveHere tips, the best of our archives, and all those 'only-in-Florida' stories.Subscribe to FOX 13 News:  https://www.youtube.com/c/fox13tampa/Watch more FOX 13 News video: https://fox13news.com/Watch FOX 13 News live: https://fox13news.com/live","The official YouTube home of WTVT-TV, FOX 13 Tampa Bay. Bringing you the important stuff like breaking news, Tampa Bay weather, and local stories. But also plenty of fun stuff, like #WeLiveHere tips, the best of our archives, and all those 'only-in-Florida' stories.","Tampa Florida news weather sports St. Petersburg Clearwater Sarasota Lakeland","5i8LuEjb5MU"
Er-Xk0soKbY,"Capitol riot investigation: Clinton County man charged with online threats, witness tampering","UCkr9qZ5tj9dGd7JvE3a8X4Q","WLWT","25","125.0","https://i.ytimg.com/vi/Er-Xk0soKbY/default.jpg","Cincinnati","A Wilmington, Ohio, man has been charged federally with making interstate threats and threatening a witness.Subscribe to WLWT on YouTube now for more: http://bit.ly/1ipUX3cGet more Cincinnati news: http://www.wlwt.comLike us:  http://www.facebook.com/wlwt5Follow us: http://twitter.com/WLWTInstagram: https://www.instagram.com/wlwt5/","WLWT.com is Leading The Way with Cincinnati breaking news, weather and important local news coverage.  Look to WLWT for political coverage, viral videos and more from Cincinnati's NBC affiliate.","wlwt cincinnati ohio oh kentucky ky local news weather sports lets talk cincy","5i8LuEjb5MU"
pZP2VB9bQ2A,"How researchers are identifying suspects in the U.S. Capitol siege","UC8p1vwvWtl6T73JiExfWs1g","CBS News","25","1022.0","https://i.ytimg.com/vi/pZP2VB9bQ2A/default.jpg","video|live streaming|live video|cbsn|capitol attack|president trump|rioters|democrats|republican|voter fraud|election|joe biden","Some of the rioters who stormed the U.S. Capitol last week wore gear that makes it difficult to identify them, but investigators have zeroed in on a number of clues.  John Scott-Railton, a senior researcher at the Citizen Lab at the University of Toronto's Munk School, joins CBSN to discuss the techniques that helped ID suspects who are now facing charges.CBSN is CBS News’ 24/7 digital streaming news service featuring live, anchored coverage available for free across all platforms. Launched in November 2014, the service is a premier destination for breaking news and original storytelling from the deep bench of CBS News correspondents and reporters. CBSN features the top stories of the day as well as deep dives into key issues facing the nation and the world. CBSN has also expanded to launch local news streaming services in major markets across the country. CBSN is currently available on CBSNews.com and the CBS News app across more than 20 platforms, as well as the CBS All Access subscription service.Subscribe to the CBS News YouTube channel: http://youtube.com/cbsnewsWatch CBSN live: http://cbsn.ws/1PlLpZ7cDownload the CBS News app: http://cbsn.ws/1Xb1WC8Follow CBS News on Instagram: https://www.instagram.com/cbsnews/Like CBS News on Facebook: http://facebook.com/cbsnewsFollow CBS News on Twitter: http://twitter.com/cbsnewsSubscribe to our newsletters: http://cbsn.ws/1RqHw7TGet new episodes of shows you love across devices the next day, stream CBSN and local news live, and watch full seasons of CBS fan favorites like Star Trek Discovery anytime, anywhere with CBS All Access. Try it free: http://bit.ly/1OQA29B","CBS News is a trusted source for the latest in politics, U.S. and world news. The network is home to award-winning broadcasts CBS This Morning, CBS Evening News with Norah O’Donnell, 60 Minutes, CBS Sunday Morning, 48 Hours and Face the Nation.CBSN is CBS News’ 24/7 digital streaming news service featuring live, anchored coverage available for free across all platforms. Launched in November 2014, the service is a premier destination for breaking news and original storytelling from the deep bench of CBS News correspondents and reporters. CBSN features live coverage of the top stories of the day and deep dives into key issues facing the nation and the world. CBSN is currently available on CBSNews.com and the CBS News app across more than 20 platforms, as well as the CBS All Access subscription service.Subscribe to our YouTube channel for breaking news, live events and in-depth reporting from CBS News and CBSN.","cbs news live news cbsn politics breaking news 2020 election CBSN","5i8LuEjb5MU"
06yVNrSbB_I,"Glendora Man Hunter Ehmke Arrested For Shattering Window During Capitol Riot","UCkH1uDkyuO9sVjSqdqBygOg","CBS Los Angeles","25","212.0","https://i.ytimg.com/vi/06yVNrSbB_I/default.jpg","KCAL 9 News Evening","A 20-year-old Glendora man has been arrested for breaking a window during the storming of the U.S. Capitol building last week.","Official YouTube channel for CBS Los Angeles. CBS Los Angeles has the latest local news, events and the Best of LA and OC!Subscribe Today! http://www.youtube.com/CBSLAVisit us at http://losangeles.cbslocal.com/","Los Angeles News CBS KCAL9 California Southland SoCal","5i8LuEjb5MU"
0SowUNQv6Uo,"Deaf man arrested by FBI in connection to Capitol riots","UCaayieDFpDIZ1b_mspO_Rzg","The Daily Moth","25","486.0","https://i.ytimg.com/vi/0SowUNQv6Uo/default.jpg","deaf|deaf culture|deaf humor|abenchuchan|deaf news|thedailymoth|the daily moth|moth|yt:cc=on","Deaf man arrested by FBI in connection to Capitol riotsTranscript: www.dailymoth.com/blog/deaf-man-arrested-by-fbi-in-connection-to-capitol-riots","The Daily Moth delivers news in video using American Sign Language. The Deaf host, Alex Abenchuchan, covers trending stories and Deaf topics with a twist of humor and Deaf culture. www.dailymoth.com","Deaf American Sign Language ASL Deaf News","5i8LuEjb5MU"
958O2wbrgaw,"Idaho man brags about his role in US Capitol riot","UCVKYCeuR3OyO-M2rfUXHDyg","KTVB","25","230.0","https://i.ytimg.com/vi/958O2wbrgaw/default.jpg","local|news|national|crime","Josiah Colt posted a video on social media Wednesday after rioters were seen storming the U.S. Capitol, saying he was among them.","Official YouTube channel of KTVB Idaho's News Channel 7 in Boise. Watch nearly every segment right after it airs on TV, covering everything from high school sports to development and growth in the Treasure Valley. Get more of Idaho's leading news and weather at http://www.ktvb.com","Boise Idaho News Local Crime Politics Weather","5i8LuEjb5MU"
KrJF8Iz-7R8,"WATCH LIVE | Inauguration of Joe Biden and Kamala Harris","UCHd62-u_v4DvJ8TCFtpi4GA","Washington Post","25","0.0","https://i.ytimg.com/vi/KrJF8Iz-7R8/default_live.jpg","inauguration_yt|breaking news video|video updates|live video|live updates|breaking news|press conference|live speeches|real time coverage","President Biden and Vice President Harris took the oath of office on the steps of the U.S. Capitol on Jan. 20.An inauguration like no other, the ceremony takes place amid the coronavirus pandemic and two weeks after pro-Trump rioters stormed the Capitol. The D.C. police chief has said that upwards of 20,000 National Guardsmen are expected to be in place throughout the city to guard against violence.President Trump left Washington on the morning of Biden’s swearing-in, becoming the first modern-day president to skip his successor’s inauguration. The Post’s Libby Casey will anchor live coverage and be joined by reporters Rhonda Colvin, Hannah Jewell, Joyce Koh, Nicole Ellis, Lee Powell, Mary Beth Albright and Jorge Ribas. Read more: https://wapo.st/3sJSJH0. Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqKFollow us:Twitter: https://twitter.com/washingtonpostInstagram: https://www.instagram.com/washingtonpost/Facebook: https://www.facebook.com/washingtonpost/","Live events, breaking news, analysis and more from The Washington Post.Comments and community are moderated according to these rules: http://wapo.st/rules","Washington Post Washington Post video national republican democrat washington DC foreign congress humor politics Trump Donald Trump video explainer headlines newspaper the hill capitol hill report reporter journalism journalist the washington post news coverage fact check news","5i8LuEjb5MU"
