video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
b3LJs1beBgk,"Sentimental video tribute closes Trebek's final Jeopardy!","UCnwI-VN5jXWIGQKOI9PMDMw","WPRI","25","224.0","https://i.ytimg.com/vi/b3LJs1beBgk/default.jpg","top video|news|local news","More than two months after Alex Trebek’s death, fans of “Jeopardy!” finally got the chance to say goodbye.","WPRI 12, WPRI.com and Eyewitness News is the source for Rhode Island and Southeastern Massachusetts local news, weather, community, and sports.","Rhode Island providence massachusetts newport wpri wnac fox cbs 12 new england patriots red sox","6roBvvwFt5c"
4Z922g9R6xE,"How James Holzhauer Broke Jeopardy - Cheddar Explains","UC04KsGq3npibMCE9Td3mVDg","Cheddar","24","481.0","https://i.ytimg.com/vi/4Z922g9R6xE/default.jpg","Cheddar|cheddar explains|explainer|explainer video|jeopardy|james holzhauer|game show|game show contestants|ken jennings|game strategy|strategy|fritz holznagel|secrets of the buzzer|buzzer|winning strategy|how to win|gameplay|jeopardy gameplay|probabilty|data mining|game play|jeopardy!|alex trebek|forrest bounce|forrest bounce jeopardy|cbs television distribution|final jeopardy|jeopardy james holzhauer|champion|james holzhauer jeopardy|jepready","James Holzhauer is on track to be the highest winning Jeopardy contestant of all time. How is he doing this? James is professional gambler and his game-play strategy proves it. Cheddar explains how James is controlling the Jeopardy board.Subscribe to Cheddar on YouTube: http://chdr.tv/subscribeConnect with Cheddar!On Facebook: http://chdr.tv/facebookOn Twitter: http://chdr.tv/twitterOn Instagram: http://chdr.tv/instagramOn Cheddar.com: http://chdr.tv/cheddar","Welcome to Cheddar!We are a network focused on covering the most interesting topics through the lens of innovation in products, technologies, businesses, services, and ideas that impact us.Cheddar Explains: Every day there are new questions about technology, businesses, and medical advancements. No matter the question, Cheddar explains it all.Cheddar Explores: Unprecedented technological advancement, dreams of interstellar colonization, bioengineering. Explore the future of our world and our economies through the lens of innovation, disruption, and futurism.Cheddar Examines: Business is a battlefield. Every company has make-or-break moments that lead to massive success or crushing defeat. These are those stories.The Vault: We animate tales of true and fascinating financial crime.Subscribe for original videos every week.","cheddar business technology news education documentary explainer companies history facts","6roBvvwFt5c"
fWQseRfNm4g,"Live: NBC News NOW - Jan. 20 | Full Inauguration Day Coverage","UCeY0bbntWzzVIaj2z3QigXg","NBC News","25","0.0","https://i.ytimg.com/vi/fWQseRfNm4g/default_live.jpg","nbc|news|news nbc|nbc live|live news|news nbc live|nbc news live|nbc special report|nbc news today|news today|nightly news|nightly news nbc|nbc news special report|nbc news live today|nbc news live stream|nbc news now","NBC News NOW is live, reporting breaking news and developing stories in real time. We are on the scene, covering the most important stories of the day and taking deep dives on issues you care about. » Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News Online!NBC News App: https://apps.nbcnews.com/mobileBreaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC#JoeBiden #KamalaHarris #InaugurationDayLive: NBC News NOW - Jan. 20 | Full Inauguration Day Coverage","» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News:NBC News App: https://smart.link/5d0cd9df61b80Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC","NBC News News Politics Today Show NBC Nightly News Meet The Press Dateline Brian Williams nbc news nbc nbcnews breaking news nbc breaking news nbc news now nbc news live stream nbc latest news nbc politics nbc news breaking news live news news nbc live nbc news live nbc special report nbc news today news today nightly news nightly news nbc nbc news special report","6roBvvwFt5c"
Svw6NCnuIkE,"Who's the Jeopardy! G.H.O.S.T.? | JEOPARDY!","UCnxxhf9PSA3VJ4Q80pWJoow","Jeopardy!","24","195.0","https://i.ytimg.com/vi/Svw6NCnuIkE/default.jpg","Alex Trebek (TV Personality)|double jeopardy!|exclusive jeopardy|Jeopardy questions|think music|Jeopardy! best moments|tv program|Merv Griffin|Official Jeopardy!|let's play|Game Show (TV Genre)|reality games|play jeopardy|Jeopardy! (TV Program)|jeopardy!","Things got a little silly during Final Jeopardy! today. #JeopardyGOATSubscribe to Jeopardy! for exclusive content: http://bit.ly/JSubscribe_YT The official home for video from Jeopardy! and Jeopardy.com. Subscribe for the best-of-Jeopardy! moments, big wins, great gameplay, behind-the-scenes snippets, and (of course!) Alex Trebek. Connect with Jeopardy!:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq Website: https://www.jeopardy.com/#Jeopardy! #AlexTrebek More Jeopardy!:Find Your Station: http://bit.ly/2BIOtxc Play J!6: http://bit.ly/2AtJVdTPlay JEOPARDY! World Tour on Google Play: https://t.co/J2P6b0JLdT Play JEOPARDY! World Tour on iTunes: http://apple.co/2ASWeU1","Welcome to the official Jeopardy! YouTube channel! Go behind the scenes, get game highlights and tournament recaps, and stay updated on news about Jeopardy! and Alex Trebek. Subscribe to our channel to get the latest!More JEOPARDY!: https://www.jeopardy.com/JEOPARDY! ON SOCIAL:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq","Jeopardy!","6roBvvwFt5c"
UM-Q_zpuJGU,"Comedians in Cars Getting Coffee: Just Tell Him You’re The President” (Season 7, Episode 1)","UCWg9n9ltBkwUt7MTeFgkJ5w","blacktreetv","24","1156.0","https://i.ytimg.com/vi/UM-Q_zpuJGU/default.jpg","Black people|Television Show|President Obama|POTUS|Jerry Seinfeld|Comedians In cars Getting Coffee|Crackle","Blacktree is at all the hottest events on the planet (award shows, movie premieres and press junkets, fashion shows, etc.) and now BLACKTREE ON TV brings stars to YOU on Soul of the South! Watch Full episodes below, and tune in!WEEKDAYS | 5:30 – 6:00pm, 1-1:30am WEEKENDS | 5 – 6:00pm Sat & Sun (CST)","BlackTree Media","blacktree media fashion entertainment sports news blogs original programming politics urban black","6roBvvwFt5c"
onMm0DLg8CE,"Mark Hamill Does a Perfect Impression of Harrison Ford","UCVTyTA7-g9nopHeHbeuvpRA","Late Night with Seth Meyers","23","260.0","https://i.ytimg.com/vi/onMm0DLg8CE/default.jpg","Late Night|Seth Meyers|Mark Hamill|Perfect|Impression|Harrison Ford|NBC|NBC TV|television|funny|talk show|comedy|humor|stand-up|parody|snl seth meyers|host|promo|seth|meyers|weekend update|news satire|satire|Luke Skywalker|The Joker|Mark Hamill Interview|Mark Hamill on Meyers|A New Hope|Empire Strikes Back|The Last Jedi","Mark Hamill shares his memories of working on the original Star Wars and does a perfect impression of Harrison Ford.» Subscribe to Late Night: http://bit.ly/LateNightSeth» Get more Late Night with Seth Meyers: http://www.nbc.com/late-night-with-seth-meyers/» Watch Late Night with Seth Meyers Weeknights 12:35/11:35c on NBC.LATE NIGHT ON SOCIALFollow Late Night on Twitter: https://twitter.com/LateNightSethLike Late Night on Facebook: https://www.facebook.com/LateNightSethFind Late Night on Tumblr: http://latenightseth.tumblr.com/Connect with Late Night on Google+: https://plus.google.com/+LateNightSeth/videosLate Night with Seth Meyers on YouTube features A-list celebrity guests, memorable comedy, and topical monologue jokes.NBC ON SOCIAL Like NBC: http://Facebook.com/NBCFollow NBC: http://Twitter.com/NBCNBC Tumblr: http://NBCtv.tumblr.com/NBC Pinterest: http://Pinterest.com/NBCtv/NBC Google+: https://plus.google.com/+NBCYouTube: http://www.youtube.com/nbcNBC Instagram: http://instagram.com/nbcMark Hamill Does a Perfect Impression of Harrison Ford- Late Night with Seth Meyershttps://youtu.be/onMm0DLg8CELate Night with Seth Meyershttp://www.youtube.com/user/latenightseth","Beloved Saturday Night Live personality — and the longest serving anchor on the show's wildly popular Weekend Update — Seth Meyers takes over as host of NBC's Late Night, home to A-list celebrity guests, memorable comedy and the best in musical talent. Watch Late Night with Seth Meyers weeknights 12:35/11:35c.Late Night with Seth Meyers is available now on Peacock, the new streaming service from NBCUniversal.  Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates.  Stream now on Peacock: https://bit.ly/2OlOJcW","Late Night Seth Meyers Weekend Update NBC NBC TV Television Funny Talk Show comedy humor stand-up satire political satire news satire improv sketch comedy snl saturday night live television host snl seth meyers Parody Jimmy Fallon Bill Hader late night premiere late night with seth meyers premiere","6roBvvwFt5c"
LjcXeC_lJ1A,"Alex Trebek's Final Jeopardy! Episode (Intro/Closing) Friday 1-8-2021","UC6S0rV_WMhGSPWzLs5zdKag","David3000","24","284.0","https://i.ytimg.com/vi/LjcXeC_lJ1A/default.jpg","GameShow|Jeopardy!|Alex Trebek|Alex|Trebek|WeloveyouAlex|Family Friendly","Welcome back to my channel, as all know back on November 8th, 2020 we lost a strong GameShow host legend by the name of Alex Trebek he was known for being the beloved GameShow host of “Jeopardy!” for 4 decades. Tonight January 8th, 2021 was his last episode ever that was filmed days before he passed away back in NovemberHere on this video I filmed with only my camera due to copyright reasons I have decided to present here to you the intro & closing of his final episode. RIP Alex Trebek#Jeopardy!#WeloveyouAlexNOTE: *WE ARE NOT AFFILIATED WITH Jeopardy, CBS & Sony Pictures Television. THIS IS FOR ENTERTAINMENT PURPOSES ONLY!*Tape Date: Friday 1-8-2021Air Date: Friday 1-8-2021Heres the link to the Materials that used for this video:Powerdirector17Follow me on Instagram:https://www.instagram.com/david345041...Follow me on YouNow!UserName: David3000Me on Roblox!https://www.roblox.com/users/12371550...My Twitch Channel!:https://www.twitch.tv/davidthegamer3000Like, Share Comment & Subscribe!https://www.youtube.com/channel/UC6S0...(C) 2021 David3000 Inc. All Rights Reserved","Hi, guys I am David3000 here. This is channel is about TV shows, vlogs game shows, gameplays Livestreams, skits & much more content for you guys to enjoy!Rules #1 Be nice & family friendly to me & everyone on here #2 No trolls allowed #3 No bullying to me & anyone else.#4 No mean.rude comments to me & anyone else #5 Don't say any bad words. #6 No requests to be in my livestreams until I personally know you. #7 No Drama #8 No politics allowed #9  No Negativity in the comments & live chat #10 Have Fun!What is up to come to my page?Well, I did have a schedule but however, due to other situations the schedule is on hold until further notice but what I basically do is do gameplay videos the same for Birthday, Subscriber & Anniversary specials. Also, I do movie reviews on my page but only from time to time at least once or twice a month. I also do gameshow series as well also skit vids.Enjoy  the channel & don't forget to subscribe to this channel for more videos to come","","6roBvvwFt5c"
Anue9HGm3go,"Ken Jennings Honors Alex Trebek In His First Episode as Guest Host | JEOPARDY!","UCnxxhf9PSA3VJ4Q80pWJoow","Jeopardy!","24","52.0","https://i.ytimg.com/vi/Anue9HGm3go/default.jpg","double jeopardy!|exclusive jeopardy|Jeopardy questions|think music|Jeopardy! best moments|tv program|Merv Griffin|Official Jeopardy!|let's play|Game Show (TV Genre)|reality games|play jeopardy|Jeopardy! (TV Program)|jeopardy!|Alex trebek|ken jennings|jeopardy guest host","Stepping up to the lectern as our first guest host, Ken takes a moment to honor Alex. Subscribe to Jeopardy! for exclusive content: http://bit.ly/JSubscribe_YT The official home for video from Jeopardy! and Jeopardy.com. Subscribe for the best-of-Jeopardy! moments, big wins, great gameplay, andbehind-the-scenes snippets. Want to be on the show? It all starts with the Jeopardy! Anytime Test! Take the Jeopardy! Test here: http://bit.ly/Jeopardy-TestConnect with Jeopardy!:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq Website: https://www.jeopardy.com/#Jeopardy! More Jeopardy!:Find Your Station: http://bit.ly/2BIOtxc Play J!6: http://bit.ly/2AtJVdTPlay Jeopardy! World Tour on Google Play: https://t.co/J2P6b0JLdT Play Jeopardy! World Tour on iTunes: http://apple.co/2ASWeU1Play Jeopardy! on Drivetime: http://bit.ly/Download-Drivetime","Welcome to the official Jeopardy! YouTube channel! Go behind the scenes, get game highlights and tournament recaps, and stay updated on news about Jeopardy! and Alex Trebek. Subscribe to our channel to get the latest!More JEOPARDY!: https://www.jeopardy.com/JEOPARDY! ON SOCIAL:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq","Jeopardy!","6roBvvwFt5c"
O7VaXlMvAvk,"Black Jeopardy with Tom Hanks - SNL","UCqFzWxSCi39LnW1JKFR3efg","Saturday Night Live","24","399.0","https://i.ytimg.com/vi/O7VaXlMvAvk/default.jpg","SNL|Saturday Night Live|Season 42|Episode 1708|Black Jeopardy|Sasheer Zamata|Tom Hanks|Kenan Thompson|Leslie Jones|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|lady gaga|sully|forrest gump|the circle|Stefani Joanne Angelina Germanotta|joanne|american horror story|perfect illusion|album|inferno|cast away|episode 4|rita wilson|toy story|make america great again|hat|trump supporter","Contestants Keeley (Sasheer Zamata), Shanice (Leslie Jones) and Doug (Tom Hanks) compete on Black Jeopardy, hosted by Darnell Hayes (Kenan Thompson).Subscribe to SNL: https://goo.gl/tUsXwMStream Current Full Episodes: http://www.nbc.com/saturday-night-liveWatch Past SNL Seasons: Google Play - http://bit.ly/SNLGooglePlay iTunes - http://bit.ly/SNLiTunesFollow SNL Social -SNL Instagram: http://instagram.com/nbcsnl SNL Facebook: https://www.facebook.com/snlSNL Twitter: https://twitter.com/nbcsnlSNL Tumblr: http://nbcsnl.tumblr.com/SNL Pinterest: http://www.pinterest.com/nbcsnl/","Welcome to the official Saturday Night Live channel on YouTube! Here you will find your favorite sketches, behind the scenes clips and web exclusives, featuring all your favorite hosts and cast members.All seasons of Saturday Night Live are now available on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock: https://bit.ly/3esVzIq","snl saturday night live sketch comedy parody satire live from new york impressions","6roBvvwFt5c"
zbI-0uLsKyc,"The Untold Truth Of Alex Trebek's Marriage","UC1DGpYiEiqBrQtYXFbLhMVQ","Nicki Swift","24","661.0","https://i.ytimg.com/vi/zbI-0uLsKyc/default.jpg","nicki swift|nickiswift|alex trebek|alex trebek and jean trebek|alex and jean trebek|jeopardy|jeopardy!|jeopardy host|jeopardy! host|alex trebek wife|alex trebek's wife|untold truth of alex trebek|alex trebek's marriage|alex trebek marriage|truth about alex trebek|alex trebek cancer|alex trebek dying|alex trebek truth|alex trebek untold truth|alex trebek wife truth|alex trebek marriage truth","This legendary game show host may have found his match when it comes to romance, but that doesn't mean that his relationship is exactly what you'd expect. Here's the untold truth of Alex Trebek's marriage.Alex Trebek first met New York native Jean Currivan, who was a real estate project manager at the time, at a party in 1988, several years after his divorce from his first wife in 1981. The pair obviously hit it off because Alex decided to take a chance and asked Jean over to dinner at his home. She said yes, but not without a bit of apprehension. She later admitted to People Magazine that she was really nervous about getting involved with Alex, saying,I was afraid I'd mispronounce my own name!Surely most Jeopardy! contestants can relate to that worry! Despite Jean's initial apprehension, she explained that the classy host that contestants meet and the intimidatingly dapper man that viewers at home see is different from the person she went on a date with. As she put it,Alex is really down to earth. He's much more casual than he is on the show. It's Alex's job to be astute, perfect, and articulate on the air. But he certainly doesn't want to be that way at home. People think he goes to bed in a suit. He doesn't.While Jean didn't specify what exactly Alex wears to bed, we would guess it's not an old t-shirt and boxers either. Perhaps he opts for some sophisticated silk pajamas?Alex Trebek is quite a bit older than Jean, who was just 24 when they met and 26 when they got engaged. Alex was already 48 when they were introduced and had turned 50 by the time he proposed. And while celebrity relationships with significant age gaps aren't much of an issue for a lot of couples in the entertainment industry, Jean has admitted that the age difference could've been problematic for her. In January 2019, she told People Magazine,I kept thinking, he's 24 years older than me…but there was something that just kept drawing me to him.Alex also talked to People about the age gap back in 1990, noting,At first it worried me. But then I thought, 'The hell with it. We'll make it work.'Jean added,I can understand why he was cautious about being with a younger woman. So I didn't try to push him. We just took it one day at a time.And eventually, one day at a time led to happily ever after for these two.Although Alex was divorced when he met Jean, that doesn't mean he was living alone, as his mother Lucille was his roommate. Luckily, though, having mom around didn't cramp Alex's style while he was dating. In fact, Lucille was quite accommodating. As Alex explained to People Magazine,If I was entertaining, she'd make herself scarce. She was the same way with Jean.Lucille continued to live with the couple after they got married, which didn't seem to be an issue either. In fact, Alex noted,[Lucille and Jean] get along like a house on fire. They squeeze me out.Jean confirmed that she is indeed fond of her mother-in-law and often spends time with her in the evening when Alex isn't around. Considering all these warm feelings, it's no surprise that Alex got a little choked up while sending his mother a special birthday message during a 2016 episode of Jeopardy!A woman named Lucille, who today celebrates her 95th birthday. Way to go, Ma!Keep watching the video to find out more about the untold truth of Alex Trebek’s marriage!#AlexTrebek #Jeopardy #CelebCouplesRead Full Article: https://www.nickiswift.com/181390/the-untold-truth-of-alex-trebeks-marriage/Nervous first meeting | 0:12Age gap | 1:24Alex's roommate | 2:19One regret | 3:12Prankster Alex | 4:05Proud parents | 4:56A simple life | 5:52Challenges and beautiful times | 6:50Alternative therapies for Alex | 7:53Finding peace amidst the pain | 8:50","Plenty of entertainment brands tackle Hollywood, but Nicki Swift stands apart in style and smarts. Spending time with us is like hanging out with a friend who keeps the conversation clever, quick, and classy. We dish out the good stuff on all your favorite celebs, add expert analysis, then move on to the next hot topic, all without breaking a sweat.","entertainment celebrity celebs celebrities","6roBvvwFt5c"
