video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
fWQseRfNm4g,"Live: NBC News NOW - Jan. 20 | Full Inauguration Day Coverage","UCeY0bbntWzzVIaj2z3QigXg","NBC News","0","0","https://i.ytimg.com/vi/fWQseRfNm4g/default_live.jpg","[]","NBC News NOW is live, reporting breaking news and developing stories in real time. We are on the scene, covering the most important stories of the day and taking deep dives on issues you care about. » Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News Online!NBC News App: https://apps.nbcnews.com/mobileBreaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC#JoeBiden #KamalaHarris #InaugurationDayLive: NBC News NOW - Jan. 20 | Full Inauguration Day Coverage","» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News:NBC News App: https://smart.link/5d0cd9df61b80Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC","NBC News News Politics Today Show NBC Nightly News Meet The Press Dateline Brian Williams nbc news nbc nbcnews breaking news nbc breaking news nbc news now nbc news live stream nbc latest news nbc politics nbc news breaking news live news news nbc live nbc news live nbc special report nbc news today news today nightly news nightly news nbc nbc news special report","72z7sr2ZLJs"
umsaXWrpgR8,"Live: The Presidential Inauguration Of Joseph R. Biden, Jr. | NBC News","UCeY0bbntWzzVIaj2z3QigXg","NBC News","0","0","https://i.ytimg.com/vi/umsaXWrpgR8/default_live.jpg","[]","Watch live coverage as President-elect Joe Biden and Vice President-elect Kamala Harris are sworn into office on Wednesday, January 20 at the U.S. Capitol.» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.Connect with NBC News Online!Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC#JoeBiden #Inauguration #KamalaHarrisLive: The Presidential Inauguration of Joseph R. Biden, Jr. | NBC News","","[]","72z7sr2ZLJs"
D4wF0snbC00,"WATCH LIVE: The inauguration of Joe Biden and Kamala Harris - PBS NewsHour special coverage","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour","25","0.0","https://i.ytimg.com/vi/D4wF0snbC00/default_live.jpg","biden|Joe biden|president biden|president elect biden|inauguration|trump|president trump|trump inauguration|Harris|Kamala Harris|Vice President Harris|president|Vice President|vp|Washington DC|us government|biden inauguration|democracy|election|election 2020|presidential inauguration|pbs|PBS NewsHour|newshour|livestream|live stream|inauguration live stream|inauguration livestream|biden harris|special coverage|anchored coverage","President-elect Joe Biden and Vice President-elect Kamala Harris will be sworn in at the U.S. Capitol on Jan. 20, 2021. Each will take the oath of office, after which they will become the 46th president of the United States and the 49th vice president, respectively. Biden will become only the second Catholic to hold the nation’s highest office and Kamala Harris will become the first woman vice president and the first South Asian American elected to the White House.Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twGFind more from PBS NewsHour at https://www.pbs.org/newshourSubscribe to our YouTube channel: https://bit.ly/2HfsCD6Follow us:Facebook: http://www.pbs.org/newshourTwitter: http://www.twitter.com/newshourInstagram: http://www.instagram.com/newshourSubscribe:PBS NewsHour podcasts: https://www.pbs.org/newshour/podcastsNewsletters: https://www.pbs.org/newshour/subscribe","PBS NewsHour is one of the most trusted news programs in television and online.","News politics world news health news science news arts pbs newshour newshour breaking news pbs judy woodruff yamiche alcindor lisa desjardins nick schifrin amna nawaz paul solman making sense current events science donald trump congress president international news hari sreenivasan newshour weekend national news us news","72z7sr2ZLJs"
wQ7QIUwwB1M,"Nature: Big horn sheep in Montana","UCVT1tPkR-fUVlO652EcO3ow","CBS Sunday Morning","0","0","https://i.ytimg.com/vi/wQ7QIUwwB1M/default.jpg","[]","Sunday Morning takes us to Big Sky Country, in Western Montana's Sapphire Mountains. Videographer: Brad Markel.Subscribe to the CBS Sunday Morning Channel HERE: http://bit.ly/20gXwJTGet more of CBS Sunday Morning HERE: http://cbsn.ws/1PlMmAzFollow CBS Sunday Morning on Instagram HERE: http://bit.ly/23XunIhLike CBS Sunday Morning on Facebook HERE: https://www.facebook.com/CBSSundayMorning/Follow CBS Sunday Morning on Twitter HERE: http://bit.ly/1RquoQbGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---CBS Sunday Morning features stories on the arts, music, nature, entertainment, sports, history, science, Americana and highlights unique human accomplishments and achievements. Check local listings for CBS Sunday Morning broadcast times.","","[]","72z7sr2ZLJs"
ut2u-_qYWqM,"The President Is Slithering Off To Mar-A-Lago But The MAGA Menace Isn't Going Away","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","24","737.0","https://i.ytimg.com/vi/ut2u-_qYWqM/default.jpg","The Late Show|Late Show|Stephen Colbert|Steven Colbert|Colbert|celebrity|celeb|celebrities|late night|talk show|comedian|comedy|CBS|joke|jokes|funny|funny video|funny videos|humor|hollywood|famous","Our disgraced, twice-impeached president is said to be planning to slink off to his Florida estate without attending Joe Biden's inauguration, leaving in his wake untold numbers of angry, conspiracy-fueled supporters still bent on causing destruction in his name. #Colbert #BidenInauguration #MonologueSubscribe To The Late Show Channel HERE: http://bit.ly/ColbertYouTubeFor more content from The Late Show with Stephen Colbert, click HERE: http://bit.ly/1AKISnRWatch full episodes of The Late Show HERE: http://bit.ly/1Puei40Like The Late Show on Facebook HERE: http://on.fb.me/1df139YFollow The Late Show on Twitter HERE: http://bit.ly/1dMzZzGFollow The Late Show on Google+ HERE: http://bit.ly/1JlGgzwFollow The Late Show on Instagram HERE: http://bit.ly/29wfREjFollow The Late Show on Tumblr HERE: http://bit.ly/29DVvtRWatch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.Get the CBS app for iPhone & iPad! Click HERE: http://bit.ly/12rLxgeGet new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via CBS All Access, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes.","Welcome to the official YouTube channel for The Late Show with Stephen Colbert! Weeknights at 11:35pm/10:35c","colbert late show comedy","72z7sr2ZLJs"
x_P-0I6sAck,"Governor Schwarzenegger's Message Following this Week's Attack on the Capitol","UCvyyU4AdijSZFEO7qqXP6kQ","Arnold Schwarzenegger","0","0","https://i.ytimg.com/vi/x_P-0I6sAck/default.jpg","[]","This is my message to my fellow Americans and my friends around the world after January 6, 2021.","Former Mr. Olympia, Conan, Terminator, and Governor of California. I killed the Predator. I told you I'd be back.","governor arnold schwarzenegger california sacramento los angeles state capitol government politics","72z7sr2ZLJs"
ZznUbpAfGQI,"Chris Rock Isn't Surprised That The Capitol Terrorists Were Treated Differently Than BLM Protesters","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","0","0","https://i.ytimg.com/vi/ZznUbpAfGQI/default.jpg","[]","Chris Rock has been watching the news and he was not surprised to see the insurrectionists storming the U.S. Capitol Building treated differently than those who marched to protest racial injustice last year. Check out Chris Rock's remixed Netflix comedy special, Total Blackout: The Tamborine Extended Cut. #Colbert #TotalBlackout #ChrisRockSubscribe To The Late Show Channel HERE: http://bit.ly/ColbertYouTubeFor more content from The Late Show with Stephen Colbert, click HERE: http://bit.ly/1AKISnRWatch full episodes of The Late Show HERE: http://bit.ly/1Puei40Like The Late Show on Facebook HERE: http://on.fb.me/1df139YFollow The Late Show on Twitter HERE: http://bit.ly/1dMzZzGFollow The Late Show on Google+ HERE: http://bit.ly/1JlGgzwFollow The Late Show on Instagram HERE: http://bit.ly/29wfREjFollow The Late Show on Tumblr HERE: http://bit.ly/29DVvtRWatch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.Get the CBS app for iPhone & iPad! Click HERE: http://bit.ly/12rLxgeGet new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via CBS All Access, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes.","Welcome to the official YouTube channel for The Late Show with Stephen Colbert! Weeknights at 11:35pm/10:35c","colbert late show comedy","72z7sr2ZLJs"
T-lSH9V94rs,"Inauguration Day 2021","UCZfsrIV68Oegr5bJgAMLBDA","HuffPost","0","0","https://i.ytimg.com/vi/T-lSH9V94rs/default_live.jpg","[]","Joe Biden is sworn in as the 46th president of the United States. Kamala Harris is also sworn in, becoming the first female vice president of the United States.Subscribe to HuffPost today: http://goo.gl/xW6HGSupport our work: https://www.huffpost.com/subscribeRead: https://www.huffpost.com/Like: https://www.facebook.com/HuffPostFollow: https://twitter.com/huffpost","HuffPost is for the people — not the powerful. We are empathetic reporters and observers. We hold power accountable. We entertain without guilt. We share what people need to know to live their best lives. If something matters to our audience, it matters to us. We are the original internet newspaper, founded in 2005. Now we have newsrooms and editions in many countries. We’re truly global, but still feel local. We tell stories in text, video, audio and pictures, and bring them to our audiences wherever they are. We're fast, fun and inclusive. And we'll always make sure you know what's real.We believe diversity – in who we are, how we tell our stories, and among the people we write for – is critical to our mission. We aim to write for, and not just about, those left out of traditional power structures; to approach stories inclusively; and to serve a diverse audience with stories that matter to them. Subscribe to be part of the conversation!","HuffPost news journalism LGBTQ feminism pop culture entertainment","72z7sr2ZLJs"
mwkXrrF1g5A,"The Inauguration of Joe Biden | LIVE | NowThis","UCn4sPeUomNGIr26bElVdDYg","NowThis News","0","0","https://i.ytimg.com/vi/mwkXrrF1g5A/default_live.jpg","[]","Watch the 2021 Inauguration of President-elect Joseph Biden and Vice President-elect Kamala Harris, live at the U.S. Capitol.» Subscribe to NowThis: http://go.nowth.is/News_Subscribe» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis#Inauguration #Biden #Harris #Politics #News #NowThisConnect with NowThis» Like us on Facebook: http://go.nowth.is/News_Facebook» Tweet us on Twitter: http://go.nowth.is/News_Twitter» Follow us on Instagram: http://go.nowth.is/News_Instagram» Find us on Snapchat Discover: http://go.nowth.is/News_SnapchatNowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.http://www.youtube.com/nowthisnews@nowthisnews","NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.","NowThis NowThisNews #NowThis Now This News NowThis News Now This Media NowThis Media Breaking Trending World Current Events news Global International Media Business Finance Economy Market Tips Entertainment Pop Culture Politics Policy History Science Tech Technology Info Update NowThis Her NowThis Weed NowThis Pop NowThis Entertainment NowThis Politics NowThis Nerd NT News","72z7sr2ZLJs"
E390AhlOcSo,"The threats arising from the massive SolarWinds hack","UCVT1tPkR-fUVlO652EcO3ow","CBS Sunday Morning","25","630.0","https://i.ytimg.com/vi/E390AhlOcSo/default.jpg","CBS Sunday Morning|CBS News|news|cyberspace|united states|intrusion|russian|hacking|software|solar winds|government","When it comes to cyberspace, the United States is the most technologically-advanced nation – and, at the same time, perhaps the most vulnerable to a cybersecurity intrusion. The suspected Russian hacking of software from SolarWinds, a Texas-based IT management company, caused a cyber virus that has infected the computer systems of more than 18,000 private and government customers, in the U.S. and abroad. Sunday Morning senior correspondent Ted Koppel talked with cybersecurity experts Richard Clarke and Keith Alexander, and New York Times journalist David Sanger, about the national security implications of the breach, and the dangers it poses to critical infrastructure.Subscribe to the CBS Sunday Morning Channel HERE: http://bit.ly/20gXwJTGet more of CBS Sunday Morning HERE: http://cbsn.ws/1PlMmAzFollow CBS Sunday Morning on Instagram HERE: http://bit.ly/23XunIhLike CBS Sunday Morning on Facebook HERE: https://www.facebook.com/CBSSundayMorning/Follow CBS Sunday Morning on Twitter HERE: http://bit.ly/1RquoQbGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---CBS Sunday Morning features stories on the arts, music, nature, entertainment, sports, history, science, Americana and highlights unique human accomplishments and achievements. Check local listings for CBS Sunday Morning broadcast times.","Welcome to the OFFICIAL YouTube Channel for CBS Sunday Morning!","","72z7sr2ZLJs"
