video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
fLVdSHCvRd4,"Juventus 3-1 Sassuolo | Ramsey and Ronaldo strike late to help hosts up to fourth | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","256.0","https://i.ytimg.com/vi/fLVdSHCvRd4/default.jpg","Ronaldo|Serie A|Dybala|highlights|Juventus|AC Milan|Inter Milan|Napoli|Roma|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|migliori gol|migliori al mondo|gol del mese|federcalcio|calcio|Italia|lukaku|Lazio|zlatan|ibrahimovic|Ribery|Juventus Sassuolo|Pirlo|Danilo|Danilo goal|Ramsey Goal|Arsenal|Ramsey prem|ramsey juventus|ramsey goal|cristiano ronaldo goal|CR7 vs sassuolo|juventus highlights|matchid=A||2020-21||UNICO||UNI||17||JUVSAS","CR7 goal secured Juventus’ 3-1 win over Sassuolo and was his 15th Serie A TIM goal this season (most in the league) | Serie A TIM This is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","74bM5geGViM"
-zCnGHsqj1A,"Milan 1-3 Juventus | Goals from Chiesa & McKennie Shock the San Siro | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","254.0","https://i.ytimg.com/vi/-zCnGHsqj1A/default.jpg","Ronaldo|Serie A|Dybala|highlights|Juventus|AC Milan|Inter Milan|Napoli|Roma|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|migliori gol|migliori in campo|migliori al mondo|gol del mese|federcalcio|calcio|Italia|lukaku|Lazio|zlatan|ibrahimovic|Ribery|matchid=A||2020-21||UNICO||UNI||16||MILJUV|weston mckennie|weston mckennie goal|mckennie|Cheisa|cheisa goal|milan v juventus|ac milan vs juventus|juve|milan 1-3 juventus|milan juventus","Juventus earn an away win after putting three goals past Milan | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","74bM5geGViM"
YSkSBJYXI2I,"Benevento 0-2 Milan | Kessie and Leão Take Milan To Victory | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","254.0","https://i.ytimg.com/vi/YSkSBJYXI2I/default.jpg","Ronaldo|Serie A|milan highlights|Benevento 0-2 Milan|benevento highlights|Dybala|serie A Highlights|benevento milan 0-2|leao|highlights|benevento milan|Juventus|AC Milan|Inter Milan|Napoli|Roma|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|AC Milan Highlights|migliori gol|migliori in campo|migliori al mondo|gol del mese|federcalcio|calcio|Italia|lukaku|Lazio|zlatan|ibrahimovic|Ribery|benevento|Kessie|leão","Kessie and Leao take Milan to first place in the standings | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","74bM5geGViM"
p5OWo8jfB24,"Ronaldinho, Pirlo, Nedved & Del Piero | Juventus v Milan (2008) | Serie A TIM Classics | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","6040.0","https://i.ytimg.com/vi/p5OWo8jfB24/default.jpg","Ronaldo|Serie A|Higuain|Dybala|highlights|Insigne|Juventus|AC Milan|Inter Milan|Napoli|Roma|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|migliori gol|migliori in campo|migliori al mondo|gol del mese|federcalcio|calcio|Italia|lukaku|milan|juventus v milan|juventus v ac milan|ronaldinho|ronaldinho milan|pirlo|pirlo milan|del piero|nedved|chiellini|pato milan|maldini|seedorf|seedorf milan|amauri|amauri goals|iaquinta|juventus 4 2 milan","A classic 6-goal thriller between two of the biggest clubs in Serie A TIM history! | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","74bM5geGViM"
BGHT68aO9Kw,"Parma 0-4 Juventus | Ronaldo Scores another Towering Header! | EXTENDED Highlights","UCLzKhsxrExAC6yAdtZ-BOWw","Juventus","17","694.0","https://i.ytimg.com/vi/BGHT68aO9Kw/default.jpg","juventus|juventus fc|juve|juventus football|ronaldo|cristiano ronaldo|cr7|dybala|ronaldo juventus|juventus training|juventus vs|football|italian football|juventus highlights|inno juve|inno juventus|pogba|juventus 4-0 parma|parma 0-4 juventus|parma juventus highlights|juventus extended highlights|ronaldo goal parma|ronaldo header|serie a","Goals from Dejan Kulusevski, Alvaro Morata & a double from CR7 ensured our last away trip of 2020 secured 3 points!🎥 Follow our season with exclusive content only on Juventus TV ➡️ http://juve.it/av4M30lm55Y📹 Subscribe here to our YouTube channel: http://juve.it/BgUp30iwWec👕 Visit the Juventus Online Store for your very own shirt and other Bianconeri gifts: http://juve.it/zZrm30pImJRFounded in 1897, Juventus Football Club is the most successful team in Italy, with a rich history of winning and hundreds of millions of fans worldwide.📲 Follow on:Facebook: https://www.facebook.com/JuventusTwitter: https://twitter.com/juventusfcenInstagram: https://www.instagram.com/juventusSnapchat: https://www.snapchat.com/add/juventus💻 Visit our website: http://www.juventus.com/en","Welcome to the official YouTube channel of Juventus FC. Subscribe to watch exclusive content and all the latest videos.Benvenuti sul canale YouTube ufficiale della Juventus. Iscrivetevi per non perdere i contenuti esclusivi e gli ultimi video.","Juventus Juve calcio sport serie A bianco nero bianconero canale ufficiale inno ufficiale squadra allenamento partite partita intervista giocatori allenatore agnelli stadio torino vecchia signora il canale ufficiale juventus juventus fc juventus football club football gol goal campionato coppa scudetto coppa italia coppa dei campioni coppa uefa coppa intercontinentale supercoppa europa league coppa delle coppe","74bM5geGViM"
yQjh8eE9tqg,"FC Bayern München - 1. FSV Mainz 05 | 5-2 | Highlights | Matchday 14 – Bundesliga 2020/21","UC6UL29enLNe4mqwTfAyeNuw","Bundesliga","17","183.0","https://i.ytimg.com/vi/yQjh8eE9tqg/default.jpg","Bundesliga|Bundesliga 2020/21|Bundesliga Highlights|Football Highlights|season 20120/21|Highlights|FC Bayern München|Bayern|Bayern Munich|1. FSV Mainz 05|Mainz|FSV Mainz|Bayern Mainz|Bayern Mainz highlights|Bundesliga Matchday 14|MD142021|#FCBM05","#FCBM05 | Highlights from Matchday 14!► Sub now: https://redirect.bundesliga.com/_bwCS Watch the Bundesliga highlights of FC Bayern München vs. 1. FSV Mainz 05 from Matchday 14 of 2020/21 season!Goals: 0-1 Burkardt (32'), 0-2 Hack (44'), 1-2 Kimmich (50'), 2-2 Sané (55'), 3-2 Süle (70'), 4-2 Lewandowski (76' Penalty), 5-2 Lewandowski (83')► Watch Bundesliga in your country: https://redirect.bundesliga.com/_bwCT► Join the conversation in the Bundesliga Community Tab:https://www.youtube.com/bundesliga/communityWe’ve seen another Matchday full of unmissable Bundesliga drama. Don’t miss any highlights from Germany’s football league! The Official Bundesliga YouTube channel gives you access to videos about the greatest goals, best moments and anything else you should know about. Make sure to subscribe now and visit us at https://bndsl.ga/comYT to find out more about the fixtures, analysis and news about your favourite team!","Welcome to the official YouTube page of the Bundesliga! Don’t miss highlights from every game, exclusive clips and footage from your favourite Bundesliga players and teams that can't be found anywhere else -- tactical analyses, behind the scenes, funny challenges, special events, top goal compilations and more!► Subscribe Now: http://bndsl.ga/sub► Watch the Bundesliga in your country: http://bndsl.ga/watchBL-----------------------------------------Production:DFL Digital Sports GmbHKaltenbornweg 2D-50679 CologneGermanyTel. +49 (0)221/337760-0info@bundesliga.comCEO: Andreas HeydenDirector of Content:Nina TsimpouliHRB 72608 Cologne, GermanyVAT ID: DE 278 212 570","Bundesliga DFL fußball football soccer german germany league 2019 2020","74bM5geGViM"
OUKGsb8CpF8,"Cristiano Ronaldo 50 Legendary Goals Impossible To Forget","UCvgE5Bvq7Qy37gwq_sSLWPQ","Ronnie7M","17","803.0","https://i.ytimg.com/vi/OUKGsb8CpF8/default.jpg","Cristiano Ronaldo|football|cr7|cristiano ronaldo tricks|cristiano ronaldo goals|Cristiano Ronaldo Skills|Cristiano Ronaldo Best Skills|Cristiano Ronaldo Dribbling|Football|Soccer|ronaldo skills|роналду|ronaldo goals|футбол|ronaldo freestyle|ronaldo 2020|роналду финты|ronaldo vs messi|ronaldo mbappe|neymar|Роналду|cristiano ronaldo top goals|cristiano ronaldo top 50 goals|лучшие голы роналду|best goals in football","Cristiano Ronaldo: 50 best goals ever🔔Turn Notifications on and you will never miss a video again❗✅STAY UPDATED!👇👍Facebook: http://goo.gl/F3DRxs📸Instagram: https://bit.ly/39bou2e🎴Vk: http://goo.gl/TGJZGG🎞My Comp Channel: https://goo.gl/j9nZt1#CristianoRonaldo #RonaldoGoals #Ronaldo2020","Hi guys!My name is Michael aka Ronnie7M.5 years I make interesting and creative videos with Cristiano Ronaldo. Also on my channel you can find videos with other popular players. I share my thoughts and emotions.Welcome to my channel and enjoy.Ronnie7M It's Best Channel For Cristiano Ronaldo Fans!","Cristiano Ronaldo Skills Goals","74bM5geGViM"
RkyCR4ReQQ0,"BEST Premier League Goals of 2020 | Long-range ROCKETS, bicycle kicks, chips, counter-attacks & more","UCG5qGWdu8nIRZqJ_GgDwQ-w","Premier League","17","1464.0","https://i.ytimg.com/vi/RkyCR4ReQQ0/default.jpg","Premier League|epl|best goals|2020|best goals 2020|best Premier League goals|Premier League goals 2020|Premier League goals|epl goals|Premier League highlights|Kevin De Bruyne|Paul Pogba|Mohamed Salah|Son Heung-min|Liverpool|Manchester United|Arsenal|Man City|Chelsea|Pulisic|Grealish|football|soccer|long range|rockets|chips|counter attacks|พรีเมียร์ลีก|ประตู|ฟุตบอล|ไฮไลท์|วอลเลย์|ยิงไกล|สวนกลับ|จรวด|อาร์เซน่อล|ลิเวอร์พูล|แมนเชสเตอร์ ซิตี้|แมนเชสเตอร์ ยูไนเต็ด","A compilation of the best Premier League goals scored in 2020. This video features Kevin De Bruyne (Manchester City), Che Adams (Southampton), Paul Pogba (Manchester United), Son Heung-min (Tottenham Hotspur), Alexandre Lacazette (Arsenal), Mohamed Salah (Liverpool), Alireza Jahanbakhsh (Brighton & Hove Albion), Raul Jimenez (Wolverhampton Wanderers), Christian Pulisic (Chelsea), Raphinha (Leeds United), Sebastien Haller (West Ham United), Jack Grealish (Aston Villa) and more!Who scored the best goal of 2020? Let us know in the comments.รวมลูกยิงสุดสวยในของพรีเมียร์ลีกในปี 2020 พบกับประตูของทั้ง เควิน เดอ บรอยน์(แมนเชสเตอร์ ซิตี้), เช อดัมส์(เซาธ์แฮมป์ตัน), ปอล ป็อกบา(แมนเชสเตอร์ ยูไนเต็ด), ซน ฮึง-มิน(ท็อตแน่ม ฮอตสเปอร์), อเล็กซองด์ ลากาแซตต์(อาร์เซน่อล), โมฮาเหม็ด ซาลาห์(ลิเวอร์พูล), อาลีเรซ่า จาฮานบัคช์(ไบรท์ตัน แอนด์ โฮฟ อัลเบียน), ราอูล ฆิเมเนซ(วูล์ฟแฮมป์ตัน วันเดอเรอร์ส), คริสเตีย พูลิซิช(เชลซี), ราฟินญ่า(ลีดส์ ยูไนเต็ด), เซบาสเตียน อัลแลร์(เวสต์แฮม ยูไนเต็ด), แจ็ค กรีลิช(แอสตัน วิลล่า) และอีกเพียบ!คิดว่าลูกไหนสวยที่สุดในปี 2020? บอกให้เรารู้ในคอมเมนท์เลย!Subscribe to the official Premier League YouTube channel: http://preml.ge/PremierLeagueYouTube Premier League website: http://preml.ge/PremierLeagueWebsiteFollow the Premier League on Instagram: http://preml.ge/PremierLeagueInstagramFollow the Premier League on Twitter: http://preml.ge/PremierLeagueTwitterLike the Premier League on Facebook: http://preml.ge/PremierLeagueFacebookPlay Fantasy Premier League: http://preml.ge/FantasyPremierLeagueTo license Premier League match footage: https://imgreplay.com/contact#PremierLeague #Goals #2020 #พรีเมียร์ลีกYour safety onlineVisit the Child Exploitation and Online Protection website for confidential support if something has happened online which has made you feel unsafe, if you are worried about someone else or to report online abuse. (https://www.ceop.police.uk/safety-centre)You should contact the Police by calling 999 if you or anybody else is in any sort of danger.Visit CEOP’s Thinkuknow website for advice and guidance on safe surfing and staying safe online for example when using mobile phones, blogs, social media, chatting, online gaming and emailing. (https://www.thinkuknow.co.uk)You can also visit the Premier League safeguarding page for more information. (https://www.premierleague.com/safeguarding)","Welcome to the official Premier League YouTube channel. Keep up to date with the latest content from the Premier League.Subscribe to the official Premier League YouTube channel: http://preml.ge/PremierLeagueYouTube Premier League website: http://preml.ge/PremierLeagueWebsiteFollow the Premier League on Instagram: http://preml.ge/PremierLeagueInstagramFollow the Premier League on Twitter: http://preml.ge/PremierLeagueTwitterLike the Premier League on Facebook: http://preml.ge/PremierLeagueFacebookPlay Fantasy Premier League: http://preml.ge/FantasyPremierLeague","premier league football soccer fantasy premier league premier league goals premier league highlights fpl fyi epl fplfyi premierleague fpl show epl goals epl highlights fantasy premier league show uncut top 5 football highlights football goals trickbox fpl prem uncut premier league football highlights soccer highlights goals highlights","74bM5geGViM"
6AF2kQFBp7g,"Genoa 1-3 Juventus | Dybala & Ronaldo Score to Secure Away Win! | EXTENDED Highlights","UCLzKhsxrExAC6yAdtZ-BOWw","Juventus","17","738.0","https://i.ytimg.com/vi/6AF2kQFBp7g/default.jpg","juventus|juventus fc|juve|juventus football|ronaldo|cristiano ronaldo|cr7|dybala|ronaldo juventus|juventus training|juventus vs|football|italian football|juventus highlights|inno juve|inno juventus|ronaldo 100 juventus match|paulo dybala|juventus genoa|extended highlights|juventus 1-3 Genoa","Extended Highlights from our 3-1 Victory at Genoa that saw Paulo Dybala return to the scoresheet as well as Cristiano Ronaldo scoring twice on his 100th appearance for the Bianconeri!🎥 Follow our season with exclusive content only on Juventus TV ➡️ http://juve.it/av4M30lm55Y📹 Subscribe here to our YouTube channel: http://juve.it/BgUp30iwWec👕 Visit the Juventus Online Store for your very own shirt and other Bianconeri gifts: http://juve.it/zZrm30pImJRFounded in 1897, Juventus Football Club is the most successful team in Italy, with a rich history of winning and hundreds of millions of fans worldwide.📲 Follow on:Facebook: https://www.facebook.com/JuventusTwitter: https://twitter.com/juventusfcenInstagram: https://www.instagram.com/juventusSnapchat: https://www.snapchat.com/add/juventus💻 Visit our website: http://www.juventus.com/en","Welcome to the official YouTube channel of Juventus FC. Subscribe to watch exclusive content and all the latest videos.Benvenuti sul canale YouTube ufficiale della Juventus. Iscrivetevi per non perdere i contenuti esclusivi e gli ultimi video.","Juventus Juve calcio sport serie A bianco nero bianconero canale ufficiale inno ufficiale squadra allenamento partite partita intervista giocatori allenatore agnelli stadio torino vecchia signora il canale ufficiale juventus juventus fc juventus football club football gol goal campionato coppa scudetto coppa italia coppa dei campioni coppa uefa coppa intercontinentale supercoppa europa league coppa delle coppe","74bM5geGViM"
_dDF39Gq_ts,"Atalanta 5 - 1 Sassuolo | La Dea Scores 5, Two Goals From Zapata | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","254.0","https://i.ytimg.com/vi/_dDF39Gq_ts/default.jpg","Ronaldo|Serie A|Dybala|highlights|Juventus|AC Milan|Inter Milan|Napoli|Roma|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|migliori gol|migliori in campo|migliori al mondo|gol del mese|federcalcio|calcio|Italia|lukaku|Lazio|zlatan|ibrahimovic|Ribery|la dea|5-1|Atalanta 5 - 1 Sassuolo|atalanta v sassuolo highlights|atalanta vs sassuolo|atalanta v sassuolo|Atalanta|sassuolo","Avalanche Atalanta against Sasssuolo, in Bergamo it ends 5-1 | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","74bM5geGViM"
