video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
vnrytrYaK64,"Browns vs. Steelers Super Wild Card Weekend Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","713.0","https://i.ytimg.com/vi/vnrytrYaK64/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|postseason|playoffs|2020|touchdown|td|game highlights|super wild card weekend|best plays|top plays|browns|cleveland|cle|steelers|pittsburgh|pit|browns steelers game highlights|browns highlights|steelers highlights|browns td|steelers td|wild card","The Cleveland Browns take on the Pittsburgh Steelers during Super Wild Card Weekend of the 2020 NFL postseason.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #NFLPlayoffs #SuperWildCard","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","9BXsEHtWQRo"
LCVCzd_wC5Q,"Tampa Bay Buccaneers vs. Green Bay Packers  | NFL 2021 Conference Championship Preview","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","661.0","https://i.ytimg.com/vi/LCVCzd_wC5Q/default.jpg","NFL|Football|American Football|sport|sports","Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Football #AmericanFootball","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","9BXsEHtWQRo"
U1WMh5Jfh6Q,"The Steelers display the most pathetic quarter of NFL football ever","UCq0grzC77X9UZd9xngQRTjg","Highlight Heaven","17","193.0","https://i.ytimg.com/vi/U1WMh5Jfh6Q/default.jpg","Highlights|Highlight Heaven|nfl highlights|highlight|nfl|national football league|highlight heaven beat","Discord Server: https://discord.gg/highlightheavenClip Channel: https://www.youtube.com/c/HighlightHellGaming Channel: https://www.youtube.com/c/HHG01TikTok: https://www.tiktok.com/@highlight.heavenBusiness Email: highlightheavenbusiness@gmail.comTwitter: https://twitter.com/highlghtheavenInstagram: https://www.instagram.com/highlght.heaven/Twitch: https://www.twitch.tv/highlightheavenPatreon: https://www.patreon.com/highlightheavenOutro Song: Beat - Highlight Heaven: https://www.youtube.com/watch?v=TjZQkQFAXfY (originally made by @itstrippyty on Twitter)(All rights go to ESPN, Fox, CBS, NBC, Universal Music Group, the NFL, NBA, NCAA, MLB, NHL, XFL & its broadcasters. I do not own the music and the footage used in this video. No copyright infringement intended. For entertainment purposes.)","Sports highlights.The best ways to contact me are on Twitter (@highlghtheaven) or Discord (alexthegreat#0001)https://twitter.com/highlghtheavenhttps://discord.gg/highlightheavenInfo about my channel:Editing Software: Camtasia 2019/Adobe Premiere ProRecording Software: OBSHow I find old games: NFL Game Pass, Facebook Groups, YouTube, etc.How I record live games: I use YouTube TVHow I get game clips out so fast: Gigabit speed internet and I edit during the gameFavorite NFL team: Pittsburgh Steelers","sports highlights nfl mlb nba nhl videos highlight compilation sport","9BXsEHtWQRo"
Ir3uhH22vfU,"¡LA SORPRESA DE LOS WILD CARD! Los Browns destrozaron a los Steelers | Resumen | Wild Card","UCzWr3fmdEWwk6fl5dWJACIQ","NFL en Español","17","1451.0","https://i.ytimg.com/vi/Ir3uhH22vfU/default.jpg","NFL|NFL Español|NFL México|Highlights|Resumen|Jugadas|2020|touchdown|anotación|Futbol americano|Football|jugadas nfl|Football americano|NFL Playoffs|AFC Playoffs|Super Wild Card Weekend|Wild Card NFL|Comodin|Cleveland Browns|Browns|Baker Mayfield|Jarvis Landry|Nick Chubb|Kareem Hunt|Austin Hooper|Takitaki|Rashard Higgins|Pittsburgh Steelers|Steelers|Big Ben|Ben Roethlisberger|fumble|James Conner|Derek Watt|JuJu Smith-Schuster|JuJu|Eric Ebron|Claypool","Suscríbete a NFL en Español: https://bit.ly/2D4lxm5Revisen otros canales:NFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL","La página oficial de YouTube de la NFL en Español.Suscríbete al canal de YouTube de la NFL en Español para ver lo más destacado en el juego de tus equipos y jugadores favoritos, Trend Zone: NFL & Chill, presentado por Little Caesars Pizza; Los Picks, presentados por Betcris, Análisis con Movistar y NFL España, Tiempo Extra con Primero y Diez y mucho más. ","Esto es la NFL nfl mexico nfl en español nflespanol resumenenes nfl dallas cowbooys acereros steelers patriots tom brady tudn nfl nfl en fox super bowl","9BXsEHtWQRo"
rPMLyYNigAk,"Colts vs. Browns Week 5 Highlights | NFL 2020","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","750.0","https://i.ytimg.com/vi/rPMLyYNigAk/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 5|best plays|top plays|colts|indianapolis|ind|browns|cleveland|cle|colts browns game highlights|colts highlights|browns highlights|colts td|browns td","The Indianapolis Colts take on the Cleveland Browns during Week 5 of the 2020 NFL season.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Colts #Browns","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","9BXsEHtWQRo"
PDeknYwsyKU,"Aaron Rodgers y los Packers vencen a los Rams y llegan al NFC Championship | Resumen | Divisional","UCzWr3fmdEWwk6fl5dWJACIQ","NFL en Español","17","737.0","https://i.ytimg.com/vi/PDeknYwsyKU/default.jpg","NFL|NFL Español|NFL México|Highlights|Resumen|Jugadas|2020|touchdown|anotación|Futbol americano|Football|jugadas nfl|Football americano|NFL Playoffs|NFC Playoffs|NFL Divisional Round|Los Angeles Rams|Rams|Jared Goff|Aaron Donald|Cam Akers|Cooper Kupp|Robert Woods|Ronda Divisional|Packers|Green Bay Packers|Aaron Rodgers|MVP|Aaron Jones|Robert Tonyan|Davante Adams|Ronda Divisonal NFL|NFC Championship","Suscríbete a NFL en Español: https://bit.ly/2D4lxm5Revisen otros canales:NFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL","La página oficial de YouTube de la NFL en Español.Suscríbete al canal de YouTube de la NFL en Español para ver lo más destacado en el juego de tus equipos y jugadores favoritos, Trend Zone: NFL & Chill, presentado por Little Caesars Pizza; Los Picks, presentados por Betcris, Análisis con Movistar y NFL España, Tiempo Extra con Primero y Diez y mucho más. ","Esto es la NFL nfl mexico nfl en español nflespanol resumenenes nfl dallas cowbooys acereros steelers patriots tom brady tudn nfl nfl en fox super bowl","9BXsEHtWQRo"
elkS8MEHY0Q,"Buccaneers vs. Saints Divisional Round Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","651.0","https://i.ytimg.com/vi/elkS8MEHY0Q/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|postseason|playoffs|2020|touchdown|td|game highlights|divisional roumd|divisional|best plays|top plays|buccaneers|bucs|tampa bay|tb|new orleans|saints|no|bucs saints game highlights|bucs highlights|saints highlights|bucs td|saints td|tom brady|drew brees","The Tampa Bay Buccaneers take on the New Orleans Saints during the Divisional Round of the 2020 NFL postseason.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #NFLPlayoffs #NFLDivisionalRound","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","9BXsEHtWQRo"
4YuCabFqcP8,"Buccaneers vs. Panthers Week 10 Highlights | NFL 2020","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","792.0","https://i.ytimg.com/vi/4YuCabFqcP8/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 10|best plays|top plays|panthers|carolina|car|buccaneers|bucs|tampa bay|tb|bucs panthers game highlights|panthers highlights|bucs highlights|panthers td|bucs td","The Tampa Bay Buccaneers take on the Carolina Panthers during Week 10 of the 2020 NFL season.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Bucs #Panthers","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","9BXsEHtWQRo"
c5CPyLlSWQ8,"Browns vs. Chiefs Divisional Round Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","728.0","https://i.ytimg.com/vi/c5CPyLlSWQ8/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|postseason|playoffs|2020|touchdown|td|game highlights|divisional round divisional|best plays|top plays|browns|cleveland|cle|chiefs|kansas city|kc|browns chiefs game highlights|browns highlights|chiefs highlights|browns td|chiefs td","The Cleveland Browns take on the Kansas City Chiefs during the Divisional Round of the 2020 NFL postseason.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #NFLPlayoffs #NFLDivisionalRound","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","9BXsEHtWQRo"
YW7JwBTpzAk,"DeShaun Watson Dream Trade Scenarios","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","390.0","https://i.ytimg.com/vi/YW7JwBTpzAk/default.jpg","[none]","Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Football #AmericanFootball","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","9BXsEHtWQRo"
