video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
KTNZR82fVHw,"Chloe x Halle: Tiny Desk (Home) Concert","UC4eYXhJI4-7wSWc8UNRwD4A","NPR Music","10","1178.0","https://i.ytimg.com/vi/KTNZR82fVHw/default.jpg","NPR|NPR Music|National Public Radio|Live|Performance|tiny desk|tiny desk concert|tony desk|tiny concert","The Tiny Desk is working from home for the foreseeable future. Introducing NPR Music's Tiny Desk (home) concerts, bringing you performances from across the country and the world. It's the same spirit — stripped-down sets, an intimate setting — just a different space.Abby O'Neill | December 8, 2020Powerful sister duo Chloe x Halle went all out on this one. Flanked by personal memorabilia supplied by their mother, the Bailey sisters did their best to make this studio performance really feel like a home concert.As they volley off each other, swapping lead and harmonies, it's amazing to watch how years of practice and innate genetic chemistry have them synced tighter than a SMPTE timecode. Baby Girl, the second song here, starts with notes reminiscent of Crystal Waters' Gypsy Woman (She's Homeless), and is preceded with Chloe sharing I know this year 2020 has been absolutely bonkers for all of us. For those moments where you kinda feel less than and you're not good enough ... that's why we wrote this song. ... Whatever happens, we'll be OK. And this is our world. Fusing R&B, soul and pop, backed by a talented nine-piece female band, this performance is surely to delight Chloe x Halle's global fanbase.SET LISTDon't Make It Harder on MeBaby GirlDo ItUngodly HourWonder What She Thinks of MeMUSICIANSChloe Bailey: vocalsHalle Bailey: vocalsElise Solberg: keyboardElin Sandberg: bassLexii Lynn Frazier: guitarBrandi Singleton: drumsArnetta Johnson: trumpetCrystal Torres: trumpetStephanie Yu: violinChelsea Stevens: celloMarta Honer: violaCREDITSVideo: Ben Hagerty, Darin ConradAudio: Lester Mendoza, Derek Dixie, Stephen CurtainDirector: Ben HagertyCamera Operator: Darin ConradEditor: Nia PhillipsCreative Direction: Andrew MakadsiArt Director: Brianna GonzalesAssistant Art Director: Ian MiyawakiTINY DESK TEAMProducer: Abby O'NeillVideo Producer: Morgan Noelle SmithAudio Mastering: Josh RogosinAssociate Producer: Bobby CarterTiny Production Team: Bob Boilen, Kara Frame, Maia SternExecutive Producer: Lauren OnkeySenior VP, Programming: Anya Grundmann","The official YouTube channel for NPR Music featuring Tiny Desk Concerts, live shows, documentaries and more.  Find more at www.npr.org/music","tiny desk NPR music nprmusic concerts interviews news tiny desk concert studio sessions","A8_7Hlbshg0"
HG2eItKHgMU,"Chloe x Halle Perform “Baby Girl” Live on the Honda Stage at Billboard’s Women in Music","UCsVcseUYbYjldc-XgcsiEbg","Billboard","10","243.0","https://i.ytimg.com/vi/HG2eItKHgMU/default.jpg","billboard|billboard channel|official|billboard magazine|music|official billboard channel|women in music|women in music 2020|2020|chloe x halle|chloe x halle performance|chloe x halle babygirl|chloe x halle music|billboard women in music 2020|bb women in music|r&b music|pop|pop music|chloe x halle honda stage|honda stage|chloe x halle songs|chloe x halle women in music","Chloe x Halle perform “Baby Girl” Live on the Honda Stage at Billboard’s Women in Music 2020. Follow Chloe x Halle: https://www.instagram.com/chloexhalle/?hl=enhttps://www.facebook.com/chloexhalle/https://twitter.com/chloexhallehttps://open.spotify.com/artist/0AsThoR4KZSVktALiNcQwW?si=DfZwALVnSNKMl0Zem0X95ABuilding on its deep foundation of bringing music to fans, American Honda brings you Honda Stage - a platform that celebrates determined, breakout artists and features their exclusive performances. And for a unique behind-the-scenes experience, Honda introduces Honda Backstage, where fans can dive deeper into what inspires and drives these artists who have pushed further and reached higher, no matter the obstacles.Through Honda Stage, Honda Backstage, live events like Honda Civic Tour and Honda Stage festivals, as well as exclusive online content from partners (Billboard, UPROXX, UMG, Vevo, and iHeartMedia), Honda offers music fans access to the moments they love while celebrating the creativity and drive it takes to make it big.Subscribe to discover new music from #HondaStage: http://honda.us/YTSubscribeFind us on Facebook: http://honda.us/HSFacebookFollow us on Twitter: http://honda.us/HSTwitterFollow us on Instagram: http://honda.us/HSInstagramVisit our website: http://honda.us/HondaStage#ChloexHalle #Babygirl #BBWomenInMusicChloe x Halle Perform “Babygirl” Live on the Honda Stage at Billboard’s Women in MusicBillboardhttps://youtube.com/billboard","Billboard's YouTube channel brings you exclusive interviews with chart-topping artists, one-of-a-kind studio performance sessions and in-depth coverage of the world's biggest music events.","billboard billboard channel official billboard channel billboard magazine music hot 100 charts top 10 songs news official countdown top 50 top 50 songs top songs billboard music awards women in music interview","A8_7Hlbshg0"
hNVPyp92Xgg,"Chloe x Halle Are Just Getting Started","UCsVcseUYbYjldc-XgcsiEbg","Billboard","10","544.0","https://i.ytimg.com/vi/hNVPyp92Xgg/default.jpg","Honda Stage|Honda|American Honda|Billboard|Billboard video|Chloe x Halle|Chloe x Halle songs|Chloe x Halle Honda Backstage|Chloe x Halle Interview|Chloe x Halle Documentary|Chloe x Halle Tour|Chloe x Halle New Album|Chloe x Halle Performance|Chloe x Halle Music|Chloe x Halle New Music|Chloe x Halle Video|Chloe x Halle The Kids Are Alright|Chloe x Halle Ungodly Hour|Chloe x Halle Do It|R&B Music|Pop Music","In this Honda backstage mini documentary, Chloe x Halle reflect on their signing to Beyoncé’s Parkwood Entertainment, the creation of their first two Grammy-nominated albums and the DIY spirit that’s propelled them to stardom Follow Chloe x Halle: https://www.instagram.com/chloexhalle/?hl=enhttps://www.facebook.com/chloexhalle/https://twitter.com/chloexhallehttps://open.spotify.com/artist/0AsThoR4KZSVktALiNcQwW?si=DfZwALVnSNKMl0Zem0X95ABuilding on its deep foundation of bringing music to fans, American Honda brings you Honda Stage - a platform that celebrates determined, breakout artists and features their exclusive performances. And for a unique behind-the-scenes experience, Honda introduces Honda Backstage, where fans can dive deeper into what inspires and drives these artists who have pushed further and reached higher, no matter the obstacles.Through Honda Stage, Honda Backstage, live events like Honda Civic Tour and Honda Stage festivals, as well as exclusive online content from partners (Billboard, UPROXX, UMG, Vevo, and iHeartMedia), Honda offers music fans access to the moments they love while celebrating the creativity and drive it takes to make it big.Subscribe to discover new music from #HondaStage: http://honda.us/YTSubscribeFind us on Facebook: http://honda.us/HSFacebookFollow us on Twitter: http://honda.us/HSTwitterFollow us on Instagram: http://honda.us/HSInstagramVisit our website: http://honda.us/HondaStage#HondaStage #ChloexHalle #BillboardChloe x Halle Are Just Getting StartedBillboardhttps://youtube.com/billboard","Billboard's YouTube channel brings you exclusive interviews with chart-topping artists, one-of-a-kind studio performance sessions and in-depth coverage of the world's biggest music events.","billboard billboard channel official billboard channel billboard magazine music hot 100 charts top 10 songs news official countdown top 50 top 50 songs top songs billboard music awards women in music interview","A8_7Hlbshg0"
OwZ_hodT5CA,"Chloe x Halle Ungodly Hour VMAs","UCKvu7JgqK7-ZKUKHC33meEw","Chloe x Halle","24","202.0","https://i.ytimg.com/vi/OwZ_hodT5CA/default.jpg","Chloe|halle|chloexhalle|chloeandhalle|Chloe bailey|halle bailey|Chloe x halle|Chloe and halle|twins|locs|sisters|ungodly hour|music video|vmas|parkwood|beyonce","Listen & Download 'Ungodly Hour' out now: https://ChloexHalle.lnk.to/UngodlyHourAmazon - https://ChloexHalle.lnk.to/UngodlyHou...Apple Music - https://ChloexHalle.lnk.to/UngodlyHou...iTunes - https://ChloexHalle.lnk.to/UngodlyHou...Spotify - https://ChloexHalle.lnk.to/UngodlyHou...YouTube Music - https://ChloexHalle.lnk.to/UngodlyHou...","just two girls who love making music in our living room 👽🎶❤️⚡️UNGODLY HOUR OUT NOW!✨ChloexHalle.lnk.to/UngodlyHour#CatchUp https://chloexhalle.lnk.to/CatchUplisten to our debut album #TheKidsAreAlright now: http://smarturl.it/TKAAwatch our official short film #TheKidsAreAlright: https://youtu.be/Rn3wznA1RlQlisten to our song #TheKidsAreAlright out now:http://smarturl.it/TheKidsAreAlrightwatch our official #TheKidsAreAlright video: http://smarturl.it/TheKidsAreAlrightVidlisten to #GROWN, the official song for Grown-ish here: http://smarturl.it/Grown watch our official GROWN video: http://smarturl.it/grown/youtube   Website: http://chloexhalle.comFacebook: http://facebook.com/chloexhalleTwitter: @chloexhalle Instagram: http://instagram.com/chloexhalleSnapchat: chloexhalleSoundcloud: http://soundcloud.com/chloexhalleMusically: chloexhalle","Chloe Bailey Halle Beyonce Chloe and Halle destiny's child Rihanna Chloe x Halle Drop Parkwood Pretty Hurts Cover Sugar Symphony Pretty Hurts Beyonce","A8_7Hlbshg0"
WArgi8RYIuU,"Chloe x Halle - @ The Wiltern (Verizon Up presents)","UCKvu7JgqK7-ZKUKHC33meEw","Chloe x Halle","24","3490.0","https://i.ytimg.com/vi/WArgi8RYIuU/default.jpg","[none]","Chloe x Halle performed a 45-minute virtual concert at The Wiltern—just for Verizon Up members. More virtual live shows. More access. More to come. All just to say thanks. Verizon Up members get more access to exclusive virtual concerts. Only in the My Verizon app.","just two girls who love making music in our living room 👽🎶❤️⚡️UNGODLY HOUR OUT NOW!✨ChloexHalle.lnk.to/UngodlyHour#CatchUp https://chloexhalle.lnk.to/CatchUplisten to our debut album #TheKidsAreAlright now: http://smarturl.it/TKAAwatch our official short film #TheKidsAreAlright: https://youtu.be/Rn3wznA1RlQlisten to our song #TheKidsAreAlright out now:http://smarturl.it/TheKidsAreAlrightwatch our official #TheKidsAreAlright video: http://smarturl.it/TheKidsAreAlrightVidlisten to #GROWN, the official song for Grown-ish here: http://smarturl.it/Grown watch our official GROWN video: http://smarturl.it/grown/youtube   Website: http://chloexhalle.comFacebook: http://facebook.com/chloexhalleTwitter: @chloexhalle Instagram: http://instagram.com/chloexhalleSnapchat: chloexhalleSoundcloud: http://soundcloud.com/chloexhalleMusically: chloexhalle","Chloe Bailey Halle Beyonce Chloe and Halle destiny's child Rihanna Chloe x Halle Drop Parkwood Pretty Hurts Cover Sugar Symphony Pretty Hurts Beyonce","A8_7Hlbshg0"
orPOnFbyE-E,"Chloe x Halle - Busy Boy, Forgive Me & Do It (Live Performance)","UClMbeHyEA7_Hfb_AQK_iSSA","Chloe x Halle Updates","22","488.0","https://i.ytimg.com/vi/orPOnFbyE-E/default.jpg","[none]","","Here to show love and support to the beautiful and talented Chloe x Halle.","","A8_7Hlbshg0"
xRoUZVfrnHU,"Chloe x Halle Perform Ungodly Hour | 2020 MTV VMAs","UCxAICW_LdkfFYwTqTHHE0vg","MTV","24","212.0","https://i.ytimg.com/vi/xRoUZVfrnHU/default.jpg","MTV|Video Music Awards|VMA|VMAs|Ariana Grande|Black Eyed Peas|BTS|Chloe x Halle|CNCO|DaBaby|Da Baby|Doja Cat|Lady Gaga|Lewis Capaldi|Maluma|Miley Cyrus|Tate McRae|The Weeknd|Keke Palmer|Megan Thee Stallion|Cardi B|Post Malone|Drake|artist of the video|video of the year|chloe x halle ungodly hour|grown-ish|chloe x halle vma|chloe x halle live performance|chloe x halle|ungodly hour|chloe and halle|chloe bailey|halle bailey|mtv music awards 2020","Chloe x Halle perform Ungodly Hour at the 2020 Video Music Awards. Check out more from the 2020 VMAs here: http://www.mtv.com/vma#VMAs #MTVSubscribe to MTV: http://goo.gl/NThuhCMore from MTV:Official MTV Website: http://www.mtv.com/Like MTV: https://www.facebook.com/MTVFollow MTV: https://twitter.com/MTVMTV Instagram: http://instagram.com/mtv#MTV is your destination for the hit series WNO, VMA, Jersey Shore, The Challenge, MTV Floribama Shore, Teen Mom and much more!","This is the official YouTube page for MTV! Check out performances from VMAs, digital series Animal Style and more to come.","MTV MTVnews MTV news MTVu MTVother MTV(other) series movies music news Teen Wolf Scream Faking It Catfish VMA Teen Mom Jersey Shore Entertainment Video Music Awards Movie Awards TV Awards Reality TV Pop Culture The Challenge","A8_7Hlbshg0"
1ox_P0H65XI,"Why Don't We - Grey [Official Live Music Video]","UCgJMQU7JOIoP-YnrhH_P-bA","Why Don't We","10","274.0","https://i.ytimg.com/vi/1ox_P0H65XI/default.jpg","why dont we|why don't we|fallin|fallin premiere|wdw|zach herron|corbyn besson|jonah marais|daniel seavey|jack avery|why don't we fallin|why don't we songs|why don't we 8 letters|fallin' music video|fallin music video|fallin' official music video|why don’t we new music|why don't we the good times and the bad ones|why don't we tgtatbo|tgtatbo|grey|grey why don’t we|why don’t we grey|gray|gray why don’t we|why don’t we gray|grey video|grey music video","Our new album The Good Times And The Bad Ones is out now: https://whydontwe.lnk.to/TGTATBOSHOP MERCH: https://atlantic.lnk.to/wdwmerchFOLLOW US:https://twitter.com/whydontwemusichttps://www.instagram.com/whydontwemusichttps://WhyDontWe.lnk.to/TikTok https://www.facebook.com/whydontwemusic","we're a band.","daniel seavey zach herron jonah marais corbyn besson jack avery why dont we whydontwemusic boyband boy band pop music new music pop bands pop music mix","A8_7Hlbshg0"
GO8WB2zKW8M,"Chloe x Halle - Cool People - Official Music Video (Live)","UCKvu7JgqK7-ZKUKHC33meEw","Chloe x Halle","10","166.0","https://i.ytimg.com/vi/GO8WB2zKW8M/default.jpg","Chloe x Halle|Chloe and Halle|The Kids Are Alright|Cool People|Offical Music Video|Parkwood Entertainment|Best New Artist|Drop|Fall|Pretty Hurts|Happy Without Me|Warrior","The official music video for our song “Cool People” shot at YouTube Space NYC. Our debut album #TheKidsAreAlright is out now: http://smarturl.it/TKAA","just two girls who love making music in our living room 👽🎶❤️⚡️UNGODLY HOUR OUT NOW!✨ChloexHalle.lnk.to/UngodlyHour#CatchUp https://chloexhalle.lnk.to/CatchUplisten to our debut album #TheKidsAreAlright now: http://smarturl.it/TKAAwatch our official short film #TheKidsAreAlright: https://youtu.be/Rn3wznA1RlQlisten to our song #TheKidsAreAlright out now:http://smarturl.it/TheKidsAreAlrightwatch our official #TheKidsAreAlright video: http://smarturl.it/TheKidsAreAlrightVidlisten to #GROWN, the official song for Grown-ish here: http://smarturl.it/Grown watch our official GROWN video: http://smarturl.it/grown/youtube   Website: http://chloexhalle.comFacebook: http://facebook.com/chloexhalleTwitter: @chloexhalle Instagram: http://instagram.com/chloexhalleSnapchat: chloexhalleSoundcloud: http://soundcloud.com/chloexhalleMusically: chloexhalle","Chloe Bailey Halle Beyonce Chloe and Halle destiny's child Rihanna Chloe x Halle Drop Parkwood Pretty Hurts Cover Sugar Symphony Pretty Hurts Beyonce","A8_7Hlbshg0"
MFxqp_wOUx8,"Chloe x Halle – Happy Without Me (feat. Joey Bada$$) Official Music Video","UCKvu7JgqK7-ZKUKHC33meEw","Chloe x Halle","10","213.0","https://i.ytimg.com/vi/MFxqp_wOUx8/default.jpg","Chloe x Halle|Chloe and Halle|Happy Without Me|Happy W/O Me|Joey Badass|Beyonce|Parkwood Entertainment|Pretty Hurts|The Kids Are Alright|Music Video|Official Video|Singing Sisters|Beyonce Protege|BET Awards|Sugar Symphony|Drop|Fall|Grownish|Grown|Grownish Theme|MTV Awards|OTR II Tour|Joey Bada$$|Happy Without You","Chloe x Halle's debut album 'The Kids Are Alright' ft. Happy Without Me is available now: http://smarturl.it/TKAA Amazon: http://smarturl.it/TKAA/azApple Music: http://smarturl.it/TKAA/applemusicGoogle Play: http://smarturl.it/TKAA/googleplayiTunes: http://smarturl.it/TKAA/itunesSpotify: http://smarturl.it/TKAA/spotifyTidal: http://smarturl.it/TKAA/tidal ------ Follow Chloe x Halle:http://chloexhalle.comhttp://twitter.com/chloexhallehttp://facebook.com/chloexhallehttp://instagram.com/chloexhalle","just two girls who love making music in our living room 👽🎶❤️⚡️UNGODLY HOUR OUT NOW!✨ChloexHalle.lnk.to/UngodlyHour#CatchUp https://chloexhalle.lnk.to/CatchUplisten to our debut album #TheKidsAreAlright now: http://smarturl.it/TKAAwatch our official short film #TheKidsAreAlright: https://youtu.be/Rn3wznA1RlQlisten to our song #TheKidsAreAlright out now:http://smarturl.it/TheKidsAreAlrightwatch our official #TheKidsAreAlright video: http://smarturl.it/TheKidsAreAlrightVidlisten to #GROWN, the official song for Grown-ish here: http://smarturl.it/Grown watch our official GROWN video: http://smarturl.it/grown/youtube   Website: http://chloexhalle.comFacebook: http://facebook.com/chloexhalleTwitter: @chloexhalle Instagram: http://instagram.com/chloexhalleSnapchat: chloexhalleSoundcloud: http://soundcloud.com/chloexhalleMusically: chloexhalle","Chloe Bailey Halle Beyonce Chloe and Halle destiny's child Rihanna Chloe x Halle Drop Parkwood Pretty Hurts Cover Sugar Symphony Pretty Hurts Beyonce","A8_7Hlbshg0"
