video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
bozxxXjIi1o,"20 Year Rebuild of the New York Giants | Best Player in NFL HISTORY! Madden 21 Franchise","UChbQpxORq06uf2Wnj6yqKiQ","Bengal","20","9645.0","https://i.ytimg.com/vi/bozxxXjIi1o/default.jpg","madden rebuild|madden 20 realistic rebuild|madden 21|madden 21 franchise|madden 21 rebuild|20 year rebuild|20 year realistic rebuild|giants rebuild|rebuilding the giants|giants realistic rebuild|madden 21 giants franchise|madden 21 giants rebuild|madden 21 rebuilding the new york giants|madden 21 new york giants|madden 21 new york giants franchise|madden 21 new york giants rebuild|giants 29 year rebuild|giants rebuild madden 21|madden 21 giants|giants","-2nd Channel: https://www.youtube.com/channel/UCevtUoM2ckL963Gta121vDg-Twitter: https://twitter.com/BengalYouTube-Twitch: https://www.twitch.tv/bengalInstagram! https://www.instagram.com/bengalyoutube/Merch: https://teespring.com/stores/bengals-store20 Year Rebuild of the New York Giants | Best Player in NFL HISTORY! Madden 21 Franchise3rd Channel lol:https://www.youtube.com/channel/UCW2u6gUxrEEGr1UEHk7JOtQ-Support me on Patreon!https://www.patreon.com/Bengal#Madden21Rebuild #Madden21Franchise #Madden21Business Email: contact@tablerockmanagement.comOutro: Ben Bones - Mixhttps://twitter.com/ThatRapperMixhttps://www.instagram.com/ThatRapperMix/THE Madden Rebuild King. Rebuild God. Lord Bengal King of the Franchise Rebuild. JK all for fun :). Franchise Rebuilds on Madden are just the bees knees and the cats pajamas. Seriously though, whether it's madden 21 rebuilds, madden 21 rebuilding, madden 21 realistic rebuilds or even madden 21 franchise mode, I am painfully average","Madden 21 Rebuilds and Madden 21 Franchise as often as I can put them up alongside several other franchise series. Sports gaming content featuring Madden NFL 21 as well as MLB The Show 20.Content will vary from Madden 21 Rebuild from the Rebuild King as well as Franchise and Madden Ultimate Team in Madden NFL 21 to Rebuilds, MyTeam, and MyCareer in NBA 2K.Please hit the subscribe button as it helps the channel grow and I hope to see you around!Links:Twitter | https://twitter.com/BengalYouTubeTwitch | http://www.twitch.tv/bengalFor potential Sponsors or business inquiries: please e-mail my management company: contact@tablerockmanagement.com","bengal bengal madden bengal madden rebuild madden 21 madden 21 rebuild madden 21 bengal madden 21 franchise madden 21 franchise series nfl nfl mock draft nfl film breakdown football breakdown football prospects nfl prospects 2021 nfl mock draft nfl mock draft 2021","_n-6a0UPvSQ"
Dwd3zV6NsEQ,"First Take | Stephen A. shocked Giants' Joe Judge rips Eagles for effort against Washington","UCeOaZhR60vjlVz1DfYWDnaA","McLinced","17","941.0","https://i.ytimg.com/vi/Dwd3zV6NsEQ/default.jpg","NFL|NFL Highlights|Super Bowl LV|NFL 2020|NFL Gameday|NFL Good morning football|NFL Gameday Prime Live|Cowboys|Ravens|Patriots|Seahawks|Steelers|Titans|Buccaneers|Dak Prescott|Tom Brady|Lamar Jackson|Patrick Mahomes|Stephen A. Smith|Ian Rapoprt|Michael Irvin|First Take|Get up|NFL Draft 2020|Max Kellerman|Cam Newton|Chiefs|Undisputed Skip and Shannon|Sunday Night Foot Ball|Monday Night Football|Thursday Night Football|SNF|MNF|TNF","First Take | Stephen A. shocked Giants' Joe Judge rips Eagles for effort against Washington","NFL on ESPN First Take","NFL NFL Highlights Super Bowl LV NFL 2020 NFL Gameday NFL Good morning football NFL Gameday Prime Live Cowboys Ravens Patriots Seahawks Steelers Titans Buccaneers Dak Prescott Tom Brady Lamar Jackson Patrick Mahomes Stephen A. Smith Ian Rapoprt Michael Irvin First Take Get up NFL Draft 2020 Max Kellerman Cam Newton Chiefs Undisputed Skip and Shannon Sunday Night Foot Ball Monday Night Football Thursday Night Football SNF MNF TNF","_n-6a0UPvSQ"
tnov3AZDKyM,"Cris Collinsworth Calls out Doug Pederson on Live TV For Tanking and Benching Jalen Hurts","UCI4D2tSAiHqZBRB67nTKqww","TPS","17","79.0","https://i.ytimg.com/vi/tnov3AZDKyM/default.jpg","Cris Collinsworth calls out Doug Pederson|I couldn't have done it. I simply couldn't have done what Philadelphia did.|Cris Collinsworth Calls out Doug Pederson For Tanking and Pulling Jalen Hurts|Chris collinsworth|doug pederson|philadelphia eagles|jalen hurts|eagles tanking|sunday night football|nfl week 17|nfl week 17 highlights","If you're new, Subscribe! → http://bit.ly/Subscribe-to-TPSCris Collinsworth calls out Doug Pederson: I couldn't have done it. I simply couldn't have done what Philadelphia did.Don’t forget to subscribe to TPS and make sure you hit the bell and turn on our notifications and join the notification squad.TotalProSports on Social Media:Facebook: https://www.facebook.com/TotalProSportsTwitter: https://twitter.com/TotalProSportsInstagram: https://www.instagram.com/TotalProSportsFor copyright matters please contact us at: info@icisicmedia.comAll images licensed through GettyImages#CrisCollinsworth #JalenHurts #NFL","TPS is one of the fastest growing channels on Youtube. We make list videos of Superstar Athletes and sports teams on a regular basis. Our site, TotalProSports.com is one of the most visited sports websites in the United States.For business related matters relating to our channel (including media & advertising) or copyright matters contact ICISICMedia@gmail.com","NFL Tom Brady Dallas Cowboys NFL lists every nfl team the real reason all 32 nfl teams ranking nfl new england patriots nfl lists nfl countdown nfl compilations nfl highlights aaron rodgers super bowl dak prescott jerry jones who will win the super bowl nfl channels nfl on youtube nfl rankings every nfl team","_n-6a0UPvSQ"
fWu70BGHBmM,"Eagles vs. Giants Week 10 Highlights | NFL 2020","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","848.0","https://i.ytimg.com/vi/fWu70BGHBmM/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 10|best plays|top plays|eagles|philadelphia|phi|giants|new york|nyg|ealges giants game highlights|eagles highlights|giants highlights|eagles td|giants td","The Philadelphia Eagles take on the New York Giants during Week 10 of the 2020 NFL season.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Eagles #Giants","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","_n-6a0UPvSQ"
LlX5iQm1zZ8,"Meet The NFL's DIRTIEST PLAYER Of The PAST DECADE (2010-2020)","UC1gkLFIojYo1TGhZM84rZeQ","Mikerophone","17","1194.0","https://i.ytimg.com/vi/LlX5iQm1zZ8/default.jpg","Dirtiest NFL Player|NFL Player|2020 NFL|2010 NFL|Dirtiest NFL player of the past decade|Mikerophone|NFL|Vontaze Burfict|Antonio Brown|Vontaze Burfict Antonio Brown|kto|vontaze burfict|dirtiest nfl players|nfl|Vontaze Burfict Antonio Brown Hit|Vontaze Burfict Juju","Support the Channel by becoming a member: https://www.youtube.com/channel/UC1gkLFIojYo1TGhZM84rZeQ/joinNBA Channel: https://youtube.com/theflightmikeGaming Channel: https://www.youtube.com/channel/UCF7uHC1Ucncdr8laXK_1LUA?view_as=subscriberSoccer Channel: https://www.youtube.com/channel/UCeX1ggp3t62DjtPHNvCReeQIG: https://instagram.com/theflightmikePatreon: https://www.patreon.com/TheFlightMikeDiscord: https://discord.gg/jxrtbBDTwitter: https://twitter.com/TheFlightMikeFacebook: https://www.facebook.com/TheflightmikeSnapchat: Monstermeatmike","","","_n-6a0UPvSQ"
A8wCNEj7NBk,"DESHAUN WATSON REFUSES TO PLAY FOR HOUSTON TEXANS! TRADE FOR HIM & JJ WATT INEVITABLE!","UC1gkLFIojYo1TGhZM84rZeQ","Mikerophone","17","895.0","https://i.ytimg.com/vi/A8wCNEj7NBk/default.jpg","deshaun watson|houston texans|texans|Deshaun Watson Trade|Houston Texans Trade|JJ Watt|JJ Watt Trade|Houston Texans Trade Deshaun Watson|Deshaun Watson Texans|JJ Watt Texans|Houston Texans Trade JJ Watt|Deshaun Watson has played his last snap for the Houston Texans|Deshaun Watson Houston Texans|Deshaun Watson Houston|JJ Watt Houston Texans|JJ Watt Houston|Mikerophone|deshaun watson texans|deshaun watson trade","Support the Channel by becoming a member: https://www.youtube.com/channel/UC1gkLFIojYo1TGhZM84rZeQ/joinNBA Channel: https://youtube.com/theflightmikeGaming Channel: https://www.youtube.com/channel/UCF7uHC1Ucncdr8laXK_1LUA?view_as=subscriberSoccer Channel: https://www.youtube.com/channel/UCeX1ggp3t62DjtPHNvCReeQIG: https://instagram.com/theflightmikePatreon: https://www.patreon.com/TheFlightMikeDiscord: https://discord.gg/jxrtbBDTwitter: https://twitter.com/TheFlightMikeFacebook: https://www.facebook.com/TheflightmikeSnapchat: Monstermeatmike","","","_n-6a0UPvSQ"
svw1nXOwBDE,"This Can RUIN Trevor Lawrence's Career With The Jacksonville Jaguars... (FT. 2021 NFL Draft)","UC1gkLFIojYo1TGhZM84rZeQ","Mikerophone","17","606.0","https://i.ytimg.com/vi/svw1nXOwBDE/default.jpg","Trevor Lawrence|trevor lawrence|Trevor Lawrence Jaguars|Jacksonville Jaguars|Trevor Lawrence NFL|NFL|NFL Draft|2021 NFL Draft|NFL Draft 2021|Trevor Lawrence NFL Draft|Jacksonville Jaguars Draft Trevor Lawrence|Trevor Lawrence Jacksonville Jaguars|Jacksonville Jaguars Draft|Trevor Lawrence 2021|Trevor Lawrence 2021 NFL Draft|2021 Jacksonville Jaguars|Trevor Lawrence NFL Career|mikerophone|trevor lawrence nfl draft|trevor lawrence clemson","Support the Channel by becoming a member: https://www.youtube.com/channel/UC1gkLFIojYo1TGhZM84rZeQ/joinNBA Channel: https://youtube.com/theflightmikeGaming Channel: https://www.youtube.com/channel/UCF7uHC1Ucncdr8laXK_1LUA?view_as=subscriberSoccer Channel: https://www.youtube.com/channel/UCeX1ggp3t62DjtPHNvCReeQIG: https://instagram.com/theflightmikePatreon: https://www.patreon.com/TheFlightMikeDiscord: https://discord.gg/jxrtbBDTwitter: https://twitter.com/TheFlightMikeFacebook: https://www.facebook.com/TheflightmikeSnapchat: Monstermeatmike","","","_n-6a0UPvSQ"
lSfHSoSKXzM,"Skip & Shannon on Giants' Joe Judge saying Eagles benching Hurts is disrespectful | NFL | UNDISPUTED","UCLXzq85ijg2LwJWFrz4pkmw","Skip and Shannon: UNDISPUTED","17","1187.0","https://i.ytimg.com/vi/lSfHSoSKXzM/default.jpg","fox|fox sports|fs1|fox sports 1|undisputed|skip bayless|shannon sharpe|skip and shannon|fs1 undisputed|skip|bayless|shannon|sharpe|sports|news|nfl|football|week 17|nfl week 17|playoffs|joe judge|new york|giants|philadelphia|eagles|doug pederson|jalen hurts|washington|nfc east|pull|bench|react|recap|disrescpectful|Joe Judge New York Giants|Washington Football Team|New York Giants|Skip Bayless and Shannon Sharpe","After beating the Cowboys Sunday afternoon, the Giants just needed an Eagles win over Washington Sunday night to make the playoffs. However, we all know how that ended, with Philadelphia pulling Jalen Hurts in favor of backup Nate Sudfeld in the 4th quarter of a 3-point game that turned into a 6-point loss. Yesterday, New York head coach Joe Judge was asked about the Eagles’ handling of that game, saying 'we will never do that as long as I am the head coach of the New York Giants.' Hear what Skip Bayless and Shannon Sharpe have to say about Joe Judge's comments.#Undisputed #NFL #JalenHurts #NateSudfeld #JoeJudge #Cowboys #NYGiants #PhiladelphiaEagles #WashingtonFootballTeamSUBSCRIBE to get the latest UNDISPUTED content: http://foxs.pt/SubscribeUNDISPUTEDListen to UNDISPUTED on Spotify: https://foxs.pt/UNDISPUTEDSpotifyThe all-new FOX Sports App, built for the modern sports fan: https://tinyurl.com/y4uouolb►Watch the latest content from UNDISPUTED: https://foxs.pt/TheLatestOnUNDISPUTED▶First Things First's YouTube channel: http://foxs.pt/SubscribeFIRSTTHINGSFIRST▶The Herd with Colin Cowherd’s YouTube channel: http://foxs.pt/SubscribeTHEHERD▶Speak for Yourself’s YouTube channel: http://foxs.pt/SubscribeSPEAKFORYOURSELF►FOX Bet Live’s YouTube Channel: https://foxs.pt/SubscribeFOXBETLIVE►Club Shay Shay’s YouTube Channel: http://foxs.pt/SubscribeCLUBSHAYSHAYSee more from UNDISPUTED: http://foxs.pt/UNDISPUTEDFoxSportsLike UNDISPUTED on Facebook: http://foxs.pt/UNDISPUTEDFacebookFollow UNDISPUTED on Twitter: http://foxs.pt/UNDISPUTEDTwitterFollow UNDISPUTED on Instagram: http://foxs.pt/UNDISPUTEDInstagramFollow Skip Bayless on Twitter: http://foxs.pt/SkipBaylessTwitterFollow Shannon Sharpe on Twitter: http://foxs.pt/ShannonSharpeTwitterFollow Jenny Taft on Twitter: https://foxs.pt/JennyTaftTwitterAbout Skip and Shannon: UNDISPUTED:UNDISPUTED is a daily two-and-a-half hour sports debate show starring Skip Bayless and Shannon Sharpe. Every day, Skip and Shannon will give their unfiltered, incisive, passionate opinions on the biggest sports topics of the day.Skip & Shannon on Giants' Joe Judge saying Eagles benching Hurts is disrespectful | NFL | UNDISPUTEDhttps://youtu.be/lSfHSoSKXzMSkip and Shannon: UNDISPUTEDhttps://www.youtube.com/c/UndisputedOnFS1","UNDISPUTED is a daily two-and-a-half hour sports debate show starring Skip Bayless and Shannon Sharpe. Every day Skip and Shannon will give their unfiltered, incisive, passionate opinions on the biggest sports topics of the day.Watch UNDISPUTED Monday-Friday at 9:30 AM ET on FS1","skip bayless shannon sharpe fox sports fs1 fox sports 1 skip and shannon skip and shannon undisputed undisputed","_n-6a0UPvSQ"
A7g9v0BSsvA,"2017 NFC Divisional Round FULL Game: New Orleans Saints vs. Minnesota Vikings","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","8782.0","https://i.ytimg.com/vi/A7g9v0BSsvA/default.jpg","NFL|Football|American Football|sport|sports","NFL Game Pass is free through May! Click here for more full games! - nfl.com/gamepassSubscribe to NFL: http://j.mp/1L0bVBu00:00 - Start29:53 - 2nd Quarter1:07:32 - 3rd Quarter1:28:55 - 4th QuarterCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Football #AmericanFootball","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","_n-6a0UPvSQ"
uIRo9VUm2u8,"The WNBA Needs A Reality Check","UCP6UcydcIWvLq2vlKmywGng","treese","17","1238.0","https://i.ytimg.com/vi/uIRo9VUm2u8/default.jpg","wnba|the wnba needs a reality check|wnba reality check|wnba basketball|wnba lowlights|wnba bloopers|wnba fails|wnba vs nba|why the wnba has a wage gap|nba|basketball|family friendly|family|brittney griner|candace parker|sue bird|diana taurasi|breanna stewart|skylar diggins|aerial powers|wnba controversy|aerial powers andre igoudala|brittney griner demarcus cousins|brittney griner vs demarcus cousins|brittney griner little man|womens basketball|money","The WNBA Needs A Reality CheckFor funny WNBA lowlights:womenbafilms Instagram - https://www.instagram.com/womenbafilms/womenbafilms YouTube - https://www.youtube.com/channel/UCa04-J7KTBtRgHySSj8fJjAJOIN THE DISCORD SERVER! - https://discord.gg/CNH3bYTqAeWhat's good everybody, it's treese, and despite having a lot of potential in the global market, the WNBA fails to reach its' promise year after year. Several narratives surrounding the league need to be suppressed, and certain WNBA players must understand the reality of their league. This video is not at all intended to incite hatred amongst basketball fans towards the WNBA, rather an objective view on some controversies surrounding the WNBA and what the league as a whole can do to improve.If y'all did enjoy this video, then please don't forget to leave a like rating, comment what you thought about this video (I read literally every comment and respond to most of them), and don't forget to subscribe! Don't forget, have an amazing day, and always remember your worth! If you want something, set all aside and go get it!Social Media:Twitter - https://twitter.com/treeseYouTubeInstagram - https://www.instagram.com/treeseyt/If you want to reach me with a business proposal, my email is:thefinnisher17@gmail.com About me:My name is Tristan, and I'm a Finnish-American living in Finland, and I've always had a passion for basketball and content creation. I absolutely love making videos, and with your help I can pursue my dream of becoming a full-time YouTuber!","","","_n-6a0UPvSQ"
