video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
kxeIrVJdUs8,"I missed this • AIR FRYIN' WITH LIZA","UCxSz6JVYmzVhtkraHWZC7HQ","Liza Koshy","23","532.0","https://i.ytimg.com/vi/kxeIrVJdUs8/default.jpg","liza|lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|lizakoshy|wednesdays|liza koshy 2020|air fryer|holiday meal ideas|recipes|tabitha brown|air fryer magic|air fryer meals|liza tiktok|liza cooking|air frying with liza|liza baking|liza kitchen|easy recipes to make|holidays 2020|christmas","I cooked an entire holiday meal... WITH AIR. I don't mean to be humble, but I'm a MASTER. I am Avatar, the Last Airfryer. Pardon me as I blow your minds... and my food. Healthy Holidays to you all, and to you all... a little gift below:••••••••••••••••••••••••••••••••••••••••­­­•••••••••••SURPRISE! This is what you get for being nosy in the description... A GIFT TO YOU: 20% OFF EVERYTHING in my new beauty and skincare line when you use code HOLIDAZE.... PLUS, enjoy free shipping. PLUS, get a free gift (Give 'Em Lip (& Cheek) Tint) on all orders $40+! Get it all here: https://www.cestmoi.com/pages/liza-koshy-x-cest-moi••••••••••••••••••••••••••••••••••••••••­­­•••••••••••What the hell? She has a beauty line now? Watch this for context: https://www.youtube.com/watch?v=JlazW6xJMEM••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Why yes, she does upload. Proof:Early 2020: https://www.youtube.com/watch?v=B4h0_7fUZIUAffected by 2020: https://www.youtube.com/watch?v=9cCXsCaxXSw&t=292s ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Stay inside and get your food air fried.Healthy Holidays my dears! Love always,Liza","Just a little brown girl with big dreams.","Liza Koshy Lizzza Vine","a1a-8EXYYAs"
-s1ZxboxcF8,"LIZA KOSHY FANGIRLING OVER CELEBRITIES FOR 30 MINUTES STRAIGHT.","UCxSz6JVYmzVhtkraHWZC7HQ","Liza Koshy","23","2038.0","https://i.ytimg.com/vi/-s1ZxboxcF8/default.jpg","liza|lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|lizakoshy|wednesdays|liza vogue|liza met gala|liza interview|liza interviews|lady gaga|harry styles|liza annoying celebrities|liza koshy picks her dress for the met gala|met gala 2019|vogue|73 questions|liza 73 questions|met gala 2019 with liza koshy|with liza koshy|with lizzza|kim kardashian|kanye west|miley cyrus|lilly singh|james charles|hailey bieber|deepika padukone|cardi b","Lil' Liza Koshy interviewing, tearing up and sucking up to celebs as Vogue's Red Carpet Interviewer for the Met Gala 2019. I stop breathing over Harry Styles, Lady Gaga, Deepika Padukone and more. Also watch some *UNSEEN COMMENTARY VOGUE LET ME HAVE**. Pro tip: Watch or fast forward til the end of this video (32:18) to watch my Met montage of my blessed booty bouncing. Thank you for the faith you all have in me, and the fun we get to have together. I am eternally grateful for opportunities like these to bring a lil' light and fun lovin' into the world. Life is rad. ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Watch me get boujie and get ready with Vogue for the Met here! Here's how I picked out my dress, and how it was made: https://www.youtube.com/watch?v=kKsgtuSVydI&t=156s••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Watch me suck up to ALL the stars in other Met 2019 interviews here. Here's Vogue's playlist of every interview for you to binge:  https://www.youtube.com/playlist?list=PLztAHXmlMZFSkJkzFJYYlftFiIdqx_wDeOr find some of your idols below: Deepika Padukone: https://www.youtube.com/watch?v=s1BqNtTY1Q4Jared Leto and Jared Leto: https://www.youtube.com/watch?v=3-jYVRqc53A&list=PLztAHXmlMZFSkJkzFJYYlftFiIdqx_wDe&index=17&t=0sNicki Minaj: https://www.youtube.com/watch?v=GxTLDGhp-mU&t=27sJennifer Lopez: https://www.youtube.com/watch?v=6WX77feABks]Cardi B: https://www.youtube.com/watch?v=M0QvjlWBKPAYara Shahidi: https://www.youtube.com/watch?v=5KQq9S65Cx0&list=PLztAHXmlMZFSkJkzFJYYlftFiIdqx_wDe&index=18Cole Sprouse: https://www.youtube.com/watch?v=4qv2yuMjT2U&t=44s••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Stalk the little brown girl here:MY 2ND YOUTUBE CHANNEL: https://www.youtube.com/channel/UChoTvF02Cv74FF72OaJtTMAINSTAGRAM: http://instagram.com/lizakoshyTWITTER: http://twitter.com/lizakoshySNAPCHAT: @lizakoshysnaps••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Shop the little brown girl here: https://lizakoshy.com••••••••••••••••••••••••••••••••••••••••­­­•••••••••••All my love,Liza","Just a little brown girl with big dreams.","Liza Koshy Lizzza Vine","a1a-8EXYYAs"
rrQZxo-hCbM,"i'm off my rocker • COPING THRU THE END OF 2020","UChoTvF02Cv74FF72OaJtTMA","Liza Koshy Too","23","415.0","https://i.ytimg.com/vi/rrQZxo-hCbM/default.jpg","liza|lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|lizakoshy|wednesdays","The one thing 2020 didn't put on hold... was my quarter life crisis. To cope, I created joy. And that joy includes being cradled by my mom, joyfully driving a baby car and several other childhood dreams come true. This is #sponsored by the guiding light that is @Google Maps. Thanks for helping me navigate this wild ride called 2020.••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Keep up with the Koshy: INSTAGRAM: http://instagram.com/lizakoshyTIKTOK: https://www.tiktok.com/@lizzza?lang=enTWITTER: http://twitter.com/lizakoshySNAPCHAT: @lizakoshysnaps••••••••••••••••••••••••••••••••••••••••­­­•••••••••••PLEASE SUBSCRIBE (please):www.youtube.com/lizakoshywww.youtube.com/lizakoshytoo••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Thank you, fellow navigators of 2020. Keep your boats afloat. Let's rock on.All love,Liza","New videos every other monday!","","a1a-8EXYYAs"
RdG5q9naHqk,"MY ADDICTION. THOUGHTS WHILE EATING.","UCxSz6JVYmzVhtkraHWZC7HQ","Liza Koshy","23","322.0","https://i.ytimg.com/vi/RdG5q9naHqk/default.jpg","liza|lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|lizakoshy|wednesdays|wednezzzday|musically|muser|thoughts while eating|comedy|improv|thoughts|thoughts while|snacking|snacks|diet|binge eating|eat|how to control|girl driving in car|david dobrik|addiction|chocolate cake|HOLIDAY EATING|THANKSGIVING|CHRISTMAS|HOLIDAY BINGE EATING|SAVING UP FOR WINTER","Screw this video... Don't think about it, just eat all of it. Thanks for watching babes! Check out my other social medias down below to see how I baked this cake! That's a lie.. I didn't. But check em out! ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Keep up with this little brown girl!INSTAGRAM: http://instagram.com/lizakoshyTWITTER: http://twitter.com/lizakoshySNAPCHAT: @lizakoshysnapsMUSICAL.LY: @lizzza••••••••••••••••••••••••••••••••••••••••­­­•••••••••••WATCH MY OTHER VIDS!TARGET WITH LIZZZA PART 2!: https://www.youtube.com/watch?v=weGc3Qa8FvkWORLD'S BEST BEAUTY HACKS!: https://www.youtube.com/watch?v=w38IG6HsI5sMEET JET!!: https://www.youtube.com/watch?v=6-u9oog1nF4••••••••••••••••••••••••••••••••••••••••­­­•••••••••••PLEASE SUBSCRIBE!www.youtube.com/lizakoshywww.youtube.com/lizakoshytoo••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Thank you, sweet cakes!Love,Liza","Just a little brown girl with big dreams.","Liza Koshy Lizzza Vine","a1a-8EXYYAs"
5aqlLkrCWvA,"Pilot - Liza on Demand (Ep 1)","UCxSz6JVYmzVhtkraHWZC7HQ","Liza Koshy","23","1440.0","https://i.ytimg.com/vi/5aqlLkrCWvA/default.jpg","Liza On Demand|Liza Koshy|Travis Coles|Kimiko Glenn|Gig Economy|Comedy|Freakish|Violet Adams|Aday Walker|Double Dare|LizaKoshy|Lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|comedian|female|david dobrik|comic|we broke up","Liza’s getting frustrated juggling all the gigs she has to hold down. Does she have so much side hustle that there’s no time for main hustle? She’s determined to find out, but she's distracted by a sick cat, a jigsaw puzzle, and a trip to the hottest dessert pop up in Los Angeles.You choose — watch all episodes uninterrupted with YouTube Premium now, or wait to watch new episodes free weekly with ads for a limited time. Learn more at https://support.google.com/youtube/answer/6358146?hl=en. Check out YouTube Premium at: https://www.youtube.com/premium/originals See if Premium is available in your country at: https://support.google.com/youtube/answer/63073650:00 The Uber Ride2:29 All Side Hustle 5:32 Killing A Cat10:18 The Cupcaken12:55 The Lost Pussy18:00 The Missing Piece20:26 All’s Well","Just a little brown girl with big dreams.","Liza Koshy Lizzza Vine","a1a-8EXYYAs"
oEsval7SmBY,"I GOT SOAKED. ZUMBA CLASS WITH LIZA!!","UCxSz6JVYmzVhtkraHWZC7HQ","Liza Koshy","23","321.0","https://i.ytimg.com/vi/oEsval7SmBY/default.jpg","liza|lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|lizakoshy|wednesdays|yoga with liza|with liza|zumba class|zumba with liza|zumba dance|dance|comedy|improv|sketch|zumba comedy|dance comedy|liza dancing|liza koshy|liza and david|david dobrik|vlog|sweating comedy|liza dance|liza youtube|wednezzzdays|dance workout|workout tips|workout secrets|exercise tips|exercise comedy","An explanation of a zumba workout! ...middle aged booty shaking. Why go to a zumba class when you can watch a video of someone else doing it instead? Thanks for watching me sweat and smell. Stalk my other social medias below: ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Dance montage editing by: Joe VulpisSUBSCRIBE TO HIM HERE! Be his 5,000th subscriber: https://www.youtube.com/channel/UCJRb6jaNxNjkLfVg_z8VQ3g••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Keep up with this little brown girl!INSTAGRAM: http://instagram.com/lizakoshyTWITTER: http://twitter.com/lizakoshySNAPCHAT: @lizakoshysnapsMUSICAL.LY: @lizakoshy••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Music Creds: • Elevator Music••••••••••••••••••••••••••••••••••••••••­­­•••••••••••WATCH MY OTHER VIDS!TARGET WITH LIZZZA PART 2!: https://www.youtube.com/watch?v=weGc3...WORLD'S BEST BEAUTY HACKS!: https://www.youtube.com/watch?v=w38IG...MEET JET!!: https://www.youtube.com/watch?v=6-u9o...••••••••••••••••••••••••••••••••••••••••­­­•••••••••••PLEASE SUBSCRIBE!www.youtube.com/lizakoshywww.youtube.com/lizakoshytoo••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Thank you, lil zumbabes!Love,Liza","Just a little brown girl with big dreams.","Liza Koshy Lizzza Vine","a1a-8EXYYAs"
w38IG6HsI5s,"THE WORLD'S BEST BEAUTY HACKS!","UCxSz6JVYmzVhtkraHWZC7HQ","Liza Koshy","23","447.0","https://i.ytimg.com/vi/w38IG6HsI5s/default.jpg","liza|lizza|lizzza|lizzzak|lizzzako|lizzzavine|liza koshy|koshy|musical.ly|muser|vine|viner|liza youtube channel|little brown girl|wednesdays with liza|wednezzzdays|david dobrik|vlogger|vlog|comedy|cute couple|beauty hacks|beauty tips|beauty|guru|beauty guru|booty guru|make up|how to|beauty secrets|youtuber|dumb beauty hacks|trying hacks","Thanks for beholding such booty. Thanks for watching cutie beauties, check out my social media below for more to behold! ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Keep up with this little brown girl!INSTAGRAM: http://instagram.com/lizakoshyTWITTER: http://twitter.com/lizakoshySNAPCHAT: @lizakoshysnapsMUSICAL.LY: @lizzza••••••••••••••••••••••••••••••••••••••••­­­•••••••••••WATCH MY OTHER VIDS!TARGET WITH LIZZZA PART 2!: https://www.youtube.com/watch?v=weGc3Qa8FvkBAKING WITH LIZZZA: https://www.youtube.com/watch?v=OPUwNV5IhDMNO MORE DRIVING WITH LIZZZA!: https://www.youtube.com/watch?v=vZTAQQbiYoQ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••PLEASE SUBSCRIBE!www.youtube.com/lizakoshy••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Thank you, my little booties!Love,Liza","Just a little brown girl with big dreams.","Liza Koshy Lizzza Vine","a1a-8EXYYAs"
0x8Njz3UxNk,"Following a Bob Ross Painting Tutorial with Liza","UCiIFLzjBUX5WpkVqVDVWMTQ","Zane Hijazi","22","667.0","https://i.ytimg.com/vi/0x8Njz3UxNk/default.jpg","david dobrik|david dobrik vlogs|zane hijazi|zane hijazi vlogs|the gabbie show|liza koshy|lizzza|the gabbie vlogs|reaction|reacting|compilation|best vines|viners|funniest|david and liza|liza|gabbie|matt|david|jason|toddy|story time|diy|prank|scare prank|pranks|vlogger|funny vlog|reactions|vlog|zane|tutorial|fail|cringey|cringe|cringiest|scotty sire|dobrik|hijazi|heath|zane and heath|heath hussar|tattoo|bob ross|painting","WATCH THE 200TH VIDEO HERE!! - https://youtu.be/71EnmYFe6SIBUY NEW MERCH HERE: https://www.swipeupinc.com/collections/zane-hijaziLiza and I attempt to START following a Bob Ross painting tutorial (goes wrong lol)Subscribe and turn on notifications!Song by: YourChoice - https://youtu.be/_cAF0DDmlLgDOWNLOAD BOOM HERE: https://itunes.apple.com/us/album/boom-single/1436631441Produced by: @BruceWiegnerFOR MORE FOOTAGE ADD ME ON SNAPCHAT: @ZaneHijazi http://www.snapchat.com/add/zanehijaziMake sure to follow me on:- TWITTER - http://www.twitter.com/zane- INSTAGRAM - http://www.instagram.com/zane- SNAPCHAT - http://www.snapchat.com/add/zanehijazi- BUSINESS EMAIL - zanehijazi46@gmail.comFriends in the video:Hidaya Hijazi - Instagram/Twitter/Snapchat: @HidayaHijaziScotty Sire - Twitter/Snapchat: @imnotscottysire; Instagram: @vanilladingdongDavid Dobrik - Twitter/Instagram/Snapchat: @DavidDobrikHeath Hussar - Twitter/Instagram/Snapchat: @HeathHussarCarly Incontro - Twitter/Instagram: @CarlyIncontro; Snapchat: @pooopflingerErin Gilfoy - Twitter/Instagram: @eringilfoy; Snapchat: @erin_gilfoyToddy Smith - Twitter/Instagram: @todderic_; Snapchat: @toddysmithyJason Nash - Twitter/Instagram: @JasonNash; Snapchat: @Jason23NashMatt King - Twitter/Instagram/Snapchat: @MattRKingLiza Koshy - Twitter: @lizakoshy; Instagram: @lizakoshy; Snapchat: @lizakoshysnapsTrisha Paytas - Twitter/Instagram/Snapchat: @TrishaPaytasAlex Ernst - Twitter/Snapchat: @AlexErnst; Instagram: @ErnstThe Gabbie Show - Twitter/Instagram/Snapchat: @TheGabbieShowJonah - Instagram/Twitter/Snapchat: @NickAntonyanBruce Wiegner - Instagram/Twitter: @BruceWiegnerMariah Amato - Instagram: @MariahAmatoJoe Vulpis - Twitter/Instagram/Snapchat: @UghItsJoeKristen Mcatee - Twitter/Instagram/Snapchat: @KristenMcateeDom DeAngelis - Twitter: @DomTheB0mb; Instagram: @weeknds; Snapchat: @DommyDeAngelisCorinna Kopf - Twitter/Instagram: @CorinnaKopfChristine Sydelko - Twitter/Instagram: @csydelko; Snapchat: @potatowithaneBryant - Twitter: @BryantEslava; Instagram: @Bryant; Snapchat: @EslavaGet a free Uber/Lyft ride on me! - Uber code: uberzane46 / Lyft code: ZANE747554if you see this pizza is bae","Welcome to my channel! Everything that I don't post on my channel goes right to my Snapchat! Add me - @ZaneHijaziBusiness: zanehijazi46@gmail.comAlso posting behind the scene stuff on my Instagram/Twitter - @ZaneCheers,Henry","","a1a-8EXYYAs"
DH7NGq_THFo,"MY FIRST TIME!! NAKED DRUNK THOUGHTS!","UCxSz6JVYmzVhtkraHWZC7HQ","Liza Koshy","23","251.0","https://i.ytimg.com/vi/DH7NGq_THFo/default.jpg","liza|lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|lizakoshy|wednesdays|wednezzzdays with liza|liza and david|david dobrik|dizza|liza koshy|helga|drunk thoughts|shower thoughts|thoughts in the shower|high thoughts|thoughts we all have|funny thoughts|weird thoughts|shower with liza|shower liza|home alone thoughts|bathroom with liza|with lizzza|improv|liza drunk|liza 21st|sketch|comedy|vlog|vlogger|vine|viner|drunk|drinking|drunk thinking","I'm drunk... I'm naked... and I'm thinking?! These are all first times for me. What kind of thoughts or thots do you have? Thanks for watching babes! Stalk my other social medias down below! ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Keep up with this little brown girl!INSTAGRAM: http://instagram.com/lizakoshyTWITTER: http://twitter.com/lizakoshySNAPCHAT: @lizakoshysnapsMUSICAL.LY: @lizakoshy••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Music Creds: •Some classic elevator music idk ••••••••••••••••••••••••••••••••••••••••­­­•••••••••••WATCH MY OTHER VIDS!TARGET WITH LIZZZA PART 2!: https://www.youtube.com/watch?v=weGc3...WORLD'S BEST BEAUTY HACKS!: https://www.youtube.com/watch?v=w38IG...MEET JET!!: https://www.youtube.com/watch?v=6-u9o...••••••••••••••••••••••••••••••••••••••••­­­•••••••••••PLEASE SUBSCRIBE!www.youtube.com/lizakoshywww.youtube.com/lizakoshytoo••••••••••••••••••••••••••••••••••••••••­­­•••••••••••Thank you, lil thots!Love,Liza","Just a little brown girl with big dreams.","Liza Koshy Lizzza Vine","a1a-8EXYYAs"
GBQzj2yVDqY,"*wears AirPods Max once*","UCc35WvHmQjLE8NN4Y_ITmUQ","Trevor Wallace","23","321.0","https://i.ytimg.com/vi/GBQzj2yVDqY/default.jpg","trevor wallace|trevor walace|travis wallace|monster|airpods|airpods max|airpod|airpods max pro|unbox|marques brown|marques|mkbhd","if u ain't tryna (airpods) Max out, you better back out. -s/o to @Jonathan Morrison for the cameo and AirPods Max hook up !check his page for for tech reviews! Like this one!https://www.youtube.com/watch?v=oSaA9iB99kU&feature=youtu.be -Shot by @Ryan The Leader -Come see me live in Phoenix, AZ. This weekend Jan. 21-24th (6 socially distanced shows)!!https://trevorwallacecomedy.com/shows/phoenix-az-jan-21-24 -all other stuff go to my website!https://trevorwallacecomedy.com/-Book me on cameo this valentine's day!https://www.cameo.com/trevwall -if ur still reading that, go comment cat probably got Soulja Pods","Trevor Wallace is a stand up comedian and actor who specializes in making fun of the people closest to him. Here you'll find a mix of sketches, stand up comedy, a podcast and more relatable STUFF.Instagram: https://www.instagram.com/trevorwallaceFacebook: https://www.facebook.com/TrevorWallaceComedyTwitter: https://twitter.com/TrevWallBusiness: TWallComedy@gmail.comBook me for a shoutout! https://www.bookcameo.com/trevwall","Comedy","a1a-8EXYYAs"
