video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
EvmM9AvV4A8,"We gather here due to a selfish man's injured pride - Sen. Mitt Romney","UCupvZG-5ko_eiXAupbDfxWw","CNN","25","228.0","https://i.ytimg.com/vi/EvmM9AvV4A8/default.jpg","latest News|Happening Now|CNN|Politics|Mitt Romney|US Capitol|President Trump|President-elect Biden|Electoral College","Senator Mitt Romney (R-UT) called the riots at the US Capitol an insurrection incited by the President of the United States, while addressing his colleagues at a ceremonial counting of electoral votes that will confirm President-elect Biden's win.#CNN #News","CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.","CNN CNN News news breaking news","a6YreEKdYmA"
7vMExbPx7dE,"McConnell: Capitol Hill mob was 'provoked' by Trump","UCupvZG-5ko_eiXAupbDfxWw","CNN","25","669.0","https://i.ytimg.com/vi/7vMExbPx7dE/default.jpg","latest News|Happening Now|CNN|mitch mcconnell|politics|2020 us election","Senate Majority Leader Mitch McConnell said that the mob that attacked the Capitol was provoked by President Donald Trump.The mob was fed lies, McConnell, a Kentucky Republican, said on the Senate floor. They were provoked by the President and other powerful people.McConnell touted that Congress did its duty despite the violence on January 6, certifying the victory of President-elect Joe Biden and Vice President-elect Kamala Harris.We'll have a safe and successful inaugural right here on the very front of the Capitol, said McConnell.McConnell's comments came as the Senate prepares to hold an impeachment trial over the House's charge of incitement of insurrection. McConnell said on Tuesday that the Senate has received a message from the House that Trump has been impeached but noted that the House has not yet transmitted the article to the Senate.#McConnell #CNN #News","CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.","CNN CNN News news breaking news","a6YreEKdYmA"
LGukNIEIhTU,"Watch President Joe Biden's full inauguration speech","UCupvZG-5ko_eiXAupbDfxWw","CNN","25","1285.0","https://i.ytimg.com/vi/LGukNIEIhTU/default.jpg","latest News|Happening Now|CNN","President Joe Biden gives a speech after being sworn in as the 46th President of the United States. #CNN #News","CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.","CNN CNN News news breaking news","a6YreEKdYmA"
whs63HyYcT0,"Congress Confirms Biden And Harris Electoral College Win | NBC News","UCeY0bbntWzzVIaj2z3QigXg","NBC News","25","161.0","https://i.ytimg.com/vi/whs63HyYcT0/default.jpg","News|U.S. News|Decision 2020|Decision 2020 - Election Results|NBC News|Congress|nbc|breaking news|us news|world news|politics|nightly news|current events|top stories|pop culture|Biden And Harris|Electoral College Win|Electoral College|President-elect Joe Biden|Vice President-elect|electoral college votes|kamala harris|us election 2020|election 2020 update|congress news 2021|presidential election update|biden 2020|kamala 2020|presidential election","After a day of riots at the Capitol, Congress counted the Electoral College votes and confirmed the win for President-elect Joe Biden and Vice President-elect Kamala Harris.» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News Online!NBC News App: https://apps.nbcnews.com/mobileBreaking News Alerts: https://link.nbcnews.com/join/5cj/bre...Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC#USCapitol #ElectoralCollege #NBCNewsCongress Confirms Biden And Harris Electoral College Win | NBC News","» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News:NBC News App: https://smart.link/5d0cd9df61b80Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC","NBC News News Politics Today Show NBC Nightly News Meet The Press Dateline Brian Williams nbc news nbc nbcnews breaking news nbc breaking news nbc news now nbc news live stream nbc latest news nbc politics nbc news breaking news live news news nbc live nbc news live nbc special report nbc news today news today nightly news nightly news nbc nbc news special report","a6YreEKdYmA"
whZqA0z61jY,"Amanda Gorman recites stunning poem at Biden inauguration","UCupvZG-5ko_eiXAupbDfxWw","CNN","25","341.0","https://i.ytimg.com/vi/whZqA0z61jY/default.jpg","latest News|Happening Now|CNN|amanda gorman|joe biden inauguration|us news|politics news","Amanda Gorman, the United States' first-ever youth poet laureate, recited a powerful poem at the inauguration of President Joe Biden and Vice President Kamala Harris.#BidenInauguration #CNN #AmandaGorman","CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.","CNN CNN News news breaking news","a6YreEKdYmA"
qtSmDuCXqGE,"Sen. Booker Condemns Capitol Riot, Ties Mob To The Confederacy | MSNBC","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC","25","227.0","https://i.ytimg.com/vi/qtSmDuCXqGE/default.jpg","Politics|Cory Booker|Electoral College Protests|msnbc|breaking news|us news|world news|current events|top stories|pop culture|liberal|MSNBC live|Trump Mob Violent|Donald Trump supporters|Trump rioters|us 2020 election results|2020 election|presidential election|U.S. Capitol protest|electoral vote count|electoral college|electoral college vote|electoral college vote count|Electoral college explained|Mob violence|Sen. Booker Condemns|Capitol Riot","Sen. Cory Booker condemns the Capitol riots during the debate over the Electoral College vote after a violent mob occupied the same building moments before. Aired on 01/06/2021.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc#Booker #CapitolRiot #MSNBCSen. Booker Condemns Capitol Riot, Ties Mob To The Confederacy | MSNBC","The official MSNBC YouTube Channel. MSNBC  is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC  offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.Sign up for newsletters!: MSNBC.com/NewslettersYouTube","msnbc politics rachel maddow lawrence o'donnell News politics Brian Williams Chris Hayes Morning Joe Stephanie Ruhle msnbc news live msnbc maddow msnbc maddow msnbc stream live msnbc stream msnbc joe msnbc rachel msnbc rachel maddow rachel maddow msnbc today msnbc morning joe msnbc news live live news msnbc news live stream msnbc stream live msnbc stream msnbc live now msnbc news today lawrence msnbc am joy am joy msnbc msnbc ari ari melber msnbc ari melber rachel maddow live msnbc live rachel maddow msnbc chris hayes chris hayes","a6YreEKdYmA"
hHfCubOa_BU,"Exchange between Rep. Matt Gaetz and Reverend Al Sharpton","UCb--64Gl51jIEVE-GLDAVTg","C-SPAN","25","1364.0","https://i.ytimg.com/vi/hHfCubOa_BU/default.jpg","Matt Gaetz|Al Sharpton|Reverend Al Sharpton|Joe Scarborough|MSNBC|Race|House of Representatives|Judiciary|C-SPAN|CSPAN","Rep. Matt Gaetz (R-FL) questions Reverend Al Sharpton about past comments that are considered racially charged. Rep. Gaetz cited comments made by Joe Scarborough from several years ago, before Scarborough and Sharpton became MSNBC colleagues. The exchange became heated and several democrats called for points of order throughout. This came during a House Judiciary Committee hearing on the Oversight of Policing Practices. Full video of hearing here: https://cs.pn/2O7jCD7 *Note: this video is of two separate exchanges during the hearing edited together.Discover the C-SPAN Video Library at https://www.c-span.org/quickguide/ Download our App https://www.c-span.org/special/?radioappC-SPAN: Created by Cable in 1979. Offered as a public service.Subscribe to our YouTube channel: https://www.youtube.com/user/CSPANFollow us:Facebook: https://www.facebook.com/CSPANTwitter: https://twitter.com/cspanInstagram: https://www.instagram.com/cspan/Subscribe:C-SPAN Podcasts: https://www.c-span.org/podcasts/Newsletters: https://www.c-span.org/connect/","C-SPAN programs three public affairs television networks covering Capitol Hill,  the White House and national politics. C-SPAN is a private, non-profit public service created by the cable television industry.","c-span cspan","a6YreEKdYmA"
s1u8F6ERqqE,"Trump's phone call with Georgia's top election official","UCsN32BtMd0IoByjJRNF12cw","60 Minutes","25","798.0","https://i.ytimg.com/vi/s1u8F6ERqqE/default.jpg","60 Minutes|CBS News|2020 united states senate election in georgia|brad raffensperger|60 minutes|pharma","Last weekend, President Trump called Georgia's secretary of state, Brad Raffensperger, imploring him with veiled threats and lies to change the outcome of the November election. Raffensperger talks to Scott Pelley about why he didn't give in. https://cbsn.ws/38uuFjoSubscribe to the 60 Minutes Channel HERE: http://bit.ly/1S7CLRuWatch Full Episodes of 60 Minutes HERE: http://cbsn.ws/1Qkjo1FGet more 60 Minutes from 60 Minutes: Overtime HERE: http://cbsn.ws/1KG3sdrRelive past episodes and interviews with 60 Minutes Rewind HERE: http://cbsn.ws/1PlZiGIFollow 60 Minutes on Instagram HERE: http://bit.ly/23Xv8RyLike 60 Minutes on Facebook HERE: http://on.fb.me/1Xb1DaoFollow 60 Minutes on Twitter HERE: http://bit.ly/1KxUsqXGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---60 Minutes, the most successful American television broadcast in history, began its 52nd season in September. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 is still a hit in 2020. 60 Minutes makes Nielsen’s weekly Top 10 nearly every week and was the #1 weekly television broadcast three times last season.The program still averages more than 10 million viewers, more than double the audience of its nearest network news magazine competitor. The average audience for a 60 Minutes broadcast is 150% higher than those of the network morning news programs; the audience dwarfs the number of viewers drawn by the most popular cable news programs.  About a million more people listen to the 60 Minutes radio simulcast in several major cities and on its companion podcast. Tens of thousands each week experience 60 Minutes online. The broadcast’s segments can be watched at 60Minutes.com and on the CBS All Access app. Its webcast, 60MinutesOvertime.com, offers content originally produced for the web, including behind-the-scenes video about the production of 60 Minutes stories and timely archival segments.60 Minutes has won every major broadcast award. Its 25 Peabody and 150 Emmy awards are the most won by any single news program. It has also won 20 duPont-Columbia University journalism awards. Other distinguished journalism honors won multiple times include the George Polk, RTDNA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb awards.60 Minutes premiered on CBS September 24, 1968. Bill Owens is the program’s executive producer. The correspondents and contributors of 60 Minutes are Sharyn Alfonsi, Anderson Cooper, John Dickerson, Norah O’Donnell, Scott Pelley, Lesley Stahl, Bill Whitaker and L. Jon Wertheim.","60 Minutes, the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. 60 Minutes has won more Emmy Awards than any other primetime broadcast, including a special Lifetime Achievement Emmy. It has also won every major broadcast journalism award over its tenure, including 24 Peabody and 18 DuPont Columbia University awards for excellence in television broadcasting. Other distinguished awards won multiple times include the George Polk, RTNDA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb Awards for Distinguished Business and Financial Reporting. 60 Minutes premiered on CBS Sept. 24, 1968.","","a6YreEKdYmA"
DzpoSS0yJm4,"Rep. Sherrill: Congress Will Fulfill Its Constitutional Duty Today | Morning Joe | MSNBC","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC","25","420.0","https://i.ytimg.com/vi/DzpoSS0yJm4/default.jpg","Republicans|Democrats|Congress|Elections|Joe Biden|Best of last night|Morning Joe|Joe Scarborough|Mika Brzezinski|Willie Geist|MSNBC|MSNBC news|MSNBC live|MSNBC TV|news|breaking news|current events|US news|politics|morning joe full|morning joe today|Rep. Mikie Sherrill|Congress counting|Electoral College votes|Democratic Senate seats|Gop senators|biden electoral college victory|Georgia run off|Georgia senate election|Rep. Mikie Sherrill interviews","House Armed Services member, Rep. Mikie Sherrill, D-NJ, joins Morning Joe to discuss Congress' counting of the Electoral College votes and what two potential Democratic Senate seats could mean for Congress. Aired on 01/06/2021.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout Morning Joe with Joe Scarborough: Join Joe Scarborough, Mika Brzezinski, and Willie Geist, for in-depth and informed discussions that help drive the day's political conversation. Top newsmakers, Washington insiders, journalists, and cultural influencers, come together on Morning Joe for unparalleled insight and analysis around the day's biggest stories.MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc#MikieSherrill #ElectoralCollegeVotes #MSNBCRep. Sherrill: Congress Will Fulfill Its Constitutional Duty Today | Morning Joe | MSNBC","The official MSNBC YouTube Channel. MSNBC  is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC  offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.Sign up for newsletters!: MSNBC.com/NewslettersYouTube","msnbc politics rachel maddow lawrence o'donnell News politics Brian Williams Chris Hayes Morning Joe Stephanie Ruhle msnbc news live msnbc maddow msnbc maddow msnbc stream live msnbc stream msnbc joe msnbc rachel msnbc rachel maddow rachel maddow msnbc today msnbc morning joe msnbc news live live news msnbc news live stream msnbc stream live msnbc stream msnbc live now msnbc news today lawrence msnbc am joy am joy msnbc msnbc ari ari melber msnbc ari melber rachel maddow live msnbc live rachel maddow msnbc chris hayes chris hayes","a6YreEKdYmA"
1q1jqbJM2v4,"Corporations halt donations to GOP who voted to overturn elections","UCupvZG-5ko_eiXAupbDfxWw","CNN","25","493.0","https://i.ytimg.com/vi/1q1jqbJM2v4/default.jpg","latest News|Happening Now|CNN|christine romans|politics|business news|us news|donald trump|CNNB|cnn business","Some of America's biggest companies are suspending donations to Republican Congress members who objected to the Electoral College's votes.The growing list of those corporations, including BlueCross BlueShield, Citigroup (C), Commerce Bank and Marriott (MAR), comes after a pro-Trump mob breached the US Capitol last Wednesday to fight against the ceremonial counting of electoral votes that confirmed President-elect Joe Biden's win.147 Republicans voted against certification of the electoral votes in a joint session of Congress last Wednesday evening. They included Missouri Sen. Josh Hawley, Kansas Sen. Roger Marshall, Texas Sen. Ted Cruz and Alabama Sen. Tommy Tuberville, among hundreds other congress members.At the Blue Cross Blue Shield Association, we continuously evaluate our political contributions to ensure that those we support share our values and goals, said Kim Keck, BlueCross BlueShield's president and CEO, in a statement. In light of this week's violent, shocking assault on the United States Capitol, and the votes of some members of Congress to subvert the results of November's election by challenging Electoral College results, BCBSA will suspend contributions to those lawmakers who voted to undermine our democracy.The health insurance company's BLUEPAC political action committee -- supported only by employee contributions -- donated $246,750 to Republican lawmakers during the 2020 cycle. That included $10,000 to Sen. Tuberville, $1,000 to Sen. Marshall and $500 to Sen. Hawley.BlueCross BlueShield said it's stopping donations to all 147 Republicans who challenged the Electoral College results.#CNN #ChristineRomans #FirstMove","CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.","CNN CNN News news breaking news","a6YreEKdYmA"
