video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
BgxbRLkmE_Q,"AO VIVO - BORDEAUX VS PSG","UC0YatYmg5JRYzXJPxIdRd8g","beIN SPORTS USA","17","8230.0","https://i.ytimg.com/vi/BgxbRLkmE_Q/default.jpg","beINSPORTS|Soccer|Football|Futbol|LaLiga|Serie A|Ligue 1|Ronaldo|Messi|Lyon|Olympique|Nimes|French Soccer|Francia|futebol francês|futebol|ao vivo|frances|PSG|Neymar|Paulinho|Olympique Marseille|Marseile|Le Classique","Connect with beIN SPORTS Online:Watch us on TV: http://bit.ly/2d7bf5YWatch us Online: http://bit.ly/1WNtvkcVisit our WEBSITE: http://beINSPORTS.com Like us on FACEBOOK: http://facebook.com/beINSPORTSUSA Follow us on TWITTER: http://twitter.com/beINSPORTSUSA Follow us on INSTAGRAM: http://instagram.com/beINSPORTSUSA","The fastest growing network in the US offering a premium and healthy dose of ⚽️.","Soccer Futbol beIN SPORTS LaLiga Ligue 1 Copa del Rey Goals Highlights Real Madrid CONMEBOL CONCACAF AFCON Football Rugby El Clasico Barcelona Copa Libertadores Copa Sudamerica Messi Cristiano International Football Super Lig Turkish Super Lig beIN SPORTS USA","aZ-vs2fR2sg"
f7a554VOGqI,"PARTIDO COMPLETO: FCB Legends - Real Madrid Leyendas (3-2)","UC14UlmYlSNiQCBe9Eookf_A","FC Barcelona","17","5747.0","https://i.ytimg.com/vi/f7a554VOGqI/default.jpg","FC Barcelona|برشلونة،|Fútbol|FUTBOL|soccer|FUTEBOL|Sepakbola|サッカー|كرة القدم|football|FCB|Barça|Sport|Club|Barcelona|Ronaldinho|full game|Real Madrid|Beirut|Libano|Lebanon|Giuly|Davids","----FC Barcelona on Social MediaSubscribe to our official channel http://www.youtube.com/subscription_center?add_user=fcbarcelonaFacebook: http://www.facebook.com/fcbarcelonaTwitter: http://twitter.com/FCBarcelonaGoogle+: http://plus.google.com/+FCBarcelonaInstagram: http://www.instagram.com/FCBarcelona","FIRST SPORTS TEAM IN THE WORLD TO REACH 10 MILLION SUBSCRIBERS ON @YOUTUBE! 💙❤️🔵🔴 Welcome to FC Barcelona's official YouTube channel!🎥 Highlights, challenges, interviews, vlogs, live shows and much more 🔔 Turn your notifications on and never a miss a video 💥 Força Barça! Subscribe, we're more than a YouTube channel 😉--🔵🔴 Benvinguts al canal oficial de YouTube del FC Barcelona!🎥 Resums, reptes, entrevistes, vlogs, programes en directe i moltes coses més 🔔 Activa les notificacions i no et perdis mai cap vídeo💥 Força Barça! Subscriu-te, som més que un canal de YouTube 😉--🔵🔴 ¡Bienvenidos al canal oficial de YouTube oficial del FC Barcelona!🎥 Resúmenes, retos, entrevistas, vlogs, programas en directo y muchas cosas más 🔔 Activa las notificaciones para no perderte ningún vídeo💥 ¡Força Barça! Suscríbete, somos más que un canal de YouTube 😉","fcb fcbarcelona messi neymar ronaldhino barça suárez piqué barça futbol football yt:cc=on luis suarez leo messi camp nou culers griezmann ansu fati ucl champions league soccer La Liga highlights","aZ-vs2fR2sg"
97khtMxYhmk,"This is WHY KOEMAN decided to SUB MESSI! LIONEL reaction on substitution | Granada Barcelona","UC1ooLVWqFW-UH5xmUYW0xgA","Football News","17","584.0","https://i.ytimg.com/vi/97khtMxYhmk/default.jpg","This is WHY KOEMAN decided to SUB MESSI|messi reaction on his substitution|messi substitution|messi substituted|messi vs granada|messi granada|messi substitution granada barcelona|granada barcelona|why koeman decided to sub messi|granada barcelona 0 4|granada barcelona messi|messi goals vs granada|messi free kick granada|messi react on koeman decision to sub him|granada barcelona highlights|granada barcelona 0 4 highlights|barcelona|fc barcelona|football news","This is WHY KOEMAN decided to SUB MESSI! LIONEL reaction on substitution | Granada Barcelona#messi #barcelona","The most informative YouTube channel about football ⚽️ We release videos with the latest news every day!👌🏻Mail for business and partnership — sales@vamos-digital.comDo you want to become part of our team? — hr@vamos-digital.com","football football news soccer soccer news Premier League Messi Ronaldo Lionel Messi Cristiano Ronaldo Real Madrid Barcelona La Liga Manchester City Liverpool Manchester United Man City Juventus Inter Milan Chelsea Arsenal PSG Neymar Mbappe Salah Mane Ibrahimovic champions league europa league world cup ballon d'or serie a bundesliga bayern borussia fifa epl euro2020 pogba klopp guardiola zidane hazard","aZ-vs2fR2sg"
jzdUWsWpUWQ,"Granada vs Barcelona [0-4], La Liga 2021 - MATCH REVIEW","UCvExuGSwx1Yw30dDY8JEJ3w","TalkFCB","17","551.0","https://i.ytimg.com/vi/jzdUWsWpUWQ/default.jpg","barcelona|talkfcb|talk fcb|barca|barcelona news|barca news|football|soccer|sports|messi|griezmann|suarez|dembele|goals|skills|fcb|transfer news|la liga|match review|Ronald Koeman|koeman|champions league|Riqui Puig|Ansu Fati|granada","DOWNLOAD THE ONEFOOTBALL APP HERE - https://tinyurl.com/y3s3325c Lionel Messi and Antoine Griezmann both scored twice, as Barcelona produced another excellent performance to beat Granada on Saturday. Keeping the pressure on Atletico Madrid and Real Madrid in La Liga. With Sergio Busquets also putting in an impressive display from midfield. JOIN THE TALKFCB FLICK CHAT - https://flick.group/talkfcbBECOME A TALKFCB MEMBER HERE - https://www.youtube.com/channel/UCvExuGSwx1Yw30dDY8JEJ3w/joinMORETALKFCB - @MoreTalkFCBTalkFCB Patreon: https://goo.gl/GE99eUTalkFCB Twitter: https://goo.gl/Hufq8sTalkFCB Instagram: https://goo.gl/jmQA6CTalKFCB Facebook: https://goo.gl/X37hnR","Welcome to TalkFCB. The YouTube channel providing a community for Barça fans to engage and stay up-to-date with the latest from the world of FCB. Including match preview and review videos, as well as tactical analysis and opinions. And of course, the latest transfer news and injury updates.","","aZ-vs2fR2sg"
YcZg57yD6dA,"TANDA DE PENALTIS REAL SOCIEDAD 1 (2) - 1 (3) BARCELONA  SUPERCOPA ESPAÑA 2021 MIRAR COMENTARIOS!!","UC2AJIIKwMiiZObp2-w1yKtA","sendo_ 99","20","418.0","https://i.ytimg.com/vi/YcZg57yD6dA/default.jpg","[none]","UNIROS A ESTE GRUPO DE TELEGRAM PARA SABER NOTICIAS TRADEOS Y MAS DE FIFA 21!! TRADEOS - NOTICIAS - SORTEOS DE MONEDAS | SENDO_99 🤪🤪https://t.me/sendo99ytMI INSTAGRAM:SENDOO__99","CANAL DE FIFA 21.. HAREMOS DIRECTOS Y MUCHAS COSASS OS VA A GUSTAR🤪    QUIERES SEGUIRME EN REDES SOCIALES? POR AQUI TE DEJO LOS LINKS.INSTAGRAM🔥: Sendoo__99TWITTER🔥:https://twitter.com/sendo_99SI QUERÉIS AGREGARMR EN PLAY ESTE ES MI ID : SENDO_99","","aZ-vs2fR2sg"
ZoZZKRUVHnI,"رسميا لابورتا يفجرها بخصوص مستقبل ميسي وبرشلونة يشعل الميركاتو وديباي يتحدى ليون وصفقات كبيرة للبرسا","UCu6FNm-Q0ldTNQ8rHrM1ogQ","فيسكا برسا visca barça","22","675.0","https://i.ytimg.com/vi/ZoZZKRUVHnI/default.jpg","برشلونة|اخبار برشلونة|اخبار برشلونة اليوم|أخبار برشلونة|أخبار برشلونة اليوم|موعد مباريات برشلونة|مباراة برشلونة|برشلونة اليوم|برشلونة نيوز|ميسي|رحيل ميسي|اخبار رحيل ميسي|برشلونة وميسي|سواريز|ديمبلي|نيمار|كومان|مدرب برشلونة كومان|موعد مباراة برشلونة|معلق مباراة برشلونة|اخبار ميسي|ميسي اليوم|اخبار ميسي اليوم|برشلونة وريال مدريد|ديملي|برشلونة الان|اخبار كرة القدم|برشلونة اخبار|انتقال عن برشلونة|ميسي يرحل عن برشلونة|رحيل ميسي عن برشلونة","رسميا لابورتا يفجرها بخصوص مستقبل ميسي وبرشلونة يشعل الميركاتو وديباي يتحدى ليون وصفقات كبيرة للبرسا","","","aZ-vs2fR2sg"
tBOO6exCsnQ,"Lionel Messi & Antoine Griezmann shine as Barcelona destroy Granada, Riqui Puig makes an appearance!","UCvExuGSwx1Yw30dDY8JEJ3w","TalkFCB","17","767.0","https://i.ytimg.com/vi/tBOO6exCsnQ/default.jpg","barcelona|talkfcb|talk fcb|barca|barcelona news|barca news|football|soccer|sports|messi|griezmann|suarez|dembele|goals|skills|fcb|transfer news|la liga|match review|Ronald Koeman|koeman|champions league|Riqui Puig|Ansu Fati|granada","Lionel Messi scored twice, including a stunning free-kick, along with Griezmann also scoring a brace as Barcelona beat Granada to put the pressure on Real Madrid in La Liga. Is Ronald Koeman finally finding some consistency with his team?JOIN THE TALKFCB FLICK CHAT - https://flick.group/talkfcbBECOME A TALKFCB MEMBER HERE - https://www.youtube.com/channel/UCvExuGSwx1Yw30dDY8JEJ3w/joinMORETALKFCB - @MoreTalkFCBTalkFCB Patreon: https://goo.gl/GE99eUTalkFCB Twitter: https://goo.gl/Hufq8sTalkFCB Instagram: https://goo.gl/jmQA6CTalKFCB Facebook: https://goo.gl/X37hnR","Welcome to TalkFCB. The YouTube channel providing a community for Barça fans to engage and stay up-to-date with the latest from the world of FCB. Including match preview and review videos, as well as tactical analysis and opinions. And of course, the latest transfer news and injury updates.","","aZ-vs2fR2sg"
UGl5VnKWuNg,"Athletic Club vs Barcelona [2-3], La Liga 2021 - MATCH REVIEW","UCvExuGSwx1Yw30dDY8JEJ3w","TalkFCB","17","610.0","https://i.ytimg.com/vi/UGl5VnKWuNg/default.jpg","barcelona|talkfcb|talk fcb|barca|barcelona news|barca news|football|soccer|sports|messi|griezmann|suarez|dembele|goals|skills|fcb|transfer news|la liga|match review|Ronald Koeman|koeman|champions league|Riqui Puig|Ansu Fati|athletic club|Pedri","DOWNLOAD THE ONEFOOTBALL APP HERE - https://tinyurl.com/y3s3325cLionel Messi scored two great goals after combining with Pedri once again, who also scored, to give Barça a vital win at San Mamés against Athletic Club. With Ousmane Dembélé, Antoine Griezmann and Frenkie de Jong all impressing on the night for Koeman's side. What did you make of Barcelona's performance?JOIN THE TALKFCB FLICK CHAT - https://flick.group/talkfcbBECOME A TALKFCB MEMBER HERE - https://www.youtube.com/channel/UCvExuGSwx1Yw30dDY8JEJ3w/joinMORETALKFCB - @MoreTalkFCBTalkFCB Patreon: https://goo.gl/GE99eUTalkFCB Twitter: https://goo.gl/Hufq8sTalkFCB Instagram: https://goo.gl/jmQA6CTalKFCB Facebook: https://goo.gl/X37hnR","Welcome to TalkFCB. The YouTube channel providing a community for Barça fans to engage and stay up-to-date with the latest from the world of FCB. Including match preview and review videos, as well as tactical analysis and opinions. And of course, the latest transfer news and injury updates.","","aZ-vs2fR2sg"
CD8DOutAcwM,"Real Valladolid vs Barcelona [0-3], La Liga 2020/21 - MATCH REVIEW","UCvExuGSwx1Yw30dDY8JEJ3w","TalkFCB","17","561.0","https://i.ytimg.com/vi/CD8DOutAcwM/default.jpg","barcelona|talkfcb|talk fcb|barca|barcelona news|barca news|football|soccer|sports|messi|griezmann|suarez|dembele|goals|skills|fcb|transfer news|la liga|match review|Ronald Koeman|koeman|champions league|Riqui Puig|Ansu Fati|valladolid|Pedri|braithwaite|lenglet|fc barcelona highlights|valladolid barcelona highlights|valladolid 0 barcelona 3|pedri|pedri vs valladolid|pedri and messi|pedri barcelona","Lionel Messi produced an outstanding performance as Barça registered a vital away win against Valladolid. Thanks to goals from Messi himself, Clement Lenglet and Martin Braithwaite. And another great display from young Pedri! JOIN THE TALKFCB FLICK CHAT - https://flick.group/talkfcbBECOME A TALKFCB MEMBER HERE - https://www.youtube.com/channel/UCvExuGSwx1Yw30dDY8JEJ3w/joinMORETALKFCB - @MoreTalkFCBTalkFCB Patreon: https://goo.gl/GE99eUTalkFCB Twitter: https://goo.gl/Hufq8sTalkFCB Instagram: https://goo.gl/jmQA6CTalKFCB Facebook: https://goo.gl/X37hnR","Welcome to TalkFCB. The YouTube channel providing a community for Barça fans to engage and stay up-to-date with the latest from the world of FCB. Including match preview and review videos, as well as tactical analysis and opinions. And of course, the latest transfer news and injury updates.","","aZ-vs2fR2sg"
ggRmjODAO08,"I'm getting jealous! | Keane jokes about being jealous of Richards' relationship with Stones 🤣","UCNAf1k0yIjyGu3k9BwAg3lg","Sky Sports Football","17","297.0","https://i.ytimg.com/vi/ggRmjODAO08/default.jpg","Sky Sports|Premier League|Football League|Football|Soccer|Sky Spors live|premier league highlights|sky sports football|epl other 1920|micah richards|micah richards roy keane|roy keane|roy keane micah richards|micah richards sky sports|roy keane sky sports|man city|liverpool|john stones|roy keane funny|roy keane micah richards funny","SUBSCRIBE ► http://bit.ly/SSFootballSubPREMIER LEAGUE HIGHLIGHTS ► http://bit.ly/SkySportsPLHighlightsThe Sky Sports pundits discuss how John Stones has rebuilt his Manchester City career and Roy Keane jokes that he feels jealous of Micah Richards' relationship with the Premier League centre back.Watch Premier League LIVE on Sky Sports here ► http://bit.ly/WatchSkyPL►TWITTER: https://twitter.com/skysportsfootball►FACEBOOK: http://www.facebook.com/skysports►WEBSITE: http://www.skysports.com/footballMORE FROM SKY SPORTS ON YOUTUBE:►SKY SPORTS CRICKET: https://bit.ly/SubscribeSkyCricket►SKY SPORTS BOXING: http://bit.ly/SSBoxingSub►SOCCER AM: http://bit.ly/SoccerAMSub►SKY SPORTS F1: http://bit.ly/SubscribeSkyF1►SKY SPORTS: http://bit.ly/SkySportsSub","Sky Sports Football is the home of Sky Sports' football videos on YouTube featuring Premier League, EFL and International football highlights, as well as post match interviews, exclusive player access and top level analysis!Make sure you subscribe and turn on notifications so you don't miss a single upload!","Sky Sports Football Premier League Premier League Highlights Gary Neville Jamie Carragher Football League Manchester United City Chelsea Tottenham Arsenal Liverpool","aZ-vs2fR2sg"
