video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
6roBvvwFt5c,"Alex Trebek's final goodbye and parting message","UClqPeq7eCZCwWB4d89h2qSQ","Inside The Story","25","240.0","https://i.ytimg.com/vi/6roBvvwFt5c/default.jpg","[none]","Tonight marks the final time Alex Trebek will host Jeopardy, leaving a giant hole in prime time and in the hearts of millions around the globe. Trebek passed away in November, but continued to work right up until his death.","Inside the Story is a nightly current affairs program on the CHCH network, featuring front line investigative reports on major news, trends and hot topics. Watch weeknights at 7 p.m. https://www.chch.com/live/","music celebrities internet interview Life Story Inside The Story politics social media trends entertainment scandal crime true crime economics economy business markets Canadian politics Ottawa Toronto Vancouver Calgary","arsStQAhHVA"
hKJZ9pzDMCk,"Celebrity Jeopardy!: Sean Connery, Tom Cruise, Adam Sandler - SNL","UCqFzWxSCi39LnW1JKFR3efg","Saturday Night Live","24","431.0","https://i.ytimg.com/vi/hKJZ9pzDMCk/default.jpg","video|Celebrity Jeopardy|Alex Trebek|Jeopardy|SNL|Saturday Night Live|New York|funny|hilarious|guest|host|comedy|late night|sketch|sketches|game show|TV|TV on SNL|television|tv show|trivia|celebrities|parody|impression|Sean Connery|Tom Cruise|Adam Sandler|Jimmy Fallon|Darrell Hammond|Ben Stiller|throwback|vintage|snl|90s|season 24|saturday night live|snl 24","Alex Trebek (Will Ferrell) hosts Celebrity Jeopardy! with contestants Adam Sandler (Jimmy Fallon), Sean Connery (Darrell Hammond), and Tom Cruise (Ben Stiller). [Season 24, 1998]Saturday Night Live.  Stream now on Peacock: https://bit.ly/3j1IRUkSubscribe to SNL: https://goo.gl/tUsXwMStream Current Full Episodes: http://www.nbc.com/saturday-night-live WATCH PAST SNL SEASONSGoogle Play - http://bit.ly/SNLGooglePlayiTunes - http://bit.ly/SNLiTunes SNL ON SOCIALSNL Instagram: http://instagram.com/nbcsnlSNL Facebook: https://www.facebook.com/snlSNL Twitter: https://twitter.com/nbcsnlSNL Tumblr: http://nbcsnl.tumblr.com/SNL Pinterest: http://www.pinterest.com/nbcsnl/ GET MORE NBCLike NBC: http://Facebook.com/NBCFollow NBC: http://Twitter.com/NBCNBC Tumblr: http://NBCtv.tumblr.com/YouTube: http://www.youtube.com/nbcNBC Instagram: http://instagram.com/nbc #SNL","Welcome to the official Saturday Night Live channel on YouTube! Here you will find your favorite sketches, behind the scenes clips and web exclusives, featuring all your favorite hosts and cast members.All seasons of Saturday Night Live are now available on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock: https://bit.ly/3esVzIq","snl saturday night live sketch comedy parody satire live from new york impressions","arsStQAhHVA"
Tgjkb6fBMHg,"Final Jeopardy! January 19, 2021 | Ken Jennings Gets Trolled: H&R Block | JEOPARDY!","UCnxxhf9PSA3VJ4Q80pWJoow","Jeopardy!","24","114.0","https://i.ytimg.com/vi/Tgjkb6fBMHg/default.jpg","double jeopardy!|exclusive jeopardy|Jeopardy questions|think music|Jeopardy! best moments|tv program|Merv Griffin|Official Jeopardy!|let's play|Game Show (TV Genre)|reality games|play jeopardy|Jeopardy! (TV Program)|jeopardy!|ken jennings|h&r block|trolling|final jeopardy!","If you hoped they've forgotten – they haven't, Ken Jennings. Subscribe to Jeopardy! for exclusive content: http://bit.ly/JSubscribe_YT The official home for video from Jeopardy! and Jeopardy.com. Subscribe for the best-of-Jeopardy! moments, big wins, great gameplay, and behind-the-scenes snippets. Want to be on the show? It all starts with the Jeopardy! Anytime Test! Take the Jeopardy! Test here: http://bit.ly/Jeopardy-TestConnect with Jeopardy!:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq Website: https://www.jeopardy.com/#Jeopardy! More Jeopardy!:Find Your Station: http://bit.ly/2BIOtxc Play J!6: http://bit.ly/2AtJVdTPlay Jeopardy! World Tour on Google Play: https://t.co/J2P6b0JLdT Play Jeopardy! World Tour on iTunes: http://apple.co/2ASWeU1Play Jeopardy! on Drivetime: http://bit.ly/Download-Drivetime","Welcome to the official Jeopardy! YouTube channel! Go behind the scenes, get game highlights and tournament recaps, and stay updated on news about Jeopardy! and Alex Trebek. Subscribe to our channel to get the latest!More JEOPARDY!: https://www.jeopardy.com/JEOPARDY! ON SOCIAL:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq","Jeopardy!","arsStQAhHVA"
4Z922g9R6xE,"How James Holzhauer Broke Jeopardy - Cheddar Explains","UC04KsGq3npibMCE9Td3mVDg","Cheddar","24","481.0","https://i.ytimg.com/vi/4Z922g9R6xE/default.jpg","Cheddar|cheddar explains|explainer|explainer video|jeopardy|james holzhauer|game show|game show contestants|ken jennings|game strategy|strategy|fritz holznagel|secrets of the buzzer|buzzer|winning strategy|how to win|gameplay|jeopardy gameplay|probabilty|data mining|game play|jeopardy!|alex trebek|forrest bounce|forrest bounce jeopardy|cbs television distribution|final jeopardy|jeopardy james holzhauer|champion|james holzhauer jeopardy|jepready","James Holzhauer is on track to be the highest winning Jeopardy contestant of all time. How is he doing this? James is professional gambler and his game-play strategy proves it. Cheddar explains how James is controlling the Jeopardy board.Subscribe to Cheddar on YouTube: http://chdr.tv/subscribeConnect with Cheddar!On Facebook: http://chdr.tv/facebookOn Twitter: http://chdr.tv/twitterOn Instagram: http://chdr.tv/instagramOn Cheddar.com: http://chdr.tv/cheddar","Welcome to Cheddar!We are a network focused on covering the most interesting topics through the lens of innovation in products, technologies, businesses, services, and ideas that impact us.Cheddar Explains: Every day there are new questions about technology, businesses, and medical advancements. No matter the question, Cheddar explains it all.Cheddar Explores: Unprecedented technological advancement, dreams of interstellar colonization, bioengineering. Explore the future of our world and our economies through the lens of innovation, disruption, and futurism.Cheddar Examines: Business is a battlefield. Every company has make-or-break moments that lead to massive success or crushing defeat. These are those stories.The Vault: We animate tales of true and fascinating financial crime.Subscribe for original videos every week.","cheddar business technology news education documentary explainer companies history facts","arsStQAhHVA"
0WM2F2RDIpw,"Celebrity Jeopardy!: Phil Donahue, Burt Reynolds, Marlon Brando - SNL","UCqFzWxSCi39LnW1JKFR3efg","Saturday Night Live","24","495.0","https://i.ytimg.com/vi/0WM2F2RDIpw/default.jpg","snl|saturday night live|snl 22|season 22|celebrity jeopardy|jeopardy|alex trebek|will ferrell|phil donahue|darrell hammond|norm macdonald|burt reynolds|marlon brando|john goodman|Celebrity Jeopardy|Alex Trebek|Jeopardy|SNL|Saturday Night Live|New York|funny|hilarious|guest|host|comedy|late night|sketch|sketches|game show|TV|TV on SNL|television|tv show|trivia|celebrities|parody|impression|1990s|throwback|vintage","Alex Trebek (Will Ferrell) is frustrated that Phil Donahue (Darrell Hammond), Burt Reynolds (Norm Macdonald) and Marlon Brando (John Goodman) can't seem to answer the easiest of questions. [Season 22, 1997]Saturday Night Live.  Stream now on Peacock: https://bit.ly/3j1IRUkSubscribe to SNL: https://goo.gl/tUsXwMStream Current Full Episodes: http://www.nbc.com/saturday-night-live WATCH PAST SNL SEASONSGoogle Play - http://bit.ly/SNLGooglePlayiTunes - http://bit.ly/SNLiTunes SNL ON SOCIALSNL Instagram: http://instagram.com/nbcsnlSNL Facebook: https://www.facebook.com/snlSNL Twitter: https://twitter.com/nbcsnlSNL Tumblr: http://nbcsnl.tumblr.com/SNL Pinterest: http://www.pinterest.com/nbcsnl/ GET MORE NBCLike NBC: http://Facebook.com/NBCFollow NBC: http://Twitter.com/NBCNBC Tumblr: http://NBCtv.tumblr.com/YouTube: http://www.youtube.com/nbcNBC Instagram: http://instagram.com/nbc #SNL","Welcome to the official Saturday Night Live channel on YouTube! Here you will find your favorite sketches, behind the scenes clips and web exclusives, featuring all your favorite hosts and cast members.All seasons of Saturday Night Live are now available on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock: https://bit.ly/3esVzIq","snl saturday night live sketch comedy parody satire live from new york impressions","arsStQAhHVA"
OQru0-j2Bk0,"The Alex Trebek Tribute","UCBUlPedIwKJLacLKXEunTBQ","Digifangsn","24","7983.0","https://i.ytimg.com/vi/OQru0-j2Bk0/default.jpg","Alex Trebek|Game Show","RIP Alex Trebeklineup:The Wizard of Odds (intro only)High Rollers (Air Date: 7/4/1975 watch out for the chandelier Ruta!)Double Dare 76' (The Premiere! Air Date: 12/13/1976 recorded off Buzzr during Buzzr's Lost & Found)Pitfall: Sunny vs Sharon (the only time in tv history Alex got stiffed in the paycheck as did most of the contestants repeat from 9/??/1986 Pit pass miss includes promos for Jackpot! (one of witch is a plug) & Chain ReactionThe New Battlestars: The Finale (7/1/1983)                                                Classic Concentration: Alison Vs. John (Air Date: 12/14/1988) (an unusual Car Round Recorded off Buzzr)To Tell The Truth 1991 (Alex hosting) (Recorded off GSN)1994 Promo for Jeopardy! recorded off Louisville's own WLKY (can't post a full Jeopardy! episode due to copyright let's hope there's nice place for Sony downstairs if you know what i mean 😏","Hi Digifan23 here this my alternate account for Game Shows (and other things)NEW RULES EFFECITVE 10/8/13:don't tell me what to upload cause in all likelihood I don't have it or i just don't fell uploading it (and IF i do please ask first)and NO REQUESTS! just uploading what i gotfrom here on out no more commericals (you can thank your friends at the WWE for that) sorry about that :\you can watch videos with the commericals on my dailymotion accountand last but not least do not ask for requests or ask me things if You have more episodes of (fill in the blank) upload them. i will just ignore themTHANK YOU AND ENJOY THE GAME SHOW FUN! :)","","arsStQAhHVA"
df5iwY7QUTY,"Celebrity Jeopardy!: Hilary Swank, Keanu Reeves, Sean Connery - SNL","UCqFzWxSCi39LnW1JKFR3efg","Saturday Night Live","24","416.0","https://i.ytimg.com/vi/df5iwY7QUTY/default.jpg","snl|saturday night live|snl 22|season 22|celebrity jeopardy|jeopardy|alex trebek|will ferrell|hillary swank|jimmy fallon|keanu reeves|tobey maguire|sean connery|darrell hammond|Celebrity Jeopardy|Alex Trebek|Jeopardy|SNL|Saturday Night Live|New York|funny|hilarious|guest|host|comedy|late night|sketch|sketches|game show|TV|TV on SNL|television|tv show|trivia|celebrities|parody|impression|1990s|throwback|vintage snl","Contestants Hilary Swank (Jimmy Fallon), Keanu Reeves (Tobey Maguire) and Sean Connery (Darrell Hammond) drive Alex Trebek (Will Ferrell) crazy with their incompetence and insults. [Season 22, 1996]Saturday Night Live.  Stream now on Peacock: https://bit.ly/3j1IRUkSubscribe to SNL: https://goo.gl/tUsXwMStream Current Full Episodes: http://www.nbc.com/saturday-night-live WATCH PAST SNL SEASONSGoogle Play - http://bit.ly/SNLGooglePlayiTunes - http://bit.ly/SNLiTunes SNL ON SOCIALSNL Instagram: http://instagram.com/nbcsnlSNL Facebook: https://www.facebook.com/snlSNL Twitter: https://twitter.com/nbcsnlSNL Tumblr: http://nbcsnl.tumblr.com/SNL Pinterest: http://www.pinterest.com/nbcsnl/ GET MORE NBCLike NBC: http://Facebook.com/NBCFollow NBC: http://Twitter.com/NBCNBC Tumblr: http://NBCtv.tumblr.com/YouTube: http://www.youtube.com/nbcNBC Instagram: http://instagram.com/nbc #SNL","Welcome to the official Saturday Night Live channel on YouTube! Here you will find your favorite sketches, behind the scenes clips and web exclusives, featuring all your favorite hosts and cast members.All seasons of Saturday Night Live are now available on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock: https://bit.ly/3esVzIq","snl saturday night live sketch comedy parody satire live from new york impressions","arsStQAhHVA"
Anue9HGm3go,"Ken Jennings Honors Alex Trebek In His First Episode as Guest Host | JEOPARDY!","UCnxxhf9PSA3VJ4Q80pWJoow","Jeopardy!","24","52.0","https://i.ytimg.com/vi/Anue9HGm3go/default.jpg","double jeopardy!|exclusive jeopardy|Jeopardy questions|think music|Jeopardy! best moments|tv program|Merv Griffin|Official Jeopardy!|let's play|Game Show (TV Genre)|reality games|play jeopardy|Jeopardy! (TV Program)|jeopardy!|Alex trebek|ken jennings|jeopardy guest host","Stepping up to the lectern as our first guest host, Ken takes a moment to honor Alex. Subscribe to Jeopardy! for exclusive content: http://bit.ly/JSubscribe_YT The official home for video from Jeopardy! and Jeopardy.com. Subscribe for the best-of-Jeopardy! moments, big wins, great gameplay, andbehind-the-scenes snippets. Want to be on the show? It all starts with the Jeopardy! Anytime Test! Take the Jeopardy! Test here: http://bit.ly/Jeopardy-TestConnect with Jeopardy!:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq Website: https://www.jeopardy.com/#Jeopardy! More Jeopardy!:Find Your Station: http://bit.ly/2BIOtxc Play J!6: http://bit.ly/2AtJVdTPlay Jeopardy! World Tour on Google Play: https://t.co/J2P6b0JLdT Play Jeopardy! World Tour on iTunes: http://apple.co/2ASWeU1Play Jeopardy! on Drivetime: http://bit.ly/Download-Drivetime","Welcome to the official Jeopardy! YouTube channel! Go behind the scenes, get game highlights and tournament recaps, and stay updated on news about Jeopardy! and Alex Trebek. Subscribe to our channel to get the latest!More JEOPARDY!: https://www.jeopardy.com/JEOPARDY! ON SOCIAL:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq","Jeopardy!","arsStQAhHVA"
Svw6NCnuIkE,"Who's the Jeopardy! G.H.O.S.T.? | JEOPARDY!","UCnxxhf9PSA3VJ4Q80pWJoow","Jeopardy!","24","195.0","https://i.ytimg.com/vi/Svw6NCnuIkE/default.jpg","Alex Trebek (TV Personality)|double jeopardy!|exclusive jeopardy|Jeopardy questions|think music|Jeopardy! best moments|tv program|Merv Griffin|Official Jeopardy!|let's play|Game Show (TV Genre)|reality games|play jeopardy|Jeopardy! (TV Program)|jeopardy!","Things got a little silly during Final Jeopardy! today. #JeopardyGOATSubscribe to Jeopardy! for exclusive content: http://bit.ly/JSubscribe_YT The official home for video from Jeopardy! and Jeopardy.com. Subscribe for the best-of-Jeopardy! moments, big wins, great gameplay, behind-the-scenes snippets, and (of course!) Alex Trebek. Connect with Jeopardy!:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq Website: https://www.jeopardy.com/#Jeopardy! #AlexTrebek More Jeopardy!:Find Your Station: http://bit.ly/2BIOtxc Play J!6: http://bit.ly/2AtJVdTPlay JEOPARDY! World Tour on Google Play: https://t.co/J2P6b0JLdT Play JEOPARDY! World Tour on iTunes: http://apple.co/2ASWeU1","Welcome to the official Jeopardy! YouTube channel! Go behind the scenes, get game highlights and tournament recaps, and stay updated on news about Jeopardy! and Alex Trebek. Subscribe to our channel to get the latest!More JEOPARDY!: https://www.jeopardy.com/JEOPARDY! ON SOCIAL:Facebook: http://bit.ly/2AuJ6kX Twitter: http://bit.ly/2kjdBq8 Instagram: http://bit.ly/2AKTpnq","Jeopardy!","arsStQAhHVA"
VTjPoz7MMKs,"Austin Rogers Jeopardy Highlights Full Run","UCrXmkQxjWqbiR-A4tmThv5Q","Austin Bell","22","1683.0","https://i.ytimg.com/vi/VTjPoz7MMKs/default.jpg","austin rogers|jeopardy","","","","arsStQAhHVA"
