video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
taDHTRhDIHs,"Gizelle Bryant getting dragged for over 5 minutes (guest starring Jamal Bryant)","UC8whwHp75twSkT9IA452D8g","RealHousewivesmania U","24","330.0","https://i.ytimg.com/vi/taDHTRhDIHs/default.jpg","[none]","Support me by joining my Patreon channel and gain access to videos early and participate in giveaways: https://www.patreon.com/realhousewivesmaniaAll rights belong to #Bravo","Its all about The Real Housewives......","","AZ3-B4wT1R4"
genFeGOvxGg,"Porsha Williams - Flatline","UCiBYrm4qrsDBz2Tt7nMOP3g","PorshaWilliamsVEVO","10","274.0","https://i.ytimg.com/vi/genFeGOvxGg/default.jpg","Porsha|Porsha Williams|Flatline|Flat line|Atlanta Housewives|The|Real|Housewives|of|Atlanta|KES|Music|Video|Distribution|New RnB music|R&B","Porsha Williams - FlatlineBuy Now!iTunes: http://bit.ly/1gnbiag  AmazonMP3: http://amzn.to/1iMnLHZ","Bravo's Real Housewives of Atlanta's favorite peach. Porsha Williams is a vivacious southern beauty with big dreams and high ambitions.  A true Georgia Peach, born and raised in Atlanta, and is the granddaughter of the Civil Rights leader and philanthropist Rev. Hosea Williams.  Over the last couple of years, Porshas' life has been an open book for millions to see.  Now; with the successful debut single Flatline, through song, her fans can hear her personal documentation of her life changing journey.  Multi-platinum music producer, Chris Traxx Rogers worked alongside Williams to create the soulful R&B track. On March 17, 2014, Flatline was released. The song reached #3 on iTunes R&B Top 100 charts. A heartfelt ballad with an infectious melody. The single is a testament to the budding songstress and her musical talent, the video tells her story.  Porsha is currently recording more music, and will release her new EP soon.","","AZ3-B4wT1R4"
e7GW_a5xzR0,"La Queen Monique Samuels Dragging Haters for Filth","UCPyV8UcUzhnK2EyxkrfKVkw","Mad Beef","24","288.0","https://i.ytimg.com/vi/e7GW_a5xzR0/default.jpg","[none]","No copyright intendedCredit: Bravotv.comMoniques Music video: https://youtu.be/AZ3-B4wT1R4","If you’re reading this and u ain’t subscribed then fix that mistake","rhoa dragonball exposed","AZ3-B4wT1R4"
TJRHJHnhyAo,"Chloe x Halle perform Do It for NBC's New Year's Eve 2021 Show (LQ)","UCSVpKuPn0c_p5NurCWGt6jA","CXHNOW","10","178.0","https://i.ytimg.com/vi/TJRHJHnhyAo/default.jpg","chloe x halle|chloe and halle|chloe bailey|halle bailey|chloexhalle|cxhnow|chloe x halle now|ungodly hour|chloeandhalle|do it|new year's eve|nye|nbc","When the performance is officially uploaded in HD, we will delete this. Happy new year!________Chloe x Halle Now (also known as CXHNOW) is a fan site, media, and news account for fans of Chloe x Halle to keep up to date on the duos' activities. We are not affiliated with Chloe x Halle, Parkwood Entertainment, or any other official representatives - this is purely a fan-owned and operated account.If you wish to show support for CXHNOW, you can send a donation via Kofi :) Donations are used to keep CXHNOW.COM maintained and running!https://ko-fi.com/post/Hello-Z8Z721U29OFFICIAL WEBSITE: https://cxhnow.comTWITTER: https://twitter.com/cxhnowINSTAGRAM: https://www.instagram.com/cxhnow/No copyright infringement is intended. Media credit belongs to their respective owners. All media uploaded to CXHNOW accounts are for educational, archival and entertainment purposes only. If you would like to request any content be removed (or get in touch with us for any other reason), please contact us privately through one of our accounts and we will respond as soon as we can.","Chloe x Halle Now (also known as CXHNOW) is a fan site, media, and news account for fans of Chloe x Halle to keep up to date on the duos' activities. We are not affiliated with Chloe x Halle, Parkwood Entertainment, or any other official representatives - this is purely a fan-owned and operated account.If you wish to show support for CXHNOW, you can send a donation via Kofi :) Donations are used to keep CXHNOW.COM maintained and running!https://ko-fi.com/post/Hello-Z8Z721U29OFFICIAL WEBSITE: https://cxhnow.comTWITTER: https://twitter.com/cxhnowINSTAGRAM: https://www.instagram.com/cxhnow/No copyright infringement is intended. Media credit belongs to their respective owners. All media uploaded to CXHNOW accounts are for educational, archival and entertainment purposes only. If you would like to request any content be removed (or get in touch with us for any other reason), please contact us privately through one of our accounts and we will respond as soon as we can.","chloe x halle chloe bailey halle bailey beyonce on the run fan update videos performances covers the ungodly hour cxhnow media news ungodly hour updates the little mermaid the georgetown project clips funny moments ig live instagram chloe x halle now","AZ3-B4wT1R4"
B9X0LJrGb4w,"Tami Roman | Review - RHOP","UCfLbUsn7L1tLlpKfiWscuvQ","Tami Roman","22","2276.0","https://i.ytimg.com/vi/B9X0LJrGb4w/default.jpg","[none]","EXCLUSIVE: Cumulative review of episodes to date focusing on Monique and Candace. I like ALL the ladies on the show, so it's no shade to anyone. Just my humble opinion as a viewer of the show 🤷🏽‍♀️ BonnetChronicles®  PLEASE LIKE AND SUBSCRIBE and don't forget to listen to #BonnetChroniclesPodcast on all platforms 💋DISCLAIMER: Please do not repost without written consent. Copyright material","It’s Tami Roman’s world, enter at your own risk! Official Bonnet Chronicles, Podcast & Tami’s thoughts on EVERYTHING! BonnetChronicles® © DISCLAIMER: Copyrighted content. Do not repost without written consent from the content creator.","tami roman tami basketball wives","AZ3-B4wT1R4"
Ew8jKnliFZg,"AJR - My Play (Official Video)","UCQ5w3fSomzziZfO7neK7eAg","AJR","10","192.0","https://i.ytimg.com/vi/Ew8jKnliFZg/default.jpg","[none]","Pre-order OK ORCHESTRA (with new song My Play): https://ajr.lnk.to/okorchestraDirected by Jason MerrinAnimation by Venturia Animation StudiosProduced by Rachel LiuCheck us out everywhere online @AJRBrothersLyrics:I put on a play in my old houseIn my cape, jumping on the old couchPutting up lights when it’s cold outMom and dad, both seats sold outShow you my playHaven’t seen the old house latelyWonder if they found my spaceshipI don’t want my own love wastedTell me this is what you’re saying:If you both outgrew one anotherI could start now, looking for a loverBut if love dies, do I fucking botherI just really really really really really wannaShow you my playAnd I don’t wanna do it for DadAt Dad’s new placeI worked really really really really hardLemme show you my playAnd I don’t wanna do it twiceCause it’s not the sameI’ve been on dates, bringing flowersTryna’ be great for an hourYou and me might go sourBut if we don’t hold out, then we’re cowardsI put on a play in my basementMom and dad smiling facesBut now I don’t know if they faked itGuess everything is complicatedIf you both outgrew one anotherI could start now, looking for a loverBut if love dies, do I fucking botherI just really really really really really wannaShow you my playAnd I don’t wanna do it for DadAt Dad’s new placeI worked really really really really hardLemme show you my playAnd I don’t wanna do it twiceCause it’s not the sameYou did everything everything everything that you could,We do everything everything everything till it’s throughI’ll do everything everything everything when I’m youBut when I show you my playWill you pretend you didn’t knowIf I make a mistakeIt’s gonna get really really really really badBefore it’s okayBut maybe you’ll forget it allWhile you’re watching my play","Formed in 2005, New York City-based indie pop trio AJR mix barbershop harmonies, electronic music, and other styles into their eclectic sound.AJR feature the talents of the Met brothers, Adam (vocals/bass), Jack (vocals/guitar), and Ryan (guitar/piano/vocals), who grew up in New York and got their start busking around New York City. In 2013, the trio released their debut independent single, I'm Ready. Well-received, the track peaked at number 27 on the Billboard's Top 40, and appeared the band's 2015 full-length debut album, Living Room. Since then, AJR released 2 full length albums, The Click (2017) and Neotheater (2019) featuring hit singles, Weak, Sober Up, and 100 Bad Days. AJR spent much of 2019 touring and eventually returned in 2020 with the bombastic pop single Bang!","AJR AJR Brothers The Click Band Music","AZ3-B4wT1R4"
K0m4SWTGRzs,"Doja Cat - Hot Pink Sessions: Streets (Look 1)","UCzpl23pGTHVYqvKsgY0A-_w","Doja Cat","10","239.0","https://i.ytimg.com/vi/K0m4SWTGRzs/default.jpg","doja cat|never before seen doja cat|doja cat yoga|juicy performance|hot pink performance|hot pink the album|best of doja 2020|doja cat tik tok|tik tok 2020|new tik tok|juicy couture|blonde doja cat|doja cat reaction|best of doja cat|tik tok 2021|send your location come through|i aint mf sharing|trends","I wanted to give you all a little treat and share with you these Hot Pink Sessions. Too all my fans, please have a safe and beautiful holiday! Hot Pink out now! https://smarturl.it/xHotPink Subcribe to Doja Cat's Official YouTube Channel: https://smarturl.it/DojaYTSubcribe Follow Doja Cat:https://www.facebook.com/DojaCathttps://www.instagram.com/dojacat/http://www.dojacat.com/#HotPink #DojaCat #Streets","Born and raised in L.A.,  Doja Cat made her first upload to Soundcloud in 2013 at just 16-years-old. She developed a knack for music by studying piano and dance as a kid and listening to the likes of Busta Rhymes, Erykah Badu, Nicki Minaj, Drake, and more. Soon, she went from obsessing over Catwoman to “crate digging” on YouTube and learning Logic and composition on a midi controller. Cooking up vibrantly, candy-coated beats, dropping bars doubled-up on double entendre, and singing with claws out, Amala unlocks a sweetly sexy world soundtracked by wild hip-hop, twisted pop, and smoked-out R&B. Asserting a feline-esque dominance and a style that can only be described as every color in a box of crayons, Doja Cat’s unapologetic charisma, charm, and confidence immediately take center stage. With co-signs from Chance The Rapper, Katy Perry, Chris Brown and J.Cole among others, 2018's hit “Mooo!” propelled Doja Cat forward and added many fans to her already feverishly loyal fan base.","","AZ3-B4wT1R4"
T1mFfpv8oPQ,"Tea With Monique- Live Q&A Panel Discussion","UCQKSdeUhlX9v7BkjPd7TRpA","Tea with Monique","24","4147.0","https://i.ytimg.com/vi/T1mFfpv8oPQ/default.jpg","monique samuels|bravo tv|queens|real housewives of potomac|reality tv|new music|nicki minaj|megan thee stallion|bop|hip hop mix|rap beats|hazel|bravo|rhop|real housewives|drag queen|drag race|bravo clubhouse|andy cohen|program|official music video|pop|rap|rap beat|hip hop|music|tea with monique|q&a|LIVE Q&A|lifestyle|parenting|discussion","Join us on Wednesdays at 7pmET every week for our LIVE Q&A Panel discussions, hosted by Monique Samuels and Co-host Jay Hinson! EVERY WEEK we will feature some of our favorite Youtube and Instagram Page Creators/Supporters as we discuss a wide range of lifestyle topics that push us to grow personally and professionally. Plus, we'll spill some piping hot tea!Panel Line Up:Jay IG- https://www.instagram.com/jayehinson/Steve IG- https://www.instagram.com/facesbybravo/Boss Squad Kevin IG- https://www.instagram.com/_thebosssquad/King of Shade IG- https://www.instagram.com/thekingofshade_1/Petty King IG- https://www.instagram.com/_pettyking/Man Of Steel IG- https://www.instagram.com/manofsteel1905/Javian IG- https://www.instagram.com/das.milton/Dominique IG- https://www.instagram.com/xo_nicky_/Munchi IG- https://www.instagram.com/facolahpipo/#MoniqueSamuels #TeaWithMonique","Monique Samuels, a former star on Bravo’s hit reality television series “The Real Housewives of Potomac,” is an entrepreneur, speaker, media personality, writer, rapper and philanthropist. Most importantly, Monique is a loving wife and mom of three. Monique was born in Atlantic City, New Jersey and graduated from Pleasantville High School as the Salutatorian of her class. She went to Duquesne University to study business law on a full academic scholarship. Monique later decided to put school on hold to pursue a career in music, moved to Washington, DC and worked as an executive assistant for her entertainment attorney in order to pay the bills while she learned more about the music industry. That was where she met her future husband, former Washington Redskins offensive tackle Chris Samuels, who at the time was looking to start his own record label.Monique and Chris began a great friendship, which eventually turned romantic. They dated for six years before they got married in 2012.","moniquesamuels realhousewivesofpotomac bravotv dragqueens hiphop raptress","AZ3-B4wT1R4"
Gomr0_lw6oY,"Drag Queens Official Video Discussion Monique Samuels-Riley Knoxx","UCQKSdeUhlX9v7BkjPd7TRpA","Tea with Monique","24","3273.0","https://i.ytimg.com/vi/Gomr0_lw6oY/default.jpg","drag queens|drag|rupaul's drag race|monique samuels|bravo tv|queens|real housewives of potomac|reality tv|new music|nicki minaj|megan thee stallion|download youtube video|bop|hip hop mix|rap beats|hazel|bravo|rhop|real housewives|drag queen|drag race|bravo clubhouse|andy cohen|the real housewives of potomac season 4|program|official music video|pop|rap|rap beat|hip hop|music|rusical|eminem|taylor swift|ed sheeran|Riley knoxx","Join me and Riley Knoxx for a discussion about the Drag Queens Video! What are your thoughts? Share them with us!!!Bravo's Real Housewives of Potomac Monique Samuels Buy Today!!! AVAILABLE ON ALL MAJOR PLATFORMS!!! https://distrokid.com/hyperfollow/haz...Written by- Monique Samuels https://www.instagram.com/mrsmoniques... https://twitter.com/iammrssamuels?lan...https://moniquesamuels.comArtist Name- Hazel AKA Monique Samuels Also SUBSCRIBE  @Not For Lazy Moms Song Produced by- Swirk on the Beat (Instagram @swirk) Recorded at Phase Recording & Media, White Plains, MD Mix and Mastered by- BostonBraveRoom (Instagram- @brandonNcaddell) Cover Artwork- Kevin Cox (Instagram- @kwcox) Managed by- Natasha Cox (Instagram- @callme_tosh)Songwriter, Artist, Performer, Creative DirectorMonique Samuels aka HazelInstagram https://www.instagram.com/mrsmoniquesamuels/?hl=enWebsite https://moniquesamuels.com Video Location (Runway Scenes)DaVinci Florist Showroom, IG: @DaVinciFloristwww.DaVinciFlorist.com Video Directors & ProducersPryce Blac Jaymes, Young World Entertainment, IG @Pry'ceJaymesDerek Brown, Bait Entertainment, IG: @DBrownDancer Production Coordinator & Wardrobe Designer Riley Knoxx, Riley Knoxx Couture, IG: @RileyKnoxx  Lighting DirectorKhaiya Darnell, IG: @A_Stretching_Cat Video Production & Set Design CoordinatorLeaph Drake, Divine Memoirs Events & Décor, IG: @DivineMemoirs Makeup ArtistJeff Enriquez, IG: @Makeup_Machine Hair StylistTasha Lyons, IG: @TajalyHairStudio Lead Dancer & ChoreographerLindsay Renee', IG: @_SayRenee  Assistant Choreographer Jasmine Samone', IG: @Samena_Samone  Dancer Avonie Blazze Bell, IG: @AvonieB  Drag QueensIyana-Deschanel, IG: @IyanaDeschanel Brooklyn Heights, IG: @IamBrooklynHeights Dancer/EntertainerRonald “RJ “ Shields, IG @RJ.Allen Photographer Billy Maloy, IG: @BillyMaloyPhotography#MoniqueSamuels #RileyKnoxx #RHOP","Monique Samuels, a former star on Bravo’s hit reality television series “The Real Housewives of Potomac,” is an entrepreneur, speaker, media personality, writer, rapper and philanthropist. Most importantly, Monique is a loving wife and mom of three. Monique was born in Atlantic City, New Jersey and graduated from Pleasantville High School as the Salutatorian of her class. She went to Duquesne University to study business law on a full academic scholarship. Monique later decided to put school on hold to pursue a career in music, moved to Washington, DC and worked as an executive assistant for her entertainment attorney in order to pay the bills while she learned more about the music industry. That was where she met her future husband, former Washington Redskins offensive tackle Chris Samuels, who at the time was looking to start his own record label.Monique and Chris began a great friendship, which eventually turned romantic. They dated for six years before they got married in 2012.","moniquesamuels realhousewivesofpotomac bravotv dragqueens hiphop raptress","AZ3-B4wT1R4"
mb4S3KMdg0s,"Inside Monique Samuels' 12,000 Square Foot Potomac Home | RHOP | Bravo","UCjSKDpYQkGS005Vf13NAe8A","Bravo","24","150.0","https://i.ytimg.com/vi/mb4S3KMdg0s/default.jpg","The Real Housewives of Potomac|reality|program|show|monique samuels|ashley darby|real housewives|real housewives of potomac|bravo tv|gizelle bryant|rhop season 4|the real housewives of potomac season 4|robyn dixon|potomac housewives|karen huger|potomac maryland|reality television|real housewives of dc|real housewives of potomac season 4|home tour|house tour","Monique Samuels purchased a new home in the uber-prestigious Potomac community. Shark tank with Grand Dame included.►► Subscribe for More: http://bravo.ly/Subscribe►► Visit the Official Site: http://bravo.ly/Official►► Watch RHOP on Bravo! #RHOPFOLLOW RHOP ON SOCIAL                                                                                                       Official Site: http://bravo.ly/RealHousewivesofPotomacFull Episodes & Clips: http://bravo.ly/RHOPVideosFacebook: http://bravo.ly/RHOPFacebookABOUT RHOP:This season, lies are uncovered and relationships are strained, but love always finds a way. Ashley and Michael have healed from their loss and are ready to work on expanding their family, but the word on the street in Potomac is that Michael has to deal with some serious allegations. Meanwhile, Monique is ready to deliver her new bundle of joy and focus on her entrepreneurial endeavors, but her husband Chris is not ready to say good-bye to his baby-making days. Karen and Ray are pushing through their troubles, while still watching everyone else with a side eye, as Karen launches one of her biggest ventures. Gizelle has a tale she wants to tell with her upcoming book launch, and she is also working on mending her friendships and revitalizing her love life. Meanwhile, love is blooming in Potomac as Candiace and Chris are knee deep in wedding planning. However, Candiace’s mother, Dorothy, has an opinion on everything, making one wonder who is actually in control. Robyn and Juan have found their groove finding their way back to each other as Robyn also works on her property investment goals. With all the trials and tribulations ahead, will these ladies be able to keep it cute and classy?GET MORE BRAVO:Follow Bravo: http://bravo.ly/TwitterLike Bravo: http://bravo.ly/FacebookPin Bravo: http://bravo.ly/PinterestBravo Instagram: http://bravo.ly/InstagramBravo Tumblr: http://bravo.ly/TumblrBravo Media is the premiere lifestyle and entertainment brand that drives the cultural conversation around its high-quality, interactive original content that focuses on the network’s passion points of food, fashion, beauty, design, digital and pop culture. The network’s diversified slate includes Bravo’s first scripted series “Girlfriends’ Guide to Divorce,” scripted comedy “Odd Mom Out,” and unscripted favorites such as Emmy award-winning “Top Chef,” “Vanderpump Rules,” “Below Deck,” “Southern Charm” and the popular “Million Dollar Listing” and “The Real Housewives” franchises as well as the only live late-night talk show, “Watch What Happens Live.”","Welcome to Bravo's official YouTube channel.Bravo is the premier lifestyle and entertainment brand that drives cultural conversation around its high-quality, interactive original content across all platforms. The network has a diverse slate of original programming that includes unscripted favorites such as Emmy Award-winning “Top Chef” and “Project Runway,” “Vanderpump Rules,” “Below Deck,” “Southern Charm,” and the popular “Million Dollar Listing” and “The Real Housewives” franchises. Bravo also boasts the only live late-night talk show on television with the critically acclaimed “Watch What Happens Live with Andy Cohen,” which has become a nightly destination for A-list celebrities.Bravo is a program service of NBC Universal Cable Entertainment, a division of NBC Universal. Watch your favorite dramas, comedies, true crime and reality, plus news, sports and pop culture updates on Peacock, the new streaming service from NBCUniversal. Stream now. bit.ly/2Wx05Q3","rhoa married to medicine bravo tv reality tv real housewives real housewives of new jersey real housewives of orange county rhonj project runway drama lifestyle fashion wwhl below deck","AZ3-B4wT1R4"
