video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
4-7jBLqSlzg,"Ken Block FINALLY HOONS The New FORD MUSTANG MACH-E!","UCpCJ0y-_y03qPlG4zrYAAvQ","Ken Block","2","938.0","https://i.ytimg.com/vi/4-7jBLqSlzg/default.jpg","ford mach e|mach-e|mustang mach e|vaughn gittin jr|RTR mustang Mach E|Ken Block|electric mustang|Ken Block mach e|Tesla vs ford|electric car donuts|mach e prototype|vaughn gettin electric mustang|hoonicorn vs mach e|hoonicorn|Ken Block mustang","Remember when Ford invited me out for the first drive of the all-electric Ford Mustang Mach-E but wouldn't let me HOON it? Well today I get a second chance thanks to Ford Performance and RTR Vehicles (who helped to design and build my 1965 Ford Mustang Hoonicorn V1 & V2) and this time it's in a one-of-a-kind - 1,400 horsepower prototype - built specifically for sliding sideways and slaying tires - and it is a beast! Check out my FIRST DRIVE: Electric Ford Mustang Mach-E! (https://youtu.be/kd06nMFsYKM)Subscribe to my channel for more: https://www.youtube.com/channel/UCpCJ0y-_y03qPlG4zrYAAvQ?sub_confirmation=1Follow me on Instagram: @kblock43Follow on Facebook: facebook.com/kenblockracingRad gear that The Hoonigans make for me: https://www.hoonigan.com/collections/ken-block","Ken Block’s rally career began in 2005. His skill and car control became quickly apparent and Block aptly nabbed Rookie of the Year that season in the Rally America Championship. Since then, Block has also won 25+ national level rallies around the globe, scored points in the WRC, and accumulated five X Games medals...including winning silver on three wheels at X Games in LA in 2012 (behind 9-time WRC champ Sebastien Loeb). In addition to his performance in the car, Block has been a driving force in shedding light on the sport of rally within the United States. His keen branding and marketing acumen, combined with his talents and skills behind the wheel, has also allowed Block to achieve global fame as a rally driver through his wildly successful Gymkhana series of videos. A franchise which has garnered over 600 million views on Youtube alone.  Adding Climbkhana and Terrakhana to the franchises of videos in recent years, Block’s media properties continue to bring in new fans.","Ken Block Ken Block Gymkhana Hoonicorn Hoonitruck Ken Block Mustang Rally Rally racing","C7Tl7Zn-KRE"
wzATmemarXc,"Compilation rally crash and fail 2020 HD Nº23 by Chopito Rally Crash","UCBtm9ffTA53huo0M937PIDg","Chopito Rally","2","846.0","https://i.ytimg.com/vi/wzATmemarXc/default.jpg","rally car crash compilation 2019|rally|crash|rallye|HD|last rally crash|last rally crashes|chopito rally|chopito rallye|chopito rally crash|crash rally compilation|rally crashes|racing crash 2019|motorsport crashes and fails 2019|rally compilation|rally crash|rallye crash|rally car crashes|rally racing|wrc crash|wrc 2020|rally crashes compilation|rally crash hd|crash and fail 2020|rally 2020|rally crash 2020|racing and rally crash compilation","The highlight of the world of rally.  Most notable incidents (crash, fails, errors, recoveries ...) of the last rallyesThis week...France, Finland,Spain, Hungary, Italy, Sweden, ➡ 25-27.9.2020                       ⚠ ALL VIDEOS ARE USED WITH ORIGINAL COPYRIGHT OWNERS PERMISSION ⚠ If you have recorded a rally accident and want to see it in my compilations 🔴 SEND VIDEO➡http://bit.ly/SEND_CRASH★ SPECIAL THANKS THESE YOUTUBER'S WHO SUPPLIED CLIPS! SHOW YOUR SUPPORT AND GIVE THEM A SUB!00:00 -🏁 23. Rallye Coeur de France 2020In collaboration with:-djohac: https://www.youtube.com/c/djohac00:57 -🏁 27. Rally Adriatico e Balcone delle Marche 2020In collaboration with:-CORSORALLY HD: https://www.youtube.com/channel/UCn18dZNCG_8iOaq7ujxSkZw-Gianni Gattelli:  https://www.youtube.com/channel/UCKq1kYqSmW6RYGgzzc2Ry3A02:46 -🏁 18. Rallye National du Val d'Ance 2020In collaboration with:-HB Rallyes42: https://www.youtube.com/user/henrickberne-RallyeHorsLimites: https://www.youtube.com/channel/UC6Sz5kcqleXceVZXuP3TSjw-Adrille Rallye: https://www.youtube.com/c/AdrilleRallye-JorisRallye48: https://www.youtube.com/channel/UCYcXH_7kvUbKhHmtUWnE70A03:55 -🏁 37. Rally Città di Bassano 2020In collaboration with:-Lorenzo Romani: https://www.youtube.com/channel/UCW0-Z9Z752DrnnbRZJGeMhg-VivamedanRally: https://www.youtube.com/c/VivamedanRally04:56 -🏁 89. Ronde de Quarré-les-Tombes 2020In collaboration with:-FUN RALLY 58: https://www.youtube.com/channel/UCPwI0F0JUPKndKPVo8UJnTA05:43 -🏁 14. Rallye Régional des Thermes 2020In collaboration with:-Anthorallye GO: https://www.youtube.com/channel/UC8u0_Y3yHhkUWc-VK6XlSmw-Flat Out Rally: https://www.youtube.com/channel/UCw4vqN9t_-mFfyAiDF4HVtw06:18 -🏁 Polkatrofen 2020In collaboration with:-Rally Sverige: https://www.youtube.com/c/RallySverige07:00 -🏁 7. Rally Terra da Auga 2020In collaboration with:-Barracudaracing360: https://www.youtube.com/user/RacingBarracuda360-Astur Al Corte.: https://www.youtube.com/user/79gelu-Galicia Competición: https://www.youtube.com/channel/UCWNtSqy-FMOOIq6mAwct2_Q-Rallye Plein Fer: https://www.youtube.com/channel/UCfEXrGpCEyKLkI75PT8pLNA08:01 -🏁 31. Rallye National de Haute-Provence 2020In collaboration with:-Show Racing: https://www.youtube.com/channel/UCEI6juLJG3xEfr8HiGS-WnA-Nono Rallye Vidéo: https://www.youtube.com/user/136nono-Azurmediaprod: https://www.youtube.com/channel/UCN7ZbjU2ssXicOdbdMFYoFA08:51 -🏁 Pohjanmaa SM-Ralli 2020In collaboration with:-Eero Laine: https://www.youtube.com/channel/UCZw4lDCRbHgcRwpGTqZAbzg-Yleisölle viihdettä: https://www.youtube.com/c/Yleis%C3%B6lleViihdett%C3%A4-TS Racing: https://www.youtube.com/channel/UC3gn8e3wCJ1goF0EzQYhpUA-NRK: https://www.youtube.com/channel/UC0Hg4-hhA764Ia-ocOFlcHQ10:57 -🏁 BVN-TECH Rally Lyukóbánya - Parasznya 2020In collaboration with: -RallyFeeling: https://www.youtube.com/c/RallyFeeling-BiGBeni Rally Video: https://www.youtube.com/c/BiGBeniRallyVideo-laci7508: https://www.youtube.com/c/laci7508--------------------------------------------------------------------------------------------------If you have recorded a rally accident and want to see it in my compilations 🔴 SEND VIDEO➡http://bit.ly/SEND_CRASH--------------------------------------------------------------------------------------------------📽Share with us your videos, photos, reports, your team ...🏁FACEBOOK GROUP➡http://bit.ly/Rally_VideoFor anything else (suggestions, criticisms, promotions, sponsorships, collaborations ...)chopitorallyvideos@gmail.com chopitorallychannel@gmail.com ✅SUSCRIBE👉https://www.youtube.com/c/ChopitoRallyCrashandmoreNew CHANNEL: 👉https://www.youtube.com/c/ChopitoRally🔴Rally crash 2020: https://www.youtube.com/playlist?list=PLKfpYLQSxZQrQu_Jx1fs88K6N8PGfB9_r🔴Rally crash 2019: https://www.youtube.com/playlist?list=PLKfpYLQSxZQrxbyWqzMY6KCKg38j-2wIJ🔴Rally crash 2018: https://www.facebook.com/watch/Chopitorallycrash/234684607830801/🔴ONBOARD CRASHES: https://www.youtube.com/playlist?list=PLKfpYLQSxZQpORflauplpiEvdOQtdOA7L🔴OTHER VIDEOS: https://www.youtube.com/playlist?list=PLreoHMtnvYJyhcPd6Mo5hNQlMljSK7nHLLast video👉https://goo.gl/T9yaL2#rally #Crash #compilation #retrorally #ChopitoRally #rallycompilation #wrc #rallye #irc #motorsport#crash&fail #rallycompilation #wrc2020 #special #rallyHD #rallye #2020 #rallyFire #ewrcCompilation rally crash and fail 2020 HD Nº 23 by Chopito Rally Crash","We are a small community of passionate about this sport that we try to gather in a video the best moments of the current rallies. The rally is our life 💪🔥🏁😎✅ All the content that appears on this channel is used with the original permission of the owners of the copyright. The links to the associated channels are credited in the description box.✅We created a new group on Facebook👉Check in Facebook 🏁 Rally video and moreShare with us your videos, photos, reports, your team ...Rally, dirt, rallycross, hillclimb, ginkana, rallysprintIf you have recorded an accident or you think you have images that can come out in my compilations, do not hesitate to send them (Link more down 🔴👇) or contact me: chopitorallychannel@gmail.com ↔ chopitorallyvideos@gmail.com","rally crash rallye hd last rally crash last rally crashes chopito rally chopito rallye chopito rally crash crash rally compilation rally crashes motorsport crashes and fails 2019 rally compilation compilation rally crash and fail 2020 racing crash 2020 crash and fail 2020 rally crash compilation 2020 rally hd 1080p rally hd accidentes de rally 2020 rally crash rallye crash rally car crashes wrc crash compilation wrc crash 2020","C7Tl7Zn-KRE"
ytSdQ2UxmAI,"When You THINK You Are FAST but THIS HAPPENS! *PART 3*","UCG_PAl87QBKt7hZpWfJbWiA","21 Outlaws","2","611.0","https://i.ytimg.com/vi/ytSdQ2UxmAI/default.jpg","When You THINK You Are FAST and THIS HAPPENS|boostlust|Toyota Supra|Nissan GTR|big turbo toyota supra|bmw m4|1000hp|2000hp|twinturbo 370z|twinturbo lamborghini huracan|antilag|2step|backfire|straight pipe|loud exhausts|Car Throttle|BMW|BMW m3|engine swaps|ls swap rx7|Car News Central|Big Turbos|fast Cars|fastest cars|turbo flutter|wastegate|turbo BOV|21outlaws|sleeper|bmw e 36 turbo|GTR r35|boosted|tesla|turbo bike|turbo trabant|audi s4|porsche","Today on the 21 Outlaws channel we can see supercar owners getting mad because they got beat by a sleeper 1000HP+  car. They may think that the one just when boost hits and supras, civis, skylines pass them! Many sportscar owners think they are fast but then this happened!From 450hp big turbos honda dc2, turbo e36 racing a nissan gtr, BMW m6 drifts, launch control and boost power, TwinTurbo nissan 370z going up a gainst a mad GTR R35 Owner! sleepers with crazy  loud exhausts... supercharged dodge hellcats with with a screaming exhaust, Toyota Supra Loud straight pipe going against a bike and a Honda NSX, a bmw 335 gapping a Honda NSX, GSXR against a 850hp Supra, Audi 80, Old sleeper golfs, VW Colorado, big turbo Trabant and much more !!We provide the best turbo sounds, flutter etc...From UAE, USA, Japan to Europe..We got you coveredHope you guys enjoy this little compilation and hopefully see you soon! :)[CRAZY] SLEEPERS VS. SUPERCARS 2020!https://youtu.be/9VkKqGJzHS0MUSCLE VS. IMPORT [CRAZY TURBO TUNER CARS!]https://youtu.be/85B1GeIi--wWhen You THINK You Are FAST but THIS HAPPENS *PART 2*https://youtu.be/wQUrrS-fmDg*CRAZY* Tuners Embarrass Supercar Owners! [PART 2]https://youtu.be/BQ5Of8FwBXYWhen BOOST hits just right [MUST WATCH]https://www.youtube.com/watch?v=mjvLpLZCOx8When You THINK You Are FAST and THIS HAPPENS *CRAZY!*https://www.youtube.com/watch?v=dRTP93sDPycCRAZY Car Accelerations! 2000HP+ Carshttps://www.youtube.com/watch?v=mINzuElyw-g*CRAZY* SUPERCARS VS. SLEEPERShttps://www.youtube.com/watch?v=Z9Z5gGaChvkCredits:Honda DC2 Type R vs. Nissan GTR R35https://www.instagram.com/andre_lstlvl/RB26 Nissan S15 vs. Lamborghini Huracanhttps://www.instagram.com/wide_s15/Honda NSX vs. FBO E85 BMW 335 vs. Bikehttps://www.instagram.com/slwaccord/Ferrari 458 italia vs. Toyota Suprahttps://youtu.be/KYDG2U01TUk2JZ Toyota Supra vs. Lamborghini Murceliagohttps://youtu.be/2VoR1CWS7gcNissan GTR vs. Porsche 997 Turbohttps://youtu.be/BaFBT-vU3L0BMW E36 turbo vs Nissan GT-Rhttps://youtu.be/hArz1pm98mQPorsche 911 turbo vs Toyota Suprahttps://youtu.be/bGn0IPL5CSUHellcat vs GTRhttps://youtu.be/3rD2USQM4bYBolt on E85 GTR vs Ludicrous Tesla SCT '17https://youtu.be/twnT-JvPvqM6266 Supra vs Lamborghini Huracánhttps://youtu.be/gmOHW9u8tdo850WHP Toyota Supra vs Suzuki GSX-R 1000 Rizla Editionhttps://youtu.be/GBCPN2jNPDg1130HP VW Polo vs. VW Corrado https://youtu.be/l2EsFX3ZANc1000HP+ Audi 80 vs. Audi RS4 https://youtu.be/FGAitUsRNacNissan GTR R35 580HP vs. Trabant Turbo 3.0Thttps://youtu.be/c6ysGuQPI94Nissan Skyline R34 GTR vs. Mitsubishi Galant VR4https://youtu.be/FkovjnNvRCoKönigsegg CCXR vs. Toyota Suprahttps://youtu.be/G9neDC3Ug7UVolkswagen Bug vs. Ferrarihttps://youtu.be/XakTxixvCDw4g63 Soccer Mom vs. Supra and Mustanghttps://youtu.be/iAXMdfqAgakTwin Turbo 370z vs. Cocky GT-Rhttps://youtu.be/7Xe9iKqMjQcCOBRA vs. SUPRAhttps://youtu.be/6VOVdz6jdUMAudi RS4 Avant vs.Porsche 911 Carrerahttps://youtu.be/MiuLvLobAs4V8 Defender 90 vs R33 Skylinehttps://youtu.be/rv2etuFxxf8The Copyright Laws of the United States recognizes a “fair use” of copyrighted content.  Section 107 of the U.S. Copyright Act states:“Notwithstanding the provisions of sections 106 and 106A, the fair use of a copyrighted work, including such use by reproduction in copies or phonorecords or by any other means specified by that section, for purposes such as criticism, comment, news reporting, teaching (including multiple copies for classroom use), scholarship, or research, is not an infringement of copyright.”This video and our youtube channel in general may contain certain copyrighted works that were not specifically authorized to be used by the copyright holder(s), but which we believe in good faith are protected by federal law and the fair use doctrine for one or more of the reasons noted above.If you have any specific concerns about this video or our position on the fair use defense, please contact us at contact@21outlaws.com so we can discuss amicably.  Thank you.","21 Outlaws, one of youtube finest source of crazy videos, heavy modified rides and automotive content in general!Entertaining, adrenaline filled and funny content is what makes 21 Outlaws stick out.If you enjoy the content make sure to subscribe for the best CAR content on youtube, and even if you dont like something, make sure to comment so the channel gets improved with every bit!Also make sure to follow us on Instagram, because we deliver your daily dose of crazy car content!If you have any inquires to copyright, send us a E-Mail and we'll be sure that we can find a solution.","Car Videos Outlaws Street Races Crashes Tuning Turbos","C7Tl7Zn-KRE"
z8vHlY82lvE,"1300HP Turbo Jetski 100+MPH CRAZY ACCELERATION (The BIGGEST TURBO We've Ever Seen on a Jetski!)","UCgF0OC_3MlW2KEyhhAgIQjA","That Racing Channel","2","499.0","https://i.ytimg.com/vi/z8vHlY82lvE/default.jpg","[none]","On this episode of TRC on the water we're back with Brian BK Built testing an absolutely insane Turbo Jetski! It's running a massive 7685 turbo, Motec ecu, mechanical fuel pump on methanol fuel, built 4 cylinder engine... this is without a doubt the most ridiculous setup we've ever seen on a jetski. To give you some perspective, this setup in a car would be capable running a 7 second 1/4 mile time!","We're gearheads at heart with a passion for filming and producing racing videos! We upload weekly so please subscribe and stay tuned!!","Supra hayabusa auto car toyota supra street bike motorcycle that racing channel trc dodge demon street racing car crash skyline r34 drag racing","C7Tl7Zn-KRE"
AJt6sr31caY,"I built a Porsche Boxster into a 60's F1 car","UCy-IytMjnUY6_bAxD7yuZ-w","Wesley Kagan","2","862.0","https://i.ytimg.com/vi/AJt6sr31caY/default.jpg","[none]","This is the first major video on this channel, and an overview of the progress so far. It's been almost 8 months and countless hours, and I'd appreciate your feedback and if you want to see more content in the future. Link to the build thread on Rennlist: https://rennlist.com/forums/boxster-and-boxster-s-986-forum/1186294-986-based-open-wheel-racecar.htmlMy Instagram: wesleykaganAlso follow the people who helped make this possible:Andrea Romkema: decepticon.in.disguiseMatthew West: sirmattwest and Throttle Warrior on Youtube","","","C7Tl7Zn-KRE"
d5UMg-_ASOs,"25 Weirdest Motorsports Moments Of All Time","UCen0ko30XIeN5IARS3E_Znw","MAD LAB","22","730.0","https://i.ytimg.com/vi/d5UMg-_ASOs/default.jpg","motorsport|Motorsport Moments|Weirdest Motorsport Moments|weird motorsport moments|weird motorsports|Random Motorsport Moments|crazy motorsport moments|Top Motorsport Moments|best motosport moments|Weird and Funniest Motorsports Moments|funniest motorsport moments|top 25|25 most|moments caught on camera|caught on camera","Hear the roar of the engine?! Races don’t surprise anyone anymore, but you’ve definitely never seen anything like this! These racers park on rooftops and do incredible stunts! How about a tornado of motorcyclists?! The only thing cooler would be a crash like in the movie Taxi... watch the video to the end, you won’t regret it!","","top 10 top 5 most amazing top 10 top ten interesting facts amazing facts facts 10 most top 10 most top 10 list amazing top 10 most amazing","C7Tl7Zn-KRE"
EHXqb-vACOQ,"BEST UPCOMING MOVIE TRAILERS 2021 (DECEMBER)","UCWOSgEKGpS5C026lY4Y4KGw","FilmSpot Trailer","1","2239.0","https://i.ytimg.com/vi/EHXqb-vACOQ/default.jpg","movie|trailer|new|2021|FilmSpot|movie trailers|movie trailers 2021|best trailers|best trailers 2021|best|best upcoming|best movie trailers|best movie trailers 2021|official|upcoming|upcoming movies|upcoming movies 2021|movie trailer|trailer 2021|trailers 2021|Nobody|Coming 2 America|Loki|The Mauritanian|Monsters Of Man|Wrong Turn|Fear of Rain|Outside the Wire|CosmoBall|Skyfire|Space Jam 2|American Skin|movies 2021|movie 2021|film|movies|trailers","BEST UPCOMING MOVIE TRAILERS 2021 (DECEMBER)Films Included :00:00 Nobody02:53 Coming 2 America 04:36 Loki07:21 The Falcon and The Winter Soldier09:15 The Jack In The Box 210:14 The Little Things12:38 The Mauritanian15:44 Monsters Of Man 17:50 What If19:49 Wrong Turn22:07 Fear of Rain23:06 Ms Marvel24:26 Outside the Wire25:37 CosmoBall 27:35 Skyfire 29:08 Space Jam 2 A New Legacy30:03 The Marksman 32:30 American Skin34:42 Blithe Spirit","Welcome! FilmSpot Trailer channel is your destination for all new movie trailer + film clips from the biggest and greatest movies out there!We have all the latest official trailers, tv spots, clips & new trailer compilation just for you. In highest quality — we’ve got them all.Resolutions are:1080p (1920×1080 px; also known as Full HD or FHD and BT.709)2K (2048×1080 px)4K (3840 × 2160 px; also known as Ultra HD and UHD)In addition, we create original content like movie news, mashups, reviews and contest, so you’ll always be up to date on the really good movies!movie trailers provided by the movie studios & local PR contacts!subscribe now and turn the notification on to never miss any official 2020/2021 movie trailer from us.to get featured on filmspot please send the highest quality files...Contact Us: furioustrailer@gmail.com","movie trailer new 2021 movie trailers trailer 2021 trailers 2021 movie trailers 2021 trailer official film cinema HD 4K upcoming movies official movie trailers 2020 trailers 2020 2020 new movie trailers new trailers filmspot film spot","C7Tl7Zn-KRE"
l47hKqnA-lc,"*PORSCHE EATER* The FASTEST VW GOLF 2 on The Nürburgring!!","UCZ2eIJY0phalm_MG38kE26A","Misha Charoudin","2","1266.0","https://i.ytimg.com/vi/l47hKqnA-lc/default.jpg","Pinderwagen|VW Golf 2|BTCC|LMP1|Le Mans|Nigel Pinder|Destination Nürburgring|Porsche GT3 RS|Detailing|Popo|F1|Racing|Formula 1|Nürburgring Prototype|Street Racing|Misha Charoudin|Apex Nürburg|Motorsport|Vlog|Car|Cars|Automotive|Nürburg|Nürburgring|Nordschleife|BMW|Porsche|Car Tuning|Car Spotting|Touristenfahrten|Public Session Nürburgring|Ring Taxi|Apex Taxi|Team Schirmer|Asetto Corsa|Devils Diner|Auto Addiction|Car Crash|Porsche GT2 RS MR|Track Day","If you ever decide to attend the Destination Nürburgring track day, then you can be certain of a number of things: great track time thanks to Darren and his crew, spectacular pictures by Frozenspeed and finally: that no matter which car you bring, you will be overtaken by Nige in his home-built mk2 Golf.Join me on today's lap and an extra-long in-depth video covering everything you need to know about the fastest mk 2 Golf on the Nürburgring: The Pinderwagen.More on the Pinderwagen:https://www.youtube.com/user/Wh00sherhttp://pinderwagen.com/https://www.instagram.com/pinderwagen/Topics:00:00 Intro00:50 Outside Specs05:00 Interior06:50 The Engine09:30 Before Flight10:45 The Lap19:15 The flashing light?20:05 Outro20:30 Is this safe?Get in touch with me on social:https://www.instagram.com/mgcharoudin/https://www.facebook.com/mgcharoudinhttps://www.linkedin.com/in/mishacharoudin/https://www.twitch.tv/mgcharoudin","Good Morning, Carmrades!My name is Misha and I live at the world-famous Nürburgring.Subscribe for daily content from the most beautiful race track in the world!","Nürburgring Nurburg Cars Misha Charoudin Automotive Racing Vlogs Rimac Automobili McLaren VW Porsche Apex Nürburg Nordschleife Driving Racing","C7Tl7Zn-KRE"
-8pxzLjDFgU,"SUPERCARS vs SLEEPERS COMPILATION 🔥","UCdWCNmpcQ0ksbvVdkDBRTcg","Car style","2","672.0","https://i.ytimg.com/vi/-8pxzLjDFgU/default.jpg","[none]","COMPILATIONS SUPERCARS vs sleepersSubscribe for more videos..Please like and share!!Enjoy the video#supercars#sleepers#Compilation","Cars and engines, compilation sounds Every week a new video....","","C7Tl7Zn-KRE"
uc6AZZoyJc0,"Ken Block Raw Onboard Footage! Blistering Fast Tarmac Stage. Rally Legend - S7","UCpCJ0y-_y03qPlG4zrYAAvQ","Ken Block","2","658.0","https://i.ytimg.com/vi/uc6AZZoyJc0/default.jpg","Ken Block|Ken Block Gymkhana|Ken Block Cossie|Cossie World Tour|Ford Escort Cosworth|Ford Rally|Ford World Rally|Ken Block Ford Escort|Block Escort Cossie|Cosworth|Rally|Ken Block Rally|Cossie V2|Escort mk2|on board|in-car|helmet cam|rally onboard|Ken Block POV|how to race rally|Borla Exhaust","Enjoy this raw, uncut onboard footage from Stage 7 of Rally Legends. This was the longest and most technical Stage of the event this year. Ken Block and Alex Gelsomino tackle the tarmac stage starting with 3 linking hairpins,  flat out 6th gear sections, mixed in with wildly narrow sections and a big handbrake slide or two in there. Subscribe to my channel for more: https://www.youtube.com/channel/UCpCJ0y-_y03qPlG4zrYAAvQ?sub_confirmation=1Follow me on Instagram: @kblock43Follow on Facebook: facebook.com/kenblockracingRad gear that The Hoonigans make for me: https://www.hoonigan.com/collections/ken-blockThank you to our partners:Ford PerformanceToyo TiresMonster EnergyBorla ExhaustWheelProsSonax STsuspensions","Ken Block’s rally career began in 2005. His skill and car control became quickly apparent and Block aptly nabbed Rookie of the Year that season in the Rally America Championship. Since then, Block has also won 25+ national level rallies around the globe, scored points in the WRC, and accumulated five X Games medals...including winning silver on three wheels at X Games in LA in 2012 (behind 9-time WRC champ Sebastien Loeb). In addition to his performance in the car, Block has been a driving force in shedding light on the sport of rally within the United States. His keen branding and marketing acumen, combined with his talents and skills behind the wheel, has also allowed Block to achieve global fame as a rally driver through his wildly successful Gymkhana series of videos. A franchise which has garnered over 600 million views on Youtube alone.  Adding Climbkhana and Terrakhana to the franchises of videos in recent years, Block’s media properties continue to bring in new fans.","Ken Block Ken Block Gymkhana Hoonicorn Hoonitruck Ken Block Mustang Rally Rally racing","C7Tl7Zn-KRE"
