video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
RldpC8a9Zv4,"Nancy Pelosi: The 2021 60 Minutes interview","UCsN32BtMd0IoByjJRNF12cw","60 Minutes","25","822.0","https://i.ytimg.com/vi/RldpC8a9Zv4/default.jpg","60 Minutes|CBS News|nancy pelosi|speaker of the united states house of representatives|pharma","Days after her own office was ransacked by Trump supporters, the speaker of the House talks to Lesley Stahl about what she experienced that day and more. https://cbsn.ws/3s7g0mdSubscribe to the 60 Minutes Channel HERE: http://bit.ly/1S7CLRuWatch Full Episodes of 60 Minutes HERE: http://cbsn.ws/1Qkjo1FGet more 60 Minutes from 60 Minutes: Overtime HERE: http://cbsn.ws/1KG3sdrRelive past episodes and interviews with 60 Minutes Rewind HERE: http://cbsn.ws/1PlZiGIFollow 60 Minutes on Instagram HERE: http://bit.ly/23Xv8RyLike 60 Minutes on Facebook HERE: http://on.fb.me/1Xb1DaoFollow 60 Minutes on Twitter HERE: http://bit.ly/1KxUsqXGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---60 Minutes, the most successful American television broadcast in history, began its 52nd season in September. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 is still a hit in 2020. 60 Minutes makes Nielsen’s weekly Top 10 nearly every week and was the #1 weekly television broadcast three times last season.The program still averages more than 10 million viewers, more than double the audience of its nearest network news magazine competitor. The average audience for a 60 Minutes broadcast is 150% higher than those of the network morning news programs; the audience dwarfs the number of viewers drawn by the most popular cable news programs.  About a million more people listen to the 60 Minutes radio simulcast in several major cities and on its companion podcast. Tens of thousands each week experience 60 Minutes online. The broadcast’s segments can be watched at 60Minutes.com and on the CBS All Access app. Its webcast, 60MinutesOvertime.com, offers content originally produced for the web, including behind-the-scenes video about the production of 60 Minutes stories and timely archival segments.60 Minutes has won every major broadcast award. Its 25 Peabody and 150 Emmy awards are the most won by any single news program. It has also won 20 duPont-Columbia University journalism awards. Other distinguished journalism honors won multiple times include the George Polk, RTDNA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb awards.60 Minutes premiered on CBS September 24, 1968. Bill Owens is the program’s executive producer. The correspondents and contributors of 60 Minutes are Sharyn Alfonsi, Anderson Cooper, John Dickerson, Norah O’Donnell, Scott Pelley, Lesley Stahl, Bill Whitaker and L. Jon Wertheim.","60 Minutes, the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. 60 Minutes has won more Emmy Awards than any other primetime broadcast, including a special Lifetime Achievement Emmy. It has also won every major broadcast journalism award over its tenure, including 24 Peabody and 18 DuPont Columbia University awards for excellence in television broadcasting. Other distinguished awards won multiple times include the George Polk, RTNDA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb Awards for Distinguished Business and Financial Reporting. 60 Minutes premiered on CBS Sept. 24, 1968.","","Cl-Cb2psM-M"
cvj5lyjZ9fo,"Live: NBC News NOW - Jan. 21","UCeY0bbntWzzVIaj2z3QigXg","NBC News","25","0.0","https://i.ytimg.com/vi/cvj5lyjZ9fo/default_live.jpg","nbc|news|news nbc|nbc live|live news|news nbc live|nbc news live|nbc special report|nbc news today|news today|nightly news|nightly news nbc|nbc news special report|nbc news live today|nbc news live stream|nbc news now","NBC News NOW is live, reporting breaking news and developing stories in real time. We are on the scene, covering the most important stories of the day and taking deep dives on issues you care about. » Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News Online!NBC News App: https://apps.nbcnews.com/mobileBreaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC#Vaccine #Biden #ImpeachmentLive: NBC News NOW - January 21","» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC» Watch more NBC video: http://bit.ly/MoreNBCNewsNBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.Connect with NBC News:NBC News App: https://smart.link/5d0cd9df61b80Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621Visit NBCNews.Com: http://nbcnews.to/ReadNBCFind NBC News on Facebook: http://nbcnews.to/LikeNBCFollow NBC News on Twitter: http://nbcnews.to/FollowNBCFollow NBC News on Instagram: http://nbcnews.to/InstaNBC","NBC News News Politics Today Show NBC Nightly News Meet The Press Dateline Brian Williams nbc news nbc nbcnews breaking news nbc breaking news nbc news now nbc news live stream nbc latest news nbc politics nbc news breaking news live news news nbc live nbc news live nbc special report nbc news today news today nightly news nightly news nbc nbc news special report","Cl-Cb2psM-M"
J6Yy9eFTPak,"Barack Obama speaks out on politics, life in the White House, and Donald Trump","UCVT1tPkR-fUVlO652EcO3ow","CBS Sunday Morning","25","780.0","https://i.ytimg.com/vi/J6Yy9eFTPak/default.jpg","CBS Sunday Morning|CBS News|news|barack obama|donald trump|white house|political career|cbs this morning|gayle king","In his first television interview since the election of Joe Biden as the 46th President, former President Barack Obama sits down with CBS This Morning co-host Gayle King to discuss the first volume of his memoirs, A Promised Land. He talks about the enormous opposition he experienced as he entered the White House; the impact of his political career on his family; and why he campaigned for his former vice president – and spoke out so vociferously against his successor, President Donald Trump.Subscribe to the CBS Sunday Morning Channel HERE: http://bit.ly/20gXwJTGet more of CBS Sunday Morning HERE: http://cbsn.ws/1PlMmAzFollow CBS Sunday Morning on Instagram HERE: http://bit.ly/23XunIhLike CBS Sunday Morning on Facebook HERE: https://www.facebook.com/CBSSundayMorning/Follow CBS Sunday Morning on Twitter HERE: http://bit.ly/1RquoQbGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---CBS Sunday Morning features stories on the arts, music, nature, entertainment, sports, history, science, Americana and highlights unique human accomplishments and achievements. Check local listings for CBS Sunday Morning broadcast times.","Welcome to the OFFICIAL YouTube Channel for CBS Sunday Morning!","","Cl-Cb2psM-M"
s1u8F6ERqqE,"Trump's phone call with Georgia's top election official","UCsN32BtMd0IoByjJRNF12cw","60 Minutes","25","798.0","https://i.ytimg.com/vi/s1u8F6ERqqE/default.jpg","60 Minutes|CBS News|2020 united states senate election in georgia|brad raffensperger|60 minutes|pharma","Last weekend, President Trump called Georgia's secretary of state, Brad Raffensperger, imploring him with veiled threats and lies to change the outcome of the November election. Raffensperger talks to Scott Pelley about why he didn't give in. https://cbsn.ws/38uuFjoSubscribe to the 60 Minutes Channel HERE: http://bit.ly/1S7CLRuWatch Full Episodes of 60 Minutes HERE: http://cbsn.ws/1Qkjo1FGet more 60 Minutes from 60 Minutes: Overtime HERE: http://cbsn.ws/1KG3sdrRelive past episodes and interviews with 60 Minutes Rewind HERE: http://cbsn.ws/1PlZiGIFollow 60 Minutes on Instagram HERE: http://bit.ly/23Xv8RyLike 60 Minutes on Facebook HERE: http://on.fb.me/1Xb1DaoFollow 60 Minutes on Twitter HERE: http://bit.ly/1KxUsqXGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---60 Minutes, the most successful American television broadcast in history, began its 52nd season in September. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 is still a hit in 2020. 60 Minutes makes Nielsen’s weekly Top 10 nearly every week and was the #1 weekly television broadcast three times last season.The program still averages more than 10 million viewers, more than double the audience of its nearest network news magazine competitor. The average audience for a 60 Minutes broadcast is 150% higher than those of the network morning news programs; the audience dwarfs the number of viewers drawn by the most popular cable news programs.  About a million more people listen to the 60 Minutes radio simulcast in several major cities and on its companion podcast. Tens of thousands each week experience 60 Minutes online. The broadcast’s segments can be watched at 60Minutes.com and on the CBS All Access app. Its webcast, 60MinutesOvertime.com, offers content originally produced for the web, including behind-the-scenes video about the production of 60 Minutes stories and timely archival segments.60 Minutes has won every major broadcast award. Its 25 Peabody and 150 Emmy awards are the most won by any single news program. It has also won 20 duPont-Columbia University journalism awards. Other distinguished journalism honors won multiple times include the George Polk, RTDNA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb awards.60 Minutes premiered on CBS September 24, 1968. Bill Owens is the program’s executive producer. The correspondents and contributors of 60 Minutes are Sharyn Alfonsi, Anderson Cooper, John Dickerson, Norah O’Donnell, Scott Pelley, Lesley Stahl, Bill Whitaker and L. Jon Wertheim.","60 Minutes, the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. 60 Minutes has won more Emmy Awards than any other primetime broadcast, including a special Lifetime Achievement Emmy. It has also won every major broadcast journalism award over its tenure, including 24 Peabody and 18 DuPont Columbia University awards for excellence in television broadcasting. Other distinguished awards won multiple times include the George Polk, RTNDA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb Awards for Distinguished Business and Financial Reporting. 60 Minutes premiered on CBS Sept. 24, 1968.","","Cl-Cb2psM-M"
V_34fQyRxPw,"James Comey: If You Went Up Those Stairs, You Committed A Crime. You Are Going To Be Found.","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","24","747.0","https://i.ytimg.com/vi/V_34fQyRxPw/default.jpg","The Late Show|Late Show|Stephen Colbert|Steven Colbert|Colbert|celebrity|celeb|celebrities|late night|talk show|comedian|comedy|CBS|joke|jokes|funny|funny video|funny videos|humor|hollywood|famous","Former FBI Director James Comey says it is important to find out why the Capitol building was so poorly defended, and he is confident that every single person who took part in the attack will be arrested by the FBI. You can hear more from James Comey in his new book, Saving Justice: Truth, Transparency, and Trust. #Colbert #SavingJustice #JamesComeySubscribe To The Late Show Channel HERE: http://bit.ly/ColbertYouTubeFor more content from The Late Show with Stephen Colbert, click HERE: http://bit.ly/1AKISnRWatch full episodes of The Late Show HERE: http://bit.ly/1Puei40Like The Late Show on Facebook HERE: http://on.fb.me/1df139YFollow The Late Show on Twitter HERE: http://bit.ly/1dMzZzGFollow The Late Show on Google+ HERE: http://bit.ly/1JlGgzwFollow The Late Show on Instagram HERE: http://bit.ly/29wfREjFollow The Late Show on Tumblr HERE: http://bit.ly/29DVvtRWatch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.Get the CBS app for iPhone & iPad! Click HERE: http://bit.ly/12rLxgeGet new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via CBS All Access, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes.","Welcome to the official YouTube channel for The Late Show with Stephen Colbert! Weeknights at 11:35pm/10:35c","colbert late show comedy","Cl-Cb2psM-M"
1OBSX2BZ9ZA,"From the 60 Minutes archives: Nancy Pelosi","UCsN32BtMd0IoByjJRNF12cw","60 Minutes","25","796.0","https://i.ytimg.com/vi/1OBSX2BZ9ZA/default.jpg","60 Minutes|CBS News|lesley stahl|nancy pelosi|house of representatives|speaker","Lesley Stahl first profiled Nancy Pelosi in 2006, before she became speaker of the House of Representatives.Subscribe to the 60 Minutes Channel HERE: http://bit.ly/1S7CLRuWatch Full Episodes of 60 Minutes HERE: http://cbsn.ws/1Qkjo1FGet more 60 Minutes from 60 Minutes: Overtime HERE: http://cbsn.ws/1KG3sdrRelive past episodies and interviews with 60 Rewind HERE: http://cbsn.ws/1PlZiGIFollow 60 Minutes on Instagram HERE: http://bit.ly/23Xv8RyLike 60 Minutes on Facebook HERE: http://on.fb.me/1Xb1DaoFollow 60 Minutes on Twitter HERE: http://bit.ly/1KxUsqXFollow 60 Minutes on Google+ HERE: http://bit.ly/1KxUvmGGet unlimited ad-free viewing of the latest stories plus access to classic 60 Minutes archives, 60 Overtime, and exclusive extras. Subscribe to 60 Minutes All Access HERE: http://cbsn.ws/23XvRSSGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---60 Minutes, the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. 60 Minutes has won more Emmy Awards than any other primetime broadcast, including a special Lifetime Achievement Emmy. It has also won every major broadcast journalism award over its tenure, including 24 Peabody and 18 DuPont Columbia University awards for excellence in television broadcasting. Other distinguished awards won multiple times include the George Polk, RTNDA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb Awards for Distinguished Business and Financial Reporting. 60 Minutes premiered on CBS Sept. 24, 1968. The correspondents and contributors of 60 Minutes are Bill Whitaker, Steve Kroft, Scott Pelley, Lesley Stahl, Anderson Cooper, Sharyn Alfonsi, Jon Wertheim and Norah O'Donnell. 60 Minutes airs Sundays at 7 p.m. ET/PT. Check your local listings.","60 Minutes, the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. 60 Minutes has won more Emmy Awards than any other primetime broadcast, including a special Lifetime Achievement Emmy. It has also won every major broadcast journalism award over its tenure, including 24 Peabody and 18 DuPont Columbia University awards for excellence in television broadcasting. Other distinguished awards won multiple times include the George Polk, RTNDA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb Awards for Distinguished Business and Financial Reporting. 60 Minutes premiered on CBS Sept. 24, 1968.","","Cl-Cb2psM-M"
v68gX0hGkB0,"Greta Thunberg NAILS Trump On Twitter","UCl9roQQwv4o4OuBj3FhQdDQ","The Damage Report","25","221.0","https://i.ytimg.com/vi/v68gX0hGkB0/default.jpg","210120__DR01GretaLastDig|News|Politics|breaking news|The Damage Report|TDR|John Iadarola|Cenk Uygur|The Young Turks|tyt|progressive news|progressive media|progressives|greta thunberg|greta|greta thunberg trump|trump greta thunberg|donald trump|trump|greta thunberg twitter|trump last day|bye trump|bye bye trump|climate crisis|climate change|climate movement|global warming|environmentalism|climate justice|green new deal|joe biden|biden|twitter|tweet","Greta Thunberg claps back at Donald Trump with this awesome tweet! John Iadarola and Cenk Uygur break it down on The Damage Report. Become a TDR YouTube Member: youtube.com/thedamagereport/join Follow The Damage Report on Facebook: https://www.facebook.com/TheDamageReportTYT/Help build the Home of the Progressives http://tyt.com/JOINSubscribe to The Damage Report YouTube channel: https://www.youtube.com/thedamagereport?sub_confirmation=1Follow The Damage Report on Instagram: instagram.com/thedamagereport/ Follow The Damage Report on Twitter: https://twitter.com/TheDamageReportRead more here: https://twitter.com/GretaThunberg/status/1351890941087522820?s=20He seems like a very happy old man looking forward to a bright and wonderful future. So nice to see!#TheDamageReport #JohnIadarola #TheYoungTurks","Welcome to The Damage Report! This is your daily breakdown of the true threats and challenges facing our country and our world, and an unflinching, no holds barred accounting of the damage the Trump administration is doing day by day. TDR airs every morning, live, on YouTube from 10-11am pacific, 1-2pm eastern, and is hosted by John Iadarola.","","Cl-Cb2psM-M"
VGV61CqJF5c,"Trump Defends His Sedition Speech as Support for Impeachment Grows: A Closer Look","UCVTyTA7-g9nopHeHbeuvpRA","Late Night with Seth Meyers","23","896.0","https://i.ytimg.com/vi/VGV61CqJF5c/default.jpg","Late|Night|with|Seth|Meyers|acl|a closer look|NBC|NBC TV|television|funny|talk show|comedy|humor|stand-up|parody|snl seth meyers|host|promo|seth|meyers|weekend update|news satire|satire|Donald Trump|President Trump|Trump|Joe Biden|Kamala Harris|Mike Pence|Vice President|President|2020 election|electoral college|Biden|Kamala|2020|DC|storming|coup|United States|US|impeach|Capitol|US Capitol|Riot|Protests|Pence|news|White House|Impeachment|Insurrection","Seth takes a closer look at House Democrats calling on Vice President Pence to remove President Trump through the 25th Amendment as they prepare to vote on a resolution to impeach Trump.Late Night with Seth Meyers is supporting God’s Love We Deliver to help those in need during the COVID-19 pandemic. God’s Love We Deliver is a New York City-based organization that for over 30 years has provided personalized meals and nutrition counseling, free of charge, to those living with severe illnesses. With the help of 17,000 volunteers, God’s Love We Deliver provides over 2 million free meals each year to thousands of New York’s most vulnerable. Click the button on the above/below to donate or visit www.glwd.org.Late Night with Seth Meyers.  Stream now on Peacock: https://bit.ly/3erP2gXSubscribe to Late Night: http://bit.ly/LateNightSeth Watch Late Night with Seth Meyers Weeknights 12:35/11:35c on NBC. Get more Late Night with Seth Meyers: http://www.nbc.com/late-night-with-seth-meyers/ LATE NIGHT ON SOCIALFollow Late Night on Twitter: https://twitter.com/LateNightSethLike Late Night on Facebook: https://www.facebook.com/LateNightSethFollow Late Night Instagram: http://instagram.com/LateNightSethLate Night on Tumblr: http://latenightseth.tumblr.com/ Late Night with Seth Meyers on YouTube features A-list celebrity guests, memorable comedy, and topical monologue jokes. GET MORE NBCLike NBC: http://Facebook.com/NBCFollow NBC: http://Twitter.com/NBCNBC Tumblr: http://NBCtv.tumblr.com/YouTube: http://www.youtube.com/nbcNBC Instagram: http://instagram.com/nbc Trump Defends His Sedition Speech as Support for Impeachment Grows: A Closer Look- Late Night with Seth Meyershttps://youtu.be/VGV61CqJF5cLate Night with Seth Meyershttp://www.youtube.com/user/latenightseth","Beloved Saturday Night Live personality — and the longest serving anchor on the show's wildly popular Weekend Update — Seth Meyers takes over as host of NBC's Late Night, home to A-list celebrity guests, memorable comedy and the best in musical talent. Watch Late Night with Seth Meyers weeknights 12:35/11:35c.Late Night with Seth Meyers is available now on Peacock, the new streaming service from NBCUniversal.  Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates.  Stream now on Peacock: https://bit.ly/2OlOJcW","Late Night Seth Meyers Weekend Update NBC NBC TV Television Funny Talk Show comedy humor stand-up satire political satire news satire improv sketch comedy snl saturday night live television host snl seth meyers Parody Jimmy Fallon Bill Hader late night premiere late night with seth meyers premiere","Cl-Cb2psM-M"
FdAh2HJ98WE,"President Donald Trump: The 60 Minutes 2020 Election Interview","UCsN32BtMd0IoByjJRNF12cw","60 Minutes","25","1247.0","https://i.ytimg.com/vi/FdAh2HJ98WE/default.jpg","60 Minutes|CBS News|donald trump|president of the united states|united states presidential election 2020|lesley stahl|60 minutes|mike pence|vice president of the united states|pharma","In an interview that's made headlines this week, Lesley Stahl presses President Trump on once-again rising coronavirus cases and what his priorities would be if re-elected. Stahl also speaks with Mr. Trump's running mate, Vice President Mike Pence. https://cbsn.ws/3mhiSZKSubscribe to the 60 Minutes Channel HERE: http://bit.ly/1S7CLRuWatch Full Episodes of 60 Minutes HERE: http://cbsn.ws/1Qkjo1FGet more 60 Minutes from 60 Minutes: Overtime HERE: http://cbsn.ws/1KG3sdrRelive past episodes and interviews with 60 Minutes Rewind HERE: http://cbsn.ws/1PlZiGIFollow 60 Minutes on Instagram HERE: http://bit.ly/23Xv8RyLike 60 Minutes on Facebook HERE: http://on.fb.me/1Xb1DaoFollow 60 Minutes on Twitter HERE: http://bit.ly/1KxUsqXGet the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---60 Minutes, the most successful American television broadcast in history, began its 52nd season in September. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 is still a hit in 2020. 60 Minutes makes Nielsen’s weekly Top 10 nearly every week and was the #1 weekly television broadcast three times last season.The program still averages more than 10 million viewers, more than double the audience of its nearest network news magazine competitor. The average audience for a 60 Minutes broadcast is 150% higher than those of the network morning news programs; the audience dwarfs the number of viewers drawn by the most popular cable news programs.  About a million more people listen to the 60 Minutes radio simulcast in several major cities and on its companion podcast. Tens of thousands each week experience 60 Minutes online. The broadcast’s segments can be watched at 60Minutes.com and on the CBS All Access app. Its webcast, 60MinutesOvertime.com, offers content originally produced for the web, including behind-the-scenes video about the production of 60 Minutes stories and timely archival segments.60 Minutes has won every major broadcast award. Its 25 Peabody and 150 Emmy awards are the most won by any single news program. It has also won 20 duPont-Columbia University journalism awards. Other distinguished journalism honors won multiple times include the George Polk, RTDNA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb awards.60 Minutes premiered on CBS September 24, 1968. Bill Owens is the program’s executive producer. The correspondents and contributors of 60 Minutes are Sharyn Alfonsi, Anderson Cooper, John Dickerson, Norah O’Donnell, Scott Pelley, Lesley Stahl, Bill Whitaker and L. Jon Wertheim.","60 Minutes, the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. 60 Minutes has won more Emmy Awards than any other primetime broadcast, including a special Lifetime Achievement Emmy. It has also won every major broadcast journalism award over its tenure, including 24 Peabody and 18 DuPont Columbia University awards for excellence in television broadcasting. Other distinguished awards won multiple times include the George Polk, RTNDA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb Awards for Distinguished Business and Financial Reporting. 60 Minutes premiered on CBS Sept. 24, 1968.","","Cl-Cb2psM-M"
YVDJqipoohc,"Jordan Klepper Sees It All at The Capitol Insurrection | The Daily Social Distancing Show","UCwWhs_6x42TyRM4Wstoq8HA","The Daily Show with Trevor Noah","23","401.0","https://i.ytimg.com/vi/YVDJqipoohc/default.jpg","the daily show|trevor noah|daily show with trevor noah|the daily show episodes|comedy central|comedians|comedian|funny video|comedy videos|funny clips|noah trevor|trevor noah latest episode|daily show|trevor|news|politics|daily show trump|trevor noah trump|trump|coronavirus|jordan klepper|trump rally|donald trump|klepper fingers the pulse|joe biden|election|vote|2020 election|maga|protest|conspiracies|capitol|coup|coup d'etat|insurrection|washington|DC","Pitchforks, Proud Boys, and a one-man “Tyranny Response Team.” Jordan Klepper saw it all at the Capitol insurrection. #DailyShow #JordanKlepper #CapitolSubscribe to The Daily Show:https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/?sub_confirmation=1 Follow The Daily Show:Twitter: https://twitter.com/TheDailyShowFacebook: https://www.facebook.com/thedailyshowInstagram: https://www.instagram.com/thedailyshowWatch full episodes of The Daily Show for free: http://www.cc.com/shows/the-daily-show-with-trevor-noah/full-episodesFollow Comedy Central:Twitter: https://twitter.com/ComedyCentralFacebook: https://www.facebook.com/ComedyCentralInstagram: https://www.instagram.com/comedycentralAbout The Daily Show:Trevor Noah and The Daily Show correspondents tackle the biggest stories in news, politics and pop culture.The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.","The Daily Show is an Emmy and Peabody Award-winning program that looks at the day's top headlines through a sharp, reality-based lens. Along with the help of The Daily Show correspondents, Trevor Noah covers the biggest news stories in politics, pop culture and more.The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.","","Cl-Cb2psM-M"
