video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
86RL3kRbksQ,"Machine Gun Kelly - drunk face (Official Music Video)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly","10","168.0","https://i.ytimg.com/vi/86RL3kRbksQ/default.jpg","machine gun Kelly|mgk|tickets to my downfall|drunk face|mgk drunk|mgk drunk face|Cleveland|ttmd","Machine Gun Kelly - Tickets To My Downfall is available now!https://smarturl.it/TTMDmgkGet Tickets To My Downfall Merch: https://machinegunkelly.manheadmerch.comFollow Machine Gun Kelly:https://twitter.com/machinegunkellyhttps://www.facebook.com/machinegunke...https://www.instagram.com/machinegunk...#MGK #TicketsToMyDownfall #DrunkFace","","machine gun kelly mgk best fastest rap cleveland ohio kellyvision 100 words running vision lace up machine gun kelly","D3LnWLkbbHI"
gBfoWP5SCuw,"Machine Gun Kelly - Downfalls High (Final Trailer)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly","10","61.0","https://i.ytimg.com/vi/gBfoWP5SCuw/default.jpg","[none]","Downfalls High. Premiering January 15, 2021 at 6pm PST / 9pm ESTA first if it’s kind musical film experiencehttp://downfallshigh.com/#DownfallsHigh #MachineGunKelly #TicketsToMyDownfall","","machine gun kelly mgk best fastest rap cleveland ohio kellyvision 100 words running vision lace up machine gun kelly","D3LnWLkbbHI"
JrteFiVG5WY,"Pete Davidson & Machine Gun Kelly Take a Lie Detector Test | Vanity Fair","UCIsbLox_y9dCIMLd8tdC6qg","Vanity Fair","24","824.0","https://i.ytimg.com/vi/JrteFiVG5WY/default.jpg","pete davidson|machine gun kelly|lie detector|lie detector test|pete davidson lie detector|machine gun kelly interview|pete davidson interview|pete davidson and machine gun kelly|pete davidson tattoos|pete davidson tattoo|machine gun kelly tattoo|pete davidson takes a|colson baker|colson|pete davidson mgk|pete davidson lies|pete davidson bde|vanity fair pete davidson|mgk|pete davidson and mgk|mgk lies|pete davidson vanity fair|vanity fair","Pete Davidson and Machine Gun Kelly (Colson Baker) take a lie detector test. Does Colson think Pete can rap? Has he ever fake laughed at Pete's jokes? Does Colson think Pete has more BDE than George Clooney? Is Pete a better person now that he's rich? Does Pete think his tattoos are better than Machine Gun Kelly's?Still haven’t subscribed to Vanity Fair on YouTube? ►► http://bit.ly/2z6Ya9MABOUT VANITY FAIRArts and entertainment, business and media, politics, and world affairs—Vanity Fair’s features and exclusive videos capture the people, places, and ideas that define modern culture. Pete Davidson & Machine Gun Kelly Take a Lie Detector Test | Vanity Fair","With a unique mix of image and intellect, Vanity Fair captures the people, places, and ideas that are defining modern culture. From the arts and entertainment, to business and media, to politics and world affairs, Vanity Fair is what the world is talking about now.","Vanity Fair VF celebrity hollywood the hive hwd","D3LnWLkbbHI"
MG4WiGodGgo,"MOD SUN - Flames (Feat. Avril Lavigne) - OFFICIAL AUDIO","UCJJDFP9XgtqZQ8I6zDEiM9g","MODSUN","10","152.0","https://i.ytimg.com/vi/MG4WiGodGgo/default.jpg","Mod Sun|modsun|Avril Lavigne|Avril|Flames|John Feldmann|Feldy|Burnforyou|Upinflames|AvrilLavigne","MOD SUN Flames (Feat. Avril Lavigne) available on all platforms nowListen here: https://bignoise.ffm.to/flamesI still burn for you, Like the sun burns in the sky.I still burn for you.I still burn for you,My whole life I’ve been on fire.I still burn for you.Up in flames, up in flames,light a match and put it to my name.Up in flames, I still burn for you....Every time I think I had enough of this,I get more addicted yeah I’m so obsessed.Talk about you all the time, I am you narcissist.Well, if we burn it down you’ll be my arsonist.I’m so strung out on you I might relapse....I’m dying for a taste, please god don’t let this last. And you’ve been burning all of the leaves on palm trees, I’m left with nothing more than ashes....Falling to the ground like snowflakes, I almost wish we never happened....","MOD SUN is an American recording artist, author, painter and poet. His name is an acronym for “movement on dreams stand under none”. He combines pop, hip hop and electronic music in a unique way that pays homage to his rock beginnings in Minnesota, setting the stage for a new sound in alternative music. His use of deeply personal lyrics tells relatable stories about love, loss, addiction and rebirth. Throughout his prolific career, he has been immersed in the LA scene working closely with artists such as Machine Gun Kelly, Blackbear, & G-Eazy while simultaneously collaborating with some of the biggest names in rap, like ScHoolboy Q and Nipsey Hussle. However, since releasing his alternative anthems, I Remember Way Too Much and Stay Away ft Machine Gun Kelly & Goody Grace, he has accumulated tens of millions of streams online, and received co-signs from some of the biggest names in rock and roll like John Feldmann and Travis Barker.","Mod Sun modsun","D3LnWLkbbHI"
sAi39ZNt0OE,"jxdn - Better Off Dead (Official Video)","UC9UrqyY1mljZF6rfyDT-ENA","jxdn","10","158.0","https://i.ytimg.com/vi/sAi39ZNt0OE/default.jpg","[none]","'Better Off Dead' out now: https://jxdn.lnk.to/betteroffdeadProduction Company: Tuff Contender Director / Editor / Colorist: Max Moore Executive Producer: DJay Brawner Head of Production: Max Rose Producer: Lakell Haves Director of Photography: Justyn Moro Production Designer: Jessican Garrison & Diana Mantis","fukn broken hearted, take a listenjxdnmusic.com","","D3LnWLkbbHI"
71JEHJrU3zo,"Fenix & Scarlett - Downfalls High - Before you go - edit","UCzjcezawqDQ6RBqHCMSyMvg","Edits by Lizzie Lightning","1","210.0","https://i.ytimg.com/vi/71JEHJrU3zo/default.jpg","downfall|downfalls high|tickets to my downfall|machine gun kelly|mgk|chase|chase hudson|sydney|sydney sweeney|lilhuddy|tik tok|tiktok|couple|ship|edit|tribute|music video|fanvidfeed|fanvideo|cute|sad|befor you go|lewis|capaldi|fenix and scarlett|scarlett and fenix|scarlett x fenix|fenix x scarlett","Fenix and Scarlett editDownfalls HighSong: Before you go by Lewis CapaldiMovie: Downfalls High (movie by Machine Gun Kelly)Actors: Chase Hudson and Sydney SweeneyColouring by: LaurenMichelle#fanvidfeed I do not own any of the music and clips used in this videoCopyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.","","","D3LnWLkbbHI"
4fgrbWfUrO4,"Machine Gun Kelly - In These Walls","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly","10","166.0","https://i.ytimg.com/vi/4fgrbWfUrO4/default.jpg","[none]","Lockdown Session Day 19. Vocal sample PVRIS - 'My House'Audio: https://tinyurl.com/ubebzozFollow Machine Gun Kelly:https://www.instagram.com/machinegunkellyhttps://www.facebook.com/machinegunkellymusic/https://twitter.com/machinegunkelly","","machine gun kelly mgk best fastest rap cleveland ohio kellyvision 100 words running vision lace up machine gun kelly","D3LnWLkbbHI"
HLTLVVicjEo,"Machine Gun Kelly - title track (Official Audio)","UCUs8sGiP4avNaYNVO22INhQ","Machine Gun Kelly","10","166.0","https://i.ytimg.com/vi/HLTLVVicjEo/default.jpg","[none]","Machine Gun Kelly - Tickets To My Downfall is available now!https://smarturl.it/TTMDmgkFollow Machine Gun Kelly:https://twitter.com/machinegunkellyhttps://www.facebook.com/machinegunkellymusichttps://www.instagram.com/machinegunkelly#MGK #TicketsToMyDownfall #TitleTrack","","machine gun kelly mgk best fastest rap cleveland ohio kellyvision 100 words running vision lace up machine gun kelly","D3LnWLkbbHI"
PmDx0wPG7Cc,"Dax - Eminem Rap God Remix [One Take Video]","UCvvVOIyaYu2l4jiH9L8_eRw","Dax","10","399.0","https://i.ytimg.com/vi/PmDx0wPG7Cc/default.jpg","dax|eminem|rap god|one take video|dax eminem|rap god remix|eminem rap god|mtbmb|mtbmb side b|eminem snoop dogg diss|rap|hip hop|rare|very rare|rap god fast part|rap god cover|dax rap god|sad nigga hours|rap god lyrics|eminem lyrics|eminem new album|eminem remix|mumble rap|eminem reaction","if this doesn't get 200k likes I'm switching genres... i already got a SCREAMO and K-POP song ready to go... like, comment, and SHARE :)SoundCloud only: follow @ thatsdax on EVERYTHINGShot by: Logan Meis#Rapgod #Eminem #Dax btw if u made it this deep in the description you are a real one. there is too many lyrics to fit in here so i couldnt post them. They should be in my pinned post in the comment section! Let's go crazy!!! WE ARE THE LABEL","Hip Hop Artist currently creating something from absolutely nothing.","Dax thatsdax rap hiphop music eminem logic joyney lucas hopsin rap music freestyles music videos viral","D3LnWLkbbHI"
amCvaIE1AUg,"Machine Gun Kelly Reads Thirst Tweets","UCPRUgAl_MV9PajsrG_BmT9w","BuzzFeed Celeb","24","248.0","https://i.ytimg.com/vi/amCvaIE1AUg/default.jpg","buzzfeed|buzzfeed celeb|thirst tweets|machine gun kelly|colson baker|est|project power|PL-ThirstTweets","You asked and we delivered!  Project Power’s Machine Gun Kelly (Colson Baker) read the internet’s wildest and thirstiest tweets. From toe sucking to tattoo licking to illicit activities in the parking lot of an Arby’s 👀  …the EST family will get a kick out of this one. #ThirstTweets #MachineGunKelly #ProjectPowerCredits: https://www.buzzfeed.com/bfmp/videos/111548Subscribe to BuzzFeed Celeb: https://bzfd.it/2kU81LsBuzzFeed CelebCelebs + puppies, kittens, thirst tweets, and more = so much yes.GET MORE BUZZFEED:https://www.buzzfeed.comhttps://www.buzzfeed.com/videoshttps://www.youtube.com/buzzfeedvideohttps://www.youtube.com/asishttps://www.youtube.com/buzzfeedmultiplayerhttps://www.youtube.com/buzzfeedunsolvednetworkhttp://youtube.com/buzzfeedcelebhttps://www.youtube.com/perolikehttps://www.youtube.com/buzzfeedviolethttps://www.youtube.com/goodfulhttps://www.youtube.com/niftyhttps://www.youtube.com/buzzfeedtastyhttps://www.youtube.com/bringmeSUBSCRIBE TO BUZZFEED NEWSLETTERS:https://www.buzzfeed.com/newslettersMUSICSFX Provided By AudioBlocks(https://www.audioblocks.com)Happy In The World_MainLicensed via Warner Chappell Production Music Inc.Damn Right_FullmixLicensed via Warner Chappell Production Music Inc.DJ Second_FullmixLicensed via Warner Chappell Production Music Inc.","Celebs + puppies, kittens, thirst tweets, and more = so much yes.","","D3LnWLkbbHI"
