video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
nsAw8fYOXnU,"HIGHLIGHTS | SPURS 2-0 BRENTFORD | Tottenham Hotspur reach Carabao Cup final!","UCEg25rdRZXg32iwai6N6l0w","Tottenham Hotspur","17","572.0","https://i.ytimg.com/vi/nsAw8fYOXnU/default.jpg","Spurs|Tottenham Hotspur|토트넘|손흥민|Spurs 2-0 Brentford|Brentford|Spurs Carabao Cup|Heung min Son|Son|Son Brentford|Moussa Sissoko","Watch full highlights from Tottenham Hotspur's 2-0 Carabao Cup semi-final win against Brentford where goals from Moussa Sissoko and Heung-min Son fired Spurs into the Carabao Cup final at Wembley Stadium!","Welcome to the official Tottenham Hotspur YouTube channel! Subscribe for free now!Exclusive behind-the-scenes access to training and match days, Premier League highlights as well as our famous 'No rules FIFA' and 'How's your Touch?' series are among the many things you can look forward to with multiple new uploads every week!Subscribe now and never miss a video!FOLLOW US!Instagram: https://www.instagram.com/spursofficial/TikTok: https://www.tiktok.com/@spursofficialDownload our App! https://www.tottenhamhotspur.com/spurs-official-app/ Twitter: https://twitter.com/SpursOfficialFacebook: https://www.facebook.com/TottenhamHotspur/","Spurs Tottenham Hotspur 손흥민 토트넘","Dcw_V3gt-7w"
JAmBrEd69Tk,"Manchester United v Manchester City highlights","UCCmo_NIuQR5eU4AvBa6sEQQ","EFL","17","120.0","https://i.ytimg.com/vi/JAmBrEd69Tk/default.jpg","EFL|Football League|Manchester United|Manchester City|sp:ty=high|sp:st=soccer|sp:li:eng_EC|sp:dt=2021-01-06T00:00:00Z|sp:ti:home=MNU|sp:ti:away=MNC","Manchester United v Manchester City highlights","Welcome to the official YouTube channel of the EFL - the world's original league football competition.Formed in 1888 by its twelve founder members, the EFL became the template for leagues the world over. With 72 member clubs, it is also the largest single body of professional clubs in European football and is responsible for administering and regulating the Sky Bet Football League, the Carabao Cup, and the Leasing.com Trophy, as well as reserve and youth football.","EFL Goal Save Championship League One League Two Sky Bet EFL Cup EFL Trophy","Dcw_V3gt-7w"
-zCnGHsqj1A,"Milan 1-3 Juventus | Goals from Chiesa & McKennie Shock the San Siro! | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","254.0","https://i.ytimg.com/vi/-zCnGHsqj1A/default.jpg","Ronaldo|Serie A|Dybala|highlights|Juventus|AC Milan|Inter Milan|Napoli|Roma|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|migliori gol|migliori in campo|migliori al mondo|gol del mese|federcalcio|calcio|Italia|lukaku|Lazio|zlatan|ibrahimovic|Ribery|matchid=A||2020-21||UNICO||UNI||16||MILJUV|weston mckennie|weston mckennie goal|mckennie|Cheisa|cheisa goal|milan v juventus|ac milan vs juventus|juve|milan 1-3 juventus|milan juventus","Juventus earn a huge away win after putting three goals past Milan | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","Dcw_V3gt-7w"
o2boz3JRhuE,"HIGHLIGHTS | ARSENAL 1-4 MAN CITY | CARABAO CUP","UCkzCjdRMrW2vXLx8mvPVLdQ","Man City","17","484.0","https://i.ytimg.com/vi/o2boz3JRhuE/default.jpg","man city|manchester city|arsenal vs man cityman city|arsenal v manchester city|arsenal v city|arsenal 1-4 man city|arsenal 1-4 manchester city|arsenal 1-4 city|man city highlights|arsenal highlights|man city carabao cup|man city league cup|arsenal fan tv|aymeric laporte|phil foden|riyad mahrez|gabriel jesus|laporte goal|foden goal|mahrez goal|jesus goal|man city tujuan|manchester city tujuan","Holders Manchester City produced another Carabao Cup masterclass as we secured a comprehensive last-eight victory over Arsenal in North London to march into the semi-finals.Second-half strikes from Riyad Mahrez, Phil Foden and Aymeric Laporte made it a night to remember after Gabriel Jesus’s third-minute opener had been cancelled out before the break.The victory further extended manager Pep Guardiola’s incredible record in the League Cup and was no less than we deserved after what was another impressive all-round display.Match report: https://www.mancity.com/news/mens/arsenal-v-manchester-city-carabao-cup-report-63744261SUBSCRIBE! http://www.youtube.com/subscription_center?add_user=mancityhttp://www.mancity.comhttp://www.facebook.com/mancityhttp://www.twitter.com/mancityhttp://www.instagram.com/mancityhttps://www.snapchat.com/add/mancityofficialAbout the Official Man City YouTube Channel:Here you will find all the latest videos from Manchester City, including, all Premier League goals, highlights, behind-the-scenes footage, training and much more.Get closer to the likes of Sergio Aguero, Kevin De Bruyne, Gabriel Jesus, Raheem Sterling, Riyad Mahrez, Benjamin Mendy and the rest of Pep Guardiola's team.","Subscribe for free - get closer to the stars of Manchester City with Tunnel Cam, Inside City, Inside Training, the latest news... plus lots more.","Man City MCFC Manchester City Football Club Premier League epl soccer football Champions League FA Cup Winners mancity.com Man City FC Sergio Aguero David Silva Kevin De Bruyne Gabriel Jesus Bernardo Silva Pep Guardiola man city training man city goals mcfc goals training tekkers skills highlights","Dcw_V3gt-7w"
fTKT7xvBLGU,"Manchester United v Manchester City highlights","UCCmo_NIuQR5eU4AvBa6sEQQ","EFL","17","120.0","https://i.ytimg.com/vi/fTKT7xvBLGU/default.jpg","EFL|Football League|Manchester United|Manchester City|sp:ty=high|sp:st=soccer|sp:li:eng_EC|sp:dt=2021-01-06T00:00:00Z|sp:ti:home=MNU|sp:ti:away=MNC","Manchester United v Manchester City highlights","Welcome to the official YouTube channel of the EFL - the world's original league football competition.Formed in 1888 by its twelve founder members, the EFL became the template for leagues the world over. With 72 member clubs, it is also the largest single body of professional clubs in European football and is responsible for administering and regulating the Sky Bet Football League, the Carabao Cup, and the Leasing.com Trophy, as well as reserve and youth football.","EFL Goal Save Championship League One League Two Sky Bet EFL Cup EFL Trophy","Dcw_V3gt-7w"
MHBw0Scdl2g,"Gary Neville reacts to Man United's semi-final defeat to Manchester City | The Gary Neville Podcast","UCNAf1k0yIjyGu3k9BwAg3lg","Sky Sports Football","17","766.0","https://i.ytimg.com/vi/MHBw0Scdl2g/default.jpg","sky sports|premier league|Football League|football|Sky Sports live|Sky|Sports|stream|sky sports football|premier league highlights|epl other 1920|The Gary Neville Podcast|Manchester City|Man City|Liverpool|Carabao Cup|Man City Man United Carabao Cup|EFL Cup|The EFL Cup|Ole Gunnar Solskjaer|Solskjaer|Gary Neville|Premier League|Sky Football|Football|PL|Sky PL","SUBSCRIBE ► http://bit.ly/SSFootballSubPREMIER LEAGUE HIGHLIGHTS ► http://bit.ly/SkySportsPLHighlights2021Gary Neville analyses the Carabao Cup semi-final between the two Manchester clubs, looks ahead to a compelling final between Pep and Jose and gives his thoughts on whether a trophy-less season will put added pressure on Ole Gunnar Solskjaer’s position as Manchester Utd manager.Watch Premier League LIVE on Sky Sports here ► http://bit.ly/WatchSkyPL►TWITTER: https://twitter.com/skysportsfootball►FACEBOOK: http://www.facebook.com/skysports►WEBSITE: http://www.skysports.com/footballMORE FROM SKY SPORTS ON YOUTUBE:►SKY SPORTS CRICKET: https://bit.ly/SubscribeSkyCricket►SKY SPORTS BOXING: http://bit.ly/SSBoxingSub►SOCCER AM: http://bit.ly/SoccerAMSub►SKY SPORTS F1: http://bit.ly/SubscribeSkyF1►SKY SPORTS: http://bit.ly/SkySportsSub","Sky Sports Football is the home of Sky Sports' football videos on YouTube featuring Premier League, EFL and International football highlights, as well as post match interviews, exclusive player access and top level analysis!Make sure you subscribe and turn on notifications so you don't miss a single upload!","Sky Sports Football Premier League Premier League Highlights Gary Neville Jamie Carragher Football League Manchester United City Chelsea Tottenham Arsenal Liverpool","Dcw_V3gt-7w"
y5UyJNeKXmY,"Sampdoria 2-1 Inter | Inter’s winning run ended by former players Candreva & Keita | Serie A TIM","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","254.0","https://i.ytimg.com/vi/y5UyJNeKXmY/default.jpg","Ronaldo|Serie A|Dybala|highlights|Juventus|AC Milan|Inter Milan|Napoli|Roma|CR7|Cristiano Ronaldo|goals|full highlights|watch|stream|partita|migliori gol|migliori in campo|migliori al mondo|gol del mese|federcalcio|calcio|Italia|lukaku|Lazio|zlatan|ibrahimovic|Ribery|Candreva|Sampdoria|Former inter|players inter|candreva sampdoria|candreva goal vs inter|keita goal|keita inter|keita sampdoria|ranieri|conte|conte inter|matchid=A||2020-21||UNICO||UNI||16||SAMINT","Ranieri’s Sampdoria end a run of 6 straight defeats v Inter with a 2-1 win | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it","Welcome to the Official Serie A channel. Over the season, we are going to produce and upload more than 5000 clips, updated everyday with Official Highlights, Magazine & Compilations (such as Best Saves, Numbers, Top 11, etc), Exclusive Interviews, Press Conferences and much more. If you are a football fan and you want to be part of our community don't forget to subscribe to Serie A channel.","football soccer serie a italian football ronaldo cristiano ronaldo cristiano cr7 juventus milan ac milan inter milan zlatan ibrahimovic","Dcw_V3gt-7w"
19WlyA1SdEE,"FA Women's Super League 2020/21. Matchday 4. Tottenham vs Manchester United","UCXbLtYNkcjW10_s4tL3uGzw","Alexander Kachusov","17","7829.0","https://i.ytimg.com/vi/19WlyA1SdEE/default.jpg","[none]","October 10th. The Hive Stadium, Edgware, Greater London.","","","Dcw_V3gt-7w"
vnrytrYaK64,"Browns vs. Steelers Super Wild Card Weekend Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","713.0","https://i.ytimg.com/vi/vnrytrYaK64/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|postseason|playoffs|2020|touchdown|td|game highlights|super wild card weekend|best plays|top plays|browns|cleveland|cle|steelers|pittsburgh|pit|browns steelers game highlights|browns highlights|steelers highlights|browns td|steelers td|wild card","The Cleveland Browns take on the Pittsburgh Steelers during Super Wild Card Weekend of the 2020 NFL postseason.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #NFLPlayoffs #SuperWildCard","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","Dcw_V3gt-7w"
Tn-hThD7s8k,"U17 RGVFC YA vs FC Dallas Academy October 24, 2020","UC1ekJNmNQfuoXv2LphbpnSQ","RGVFC Toros Youth Academy","22","5712.0","https://i.ytimg.com/vi/Tn-hThD7s8k/default.jpg","[none]","U17 RGVFC Youth Academy takes on the MLS FC Dallas Academy on October 24, 2020.  This game is part of the newly formed MLS Next league and represents the highest level of youth soccer in the country.www.rgvfcyouthacademy.comhttps://www.mlssoccer.com/mlsnextwww.ideapublicschools.org","RGVFC Youth Academy is the only MLS Next Soccer Academy servicing the Rio Grande Valley of Texas.  Our teams compete at the highest youth level of soccer in the United States and exposed players to college, professional, and national team scouts.  RGVFC YA also has teams that compete across the RGV and Texas from ages 7 to 18.  To learn more about RGVFC Youth Academy, visit www.rgvfcyouthacademy.com.  ","","Dcw_V3gt-7w"
