video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
xSs4yUZhb-I,"CAREER-HIGH 62 PTS For Stephen Curry‼","UCWJ2lWNubArHWmf3FIHbfcQ","NBA","17","505.0","https://i.ytimg.com/vi/xSs4yUZhb-I/default.jpg","NBA|G League|Basketball|game-0022000092|Steph|Stephen Curry|Curry|Warriors|Golden State|Golden State Warriors|Career-High|62 PTS|Pass|Assist|Dunk|Jump Shot|Steal|Rebound|Offense|Defense|Three|Three-Pointer|Triple|Mid-Range|Jumper|Fadeaway|Highlight|Highlights|Play|Plays|Double-Double|Triple-Double|NBA Season|2020-21 Season","Stephen Curry scores a CAREER-HIGH 62 POINTS to lead the Warriors past Portland!62 PTS, 18-31 FGM, 8 3PM, 18-19 FTMSubscribe to the NBA: https://on.nba.com/2JX5gSN Full Game Highlights Playlist: https://on.nba.com/2rjGMgeFor news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasiteGet NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5","National Basketball Association.  Official home of the most compelling basketball action from the NBA","NBA Full Game Recaps Full Game Highlights","EE3k9EH0p6Y"
_UILLMWf054,"[LIVE] Los Angeles Lakers vs San Antonio Spurs FULL GAME HD | NBA Season 2020-21 | December 30, 2020","UC-UE8e6CAil3rN-qSXhG2Pw","NBA News","22","4765.0","https://i.ytimg.com/vi/_UILLMWf054/default.jpg","espn|first take|espn first take|first take today|stephen a.smith|max kellerman|sports center|get up|the jump|jalen jacoby|lebron james|anthony davis|king james|lebron|lakers|los angeles lakers|lakers nation|lebron goat|jalen rose|jay williams|kendrick perkins|richard jefferson|rachel nichols|brian windhorst|adrian wojnarowski|woj|michael wilbon|first take nba|nba on espn|nba lakers|nba news|nba preseason 2020|nba preseason","Stephen A.: LeBron’ double-digit streak reaches 1,000 games on his 36th birthday- https://youtu.be/8Y5yBzq6Pi8[LIVE] Los Angeles Lakers vs San Antonio Spurs FULL GAME HD | NBA Season 2020-21 | December 30, 2020","","","EE3k9EH0p6Y"
4nZxgCGMxwM,"NBA That was Wild! MOMENTS","UCoDfZzwJNFJ2lVgF41tUX0A","Golden Hoops","17","601.0","https://i.ytimg.com/vi/4nZxgCGMxwM/default.jpg","NBA|BASKETBALL|LEBRON JAMES|STEPHEN CURRY|KYRIE IRVING|KAWHI LEONARD|RUSSELL WESTBROOK|GIANNIS ANTETOKOUNMPO|BOSTON CELTICS|LOS ANGELES LAKERS|GSW|GOLDEN STATE WARRIORS|FIGHT|BRAWL|FUNNY|BLOOPERS|REACTION|ALL STAR|DUNK CONTEST|GAME WINNER|BUZZER BEATER|LIVE|LBJ|GOAT|ESPN|INTERVIEW|DERRICK ROSE|INJURY|MICHAEL JORDAN|KOBE BRYANT|HOUSE OF HIGHLIGHTS|SHAQTIN A FOOL|MIX|HIGLIGHTS|TOP 10|OF THE YEAR|FINALS|PLAYOFFS|FIRST TAKE|2k20|Ja Morant|Zion Williamson","Golden Hoops Merch: https://golden-hoops-store.myshopify.com/NBA video clips used in this video are licensed through partnership with NBA Playmakers.Music provided by Epidemic SoundThis video features players like: Kevin Durant, Stephen Curry, Jayson Tatum, Kyrie Irving, LeBron James and Russell Westbrook","Highest quality of NBA-content on the internet!","","EE3k9EH0p6Y"
MrCS8lc6veo,"Los Angeles Lakers vs Memphis Grizzlies Full Game Highlights | 2020-21 NBA Season","UC-XWpctw55Q6b_AHo8rkJgw","MLG Highlights","17","738.0","https://i.ytimg.com/vi/MrCS8lc6veo/default.jpg","nba|nba highlights|mlg highlights|mlg|2020-21 nba season|lakers vs grizzlies|grizzlies vs lakers|la lakers vs grizzlies|lakers vs grizzlies highlights|lakers vs grizzlies full game highlights|los angeles lakers vs memphis grizzlies highlights|los angeles lakers vs memphis grizzlies full game highlights|lakers grizzlies highlights|lakers grizzlies","#nba #nbaseason #lakersvsgrizzlies","🏀NBA Highlights🏀Full Game Highlights🏀Player Highlights🏀Interviews","MLG MLG Highlights NBA Basketball Los Angeles Lakers Highlights sports GSW Warriors nba highlights houston rockets lakers la clippers milwaukee bucks lebron james","EE3k9EH0p6Y"
BuMFcSx9dck,"Lakers vs Rockets HIGHLIGHTS Full Game | NBA January 12","UCD0enX__me1h49Bcw8m-9Cg","SportsTalkLine","17","499.0","https://i.ytimg.com/vi/BuMFcSx9dck/default.jpg","Lakers Highlights|Rockets Highlights|LA Lakers|Houston Rockets|Lakers|Rockets|NBA|NBA season|NBA highlights|NBA highlights today|Lakers vs Rockets|Lakers v Rockets|Lakers Rockets|Lakers vs Rockets Highlights|Lakers v Rockets Highlights|Lakers Rockets Highlights|Lakers vs Rockets score|Lakers Rockets score|Lakers v Rockets season|Lakers Rockets season|Lakers vs Rockets season|Lakers v Rockets January 10|Lakers vs Rockets January 10|Basketball|NBA 2021|nba","For the best prices on NBA and NFL jerseys head to https://chjerseys.com/ and get your gear today!Don't forget to use code  🔥🔥🔥🔥 STL for an extra 10% OFF 🔥🔥🔥🔥 at checkout!Check out Lakers vs Rockets HIGHLIGHTS SUBSCRIBERS To Sports Talk Line Channel for more Sports Highlights and JOIN our Membership programs for extra PERKS!Join this channel to get access to perks:https://www.youtube.com/channel/UCD0enX__me1h49Bcw8m-9Cg/joinIf you like this video please help us make more videos become our Patreon:https://www.patreon.com/sportstalklineOur Sports Talk Line team picked the best NBA game Highlights for you to enjoy.In today’s game the Lakers beat the Rockets in a 117-100Don’t miss any of the NBA highlights.SUBSCRIBE and TURN ON NOTIFICATIONS to make sure you don't miss any future Basketball highlights on Sports Talk Line Network.Share your thoughts on to https://chjerseys.com/ and get your gear today! match with others in the comment section below. For more sports news check outOur sitehttp://sportstalkline.com/  or if you want more incredible sports videos http://directory.sportstalkline.com/  Follow us on Social media: https://www.facebook.com/SportsTalkLine  https://twitter.com/SportsTalkLine https://instagram.com/SportsTalkLineIf you like this video please help us make more videos by supporting Sports Talk Line on Patreon:https://www.patreon.com/sportstalklineDISCLAIMER: All clips are the property of the NBA. No copyright infringement is intended, all videos are edited to follow the Free Use guideline of YouTube.THANK YOU!#Lakers #Rocket #NBA #NBApreseason #NBA2020 #Basketball #LosAngelesLakers #LALakers #HoustonRockets #LAL #HOU#KingJames #LebronJames #AnthonyDavis #JamesHarden","Our Channel is aimed towards all sports fans. Our team brings you the latest sports events updates, play breakdowns, and interviews. We mainly talk about the NFL, Draft, NBA, Premier League, and NCAA sportsSubscribe to our channel and check out our social media for more sports!We talk sports 24/7/365.","NFL Pro Football Football NFL Draft NFL Combine Fantasy Football NFL Highlights Rams Cowboys CowboysNation Chargers Nation Rams Nation Dallas Cowboys LA Chargers Dallas Cowboys Highlights 49ers Highlights Super Bowl Basketball NBA NBA Highlights NCAA Basketball College Basketball College Hoops Basketball Highlights NCAA Basketball Highlights March Madness NBA All Stars Lakers Clippers Rockets Bucks Celtics Raptors 76ers Nuggets nba","EE3k9EH0p6Y"
YkE1UufhFx4,"NBA Top 10 Plays Of The Night | January 5, 2021","UCWJ2lWNubArHWmf3FIHbfcQ","NBA","17","172.0","https://i.ytimg.com/vi/YkE1UufhFx4/default.jpg","nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Pass|Assist|Jump Shot|Steal|Rebound|Highlight|Highlights|NBA Season|2020-21 Season|Top Plays|Top 10|Top 10 Plays","Check out the top 10 plays of the night from January 5, featuring Anthony Davis, Kawhi Leonard, Anthony Edwards and MORE!Subscribe to the NBA: https://on.nba.com/2JX5gSNFull Game Highlights Playlist: https://on.nba.com/2rjGMgeFor news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasiteGet NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5","National Basketball Association.  Official home of the most compelling basketball action from the NBA","NBA Full Game Recaps Full Game Highlights","EE3k9EH0p6Y"
lRHzSCJP2Yg,"Los Angeles Lakers vs Memphis Grizzlies Full Game Highlights | 2020-21 NBA Season","UC-XWpctw55Q6b_AHo8rkJgw","MLG Highlights","17","739.0","https://i.ytimg.com/vi/lRHzSCJP2Yg/default.jpg","nba|nba highlights|mlg highlights|mlg|2020-21 nba season|lakers vs grizzlies|grizzlies vs lakers|la lakers vs grizzlies|lakers vs grizzlies highlights|lakers vs grizzlies full game highlights|los angeles lakers vs memphis grizzlies highlights|los angeles lakers vs memphis grizzlies full game highlights|lakers grizzlies|lakers grizzlies highlights","#nba #nbaseason #lakersvsgrizzlies","🏀NBA Highlights🏀Full Game Highlights🏀Player Highlights🏀Interviews","MLG MLG Highlights NBA Basketball Los Angeles Lakers Highlights sports GSW Warriors nba highlights houston rockets lakers la clippers milwaukee bucks lebron james","EE3k9EH0p6Y"
0MtWmngLF04,"Lakers vs Spurs HIGHLIGHTS Full Game | NBA January 1","UCD0enX__me1h49Bcw8m-9Cg","SportsTalkLine","17","575.0","https://i.ytimg.com/vi/0MtWmngLF04/default.jpg","Lakers Highlights|Spurs Highlights|LA Lakers|San Antonio Spurs|Lakers|Spurs|NBA|NBA preseason|NBA highlights|NBA highlights today|Lakers vs Spurs|Lakers v Spurs|Lakers Spurs|Lakers vs Spurs Highlights|Lakers v Spurs Highlights|Lakers Spurs Highlights|Lakers vs Spurs score|Lakers v Spurs score|Lakers Spurs score|Lakers vs Spurs season|Lakers Spurs season|Lakers vs Spurs January 1|Lakers v SpursJanuary 1|Lakers Spurs January 1|Basketball|NBA 2020|nba","Check out Lakers vs Spurs HIGHLIGHTS Full Game SUBSCRIBERS To Sports Talk Line Channel for more Sports Highlights and JOIN our Membership programs for extra PERKS!Join this channel to get access to perks:https://www.youtube.com/channel/UCD0enX__me1h49Bcw8m-9Cg/joinIf you like this video please help us make more videos become our Patreon:https://www.patreon.com/sportstalklineOur Sports Talk Line team picked the best NBA game Highlights for you to enjoy.In today’s game the Lakers beat the Spurs in a thrilling game  109-103. Don’t miss any of the NBA highlights.SUBSCRIBE and TURN ON NOTIFICATIONS to make sure you don't miss any future Basketball highlights on Sports Talk Line Network.Share your thoughts on Lakers vs Spurs HIGHLIGHTS Full Game match with others in the comment section below. For more sports news check outOur sitehttp://sportstalkline.com/  or if you want more incredible sports videos http://directory.sportstalkline.com/  Follow us on Social media: https://www.facebook.com/SportsTalkLine  https://twitter.com/SportsTalkLine https://instagram.com/SportsTalkLineIf you like this video please help us make more videos by supporting Sports Talk Line on Patreon:https://www.patreon.com/sportstalklineDISCLAIMER: All clips are the property of the NBA. No copyright infringement is intended, all videos are edited to follow the Free Use guideline of YouTube.THANK YOU!#Lakers #Spurs #NBA #NBApreseason #NBA2020 #Basketball #LALakers #SanAntonioSpurs#KingJames #LebronJames #AnthonyDavis #LakersShow","Our Channel is aimed towards all sports fans. Our team brings you the latest sports events updates, play breakdowns, and interviews. We mainly talk about the NFL, Draft, NBA, Premier League, and NCAA sportsSubscribe to our channel and check out our social media for more sports!We talk sports 24/7/365.","NFL Pro Football Football NFL Draft NFL Combine Fantasy Football NFL Highlights Rams Cowboys CowboysNation Chargers Nation Rams Nation Dallas Cowboys LA Chargers Dallas Cowboys Highlights 49ers Highlights Super Bowl Basketball NBA NBA Highlights NCAA Basketball College Basketball College Hoops Basketball Highlights NCAA Basketball Highlights March Madness NBA All Stars Lakers Clippers Rockets Bucks Celtics Raptors 76ers Nuggets nba","EE3k9EH0p6Y"
bIkT-24UCOI,"PINAHIYA ni Lebron James ang SUMIGAW sa Kanya! Inasar pang Maliit! Lakers Rank 1 na sa Standings!","UCAEZpaU_N08NzQ3OzhjVSTQ","Alley Hoops","17","228.0","https://i.ytimg.com/vi/bIkT-24UCOI/default.jpg","lebron james|los angeles lakers|lakers|lakers vs memphis|lebron|anthony davis|lebron revenge|lakers win|lebron james highlights","Ginantihan ni Lebron James ang Player na Sumigaw sa Harap niya!Lakers naka apat na sunod na panalo na! Rank 1 na sa WC Standings!Credit - NBAWag kalimutan mag SUBSCRIBE at I Click ang NOTIFICATION BELL BUTTON para updated po kayo palage sa mga kaganapan sa Basketball World! NBA, PBA, FIBA, NCAA, UAAP, MPBL, Gilas Pilipinas, Kai Sotto, Jordan Clarkson, etc! Maraming Salamat mga LODI! Ball is Life!Follow my Facebook Page - facebook.com/AlleyHoopsYTInstagram - https://www.instagram.com/alleyhoopsyFor any Inquiries contact me in my Facebook Page - facebook.com/AlleyHoopsYTMusic:Intro - Pullin Up by BazanjiBeat - Retnik Beats: https://soundcloud.com/retnik / https://www.youtube.com/c/retnikbeatsbe/Disclaimer - I do not own the music, images and video clips used in this video. This video is edited under by Fair use law of YouTube. No copyright infringement intended. Credit to the respective owners.","Alley Hoops is a Basketball Channel created September 2019. This Youtube Channel will deliver the hottest updates in basketball world. NBA, PBA, UAAP, NCAA, MPBL, Gilas Pilipinas etc. Ball is life? Subscribe now! Thank you so much mga LODI! LezzGo!","","EE3k9EH0p6Y"
38L_hrG0hUA,"San Antonio Spurs vs Golden State Warriors Highlights 2nd Quarter | NBA Season 2021 - Jan 20","UCehxny23v1JLXg-2_n4vBsQ","Triple-Double","17","369.0","https://i.ytimg.com/vi/38L_hrG0hUA/default.jpg","[none]","San Antonio Spurs vs Golden State Warriors Highlights 2nd Quarter | NBA Season 2021 - Jan 20","","","EE3k9EH0p6Y"
