video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
KAo8ehvkom4,"Are Emma. (2020) Costumes Historically Accurate? aka What Makes Good Period Drama Costumes","UCNwZIGnHkzy6KpHPQtserzQ","Karolina Żebrowska","27","1015.0","https://i.ytimg.com/vi/KAo8ehvkom4/default.jpg","[none]","it is a truth universally acknowledged that you shouldn't quote Pride and Prejudice under an Emma video_________________My Instagram: https://bit.ly/2Qo9rrIMy nudes: https://bit.ly/2KypPpnMy merch: https://bit.ly/2CCq5jE","[EN] just another weirdo obsessed with the past. vintage style and fashion history geek, appreciator of old things in general. [PL] historia mody, styl vintage, filmy i starocie. opowiadam o tym, co dawniej i pokazuję to, co dziś z tego zostało.","karolina żebrowska domowa kostiumologia retro vintage historical sewing hairstyle tutorial","d3e8d9nErUk"
7oDGy8Lonaw,"Ranking 2020 Costume Dramas on Historical Accuracy","UCSHtaUm-FjUps090S7crO4Q","Bernadette Banner","27","1798.0","https://i.ytimg.com/vi/7oDGy8Lonaw/default.jpg","costume review|costume analysis|movie costume analysis|historical costumes|period costumes|historical costumes right|the great|bridgerton|enola holmes|self made|fashion expert fact checks|fashion expert breaks down|fashion history|costume history|tier ranking movies|historically accurate costumes|historically accurate movies|bernadette banner|acorn tv|period drama","Check out A Suitable Boy on Acorn TV with a free 30 trial by going to https://acorn.tv/ and use promo code 'bernadette'.First month's ad revenue for videos containing sponsored content is donated to a selected charitable organization. Revenue from this video will benefit the Joint Council for the Welfare of Immigrants (https://www.jcwi.org.uk/Pages/Category/our-work) which works to advocate for fair and equal immigration opportunities, challenge unjust laws and provide legal advice for migrants without access. Chapters: 00:00 - the tiers2:22 - Little Women2:47 - Emma3:05 - Mulan5:49 - Belgravia7:00 - The English Game8:25 - Self Made10:19 - Miss Scarlet and the Duke11:36 - The Great12:50 The Alienist14:02 - Radioactive15:46 - A Personal History of David Copperfield17:13 - Antebellum18:35 - Enola Holmes20:12 - The Spanish Princess20:29 - Ammonite22:35 - Come Away23:51 - Bridgerton24:58 - Jingle Jangle26:31 - Why Historically Authentic Costume is Actually Kind of ImportantPortals to Other Realms:Instagram, for real-time progress: http://www.instagram.com/bernadettebanner (@bernadettebanner)Patreon, for more vloggish and bloggish content: https://www.patreon.com/bernadettebannerPrints & merch of design sketches: https://www.redbubble.com/people/bertiebanner/shopFor ***BUSINESS ENQUIRIES*** please contact my representation at:bernadettebanner@lighthouseagents.com(BUSINESS-RELATED correspondence is handled here. Messages do not reach me directly.)Due to current ongoing project commitments, requests for dressmaking commissions, individual research or project consultation are not considered at this time.","Your friendly neighborhood gateway to dress history. This channel began as a personal documentation of my reconstruction experiments, as I endeavoured to learn about the history of humans through how their clothes were worn and constructed. Electric sewing machines aren't really my jam, so I tend to take on garment styles that pre-date WWI, using the hand sewing methods and historical machinery that would have been available at the time, as well as bringing those historical sewing methods into the process of making things for 21st century wear.Making stuff by hand tends to take a while, so between projects you can generally find me here talking about old clothes, looking at old clothes, busting some myths, exploring historical sites, investigating dress-related concepts, experimenting with techniques, historybounding, and introducing you to experts who continue traditional crafts.Have yourself a snack and stay awhile, if you wish. :)","historical dress costume costuming sewing how-to fashion vintage sew costumer reenactment historical dress historical costume period costume historical costume making historical fashion fashion history sewing vlog dress history costume review","d3e8d9nErUk"
tOTcA-4zeu4,"Everything Wrong With Those 100 Years of... Videos - RANT","UCNwZIGnHkzy6KpHPQtserzQ","Karolina Żebrowska","27","959.0","https://i.ytimg.com/vi/tOTcA-4zeu4/default.jpg","fashion history|100 years of|videos|rant|vintage|history","hope u still love me *coughs*_____________My Instagram: https://bit.ly/2Qo9rrIMy blog: http://bit.ly/2nnB89SMy nudes: https://bit.ly/2DAvz0uYou can also buy me a coffee!: https://bit.ly/2IvBsJY","[EN] just another weirdo obsessed with the past. vintage style and fashion history geek, appreciator of old things in general. [PL] historia mody, styl vintage, filmy i starocie. opowiadam o tym, co dawniej i pokazuję to, co dziś z tego zostało.","karolina żebrowska domowa kostiumologia retro vintage historical sewing hairstyle tutorial","d3e8d9nErUk"
VDNJwG8oKRg,"Regency Tailor Explains Bridgerton Men's Costumes","UCHcpUHrm2OUIQAMshEq-u9Q","Pinsent Tailoring","22","1560.0","https://i.ytimg.com/vi/VDNJwG8oKRg/default.jpg","Bridgerton|Netflix","Many have asked me about Bridgerton, so here is a review of the Historical Accuracy of the Men's costumes, enjoy! #Bridgerton #NetflixWant to follow more of what I do; Website - https://www.pinsenttailoring.co.uk/ Instagram - https://www.instagram.com/pinsent_tailoring/?hl=enTwitter - https://twitter.com/zackpinsentFacebook- https://www.facebook.com/PinsentTailoring/Support Future videos and exclusive content on Patreon - https://www.patreon.com/pinsent_tailoring","A view of history, tailoring and being yourself","","d3e8d9nErUk"
Z1Qpy4sARwE,"analyzing effie trinket’s outfits in the hunger games 🎀🥀🦋","UCW_c5PzkvxMaBxqwjITW6-A","ModernGurlz","27","1736.0","https://i.ytimg.com/vi/Z1Qpy4sARwE/default.jpg","style|modern gurlz|90s fashion|fashion|movie review|movie commentary|moderngurlz|review|movies|Film analysis|film theory|TV|movie analysis|movie trivia|film trivia|tv analysis|analysis|explanations|video essay|trivia|filmmaking|movie reviews|tv reviews|entertainment reviews|tv theory|endings explained|deeper meanings|symbolism|cinema|television|entertainment|deep meaning|movie answers|tv answers|the hunger games|effie trinket|katniss everdeen","the hunger games was immensely popular back in the day but i feel like people rarely talk about its amazing costuming, with each film featuring a distinctive look that reflects the passage of time and each individual outfit having deeper meaning. today's style analysis video is all about effie trinket and her many outfits throughout the hunger games franchise. which is your favorite?intro 0:00the hunger games 2:04 catching fire 10:21mockingjay part 1 20:31mockingjay part 2 24:48get in touch 💌contact@moderngurlz.comfollow us! 🌸 https://www.instagram.com/moderngurlzhttps://www.twitter.com/moderngurlzzmusic! 🎶Music by Ryan Little - delirium. - https://thmatc.co/?l=75EDFBCFCopyright Disclaimer under section 107 of the Copyright Act of 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. All the videos, songs, images, and graphics used in the video belong to their respective owners and this channel does not claim any right over them.","an ode to the female-driven sites and publications of the early 2000s, ModernGurlz is all about empowerment. we want to focus on the things we love, the films that made us who we are, the people we look up to, the clothes we wear, and anything else that brings us joy.","fashion history costume design video essay fashion analysis costume analysis film analysis pop culture film fashion movies tv shows style guide style analysis movie review","d3e8d9nErUk"
ZA8AfYiPiR8,"Are Enola Holmes (2020) Costumes Historically Accurate?","UCNwZIGnHkzy6KpHPQtserzQ","Karolina Żebrowska","27","1176.0","https://i.ytimg.com/vi/ZA8AfYiPiR8/default.jpg","[none]","I know they're nOt SuPpOSeD tO bE but it's fun to analyze them!_________________My Instagram: https://bit.ly/2Qo9rrIMy nudes: https://bit.ly/2veiE0rMy merch: https://bit.ly/2CCq5jE","[EN] just another weirdo obsessed with the past. vintage style and fashion history geek, appreciator of old things in general. [PL] historia mody, styl vintage, filmy i starocie. opowiadam o tym, co dawniej i pokazuję to, co dziś z tego zostało.","karolina żebrowska domowa kostiumologia retro vintage historical sewing hairstyle tutorial","d3e8d9nErUk"
SgOeEYNWgSI,"Behind The Scenes Of Bridgerton Netflix Series","UC4qGmRZ7aLOLfVsSdj5Se2A","TheThings","24","545.0","https://i.ytimg.com/vi/SgOeEYNWgSI/default.jpg","the things|bridgerton netflix|shonda rhimes|phoebe dynevor|rege jean page|daphne bridgerton|simon basset|penelope featherington|eloise bridgerton|bridgerton behind the scenes|julia quinn|julie andrews|lady whistledown|thethings|behind the scenes|on set secrets|netflix new series|netflix top 10|gossip girl|bridgerton new show","What Happened Behind The Scenes On Bridgerton SetSubscribe: http://bit.ly/Subscribe-to-Things“Bridgerton'' is the new Netflix series from Shonda Rhimes bringing steamy historical romance to the forefront of this winter’s entertainment. The series is the first in a nine-figure Shondaland deal with the streaming service. It adapts Julia Quinn’s popular romance series, which covers the romantic lives of eight Bridgerton siblings in 19th century England. The series focuses on Daphne Bridgerton and the Duke Simon Basset, played by Phoebe Dynevor and Regé-Jean Page. It even features Julie Andrews as the voice of Lady Whistledown, a regency-era “Gossip Girl” writer. While there’s plenty of jaw-dropping love scenes in the show, the only thing more shocking is all the work that went in behind the scenes. This incredible effort includes a six week boot camp where the cast learned how to dance and ride horses, nine months of filming, and more than 7,000 costumes created by costume designer Ellen Mirojnick.  The stars even worked with a chemistry coordinator to get the romances just right, but the most challenging part of filming will probably surprise you. As for the 200 members of the crew who worked behind the scenes, their most challenging tasks had to do with turning modern mansions into 19th century homes, and creating those grand ballroom scenes. We also have all the details on a possible season two-- both Shonda Rhimes and showrunner Chris Van Dusen are interested-- as well as the possibility of an eight-season series. Here’s all the behind the scenes “Bridgerton” knowledge you absolutely need to know. NEW UPLOADS: https://www.youtube.com/c/TheThings/videos?view=0&sort=dd&shelf_id=2 Our Social Media:Facebook: https://www.facebook.com/TheThingscom/For more videos and articles visit:https://www.thethings.comWritten by: Courtney Hayes Narrated by: Emma LoveEdited by: Eduardo G.For copyright matters please contact us at: legal@valnetinc.com","TheThings has the most entertaining videos about all popular movies and TV shows! Watch if you get excited by nostalgia content, new Netflix releases, character stories, and ALL things Disney! For business related matters relating to our channel (including media & advertising) please contact business.yt@valnetinc.comFor copyright matters relating to our channel please contact us directly at : legal@valnetinc.com","Disney Descendants Disney princess Moana tv show netflix teen movies nickelodeon the loud house miraculous ladybug thethings","d3e8d9nErUk"
roPQKEZK2X4,"y'all need to stop with the manly men stereotype [RANT]","UCNwZIGnHkzy6KpHPQtserzQ","Karolina Żebrowska","27","415.0","https://i.ytimg.com/vi/roPQKEZK2X4/default.jpg","harry styles|candace owens|ben shapiro|vogue|harry styles vogue|men's fashion|men fashion|men skirt","I like my tea salty 🧂🧂🧂Music: Hall of the Mountain King by Kevin MacLeodLink: https://incompetech.filmmusic.io/song/3845-hall-of-the-mountain-kingLicense: http://creativecommons.org/licenses/by/4.0/____________My Instagram: https://bit.ly/2Qo9rrIMy nudes: https://bit.ly/2GZN1urMy merch: https://bit.ly/2CCq5jE","[EN] just another weirdo obsessed with the past. vintage style and fashion history geek, appreciator of old things in general. [PL] historia mody, styl vintage, filmy i starocie. opowiadam o tym, co dawniej i pokazuję to, co dziś z tego zostało.","karolina żebrowska domowa kostiumologia retro vintage historical sewing hairstyle tutorial","d3e8d9nErUk"
ZhN0XOyHO5g,"Rating (aka Roasting) Historical Movie Corsets","UCNwZIGnHkzy6KpHPQtserzQ","Karolina Żebrowska","27","1126.0","https://i.ytimg.com/vi/ZhN0XOyHO5g/default.jpg","[none]","sorry about the poor quality of the pictures, editing this video ate my soul and I had no energy to swap them_____________My Instagram: https://bit.ly/2Qo9rrIMy nudes: https://bit.ly/2T1yC4XMy merch: https://bit.ly/2CCq5jE","[EN] just another weirdo obsessed with the past. vintage style and fashion history geek, appreciator of old things in general. [PL] historia mody, styl vintage, filmy i starocie. opowiadam o tym, co dawniej i pokazuję to, co dziś z tego zostało.","karolina żebrowska domowa kostiumologia retro vintage historical sewing hairstyle tutorial","d3e8d9nErUk"
t__RhUyZMDM,"Real Women - Beauty Through The Decades The Realistic Way","UCNwZIGnHkzy6KpHPQtserzQ","Karolina Żebrowska","27","121.0","https://i.ytimg.com/vi/t__RhUyZMDM/default.jpg","1900s|Decade (Unit Of Frequency)|1940s (Event)|Female (Literature Subject)|beauty in decades|beauty|standards|Fashion (Industry)","To be frank, it was supposed to be just another Beauty Through The Decades video. I saw lots of them already, but they all have seemed to show beauty standards in a very stereotypical and pop-culture way, so I wanted to do a more historically accurate one. As I was doing some research, I became more and more aware that beautiful faces and fashion we see on the photos, ads and fashion plates are just an idealistic version of reality. So here's to reality. NOTES:It was hard for me to make this video universal and find some papers referring to the whole Europe or even the whole world, so the numbers I used may be a little misleading. To make it clear:- 40% of women in factories (1901) refers to Great Britain only- one out of nine women working in domestic service refers to Russia.If you know any other specific numbers referring to a wider cultural context I'd be more than greatful.[POLISH] Prawdziwe kobietySzczerze mówiąc, miało to być kolejne wideo Piękno przez dziesięciolecia. Widziałam już ich wiele, ale wszystkie one wydają się pokazywać standardy urody w bardzo stereotypowy i pop-kulturowy sposób, więc chciałam zrobić bardziej dokładny historycznie film. Kiedy przeprowadzałam badania, coraz lepiej zdawałam sobie sprawę, że piękne twarze i moda, które widzimy na zdjęciach, reklamach i płytach modowych, to tylko idealistyczna wersja rzeczywistości. A więc jak było naprawdę. UWAGI:Trudno było mi uczynić to wideo uniwersalnym i znaleźć jakieś dokumenty odnoszące się do całej Europy, a nawet całego świata, więc liczby, których użyłam, mogą być trochę mylące. Żeby było jasne:- 40% kobiet w fabrykach (1901) odnosi się tylko do Wielkiej Brytanii- jedna z dziewięciu kobiet pracujących w służbie domowej odnosi się do Rosji.Jeśli znasz jakieś inne konkretne liczby odnoszące się do szerszego kontekstu kulturowego, byłabym więcej niż wdzięczna za informacje.______Visit my blog:http://www.domowakostiumologia.blogspot.com","[EN] just another weirdo obsessed with the past. vintage style and fashion history geek, appreciator of old things in general. [PL] historia mody, styl vintage, filmy i starocie. opowiadam o tym, co dawniej i pokazuję to, co dziś z tego zostało.","karolina żebrowska domowa kostiumologia retro vintage historical sewing hairstyle tutorial","d3e8d9nErUk"
