video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
WrXfJJEu-Oc,"Buccaneers vs. Washington Football Team Super Wild Card Weekend Highlights | NFL 2020 Playoffs","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","611.0","https://i.ytimg.com/vi/WrXfJJEu-Oc/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|postseason|playoffs|2020|touchdown|td|game highlights|super wild card weekend|best plays|top plays|buccaneers|bucs|tampa bay|tb|washington football team|washington|was|bucs washington game highlights|bucs highlights|washington highlights|bucs td|washington td|wild card","The Tampa Bay Buccaneers take on the Washington Football Team during Super Wild Card Weekend of the 2020 NFL postseason.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #NFLPlayoffs #SuperWildCard","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","dly-nKcW-GA"
Tb8r-ZySZ6c,"Steelers vs. Browns Week 17 Highlights | NFL 2020","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","743.0","https://i.ytimg.com/vi/Tb8r-ZySZ6c/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 17|best plays|top plays|steelers|pittsburgh|pit|browns|cleveland|cle|steelers browns game highlights|steelers highlights|browns highlights|steelers td|browns td","The Pittsburgh Steelers take on the Cleveland Browns during Week 17 of the 2020 NFL season.The Chunky® Million Meals Challenge Madden NFL 21 tournament presented by Target, hopes to help tackle hunger in schools. In partnership with GENYOUth, we are looking to raise funds to deliver 100 million school meals to alleviate food insecurity. Players will compete online across two Open Qualifiers and a Closed Qualifier in order to reach the Finals on the week of January 25th, 2021, where they will be paired with a Coaching Team formed by a selection of NFL & Madden pros. Click here to register - http://millionmealschallenge.comSubscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Steelers #Browns","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","dly-nKcW-GA"
HIHKmhVVtKY,"Tom Brady Highlights of the 2020 NFL Season!","UCzQr2dWkS6T6xHRqYOMxQ7A","budleewiser","17","426.0","https://i.ytimg.com/vi/HIHKmhVVtKY/default.jpg","Tom Brady|Patriots|NFL|sports|football|buccaneer|tamp bay|Tom Brady with Buccaneers|Tom Brady highlights 2020|Tom Brady Buccaneer highlights|saints","#Tombrady #NFL #Buccanneers🐐Subscribe for more Videos:http://www.youtube.com/c/budleewiserDont forget to turn on the bell for notifications! 🔔Thanks for watching and all the likes/comments!!! 😄","NFL Playoffs! Who Will Win?","NFL sports football highlights monday night football thursday night football espn national football league nfl highlights football highlights 2020 nfl season nfl season 2020","dly-nKcW-GA"
ZTt-ilqgtL0,"Packers vs. Bears Week 17 Highlights | NFL 2020","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","663.0","https://i.ytimg.com/vi/ZTt-ilqgtL0/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 17|best plays|top plays|packers|green bay|gb|bears|chicago|chi|packers bears game highlights|packers highlights|bears highlights|packers td|bears td","The Green Bay Packers take on the Chicago Bears during Week 17 of the 2020 NFL season.The Chunky® Million Meals Challenge Madden NFL 21 tournament presented by Target, hopes to help tackle hunger in schools. In partnership with GENYOUth, we are looking to raise funds to deliver 100 million school meals to alleviate food insecurity. Players will compete online across two Open Qualifiers and a Closed Qualifier in order to reach the Finals on the week of January 25th, 2021, where they will be paired with a Coaching Team formed by a selection of NFL & Madden pros. Click here to register - http://millionmealschallenge.comSubscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Packers #Bears","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","dly-nKcW-GA"
DDUF3Xijxb8,"GS Warriors vs Portland Trail Blazers Full Game Highlights | 2020-21 NBA Season","UC-XWpctw55Q6b_AHo8rkJgw","MLG Highlights","17","809.0","https://i.ytimg.com/vi/DDUF3Xijxb8/default.jpg","nba|nba highlights|mlg highlights|mlg|2020-21 nba season|warriors vs blazers|blazers vs warriors|gs warriors vs blazers|warriors vs blazers highlights|warriors vs blazers full game highlights|golden state warriors vs portland trail blazers highlights|golden state warriors vs portland trail blazers full game highlights|warriors blazers|warriors blazers highlights|gsw vs blazers","#nba #blazersvswarriors #warriorsvsblazers","🏀NBA Highlights🏀Full Game Highlights🏀Player Highlights🏀Interviews","MLG MLG Highlights NBA Basketball Los Angeles Lakers Highlights sports GSW Warriors nba highlights houston rockets lakers la clippers milwaukee bucks lebron james","dly-nKcW-GA"
FyLPJ5JWZYk,"Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point","UCY3NEq2LYrmdoGkevo9BH5A","NFL Films","17","2485.0","https://i.ytimg.com/vi/FyLPJ5JWZYk/default.jpg","NFL|Football|NFL Films|American Football|super bowl|super bowl li|super bowl 51|patriots|new england patriots|patriots vs falcons|tom brady|bill belichick|julian edelman|james white|donta hightower|matt ryan|julio jones|kyle shanahan|turning point|nfl turning point|big play|top|best|plays|moments|highlights|super bowl highlights|super bowl 51 highlights|2016 season|2016 super bowl|2017 super bowl|comeback|great|amazing|catch|clutch","Tom Brady leads the New England Patriots to the greatest comeback in Super Bowl historySubscribe to NFL Films: http://goo.gl/XJTggLStart your free trial of NFL Game Pass: https://www.nfl.com/gamepass?campaign=sp-nf-gd-ot-yt-3000342Check out our other channels:NFL Network http://www.youtube.com/nflnetworkNFL http://www.youtube.com/nflWatch NFL Now: https://www.nfl.com/nowListen to NFL podcasts: http://www.nfl.com/podcastsWatch the NFL network: http://nflnonline.nfl.com/Download the NFL mobile app: https://www.nfl.com/apps2016 NFL Schedule: http://www.nfl.com/schedulesBuy tickets to watch your favorite team:  http://www.nfl.com/ticketsShop NFL: http://www.nflshop.com/source/bm-nflcom-Header-Shop-TabLike us on Facebook: https://www.facebook.com/NFLFilmsFollow us on Twitter: https://twitter.com/NFLFilmsFollow us on Instagram: https://instagram.com/nflfilms/","Television and film studio that revolutionized the way America watches NFL pro football.","NFL Films American Football Football NFL Steve Sabol Ed Sabol Sabol Films Hard Knocks A Football Life Timeline Sound FX Mic'd Up highlights Top 10 Top Ten history nfl history Super Bowl games NFL Films Presents Top 100 Top 100 Players All or Nothing","dly-nKcW-GA"
srLSmgdYrRE,"Cowboys vs. Giants Week 17 Highlights | NFL 2020","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","854.0","https://i.ytimg.com/vi/srLSmgdYrRE/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 17|best plays|top plays|cowboys|dallas|dal|giants|new york|nyg|cowboys giants game highlights|cowboys highlights|giants highlights|cowboys td|giants td","The Dallas Cowboys take on the New York Giants during Week 17 of the 2020 NFL season.The Chunky® Million Meals Challenge Madden NFL 21 tournament presented by Target, hopes to help tackle hunger in schools. In partnership with GENYOUth, we are looking to raise funds to deliver 100 million school meals to alleviate food insecurity. Players will compete online across two Open Qualifiers and a Closed Qualifier in order to reach the Finals on the week of January 25th, 2021, where they will be paired with a Coaching Team formed by a selection of NFL & Madden pros. Click here to register - http://millionmealschallenge.comSubscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Cowboys #Giants","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","dly-nKcW-GA"
LCVCzd_wC5Q,"Tampa Bay Buccaneers vs. Green Bay Packers  | NFL 2021 Conference Championship Preview","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","661.0","https://i.ytimg.com/vi/LCVCzd_wC5Q/default.jpg","NFL|Football|American Football|sport|sports","Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Football #AmericanFootball","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","dly-nKcW-GA"
jrvRIJEtVEg,"Vikings vs. Buccaneers Week 14 Highlights | NFL 2020","UCDVYQ4Zhbm3S2dlz7P1GBDg","NFL","17","726.0","https://i.ytimg.com/vi/jrvRIJEtVEg/default.jpg","NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 14|best plays|top plays|vikings|minnesota|min|buccaneers|bucs|tampa bay|tb|vikings bucs game highlights|vikings highlights|bucs highlights|vikings td|bucs td","The Minnesota Vikings take on the Tampa Bay Buccaneers during Week 14 of the 2020 NFL season.Subscribe to NFL: http://j.mp/1L0bVBuCheck out our other channels:Para más contenido de la NFL en Español, suscríbete a https://www.youtube.com/nflenespanolNFL Fantasy Football https://www.youtube.com/nflfantasyfootballNFL Vault http://www.youtube.com/nflvaultNFL Network http://www.youtube.com/nflnetworkNFL Films http://www.youtube.com/nflfilmsNFL Rush http://www.youtube.com/nflrushNFL Play Football https://www.youtube.com/playfootballNFL Podcasts https://www.youtube.com/nflpodcasts#NFL #Vikings #Bucs","The official YouTube page of the NFL.Subscribe to the NFL YouTube channel to see immediate in-game highlights from your favorite teams and players, daily fantasy football updates, all your favorite NFL podcasts, and more!","NFL highlights Football offense defense afc nfc Super Bowl American Football full nfl games full game National Football League sports professional football fantasy fantasy football Patriots Jets Bills Dolphins Giants Redskins Cowboys Eagles Bengals Browns Ravens Steelers Vikings Packers Bears Lions Chargers Broncos Raiders Chiefs Seahawks Rams 49ers Cardinals Titans Colts Jaguars Texans Saints Panthers Buccaneers Bucs Niners Pats Falcons","dly-nKcW-GA"
2sl9svFtjQ8,"Sugar Bowl Highlights: Ohio State vs. Clemson | College Football Playoff","UCzRWWsFjqHk1an4OnVPsl9g","ESPN College Football","17","591.0","https://i.ytimg.com/vi/2sl9svFtjQ8/default.jpg","ohio state vs clemson|ohio state clemson|sugar bowl|ohio state highlights|clemson highlights|ohio state buckeyes|clemson tigers|buckeyes football|ohio state football|clemson football|sugar bowl highlights|college football playoff|cfp highlights|justin fields|skalski|olave|trey sermon|trevor lawrence|justin fields highlights|lawrence clemson|college football|espn cfb|cfb on espn|football|highlights|sports|espn college football|ryan day|dabo swinney","Check out highlights of the College Football Playoff semifinal at the Allstate Sugar Bowl between Justin Fields, Trey Sermon and the Ohio State Buckeyes against Trevor Lawrence, Travis Etienne and the Clemson Tigers.#SugarBowl #OhioState #Highlights✔ Donate now to Jimmy V Fund here: https://www.v.org/v-week/✔ Sign up for ESPN+: http://www.espn.com/watch/espnplus/✔ Get the ESPN App: http://www.espn.com/espn/apps/espn✔ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC✔ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN✔ Watch ESPN on YouTube TV: http://es.pn/YouTubeTVESPN on Social Media:► Follow on Twitter: http://www.twitter.com/espn► Like on Facebook: http://www.facebook.com/espn► Follow on Instagram: http://www.instagram.com/espnVisit ESPN on YouTube to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, NHL, MLB, NBA, College Football, NCAA Basketball, soccer and more. More on ESPN.com: http://www.espn.com","","espn college football on espn espn college football ncaaf college football 2019 ncaa ncaa football","dly-nKcW-GA"
