video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
m88gF_GxOJQ,"Rylo Rodriguez - Standing In the Rain (Official Music Video)","UC4jjDHIjC-U4I6XdbyIZoTg","Rylo Rodriguez","24","231.0","https://i.ytimg.com/vi/m88gF_GxOJQ/default.jpg","rylo|silo|4pf|4 pockets full|qc|wolfpack|project baby|there go rylo","Rylo Rodriguez- Standing In the Rain (Official Music Video)https://www.instagram.com/rylorodriguezVideo By:https://www.instagram.com/Click Subscribe For More Videos!!!","Click Subscribe For More Videos!!Rogerville Out Now On all platformsApple Music: https://itunes.apple.com/us/album/rogerville/1435793507Spotify: https://open.spotify.com/album/3gZiHLkfrXvelIu2MPyI8Bhttp://instagram.com/rylorodriguez","","erBR3olroG4"
x8FZXaBXJK0,"Future & Lil Uzi Vert - Drankin N Smokin [Official Music Video]","UCqwxMqUcL-XC3D9-fTP93Mg","LIL UZI VERT","10","357.0","https://i.ytimg.com/vi/x8FZXaBXJK0/default.jpg","Lil|Uzi|Vert|Lil Uzi Vert|Eternal Atake|Money Longer|LUV|Futsal Shuffle|Sanguine Paradise|XO Tour Life|XO Tour Llif3|Luv Is Rage|Luv is Rage 2|The Perfect LUV Tape|Rap|Hip Hop|Atlantic Records|nwE_BsjBSUw|Je2OItlb4pY/edit|PLUTO X BABY PLUTO|Lil Uzi Vert Future Pluto x Baby Pluto|Lil Uzi Pluto x Baby Pluto|Lil Uzi Vert Future Smokin N Drankin|Smokin N Drankin|Lil Uzi Future Smokin N Drankin|Smokin N Dranking music video|Baby Pluto Pluto Drankin N Smokin","Future & Lil Uzi Vert - Drankin N Smokin'Pluto X Baby Pluto (Deluxe)' OUT NOW! 🗣🌍Stream/Download - https://uzi.lnk.to/PlutoxBabyPlutoDeluxeIDDirector: DJ Esco & Sam LeccaVideo Commissioner: Joseph BoydProducer: Rodney Byerson & Princess Mbanuzue Connect with Lil Uzi Vert:https://twitter.com/LILUZIVERThttps://www.instagram.com/liluzivert/https://www.facebook.com/LilUziVert/https://www.youtube.com/user/LILUZIVERThttp://liluziofficial.com/#Future #LilUziVert #PlutoxBabyPlutoDeluxeSubscribe for more official content from Lil Uzi Vert ➤ https://Uzi.lnk.to/YouTubeSubscribe   Listen to Best of Lil Uzi Vert playlist ➤ https://bit.ly/2U6weNsWatch Lil Uzi Vert’s Official Music Videos ➤ https://bit.ly/2UuvH6M","'Pluto x Baby Pluto (Deluxe)' OUT NOW -  uzi.lnk.to/PlutoxBabyPlutoDeluxeIDConnect with Lil Uzi Vert:https://twitter.com/LILUZIVERThttps://www.instagram.com/liluzivert/https://www.facebook.com/LilUziVert/https://soundcloud.com/liluzivert","","erBR3olroG4"
pnMtmFzMLP4,"DaBaby - Masterpiece (Official Video)","UC2CCXzC56k0b8L49R_iW-Yw","DaBaby","10","231.0","https://i.ytimg.com/vi/pnMtmFzMLP4/default.jpg","[none]","","","DaBaby Baby Jesus Charlotte Hip Hop Rap","erBR3olroG4"
Vbqs0bFv7BU,"EST Gee x 42 Dugg - Members Only","UCz_QWRP1UzcV10sfML8Gbxw","EST Gee","10","153.0","https://i.ytimg.com/vi/Vbqs0bFv7BU/default.jpg","#ESTGee|EST Gee|42 Dugg|Yo Gotti|Member's Only|I Still Don't Feel Nun|get money|Members only|jack harlow|kentucky rappers|kentucky music|Louisville|louisville rappers|Everybody shines together|Special Remix|Moneybagg Yo|Ion Feel Nun|Said Sum|BlocBoy JB|Key Glock|We Paid|EST Gee music|rap|hip hop|est gee videos","Listen to Members Only feat. @42 dugg Music from 'I Still Don't Feel Nun' out everywhere now: https://smarturl.it/IStillDontFeelNunFollow EST Gee:https://twitter.com/ESTGEE1https://www.facebook.com/ESTGeeOfficialMusichttps://www.instagram.com/est.gee#ESTGee #MembersOnly #42Dugg #IStillDontFeelNun","Young Shiner","ESTGee EST Gee Yo Gotti CMG Rap Hip-Hop Louisville moneybagg yo rapper everybody shines together EST Gee Gotti","erBR3olroG4"
94zTrkr5_xY,"SPOTEMGOTTEM Feat. Pooh Shiesty Beatbox 2 (Official Video)","UCO76MgSzw4jQIhv5rZ9OWTg","SPOTEM GOTTEM","10","193.0","https://i.ytimg.com/vi/94zTrkr5_xY/default.jpg","SPOTEMGOTTEM|Spot Em Got Em|Spotem Gottem|SpottemGottem|Spottem Gottem|SpotemGottem|HipHop|Beatbox|Beat box|Hip-Hop|Florida Rapper|Florida Rap|Duval Rap|Viral Music Video|Viral|Viral Video|Viral Music|Viral Rap Video|Viral Rap|2020 Rapper|Complex|SayCheese|Say Cheese|XXL Freshman|New Rap|For You Page|Beatbox 2|Beatbox Remix|Beatbox Pooh Shiesty|SpotemGottem Pooh Shiesty Beatbox|SpotemGottem Beatbox Remix","FINAL DESTINATION Out Now: https://ingroov.es/final-destination-gFollow SPOTEMGOTTEM:Instagram: @spotemgottem   Twitter: @spotemgottem  Directed By: @shotbyspencer #SPOTEMGOTTEM #PoohShiesty #Beatbox2","","","erBR3olroG4"
Fb01hTtmSyQ,"Rylo Rodriguez – We Could Never Die (Official Video)","UC4jjDHIjC-U4I6XdbyIZoTg","Rylo Rodriguez","24","174.0","https://i.ytimg.com/vi/Fb01hTtmSyQ/default.jpg","rylo|rylo rodriguez|we could never die|rylo never die|ralo|ryla|lil baby artist|4pf artist|4pf|lil baby rylo|gihf|goat in human form|never die","Official Video for We Could Never Die by Rylo RodriguezListen/Download: https://rylorodriguez.lnk.to/gifh Follow RyloInstagram: https://www.instagram.com/rylorodriguezTwitter: https://twitter.com/RyloRodriguez[Intro: SAVIOR by Elley Duhé]And oh, you and IOh, we could never dieAnd oh, you and IOh, we could neverWe could never die[Chorus]They forget you livin', but when you die, that's when they act like they miss youYou selling pussy, I'on wanna fuck, cause anybody can hit youRylo love the kids, but hey don't play my music around ya childEverything I speak, that shit may touch 'em like a pedophileAll my verses go over they head, cause I'm really from the hoodHe got a deal, but I know his Rolex fake likе Ace HoodThat bitch a all red, I might rock the bald hеad (cause I know)[Verse 1]She rock that ass shotsI played baseball, but I still did it without a handoutHand me your best friends, we smoked 'em cause them boys was runningFred work the F&N like he want employee of the monthHeard 12 the raiders, cause I'm chief, just like Kareem HuntRun off on niggas, when I was fucked up I couldn't get a frontSo I pull up like an elephant, the trunk go in the frontI always knew I was heaven sent, but God ain't text me noneBefore toting Glocks, [?], we tryna bury guns10 racks head to toe, I remember I used to be a thiefShe went and [?] the percs, they in her just like meAnd nobody wants to die, and all I seen was homicides[Chorus]They forget you livin', but when you die, that's when they act like they miss youYou selling pussy, I'on wanna fuck, cause anybody can hit youRylo love the kids, but hey don't play my music around ya childEverything I speak, that shit may touch 'em like a pedophileAll my verses go over they head, cause I'm really from the hoodHe got a deal, but I know his Rolex fake like Ace HoodThat bitch a all red, I might rock the bald head (cause I know)[Verse 2]Mom I'm sorry, rock the Cartiers?[] 3 grand, 14 RaybandsBall like 1 And, We don't point handsWay before church, the hood turned me a man (amen)Babymomma ain't a kid but she was on all 10Even if I signed to NBA, [?]?[]My friend, [?], he put my real niggas in chainsWhen I'm alone, that's when I like to think about youWent to sleep the night before, the only time we watched the news[?] Make ya rinse the fire hydrant, 'cause we didn't have a poolFucked two twin sisters, felt like dejavu[Chorus]They forget you livin', but when you die, that's when they act like they miss youYou selling pussy, I'on wanna fuck, cause anybody can hit youRylo love the kids, but hey don't play my music around ya childEverything I speak, that shit may touch 'em like a pedophileAll my verses go over they head, cause I'm really from the hoodHe got a deal, but I know his Rolex fake like Ace HoodThat bitch a all red, I might rock the bald head (cause I know)","Click Subscribe For More Videos!!Rogerville Out Now On all platformsApple Music: https://itunes.apple.com/us/album/rogerville/1435793507Spotify: https://open.spotify.com/album/3gZiHLkfrXvelIu2MPyI8Bhttp://instagram.com/rylorodriguez","","erBR3olroG4"
Hfti3BdSqZI,"NoCap - Pain Show (Official Music Video)","UCvfat4DPrM3BM-xZ2zn5ruQ","NoCap","10","238.0","https://i.ytimg.com/vi/Hfti3BdSqZI/default.jpg","nocap|thebackendchild|ghetto angels|legend|point guard|rylo rodriguez|rylo|free ghetto|blind nights|freestyle|mobile|alabama|innocent|nba youngboy|quando rondo|evol|exotic|lyrics|rap lyrics|official|official video|official audio","NoCap - Pain Show (Official Music Video)Shot By - @bmbfilms251  @truekingvisuals The Hood Dictionary - Stream/Download: https://NoCap.lnk.to/TheHoodDictionaryIDThe Backend Child - Stream/Download: https://NoCap.lnk.to/TheBackendChildIDSubscribe for more official content from NoCap: https://nocap.lnk.to/YouTubeAYNeighborhood Hero - Stream/Download Now: https://NoCap.lnk.to/NeighorhoodHeroIDRogerville - Stream/Download Now: https://NoCap.lnk.to/RogervilleIDFollow NoCap:http://instagram.com/thebackendchild https://twitter.com/NoCaphttps://soundcloud.com/officialnocaphttps://www.facebook.com/NoCapOfficial","“When you listen to me, you can hear my pain,” says NoCap. “My music doesn’t sound like anybody else’s. I don’t ever want to be in a box. I’m creating my own wave. I’m hoping to change the game forever.”Mobile, AL-based rapper NoCap has just released his groundbreaking new mixtape, THE HOOD DICTIONARY.  The new release follows NoCap’s acclaimed 2019 mixtape, THE BACKEND CHILD which earned national acclaim.  2019 saw the breakthrough release of “Ghetto Angels”. Pitchfork wrote, “NoCap is in touch with his Southern roots, taking us to church over a piano-driven instrumental that could without question play during a Sunday morning service…Lyrically, NoCap is candid, reflecting on his lost ones behind heart-rending bars: the faith-questioning, ‘Why do I always question God but I never pray,’. “The lyrics depict his fallen comrades into people who watch over him,” wrote XXL, “keeping NoCap safe on his journey through life. The song has resonated and took his career to another level.”","","erBR3olroG4"
m__VzdnFqwI,"Taleban Dooda - Chosen feat. T9ine (Official Music Video)","UCulNMpwUyp_DPbec4J-Yt2g","Taleban Dooda","10","169.0","https://i.ytimg.com/vi/m__VzdnFqwI/default.jpg","Taleban Dooda|Dis Dooda|Taleban Dooda Tampa|Taleban Dooda Problematic|Taleban Dooda finish him|tampa rapper|florida rap|tampa florida rapper|lil baby|kodak black|NBA Youngboy|Lil Durk|NLE Choppa|gunna|rod wave|Young Thug|21 Savage|polo g|blueface|southern rap|tampa florida rap|rap|in studio performance|YNW Melly|Bobby Smurda|Denzel Curry|Rico Cartel|SpotemGottem|Kuttem Reese|Julio Foolio|T9ine|Hotboii|Slatt Zy|y&r mookey|Yella Beezy","The official music video for Taleban Dooda's Chosen featuring T9ine!Stream Chosen here: https://smarturl.it/TalebanDoodaChosenProduction Company: HEATWAVE GLOBALDirector / DP: Jacob HaleProducer: Jacob HaleLine Producer: Andrés Feliciano1st AC: George RowsonSet Medic: Ian KempEditor: Christopher CarsonColorist: Jacob HaleLabel: Green Light Music Group & Rostrum RecordsLabel Commissioner: Yazid BrittFollow Taleban Dooda:https://www.instagram.com/taleban.dooda/https://vm.tiktok.com/ZMJAasFY1/https://twitter.com/TalebanDoodahttps://soundcloud.com/talebandoodahttps://www.facebook.com/taleban.dooda#TalebanDooda #T9ine #Chosen #TAMPA","Mr.NaNaNaNa✍🏾💔🎶","","erBR3olroG4"
MpdWc0LAQVo,"Nba Youngboy- It Ain’t Over (Interlude)","UClW4jraMKz6Qj69lJf-tODA","YoungBoy Never Broke Again","10","158.0","https://i.ytimg.com/vi/MpdWc0LAQVo/default.jpg","[none]","Listen on Apple Music: https://apple.co/3nQgH0E","The official YouTube channel of Atlantic Records artist YoungBoy Never Broke Again. Subscribe for the latest music videos, performances, and more.Connect with YoungBoy Never Broke Again:Website - http://youngboynba.com/Facebook - https://www.facebook.com/nbayoungboyTwitter - https://www.twitter.com/GGYOUNGBOYInstagram - https://www.instagram.com/nba_youngboy/Soundcloud - https://www.soundcloud.com/nba-youngboy","YoungBoy Never Broke Again Youngboy Slime Mentality NBA YoungBoy Slime Belief YoungBoy IG Live YoungBoy Instagram YoungBoy Quando Rondo YoungBoy Self Control YoungBoy Leak No Smoke YoungBoy I Am Who They Say I Am AI YoungBoy 2 YoungBoy Carter's Son House Arrest Tingz Juice WRLD Youngboy Bandit Youngboy In Control NBA YoungBoy Make No Sense YoungBoy Youngboy Lost Motives YoungBoy Lonely Child YoungBoy NBA Music Video Yaya Mayweather YoungBoy Ranada","erBR3olroG4"
pquwLeG6dw4,"Rylo Rodriguez – For Me Feat. Yo Gotti (Official Video)","UC4jjDHIjC-U4I6XdbyIZoTg","Rylo Rodriguez","24","240.0","https://i.ytimg.com/vi/pquwLeG6dw4/default.jpg","Rylo Rodriguez|Yo Gotti|Lil Baby|For Me|Rilo|4pf|it's the roley for me|it's the patek for me|lil baby artist|quality control|QC|for me|aint fuck for me","Official Video for “For Me” by RyloListen/Download: https://rylorodriguez.lnk.to/forme Spotify: https://rylorodriguez.lnk.to/forme/spotifyApple Music: https://rylorodriguez.lnk.to/forme/applemusicAmazon Music: https://rylorodriguez.lnk.to/forme/amazonmusicPandora: https://rylorodriguez.lnk.to/forme/pandora Follow RyloInstagram: https://www.instagram.com/rylorodriguezTwitter: https://twitter.com/RyloRodriguez[Intro](Nile, I hear you)(Pablo, you crazy for this one, haha)[Chorus: Rylo Rodriguez]It’s the Wockhardt kind with no cut for meIt’s the Glock 26 on tuck for meIt's that's how you buy a purse but ain't fuck for meIt's the ass shots you got up in the butt for meIt's the how you rob a nigga without a gun for me?How you keep catchin' charges, gettin' bonds for me?It’s the I’m gone flex when I get a loan for meIt's the scammin' who I fuck for some phones for meIt's the Rollie for me, it's the Patek for meKnow I'm goin' up, go get a ladder for meYeah, I'm pourin' up, three in the Fanta for meShe in Texas, she flеw to Atlanta for meI don't give a fuck 'bout no VIP wristbandAyy, book me, I fuck around, throw up thе backendMy brother couldn't make this show, he got the pack inI’m mad that I fucked the hoe, she got some bad friends[Verse 1: Rylo Rodriguez]It's you braggin' on your pussy when I get in it, you runnin' from meFuck up her hairdo and buy her some weavesIt's the yes, she bad but she get naked for weedAyy, it's the way you gotta cramp the Lamb for meIt's the puttin' guns on the gram for meYeah the hoe from Chiraq, say she knew Lil ReeseI'm makin' moves, I won't renew the leaseFoot on they neck, got my hand on the check, I ain't takin' no bet unless they betting the houseI got lean in a droughtI make money independent, the paramedics dyin' for a [?]All my dawg they know, you might die over that postYou play with us? You just might die over that jokeYou better check up, I mean you gon' die with that hoeIn my city you lack, you gon' die with that smoke[Chorus: Rylo Rodriguez]It's the Wockhardt kind with no cut for meIt’s the Glock 26 on tuck for meIt's that's how you buy a purse but ain't fuck for meIt's the ass shots you got up in the butt for meIt's the how you rob a nigga without a gun for me?How you keep catchin' charges, gettin' bonds for me?It’s the I’m gone flex when I get a loan for meIt's the scammin' who I fuck for some phones for meIt's the Rollie for me, it's the Patek for meKnow I'm goin' up, go get a ladder for meYeah, I'm pourin' up, three in the Fanta for meShe in Texas, she flew to Atlanta for meI don't give a fuck 'bout no VIP wristbandAyy, book me, I fuck around, throw up the backendMy brother couldn't make this show, he got the pack inI’m mad that I fucked the hoe, she got some bad friends[Verse 2: Yo Gotti]For me it's the PatekShe send me the addy, I pull up that Z06 'maticThis ain't from rappin' this shit out the attic, I'm movin' the packageI keep it so G, ain't no lies with me (For me)Damn that bitch bad, it's the eyes for meWhy she standin' like this? It’s the thighs for meAnd she get money, it's the grind for meShe don't see no hoes, yeah, she blind for meStraight up in apartment, do a crime for mePartner in the fed, doin' a dime for meJay in the kitchen, cookin' nines for meAnd I ain't never paid a nigga slide for meWhy not? 'Cause it's the heart for mePull up in the hood with so much work, and I ain't never thought 'bout no nigga robbin' meHit the turquoise Rari on Forgis to meToo busy havin' orgies with mePrice right plug been spoilin' meThey'll get 'em to your door like Amazon PrimeEvery time you beat one, your homeboy dyin' (Yeah)Every time you post and your captions be lyin'Nigga, live your life, quit tryna live mineCause that ain't what poppin' to meIt's the profit for me, pop up and reup againMy bitch a 20, two 10'sAnd I don't do friendsI prefer enemies, at least I know what these niggas plan to do to me, yeahCrib in the suburb but really it's the trenches for me (Yeah)Master bedroom cold but really it's the kitchen for me (The kitchen for me, yeah)[Chorus: Rylo Rodriguez]It’s the Wockhardt kind wit no cut for meIt’s the Glock 26 on tuck for meIt's that's how you buy a purse but ain't fuck for meIt's the ass shots you got up in the butt for meIt's the how you rob a nigga without a gun for me?How you keep catchin' charges, gettin' bonds for me?It’s the I’m gone flex when I get a loan for meIt's the scammin' who I fuck for some phones for meIt's the Rollie for me, it's the Patek for meKnow I'm goin' up, go get a ladder for meYeah, I'm pourin' up, three in the Fanta for meShe in Texas, she flew to Atlanta for meI don't give a fuck 'bout no VIP wristbandAyy, book me, I fuck around, throw up the backendMy brother couldn't make this show, he got the pack inI’m mad that I fucked the hoe, she got some bad friends#4PF","Click Subscribe For More Videos!!Rogerville Out Now On all platformsApple Music: https://itunes.apple.com/us/album/rogerville/1435793507Spotify: https://open.spotify.com/album/3gZiHLkfrXvelIu2MPyI8Bhttp://instagram.com/rylorodriguez","","erBR3olroG4"
